abeja	Wanquyru
estrella	Quyllur
estreñirse, atorarse, atracarse	Kichkipakuy
estrofa	Yarayma
exprimir	Qaptsiy
extenderse el fuego	Mismiy
extrañar	Ankuy
fábula	Aranway
faja, cinturón	Wachuku
feto	Shullu
fiambre	Mirkapa
fiesta	Raymi
fila	Sinrichakuy
flamenco	Pariwana
flauta	Pinkullu
flecha	Wachi
flor	Wayta
fogón	Tullpa
fósil	Rumiyashqa
frente	Urku
frijol	Purutu
frío	Alay
frutecencia de la papa	Rampuqchu
fruto	Ruru
fruto tierno de cereales	Willchi
fuego	Nina
fuertemente	Chachaq
fuerza	Kallpa
fumigar	Qushnitsiy
fundar, crear	Paqaritsiy
gallina	Wallpa
gallinazo	Wiskur
gallo	Kakash
ganar, vencer	Atipay
ganso andino	Wachwa
garrapata	Amuku
garúa	Chirapa
gaseoso	Wapull
gatear	Laatay
gato	Mishi
gato montés	Ushqu mishi
gaviota	Qiwlla
gente, persona	Nuna
germinar	Hiqamuy
girar	Muyuy
girar, dar vueltas	Tumay
glúteo	Siki
golondrina	Wayanita
golpear	Takay
gorrión	Pichisanka
gorro	Chuullu
gotear	Shutuy
grado	Ñiqi
gramo	Aqnu
granadilla	Purush
grande, alto	Hatun
granizo	Runtu
grasa	Wira
grillo	Chukllush
gritar	Qapariy
grueso	Tita
grupo de cosas	Qutu
grupo de personas o animales	Quri
guanaco	Wanaku
guayaba	Shawintu
guiar, conducir	Pushay
gusano	Kuru
habas sancochadas	Shinti
hablar	Rimay
hacer bonito, hermosear	Shumaqtsay
hacer derretir	Tsullutsiy
hacer que otro se enoje, molestar	Ahayaatsiy
hacerse adivinanzas	Hamutsiy
hacerse tarde, demorar	Hunaqay
hacha	Haacha
halcón	Waman
hambre	Mallaqay
harina	Kukupa
harina de cebada y trigo tostados	Machka
harina de maíz medio seco y cocido	Chuchuqa
heces	Ismay
helada	Qaha
herida, úlcera, llaga	Qiri
hermana de la mujer	Nana
hermana del varón	Pani
hermano de hermano	Wawqi
hermano de la mujer	Turi
hervir	Puway
hielo	Rahu
hierba	Qura
hierba llamada amor seco	Shillku
hígado	Ñatin
hija del padre	Warmi tsuri
hijo	Tsuri
hijo de la madre	Wawa
hijo menor	Shullka
hilar lana	Putskay
hincharse	Hakay
hipar	Hiktsuy
hito	Wanka
hombre malo	Aksay
honda	Waraka
hondonada	Pukru
hongo	Tukllu
hormiga	Anwaqshuy
horqueta	Hurkita
hoy, ahora	Kanan
hoz	Uusi
huacatay silvestre	Chinchu
huella, rastro	Yupi
huérfano	Waktsa
hueso	Tullu
huevo	Ruru
humear	Qusñiy
humita	Umiita
huracán, remolino	Shukukuy
huso	Pirwa
identificar	Kikintsay
idioma quechua	Qichwa
imaginarse	Yarpaakuy
imperdible	Tikpi
inca, dirigente del imperio incaico	Inka
ingle	Llilli
insípido	Qamla
instrumento para tejer	Kallwa
insultar	Ashay
inteligencia	Umayuq
intercambiar, trocar	Trukay
interrumpir una acción	Chawaatsiy
ir	Aywa
isaño	Mashwa
izquierda	Itsuq
jardín	Wayta chakra
jaspeado	Tsiqtsi
jilguero	Chinchis
jora	Shura
joroba	Quru
joven varón	Wayna
jugar	Pukllay
jugar a las bolas o pelota	Chunkay
juntar, agrupar	Quriy
juntar, doblar en forma ordenada, superponer objetos	Chuqpay
labios	Wirpa
labrar madera	Llaqllay
ladera	Kinray
ladrón	Suwaq
lagartija	Arash
lago, laguna	Qucha
lágrima	Wiqi
lamer	Laqway
lamparín	Chiwchi
lana	Millwa
lápiz	Qillqana
laringe	Tunquri
lavar	Paqay
lavarse, enjuagar	Awikuy
leche	Lichi
lechuza	Pakapaka
leer	Nawintsay
lejos	Karu
lengua	Qallu
leña	Yamta
levantamiento, rebelión	Alsakuy
libélula	Aqtsa suwa
libertad	Munashqaykita ruray
libertador	Qishpitsiq
libro	Liwru
liendre	Iski
límite, lindero	Qurpa
limpio	Tsuya
linaje, casta	Panaka
liso	Llushuq
litro	Winku
liviano	Ankash
llacón, especie de papa	Llakun
llama	Llama
llamar	Qayakuy
llanura	Pampa
llegar	Chay
llevar algo entre dos o más personas	Wantuy
llorar	Waqay
lluvia	Tamya
lombriz	Wiiqu
loro	Luuru
lucero,	Venus Waraq quyllur
luciérnaga	Nina kuru
lúcuma	Lukma
lugar seco no cultivado	Chuchin
luna	Killa
lunar	Aña
luxación	Ulluy
luz, luminosidad, claridad	Atski
madeja	Chinkus
madre	Mama
madurar	Puquy
maguey	Chuchwa
maguey	Qaara
maíz	Hara
maíz pequeño	Chili hara
maíz tostado	Kamtsa
maíz, trigo cocidos	Muti
mal agüero	Naya
malaria	Tsuktsu
malestar psicosomático	Kuma
manantial	Pukyu
mangada	Yana pukutay
maní	Miya
maniatar	Pankay
mano	Maki
manta	Aqshu
manta para cargar	Haku
manta, prenda femenina	Lliklla
mañana, día siguiente	Waray
mareo	Muyunay
mariposa	Pillpis
mariposa nocturna	Tapash
mármol suave	Paska
masticar	Kachuy
matrimonio	Kasamintu
mazamorra	Api
médula	Tuqshu
memoria	Yuyay
mensajero, hacedor de mandados	Kacha
menstruar	Qishyay
mentir, engañar	Llullay
mentira	Uli
mercado, plaza	Qatu
mes	Killa
mesa	Miisa
metro	Tatki
mezcla	Takushqa
mezclar	Takuy
mezclar agua con harina evitando que se hagan grumos	Wamiy
mezquino	Micha
miel de abeja	Mishki
millar	Waranqa
mina	Miina
mirar arriba	Ñukiy
mirar, observar	Qaway
moco	Pisqa
mojar	Nuyuy
moledor	Tunay
moler	Aqay
molino de piedra	Mulinu
montón, pila	Chuquy
montura	Muntura
morder	Kaniy
morir	Wanuy
mosca	Chuspi
moscardón	Qinrash
mostrar, demostrar	Rikaatsiy
mote mal pelado	Uqshishqa
mudo, tonto, sordo	Upa
muerto, cadáver	Aya
mujer danzante	Paalla
mujer joven	Shipash
mujer, esposa	Warmi
multiplicar	Miratsiy
murciélago	Tsiqtsi
muru	Mullu
nacer	Yuriy
nadar, flotar	Tuyuy
nariz	Sinqa
negro	Yana
nevar	Rashtay
nido	Qishu
nieto	Willka
niño de hasta tres años	Ñushpi
no (prohibitivo)	Ama
noble, distinguido	Qapaq
noche, oscuridad	Ampi
nodriza	Waataq
nube	Pukutay
nuca	Matanka
nudo	Kipu
nuera	Llumtsiy
obedecer, hacer caso	Wiyaakuy
obediencia	Kaasukuy
oca	Uqa
ocioso, flojo	Qila
odiar	Chikiy
odiarse	Chikinakuy
oír	Wiyay
ojos	Nawi
oler, olfatear	Muskiy
olla	Manka
olluco	Ulluku
olores desagradables	Asya
ombligo	Pupu
oración (petición)	Mañakuna
ordeñar	Qapiy
orejas, oído	Rinri
órgano sexual femenino	Raka
orilla	Kuchun
orina	Ishpay
orinar	Ishpay
oro	Quri
ortiga	Shinwa
oso	Ukuku
otorongo	Uturunku
oveja	Uusha
ovillar	Kururay
ovillo	Kuriy
pachamanca	Watya
padre	Yaya
padre	Tayta
padrillo	Yayan
página, papel	Rapi
paja	Uqsha
paja brava	Qachi
pájaro	Pishqu
pájaro carpintero, pito	Akaka
paloma	Urpi
palta	Palta
pan	Tanta
panecillo de harina	Tantakshu
pantalón	Wara
pantano	Hunqu
paralítico	Tunkashqa
parecido a, semejante	Niraq
pared	Pirqa
parte alta	Rara
parte de arriba, encima	Hana
partir leña	Tsiqtay
pastear	Mitsiy
patear, dar de puntapíes	Haytay
pecado	Hutsa
pedir	Mañay
pedo	Supi
pedregal	Ranra
peinar	Naqtsay
peine	Naqtsa
pelado, calvo, lampiño	Qala
pelar cereal	Llushtuy
pelar, mondar	Shipray
pellizcar	Tipshiy
pelo de niño antes del primer corte	Warka
pelota	Haytana
pene	Rani
pequeño, poco	Ichik
perdiz	Chakwa
perdonar	Pampatsay
perinola, disco de piedra para el uso	Piruru
perro	Allqu
perro pequeño	Pichis
pesado	Lasaq
pescar	Challwakuy
pestaña	Qipsha
pez, pescado	Challwa
piar de los pájaros	Chiwchiw
picaflor	Winchus
picante	Ayaq
picar	Tawshiy
picotear	Tawshipay
pie	Chaki
piedra	Rumi
piedra preciosa	Umiña
piel	Qara
pierna, muslo	Chanka
pintar	Llushiy
piojo	Uha
pique	Piki
pircar, levantar una pared	Pirqay
pita de tejido	Illawa
planta	Yura
planta medicinal llamado «pájaro bobo»	Waqsallu
plomo	Titi
pluma	Puru
pobre	Waktsa
poco	Pishi
podar	Llumay
podrir	Ismuy
poesía	Harawi
polilla	Puyu
pollera	Ruripa
pollo	Chipi
poncho	Punchu
por doquiera	Hinanpa
prado, pradera	Wayllapampa
precio	Chani
preparar el trigo semimolido	Tsamqay
primer corte de pelo	Warka rutuy
primer corte de pelo	Kitañaakuy
probar, saborear	Llamiy
procrear el hombre	Tsurikuy
profesor	Yachatsikuq
prohibir, mezquinar	Michakuy
provincia	Suyucha
pueblo, cultura	Marka
puente	Tsaka
puerta	Punku
pulmones	Puywan
puñado	Aptay
puño	Kukuchi
purificar el agua; aclarar	Tsuyaatsiy
pus	Isqiy
puya	Raimondi Kunkush
quebrada, abra	Raqra
quemar	Kayay
quemar, para limpiar	Qashpay
quena	Qina
queso	Kiisu
quihuicha	Kiwicha
quijada	Chaqallwi
quingual	Qinwa
quinua	Kinwa
raíz	Watsu
rápido, de una vez	Huklla
rasgar	Llikiy
raspar	Hichkay
ratón	Ukush
rebalsar	Pusway
rebaño	Mitsina
recibir	Chaskiy
reciprocidad	Kutitsinakuy
recoger con las manos	Achkuy
recoger, alzar	Pallay
recoger, amparar, proteger, cobijar,envolver	Aylluy
recordar	Yarpay
recostarse, estar echado	Chacharay
regar	Qallpay
regar	Parquy
región selvática	Yunka
región, territorio	Suyu
reír	Asiy
reloj	Intiwatana
remojar	Tullpuy
renacuajo	Ultu
resfriado	Alalashqa
respirar	Hamay
resta o sustracción	Qichu
restos de algo masticado	Kachupi
resucitar	Kawariy
retirarse	Witiy
riñón	Washa ruru
río	Mayu
robar	Suway
roca	Qaqa
rodilla	Qunqu
roer	Kuchkuy
rojo	Puka
romo, sin punta	Ruqu
romper, arrancar	Rachiy
romper, quebrar	Pakiy
roncar	Qurquryay
ropa ajustada	Chiri
rubio	Hacha
ruiseñor	Pishqurukus
saber	Yachay
sabio	Yachaq
sacar agua	Chaqay
sacar, extraer	Hurquy
sal	Kachi
salado	Anqa
salar	Kachitay
salir	Yarquy
saliva	Tuqa
saltar	Pintiy
saludar	Napay
saludarse	Napaanakuy
salvia	Salwiya
sandalia	Llanqi
sangre	Yawar
sapo	Ratsak
sapo maduro	Chuqyaq
saúco	Rayan
sed	Yakunay
segar	Rutuy
sembrar	Muruy
semilla	Muru
semiseco	Anku
separar	Rakiy
sequía	Usya
ser mítico	Aparikarkallaamay
serpiente	Machaku
serpiente sagrada	Amaru
servir comida	Qaray
sesión	Huñunakuy
siembra	Murukuy
silbar	Wichyay
silencio	Tsunya
sitio apartado	Tuna
sobar	Kupay
sofocarse, afiebrarse	Achachay
soga	Waska
soga de paja	Chilliiwa
sol	Inti
solo, único	Hapallay
soltar, dejar libre	Kachay
sombra	Arwa
soplar	Puukay
soplar, para calentar algo, dar aliento	Hakay
soplete, soplador	Puukana
sordo	Suqru
suave	Ñampu
subir	Lluqay
sudor	Humpi
sueño	Muspay
sufrir, demorar	Nakay
sumar, agregar	Yapay
surco	Qashqa
sustantivo, nombre	Huti
talar	Walluy
tallo	Tullu
tamal	Tamal
tambor grande	Kaaha
tapa de olla	Tsapana
tarántula	Atapuquy
tartamudo	Talulu
tarugo (tipo de venado)	Taruka
techar, cubrir	Qatay
tejedor	Awaq
tela cortada desigual	Waya
telaraña	Llika
temblar	Katatay
tender, extender	Mashtay
tendón	Anku
tener	Tsaray
tener miedo	Mantsay
terreno de cultivo	Chakra
terreno virgen	Purun
terrón	Kurpa
testículo	Quruta
tierra	Allpa
tierra	Patsa
tierra suave	Qashya
tijera	Tihira
tipo de bastón	Lluqi
tipo de frijol	Numya
tizna	Yanashtu
tobillo	Utsu putu
tocar una puerta	Takakuy
todos	Chipyaq
torcaza	Kukuli
torcer la lana	Mukmuy
torcido	Wikllu
tordo	Chiwiillu
toro bravo	Piña
torrentera, aluvión	Lluqlla
tórtola	Kullku
tortuga de río	Charapa
tos	Chuqa
toser	Chuqay
tostador	Kallana
tostar	Ankay
trabajar	Aruy
trabajar	Uryay
tragar	Nuqtay
trama	Mini
trasladar, acarrear	Ashtay
trenzar	Piltay
trepar, subir	Achipay
trigo semimolido	Tsamqa
trillar	Harutsiy
tristeza	Llaki
trompeta	Kurniita
trompeta de caracol	Pututu
tronco	Kullu
trueno	Punruru
tuerto	Qapra
tumba antigua	Amaa
tumor	Amuqllu
uno, otro	Huk
uña	Shillu
urdimbre	Awllina
uretra	Ishpana
vaca	Waaka
valle interandino	Qichwa
varón	Ullqu
vaso incaico	Qiiru
vellón de lana	Wiki
vellosidad	Llaplla
venado	Luychu
venas	Yawarpa naanin
vencedor	Atipaq
vendedor	Qatuq
vender	Qatuy
venir	Shamuy
ver	Rikay
verde	Qumir
verruga	Tikti
vesícula biliar	Ayaq
vestir	Yakatsiy
vicuña	Wikuña
vidrio	Qishpi
visitar, echar de menos	Rahay
vivir	Kaway
vizcacha	Wishka
volar	Paariy
voltear la tierra	Chakay
yerno	Masha
yuca	Yuka
yunta	Yunta
zampoña	Antaara
zancudo	Wanwa
zarigüeya	Muuka
zarzaparrilla	Shiraka
zorrillo	Añas
zorro	Atuq
zorzal	Yukis
