arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
arruinado, quebrado	<font color=red>CHP:</font> aksi = kjolzi\n<font color=blue>AYM:</font> p'akintata\n<font color=orange>ENG:</font> ruined, broken
quebrar	<font color=red>CHP:</font> akz = kjolz\n<font color=blue>AYM:</font> p'akjaña\n<font color=orange>ENG:</font> to break
equivocarse, confundirse	<font color=red>CHP:</font> akzic̈ha\n<font color=blue>AYM:</font> pantjasiña\n<font color=orange>ENG:</font> to be mistaken, to be confused
alero, sobresaliente del techo	<font color=red>CHP:</font> ala\n<font color=blue>AYM:</font> ulira\n<font color=orange>ENG:</font> eaves, overhang of roof
adorno	<font color=red>CHP:</font> alaja\n<font color=blue>AYM:</font> alaja\n<font color=orange>ENG:</font> ornament, decoration
sin motivo, sin razon, por sí	<font color=red>CHP:</font> alajapan\n<font color=blue>AYM:</font> aka ch'usata, yuspaki, aliqaki\n<font color=orange>ENG:</font> without reason
(preguntar) con intenciones escondidas	<font color=red>CHP:</font> alamutu\n<font color=blue>AYM:</font> ñanqha aruni\n<font color=orange>ENG:</font> (to ask) with hidden intentions
jactancioso, alabancioso	<font color=red>CHP:</font> alawasñi\n<font color=blue>AYM:</font> alawanshusu\n<font color=orange>ENG:</font> one who boasts
jactarse, alabarse	<font color=red>CHP:</font> alawaszic̈ha\n<font color=blue>AYM:</font> alawasiña\n<font color=orange>ENG:</font> to boast about oneself, to praise oneself
alabar	<font color=red>CHP:</font> alawaz\n<font color=blue>AYM:</font> alawaña\n<font color=orange>ENG:</font> to praise
alcalde	<font color=red>CHP:</font> alcanti\n<font color=blue>AYM:</font> alkalti\n<font color=orange>ENG:</font> chief authority of an ayllu
alcahuete	<font color=red>CHP:</font> alcawitñi\n<font color=blue>AYM:</font> alkawiti\n<font color=orange>ENG:</font> keeper of a secret
granos de la lengua	<font color=red>CHP:</font> alcu\n<font color=blue>AYM:</font> kankamu, phasku\n<font color=orange>ENG:</font> bumps on the tongue
alcohol	<font color=red>CHP:</font> alcuna\n<font color=blue>AYM:</font> alkula\n<font color=orange>ENG:</font> alcohol
mata	<font color=red>CHP:</font> ali\n<font color=blue>AYM:</font> ali\n<font color=orange>ENG:</font> young plant
alentarse, ser alegre	<font color=red>CHP:</font> alintas\n<font color=blue>AYM:</font> alintaña\n<font color=orange>ENG:</font> to be happy, to be encouraged
combinación de dos colores de llama (blanco y negro/café)	<font color=red>CHP:</font> alka\n<font color=blue>AYM:</font> alqa\n<font color=orange>ENG:</font> combination of two colors on llama (white and black/brown)
alma	<font color=red>CHP:</font> alma\n<font color=blue>AYM:</font> alma\n<font color=orange>ENG:</font> soul
envolver a un difunto	<font color=red>CHP:</font> alma murtajta\n<font color=blue>AYM:</font> alma k'iruña\n<font color=orange>ENG:</font> to wrap a corpse for burial
camisa, blusa	<font color=red>CHP:</font> almilla\n<font color=blue>AYM:</font> allmilla\n<font color=orange>ENG:</font> shirt, blouse
almilla	<font color=red>CHP:</font> almilla\n<font color=blue>AYM:</font> allmilla\n<font color=orange>ENG:</font> long undergarment
casa pequeña con huesos de difuntos	<font color=red>CHP:</font> almiz̈ kjuya = tsjij kjuya\n<font color=blue>AYM:</font> alman uta\n<font color=orange>ENG:</font> little house with the bones of dead people, raised tomb
pasante	<font color=red>CHP:</font> alpjirsa\n<font color=blue>AYM:</font> alphirisa\n<font color=orange>ENG:</font> person responsible for a festival
regalo de comida durante fiesta	<font color=red>CHP:</font> alsa\n<font color=blue>AYM:</font> jaqjata\n<font color=orange>ENG:</font> gift of food at a festival
altar	<font color=red>CHP:</font> altara\n<font color=blue>AYM:</font> altara\n<font color=orange>ENG:</font> altar
santuario, los 4 santuarios en esquinas de patio de iglesia	<font color=red>CHP:</font> altara\n<font color=blue>AYM:</font> altara\n<font color=orange>ENG:</font> the four small shrines at the corners of church patio
en voz alta	<font color=red>CHP:</font> altu joorz̈tan = altu tawkz̈tan\n<font color=blue>AYM:</font> jach'ata\n<font color=orange>ENG:</font> loud
alba	<font color=red>CHP:</font> alwa\n<font color=blue>AYM:</font> alwa\n<font color=orange>ENG:</font> dawn, daybreak
el amanecer después de una fiesta	<font color=red>CHP:</font> alwa\n<font color=blue>AYM:</font> tispinsa\n<font color=orange>ENG:</font> early morning after a festival
hacer recto/liso el lado de pared con azadón	<font color=red>CHP:</font> alwañz\n<font color=blue>AYM:</font> utachaña\n<font color=orange>ENG:</font> to smooth a wall
arveja	<font color=red>CHP:</font> alwirca\n<font color=blue>AYM:</font> alwirja\n<font color=orange>ENG:</font> green pea
echar líquido adentro, llenar	<font color=red>CHP:</font> alz\n<font color=blue>AYM:</font> warantaña, phuqhaña\n<font color=orange>ENG:</font> to fill with liquid
aporcar (papas)	<font color=red>CHP:</font> alljatz = alltjapz\n<font color=blue>AYM:</font> alljaña, allthapiña\n<font color=orange>ENG:</font> to pack earth around a (potato) plant
agua turbia	<font color=red>CHP:</font> allpi\n<font color=blue>AYM:</font> juri uma\n<font color=orange>ENG:</font> muddy water
alpaca	<font color=red>CHP:</font> allpjachu\n<font color=blue>AYM:</font> allpachu\n<font color=orange>ENG:</font> alpaca
aporcar (papas)	<font color=red>CHP:</font> alltjapz = alljatz\n<font color=blue>AYM:</font> alljaña, allthapiña\n<font color=orange>ENG:</font> to pack earth around a (potato) plant
orzuelo	<font color=red>CHP:</font> allunchichi\n<font color=blue>AYM:</font> alluchata\n<font color=orange>ENG:</font> sty
tú	<font color=red>CHP:</font> am\n<font color=blue>AYM:</font> juma\n<font color=orange>ENG:</font> you
tumor	<font color=red>CHP:</font> amallu\n<font color=blue>AYM:</font> lluquchsjata\n<font color=orange>ENG:</font> tumor
gustar mucho (comida)	<font color=red>CHP:</font> amantaz = juztaz c̈heri\n<font color=blue>AYM:</font> anch (manq'a) munaña\n<font color=orange>ENG:</font> to greatly enjoy (food)
extrañar	<font color=red>CHP:</font> amayaraz\n<font color=blue>AYM:</font> amuyasiña\n<font color=orange>ENG:</font> to miss (a person)
darse cuenta de que algunas cosas/personas faltan	<font color=red>CHP:</font> amayas\n<font color=blue>AYM:</font> amayusiña\n<font color=orange>ENG:</font> to realize that some things/persons are missing
reorientarse cuando perdido	<font color=red>CHP:</font> amayt'as\n<font color=blue>AYM:</font> amayt'asiña\n<font color=orange>ENG:</font> to reorient oneself when lost
darse cuenta de	<font color=red>CHP:</font> amayt'az\n<font color=blue>AYM:</font> amayt'aña\n<font color=orange>ENG:</font> to realize, to note
nido de avispa en tolas	<font color=red>CHP:</font> amaywancara\n<font color=blue>AYM:</font> lichiwan thapa\n<font color=orange>ENG:</font> nest of mud wasp in bushes
darse cuenta de que una persona/cosa falta	<font color=red>CHP:</font> amayz\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to realize that one person/thing is missing
pasto	<font color=red>CHP:</font> ami\n<font color=blue>AYM:</font> qura\n<font color=orange>ENG:</font> fodder
tú mismo, tú siempre	<font color=red>CHP:</font> amim = amim cjila\n<font color=blue>AYM:</font> juma pini\n<font color=orange>ENG:</font> you yourself
desgustarse	<font color=red>CHP:</font> amjaz\n<font color=blue>AYM:</font> amjasiña\n<font color=orange>ENG:</font> to be fed up with, to be tired of
despertar de un sueño hondo y estar medio dormido	<font color=red>CHP:</font> amjaz\n<font color=blue>AYM:</font> ikimaya\n<font color=orange>ENG:</font> to wake up from a deep sleep and not be fully awake
de usted/suyo, de ti/tuyo	<font color=red>CHP:</font> amta\n<font color=blue>AYM:</font> jumata, jumana\n<font color=orange>ENG:</font> yours (formal and informal)
animar a comenzar	<font color=red>CHP:</font> amtayc̈ha\n<font color=blue>AYM:</font> amtayaña\n<font color=orange>ENG:</font> to encourage to start
planear trabajo, plan de trabajo	<font color=red>CHP:</font> amtiz\n<font color=blue>AYM:</font> amtaña\n<font color=orange>ENG:</font> to plan work, a work plan
recordar brindando a los santos/espíritus	<font color=red>CHP:</font> amtiz\n<font color=blue>AYM:</font> amtaña\n<font color=orange>ENG:</font> to drink to saints/spirits
demasiado humilde	<font color=red>CHP:</font> amu\n<font color=blue>AYM:</font> llamp'u chuymani\n<font color=orange>ENG:</font> very humble
quedarse sin nada	<font color=red>CHP:</font> amulaz\n<font color=blue>AYM:</font> jan kunan kirasiña\n<font color=orange>ENG:</font> to fail completely, to be left without anything
prevenirse de un engaño o peligro	<font color=red>CHP:</font> amuyt'az\n<font color=blue>AYM:</font> amuyt'asiña\n<font color=orange>ENG:</font> to be aware of a mistake or a danger
amar, respetar, adorar	<font color=red>CHP:</font> amz\n<font color=blue>AYM:</font> munaña\n<font color=orange>ENG:</font> to love, to respect, to worship
subida de cerro	<font color=red>CHP:</font> amzta\n<font color=blue>AYM:</font> patarmistuña, irsuña\n<font color=orange>ENG:</font> incline of a hill (upward)
no	<font color=red>CHP:</font> ana\n<font color=blue>AYM:</font> janiwa\n<font color=orange>ENG:</font> no
nada de (cosas)	<font color=red>CHP:</font> ana c̈hjul\n<font color=blue>AYM:</font> jani kunasa\n<font color=orange>ENG:</font> nothing, not any (things)
ninguno (personas, animales)	<font color=red>CHP:</font> ana c̈hjulumi = ana jakzilta\n<font color=blue>AYM:</font> jani khitisa, jani kunasa\n<font color=orange>ENG:</font> nobody, no one, none of (persons, animals)
sin demora	<font color=red>CHP:</font> ana enenz̈cu\n<font color=blue>AYM:</font> ratuki\n<font color=orange>ENG:</font> without delay
...¿no?,...¿verdad?,...¿no es así?	<font color=red>CHP:</font> ana jaa\n<font color=blue>AYM:</font> jalla, janti\n<font color=orange>ENG:</font> ... isn't it?, ...aren't you?
de ninguna manera	<font color=red>CHP:</font> ana jaknuz̈quin\n<font color=blue>AYM:</font> ukhamallaksa\n<font color=orange>ENG:</font> in no way, not at all
ninguno (personas, animales)	<font color=red>CHP:</font> ana jakzilta = ana c̈hjulumi\n<font color=blue>AYM:</font> jani khitisa, jani kunasa\n<font color=orange>ENG:</font> nobody, no one, none of (persons, animals)
nadie	<font color=red>CHP:</font> ana jecmi\n<font color=blue>AYM:</font> jani khitis\n<font color=orange>ENG:</font> nobody
sin temor	<font color=red>CHP:</font> ana jiwjata\n<font color=blue>AYM:</font> jani jiwjataña\n<font color=orange>ENG:</font> boldly
sin dudar	<font color=red>CHP:</font> ana payznakz̈cu\n<font color=blue>AYM:</font> jani paynaqchaña\n<font color=orange>ENG:</font> without wavering, without any doubt
muy malo	<font color=red>CHP:</font> ana wali\n<font color=blue>AYM:</font> ñanqha saxra\n<font color=orange>ENG:</font> very bad, evil
turbado	<font color=red>CHP:</font> ana z̈eli atz\n<font color=blue>AYM:</font> mulla phallata\n<font color=orange>ENG:</font> troubled, upset, restless
nunca	<font color=red>CHP:</font> anapan\n<font color=blue>AYM:</font> janipini, janiwiras\n<font color=orange>ENG:</font> never
soltar animales para pastear	<font color=red>CHP:</font> anarpayz\n<font color=blue>AYM:</font> anarpayaña\n<font color=orange>ENG:</font> to let animals loose to graze
mucho, muy	<font color=red>CHP:</font> ancha = taz̈pacha = wacchi\n<font color=blue>AYM:</font> ancha, wakita\n<font color=orange>ENG:</font> much, very
hace cuatro días	<font color=red>CHP:</font> ancha chjunamaj\n<font color=blue>AYM:</font> pusüruta\n<font color=orange>ENG:</font> four days ago
¿cierto?, ¿de verdad?	<font color=red>CHP:</font> ancha zaz̈way\n<font color=blue>AYM:</font> chiqati?\n<font color=orange>ENG:</font> really?, truly?
ustedes	<font color=red>CHP:</font> anc̈hjucqui\n<font color=blue>AYM:</font> jumanaka\n<font color=orange>ENG:</font> you (pl.)
de ustedes	<font color=red>CHP:</font> anc̈hucalta\n<font color=blue>AYM:</font> jumanakata, jumanakana\n<font color=orange>ENG:</font> yours (pl.)
añelina (tintas para colorar)	<font color=red>CHP:</font> anila\n<font color=blue>AYM:</font> añilina, qulla\n<font color=orange>ENG:</font> dye
animal	<font color=red>CHP:</font> animala\n<font color=blue>AYM:</font> animala, uywa\n<font color=orange>ENG:</font> animal
estar animado para hacer algo	<font color=red>CHP:</font> animc̈ha\n<font color=blue>AYM:</font> animjata\n<font color=orange>ENG:</font> to be encouraged to do something
resistir fuerte	<font color=red>CHP:</font> animt'az\n<font color=blue>AYM:</font> animt'aña\n<font color=orange>ENG:</font> to strongly resist
poner ganado en corral	<font color=red>CHP:</font> anjatz\n<font color=blue>AYM:</font> anantaña\n<font color=orange>ENG:</font> to put the herd in the corral
pequeños arcos de tola al norte y sur del techo	<font color=red>CHP:</font> anjil kjara = chojzi kjara\n<font color=blue>AYM:</font> mujuna\n<font color=orange>ENG:</font> small arches of tola on the N. and S. sides of roof
ángel	<font color=red>CHP:</font> anjila\n<font color=blue>AYM:</font> anjila\n<font color=orange>ENG:</font> angel
nombre de caricia para hija	<font color=red>CHP:</font> antala\n<font color=blue>AYM:</font> waway, imillay\n<font color=orange>ENG:</font> affectionate name for a daughter
anteojos	<font color=red>CHP:</font> antiju\n<font color=blue>AYM:</font> linti\n<font color=orange>ENG:</font> eyeglasses
reunir (personas, animales)	<font color=red>CHP:</font> antiz\n<font color=blue>AYM:</font> tantaña\n<font color=orange>ENG:</font> to gather together (persons, animals)
anular/contrarrestar planes de otro	<font color=red>CHP:</font> anulz\n<font color=blue>AYM:</font> anulaña\n<font color=orange>ENG:</font> to cancel/ruin plans of another person
lunar	<font color=red>CHP:</font> aña\n<font color=blue>AYM:</font> ana\n<font color=orange>ENG:</font> mole (on person)
año nuevo	<font color=red>CHP:</font> aña nawi\n<font color=blue>AYM:</font> machaq mara\n<font color=orange>ENG:</font> New Year
arbusto espinoso	<font color=red>CHP:</font> añawiy cha'pi\n<font color=blue>AYM:</font> añaway ch'api\n<font color=orange>ENG:</font> spiny bush
ahora	<font color=red>CHP:</font> añz = jaziqui\n<font color=blue>AYM:</font> jichha\n<font color=orange>ENG:</font> now
ahorita	<font color=red>CHP:</font> añzilla\n<font color=blue>AYM:</font> anchhichhita\n<font color=orange>ENG:</font> right now
seguir siguiendo	<font color=red>CHP:</font> ap apz\n<font color=blue>AYM:</font> arkayaña\n<font color=orange>ENG:</font> to keep following
sacar, quitar	<font color=red>CHP:</font> apakz\n<font color=blue>AYM:</font> apsuña, apaqaña\n<font color=orange>ENG:</font> to take out, to take away, to remove
bajar de arriba	<font color=red>CHP:</font> apakz\n<font color=blue>AYM:</font> apaqaña\n<font color=orange>ENG:</font> to take down
calmarse	<font color=red>CHP:</font> apaltichi\n<font color=blue>AYM:</font> apartaña\n<font color=orange>ENG:</font> to calm down
meter (cadaver en sepulcro)	<font color=red>CHP:</font> apantiz\n<font color=blue>AYM:</font> apantaña\n<font color=orange>ENG:</font> to put (body in grave)
llevar de un lugar a otro, trasladar (cosas o animales)	<font color=red>CHP:</font> apaquipz\n<font color=blue>AYM:</font> khuy aka llampamukaña\n<font color=orange>ENG:</font> to take from one place to another, to move (things/animals)
pueblo de Ayparavi	<font color=red>CHP:</font> Apara\n<font color=blue>AYM:</font> Ayparawi\n<font color=orange>ENG:</font> town of Ayparavi
suspender	<font color=red>CHP:</font> apatatz\n<font color=blue>AYM:</font> apatataña\n<font color=orange>ENG:</font> to suspend
mandar (cosas)	<font color=red>CHP:</font> apayz\n<font color=blue>AYM:</font> apayaña\n<font color=orange>ENG:</font> to send (things)
hinchazón de los pies	<font color=red>CHP:</font> apja\n<font color=blue>AYM:</font> kay p'usuta\n<font color=orange>ENG:</font> swelling of foot (from walking too much)
afligido, preocupado	<font color=red>CHP:</font> apjana\n<font color=blue>AYM:</font> llakita\n<font color=orange>ENG:</font> distressed, worried
poner una cosa encima de la otra	<font color=red>CHP:</font> apjatz\n<font color=blue>AYM:</font> apjataña\n<font color=orange>ENG:</font> to put something on top of something else
frazada gruesa	<font color=red>CHP:</font> apju\n<font color=blue>AYM:</font> ikiña\n<font color=orange>ENG:</font> thick woven blanket
recobrar cosas prestadas	<font color=red>CHP:</font> aptaz\n<font color=blue>AYM:</font> aptaña, mayiña\n<font color=orange>ENG:</font> to recover things leant to another
levantar	<font color=red>CHP:</font> aptiz\n<font color=blue>AYM:</font> aptaña\n<font color=orange>ENG:</font> to lift up
hacer perder, hacer quitar	<font color=red>CHP:</font> apt'iz\n<font color=blue>AYM:</font> apt'aña, chhaqhayaña, apaqayasiña\n<font color=orange>ENG:</font> to lose
apuntar	<font color=red>CHP:</font> apuntiz\n<font color=blue>AYM:</font> apuntaña\n<font color=orange>ENG:</font> to aim, to point
apostar	<font color=red>CHP:</font> apuztaz\n<font color=blue>AYM:</font> apustaña\n<font color=orange>ENG:</font> to bet, to wager
seguir	<font color=red>CHP:</font> apz\n<font color=blue>AYM:</font> arkaña\n<font color=orange>ENG:</font> to follow
aguayo, mantel para cargar en espalda	<font color=red>CHP:</font> apz talu\n<font color=blue>AYM:</font> awayu\n<font color=orange>ENG:</font> cloth (for carrying things on one's back)
águila	<font color=red>CHP:</font> aquila\n<font color=blue>AYM:</font> mamani\n<font color=orange>ENG:</font> eagle
nada, ni un poco	<font color=red>CHP:</font> aquillu\n<font color=blue>AYM:</font> jani kuns\n<font color=orange>ENG:</font> not a bit, nothing at all
cielo	<font color=red>CHP:</font> arajjpacha\n<font color=blue>AYM:</font> araxpacha\n<font color=orange>ENG:</font> sky
hacer bulla	<font color=red>CHP:</font> aranz\n<font color=blue>AYM:</font> ch'axmichaña\n<font color=orange>ENG:</font> to make a lot of noise
araña	<font color=red>CHP:</font> araña = callacalla\n<font color=blue>AYM:</font> kusi kusi\n<font color=orange>ENG:</font> spider
insultar	<font color=red>CHP:</font> ararz\n<font color=blue>AYM:</font> sik'anchaña\n<font color=orange>ENG:</font> to insult
rumorear	<font color=red>CHP:</font> arawaza\n<font color=blue>AYM:</font> arawas\n<font color=orange>ENG:</font> to spread rumors
perseguir	<font color=red>CHP:</font> arcantiz\n<font color=blue>AYM:</font> arkantaña\n<font color=orange>ENG:</font> to pursue
apoyar con palabras	<font color=red>CHP:</font> arcjatz\n<font color=blue>AYM:</font> arkantaña\n<font color=orange>ENG:</font> to support with words
arco	<font color=red>CHP:</font> arcu\n<font color=blue>AYM:</font> arku\n<font color=orange>ENG:</font> arch
afilado, punto	<font color=red>CHP:</font> ari\n<font color=blue>AYM:</font> ari\n<font color=orange>ENG:</font> sharp, pointed
adivino	<font color=red>CHP:</font> ariwi-ñi\n<font color=blue>AYM:</font> yatiri\n<font color=orange>ENG:</font> fortuneteller
adivinar	<font color=red>CHP:</font> ariwiñz\n<font color=blue>AYM:</font> yatiyaña\n<font color=orange>ENG:</font> to divine
agente	<font color=red>CHP:</font> arjinti\n<font color=blue>AYM:</font> ajinti\n<font color=orange>ENG:</font> agent
conseguir	<font color=red>CHP:</font> armaz\n<font color=blue>AYM:</font> jikhiña\n<font color=orange>ENG:</font> to obtain
aro, rueda, redondo	<font color=red>CHP:</font> aro = royta\n<font color=blue>AYM:</font> ruyra\n<font color=orange>ENG:</font> hoop, wheel, round
argolla	<font color=red>CHP:</font> arquillu\n<font color=blue>AYM:</font> arkulla\n<font color=orange>ENG:</font> ring used on rope
orden según tamaño	<font color=red>CHP:</font> arquiritjama\n<font color=blue>AYM:</font> arkiritjama\n<font color=orange>ENG:</font> line-up, order according to size
arrendar (terreno)	<font color=red>CHP:</font> arrintiz\n<font color=blue>AYM:</font> arintaña\n<font color=orange>ENG:</font> to rent (land)
arroba	<font color=red>CHP:</font> arruwa\n<font color=blue>AYM:</font> aruwa\n<font color=orange>ENG:</font> 2,5 kilograms (25 lbs.)
caja para hacer pan	<font color=red>CHP:</font> artisa\n<font color=blue>AYM:</font> artisa\n<font color=orange>ENG:</font> box for making bread
hablador pero no cumple, charlatán	<font color=red>CHP:</font> aruc'acha\n<font color=blue>AYM:</font> aru k'acha\n<font color=orange>ENG:</font> one who speaks finely but never fulfills promises
saludar a un santo/a una autoridad	<font color=red>CHP:</font> aruntiz\n<font color=blue>AYM:</font> aruntaña\n<font color=orange>ENG:</font> to greet a saint/an authority
estrenar	<font color=red>CHP:</font> arz\n<font color=blue>AYM:</font> istrinaña\n<font color=orange>ENG:</font> to use for the first time
dejar una cosa que no le gusta	<font color=red>CHP:</font> arz\n<font color=blue>AYM:</font> apamukaña\n<font color=orange>ENG:</font> to leave something you don't like
picchar, masticar coca	<font color=red>CHP:</font> as\n<font color=blue>AYM:</font> ak'ullt'aña\n<font color=orange>ENG:</font> to chew coca
comida espesa, comida de lawa	<font color=red>CHP:</font> asi\n<font color=blue>AYM:</font> lawa\n<font color=orange>ENG:</font> porridge
asentar, colocar	<font color=red>CHP:</font> asintiz\n<font color=blue>AYM:</font> asintaña, uchaña\n<font color=orange>ENG:</font> to settle, to place
aceptar	<font color=red>CHP:</font> asiptiz\n<font color=blue>AYM:</font> iyaw saña\n<font color=orange>ENG:</font> to accept
hacer sin falla, acertar	<font color=red>CHP:</font> asirtiz\n<font color=blue>AYM:</font> asirtaña\n<font color=orange>ENG:</font> to do without fail
dar impacto	<font color=red>CHP:</font> asirtiz\n<font color=blue>AYM:</font> asirtaña\n<font color=orange>ENG:</font> to hit
aceite	<font color=red>CHP:</font> asiti\n<font color=blue>AYM:</font> asiyti\n<font color=orange>ENG:</font> oil (for cooking)
azadón	<font color=red>CHP:</font> astuna\n<font color=blue>AYM:</font> asaruna\n<font color=orange>ENG:</font> large hoe
arder	<font color=red>CHP:</font> asza\n<font color=blue>AYM:</font> lakhaña\n<font color=orange>ENG:</font> to burn
sin dientes	<font color=red>CHP:</font> at k'ara\n<font color=blue>AYM:</font> jan k'amani\n<font color=orange>ENG:</font> toothless
con dientes gastados	<font color=red>CHP:</font> at pjasara\n<font color=blue>AYM:</font> k'ama yastata\n<font color=orange>ENG:</font> with small worn teeth
boca	<font color=red>CHP:</font> ata\n<font color=blue>AYM:</font> laka\n<font color=orange>ENG:</font> mouth
puras palabras (sin hechos)	<font color=red>CHP:</font> ata alajja\n<font color=blue>AYM:</font> inak arusi\n<font color=orange>ENG:</font> just talk (no action)
orgulloso	<font color=red>CHP:</font> atinaru\n<font color=blue>AYM:</font> atinaru\n<font color=orange>ENG:</font> proud
ganar, vencer	<font color=red>CHP:</font> atipz\n<font color=blue>AYM:</font> atipaña\n<font color=orange>ENG:</font> to win, to defeat
escapar	<font color=red>CHP:</font> atipz\n<font color=blue>AYM:</font> t'ijtaña, t'ijtas atipaña\n<font color=orange>ENG:</font> to escape
poder	<font color=red>CHP:</font> atñic̈ha\n<font color=blue>AYM:</font> atiña\n<font color=orange>ENG:</font> to be able to
hacer, preparar	<font color=red>CHP:</font> atñic̈ha\n<font color=blue>AYM:</font> kisu luraña\n<font color=orange>ENG:</font> to make, to prepare
labio	<font color=red>CHP:</font> atpulu\n<font color=blue>AYM:</font> phisphi\n<font color=orange>ENG:</font> lip
adobe	<font color=red>CHP:</font> atupi\n<font color=blue>AYM:</font> atuwi\n<font color=orange>ENG:</font> adobe, mud brick
recorrer	<font color=red>CHP:</font> atz̈a\n<font color=blue>AYM:</font> suchuña\n<font color=orange>ENG:</font> to travel through
