abajo	Uray, ukhu
amarrar palos	Ch'atay
amasar	Q'apiy, ñatuy
ambrosía (planta), artemisa	Markhu
amigo(a), compañero	Masi, wawqi, ñaña
amparar, proteger, defender	Amachay
ampolla	Suphullu
amuleto	Illa
analfabeto	Ñawsa
anaranjado	Quri q'illu, puka q'illu, chiwanway
anciana	Paya, yuyaq, mamaku
anciano	Machu, yuyaq, machula
andenes	Pata pata
andrajoso	Chhachu, thanta
anémico	Upichu
ángulo	K'uchu, ch'ullpa
anillo, sortija	Siwi
animar	Kallpachay
ano	Uquti
anochecer	Ch'isiyay, tutayay
antes	Qayna
antes, primero	Ñawpaq
antiguo	Machu, ñawpa
año	Wata
apacheta	Apachita, q'asa
apaciguar	Amachay
apagar fuego	Wañuchiy, thasnuy
apagar la sed	Thasnuy
apartar	Anchuy
apedrear	Ch'aqiy
aplanar	Pampachay
aplaudir, dar palmadas	T'aqllakuy
apoderarse	Kaqnichakuy
aprender	Hap'iy, yachay
aprehender	Hap'iy
aquel, aquella	Chaqay
arado, tirapié	Taklla, chaki taklla
araña grande, tarántula	Apasanqa
árbol	Sach'a
árbol frutal	Mallki
arcilla, greda	Llanka
arcilla comestible	Ch'aqu, phasalli
arco	Iris K'uychi
arder	Rawray
arder herida	K'aray
ardilla	Waywacha
arena	Aqu, t'iyu
arete	Tulumpi
arista	Tupra
armadillo	Kirkinchu
arrastrarse, reptar, deslizarse	Suchuy, lat'ay, lluqay
arrear	Qatiy
arriba	Hanaq, wichay, pata
arrodillarse	Qunqurikuy
arrojar, botar	Wisch'uy
artemisa (planta), ambrosía	Markhu
arvejas	Alwirhas
asado	Kanka
asamblea	Huñunakuy
asco (tener ___ )	Millakuy
asno	Asnu
asfixia	Mukiy, hiq'ipay
asiento	Tiyana
asperjar, rociar	Ch'allay, ch'aqchuy
atado, bulto	Q'ipi, khipu
atajar	Hark'ay
atar, amarrar	Watay
atadito, manojo	Mayt'u
atocar	Llamkhay
atorarse	Chakachikuy
atraer jalando	Aysay
atragantar	Chakachikuy
atrás, último	Qhipa, wasa
aumentar	Miray, yapay
autoridad	Kamachiq
ave centinela	Liqi liqi
avestruz, ñandú	Suri
avispa	Urunquy
axilas	Wallwak'u
ayer	Qayna p'unchaw
ayuda prestada, contrato	Mink'a
ayudar, colaborar	Yanapay
azada	Ruk'ana
azadón	Allachu
azufre	Sallina rumi
azul	Anqas
baba, flema	Llawsa
bailar	Tusuy
bajar	Uraykuy
bajo	Huch'uy
bañarse	Armakuy
bandera	Wiphala
barba	Sunkha, sapra
barbechar, roturar terreno	Chakmay, yapuy
barbilla	K'aki
barrer, borrar, limpiar	Pichay
barro	T'uru
bastante	Achka, llasaq, nanaq
bastón	Tawna
basura	Q'upa
batán	Maran
batea de mate	Anqara
batido de quinua	P'isqi
batir	Qaywiy
bayeta	Wayita
bebé	Wawa
beber, tomar	Upyay, ch'unqay
beber licor	Machay
begonia	Achanqaray
berro	Uqururu
besar, adorar	Much'ay
bienvenido	Hampuy
bilis	Hayaqin
bizco	Lirq'u
blanco(a)	Yuraq
blando	Llamp'u
boca	Simi
bocio	Q'utu
bola	K'umpa, rump'u
boleadora	Riwi
bolitas	Chuwi
bolsa para coca	Ch'uspa
bolsa grande, talega	Wayaqa
bombo	Wank'ar
bonito	Munay
bóñigas ovaladas	Taqya, uchha
borde, orilla	Pata, muyuriq
bosque	Sach'a sach'a
bostezar	Hanllariy
brasa	K'illimsa, sansa
brazada	Marq'a
brazo	Maki
brillar	K'anchay, llipipipiy, achikyay
brindar	Quy, t'inkay, ch'allay
brotar	Phuturiy, ch'ichiy
brujo	Layqa, paqu
búho	Tuku
burlarse	Allquchakuy, k'umuchiy, sarunchay, ullpuchay
burro	Asnu
caballo	Kawallu
cabello	Chukcha
cabeza	Uma
caca, heces fecales, excremento	Aka
cacto	Waraqu, kichka
cada uno, una	Sapanka
cadáver	Aya, wañusqa
cadera	Thiqni, chaka tullu
caer	Urmay
caerse estrepitosamente	Laq'akuy
café (color ___ )	Ch'umpi
cagar	Akay
caigua	Achuqcha
cal, piedra caliza	Isku
calabacín	K'usi
calabaza	Puru, lakawiti
calandria	Tuya
calcular	Tantiyay
calentar	Q'uñichiy, kañay, ruphachiy
caliente	Q'uñi, ruphaq
callado	Amu, ch'in
callar	Ch'inyachiy
camarón	Yukra
camaroncillo negro	Ch'ichi, unu piki
camellón	Wachu
camellones	Waru waru
caminar	Puriy
caminar de 4 patas	Lat'ay, lluqay
camino, vía	Ñan
camiseta	Unku
camote	Apichu
canjear, trocar	Chhalay
canal	Pincha, rarqa
canasta	Isanka
canchón	Kancha
cangrejo	Apanquray
canicas, bolitas	Chuwi
cansancio	Sayk'uy
cantar, canción	Takiy
cántaro	Chatu
cántaro alargado	P'uyñu
cántaro para cargar chicha	Mak'as
cántaro para jalar agua	Chatu
canto agrícola	Wanka
canto triunfal	Haylli
cantuta	Qantu
caña de maíz	Wiru
cañahua	Qañiwa
capatáz	Khipu, llamk'achiq
cara	Uya
caracol	Ch'uru
caramelo	Misk'i
carbón	K'illimsa
carcomido	Mullphasqa, mullpha
carencia	Muchuy
cargar	Apay, q'ipiy
carnaval	Pukllay
carne	Aycha
casa	Wasi
casarse	Masachakuy, kasarakuy
cascabel (instrumento musical)	Chanrara
cascada	Phaqcha
cáscara	Qara
cáscara de cebada	Chhapa
castaño (color)	Ch'umpi
castigar	Maqay, wanachiy, hasut'iy
catar, degustar	Malliy
catarata, nube de los ojos	Quyru
catarro, gripe	Chhulli
catre	Kawitu, puñuna
causa o motivo	Chay hawa
caverna, cueva	Mach'ay, qaqa wasi, chinkana
caya (oca deshidratada)	Khaya
cazar	Chakuy
cebada	Siwara
cebolla	Siwulla
cecina, chalona	Ch'arki
ceniza	Uchpa
centellear	K'anchay, llipipipiy
centena	Pachak
centro	Chawpi
cepillar	Llaqllay
cerámica	Sañu
cercano	Qaylla, kaylla
cerco, corral	Kancha
cerda	Ch'awar
cerdo	Khuchi
cereal cocinado	Phata, phatasqa
cerebro, seso	Ñutqhun
cernícalo	K'illichu
cernidor, cedazo	Suysuna
cerrar	Wichq'ay
cerro	Urqu
césped	K'urpa, ch'ampa
chacra, cultivo	Chakra
chairo (plato)	Chayru
chancar	Ch'aqiy
chala, tallo seco de maíz	Chhalla
chalona	Ch'arki
charango	Charanku
charapa (tortuga de río)	Charapa
chicha	Aqha, aswa
chicchipa, hierba aromática	Chikchipa
chispa	Pinchi
choclo	Chuqllu
choza	Ch'uklla
chuño	Ch'uñu
chuño blanco	Muraya, tunta
chupar	Ch'unqay
chupe de chuño, chairo	Chayru
cicatríz,	K'illa
ciego	Ñawsa
ciempiés	Pachak chaki
cien	Pachak
cifra	Khipu
cigarra	Q'isqis
cintura	Wiqaw
círculo	Muyu
ciudad	Llaqta
claridad	Sut'i, ch'uya
coágulo	Llukllu
cobarde	Waqati
cobre	Anta
coca (3 hojas de ___ )	K'intu
cocinado al vapor	Phasi
cocinado	Chayasqa, wayk'usqa
cocinar	Wayk'uy
codo	Kuchuch
codorníz	Yuthu
coger	Hap'iy
cojo	Hank'a, wiqru, wist'u
cola	Chupa
colar	Ch'umay, suysuy
colina (cerro)	Chupa
collar	Wallqana
colli (variedad de árbol)	Qulli
color	Llimp'i
colorear	Llimp'iy, tullpuy
columpio	Wayllunku
comadreja	Achuqalla, qataycha, chukuru
comer	Mikhuy
comida espesa de harinas	Phiri
compañero(a)	Masi, wawqi, ñaña
completo	Hunt'a
comprar	Rantiy
comunidad	Ayllu, (hawa llaqta)
condenado	Kukuchi
cóndor	Kuntur
conducir	Pusay, aysay
congelado	Qasasqa
conjuntivitis	Willkachuqa
cono	Chuqu
conocer	Riqsiy
conquistar	Atipay, llalliy
consejero (anciano ___ )	Awki, yuyaychakuq
contagiar mal	Ratachiy, unquy hap'ichiy
contrato	Mink'a
conversar, dialogar	Rimanakuy, rimay
convidar	Quy
convivir extramaritalmente	Qhilli kawsay
corazón	Sunqu
cordillera, jalca	Suni
corona de flores	Pillu
coronilla	Mukuku
corral	Kancha
correa	Chumpi
correcto	Chanin, chiqan
correr, volar	Phaway
cortadera (planta)	Niwa
cortar	Kuchuy, wit'uy, rutuy, k'utuchiy
cortar en rodajas	Q'allay
corte de pelo	Rutuchiy
cosecha (café)	Pallay
cosechar con segadera	Rutuy
cosecha de maíz	Kallchay
cosechar arrancando	T'iray
cosechar tubérculos	Allay
coser	Siray
costa (región…)	Chala
costurar	Siray
crear	Kamay, ruray, paqarichiy
crecer	Wiñay, hatunyay
creer	Iñiy
crespo	K'upa
cría	Uña
criado con biberón	Chita, chitasqa
crin	Ch'awar
criar ganado	Uyway
cristal	Qispi
crucero, abra	Apachita
crudo	Chawa, hanku
cruz	Chakata
cruzar	Chimpay
cuál	May, mayqan
cuándo	Hayk'ap
cuánto	Hayk'a
cuatro	Tawa
cubo	Machina
cubrir, envolver	Ch'uwiy, p'istuy
cucharón	Wislla
cuidado que …	Paqtataq
cuidar	Rikuy, qhaway, michiy
cuello	Kunka
cuento, narración	Hawariy, ñawpa willakuy
cuernos, astas	Waqra
cuero	Qara
cuerpo cilíndrico	Tuquru
cuerpo geométrico	Pirwa
cueva	Mach'ay, chinkana
cuidar ganado	Michiy, qhaway
culebra	Mach'aqway
culpa	Hucha
cuña	Chillpa
curandero	Hampikuq, paqu
curar	Hampiy
cuy	Quwi
cuy macho	Kututu
dar	Hayway, quy
dar a luz, parir	Wachay
dar fuerzas	Kallpachay
decena	Chunka
decir, hablar	Niy, rimay
declamar	Yarawiy
dedo	Ruk'ana
defecar	Akay
defender	Amachay, hark'ay
degustar	Malliy
degollar	Nak'ay
dejar	Saqiy
delgado	Ñañu
delirar	Musphay
demasiado	Ancha, sinchi, nanaq
demonio	Supay, saqra
dentro, interior	Ukhu
derecha	Paña, alliq
derretir, remojar	Chulluy, apiyay
desabrido	Q'ayma
desatar	Paskay
desbastar	Llaqllay
descripción	Sut'inchay, riqsichiy
descubrir	Kamay, tariy
desenlazar	Paskay
desgranar	Muchhay, iskuy
deshacer	Paskay
deshierbar	Quray
deshonesto	Map'a
desigual	Ch'ulla
desleído	Api
desleir	Muk'uy
deslindar	Ch'uyanchay
desmenuzable con los dedos	Phapu
desmenuzar	Khakuy
desmenuzar a golpes	Q'asuy, maruy, k'upay
desorejar	Mut'uy, qhuruy
despedida	Kacharpariy
después…	Hinaqa
desterronar	Q'asuy, maruy, k'upay
detener	Hark'ay, sayachiy
detenerse	Sayay
deteriorado	Mawk'a
deuda	Manu
devolver	Kutichiy
día	P'unchaw
diablo	Supay, saqra
diafragma	Wisq'an
diálogo, asamblea	Rimanakuy
diarrea, disentería	Kursus, yawar q'ichay
dibujar	Siq'iy
dientes	Kiru
diez	Chunka
dificultar	Sasachay
difunto	Aya, wañusqa
dinero, plata	Qullqi
dios tutelar	Apu
discutir	Ch'aqway
disentería	Kursus unquy
dislocadura	Wiqu, q'iwisqa
distante	Karu
dirigente	Umalliq
doblar	Pataray, Kawpuy
doler	Nanay
dolor	Nanay
dominico (ave), china linda	Allqamari, aqchi
dónde	May, maypi
doña, señora	Mama
dormir	Puñuy
dos	Iskay
dulce, caramelo	Misk'i
duro, seco	Qhuru, chuchu, ch'aki
él, ella	Pay
echar	Hich'ay, talliy, wisch'uy
echarse de cúbito ventral	Thallay
elegante, elegancia	K'acha
él mismo	Kikin
embarazada, preñada	Unquq, chichu
embarcación, bote	Wamp'u
embarrar arrojando	Laq'ay
emborracharse, embriagarse	Machay
embustero	Atuq, llulla, yukakuq
emplasto	Q'ipichasqa
empujar	Tanqay
enano(a) y gordo(a)	T'inri
enantes	Ñaqha
encima	Pata
encuentro	Tinkuy, tarinakuy, tupay
endurecer	Ch'akiy, rumiyay
en medio	Chawpin, kuskan
enemigo	Awqa
energía	Kallpa
enfermedad	Unquy
enfermero	Hampikuq
enfriarse (grasas)	Tikayay
engañador	Atuq, yukakuq
engañar	Yukay
enlucir, embarrar	Llut'ay
enojado	Phiña
enrollar, ovillar	Kururay, khiwiy
ensartar	Llutkhuchiy, sinriy
ente, existente	Kaq
enterrar	P'ampay
entonces…	Hinaqa
entrar	Yaykuy
en vano	Yanqa
envasar	Hillp'uy, hunt'achiy
enviar, remesar	Kachay, apachiy
enviar encomienda	Suchiy
envidia, envidiar	Ch'ikikuy, chiqnikuy,
envolver pita o lana	K'uyuy
envolver cuerpos	Ch'uwiy, p'istuy
época, tiempo	Mita
equivocarse, errar	Pantay
erosión terrena o carnal	Mikhuy
eructar	Khasay
escabullirse	Llutkhuy
escaldadura	Llillisqa
escapar	Ayqiy, qispiy
escarabajo	Aka tanqa
escarbar	Hasp'iy, allay
escarcha	Chhullunku
escarmenar	T'isay
escocer	Siqsiy
escoger, seleccionar	Akllay, pallay
escogidas (las ___ )	Akllakuna
esconder	Pakay
escribir	Qillqay
escuela	Yachana wasi
escupir, esputo	Thuqay
escurrir	Ch'umay
ese, esa	Chay
esfera	Rump'u
esférico (objeto)	K'umpa
esófago	Millp'uti
espacio	Pacha
espalda	Wasa
espantapájaros	Manchachi
esparcir cereales	T'akay, wisniy
espejo	Rirp'u
esperanza	Suyapakuy
esperar	Suyay
espina, espino	Kichka
espinilla	Muchi
espíritu	Nuna
espíritu de los cerros	Apu, awki
esposo	Qusa
esputo	Qhutu, thuqay
esquilar, repelar	Rutuy
esquina de tejidos	Ch'ullpa
esquina	K'uchu
estaño	Yuraq titi, chayanta
éste, ésta, este	Kay
estera de totora	Q'isana
estiércol apisonado	Khanka
estirar	Chutay, aysay
estrecho	K'ichki
estrella	Quyllur
estreñimiento	Aka ch'aki
exágono regular	Machina
excremento	Aka
excremento de ovinos y camélidos	Taqya, uchha
excremento de vacunos	Q'awa
explosionar	T'uqyay, phatay
exprimidas (hojas ___ )	Hawch'a
exprimir	Ch'irway,
extender	Mast'ay
extraviar	Chinkay
fábula	Aranway
faja, correa	Chumpi
faldellín de criaturas	Phalika, p'istu
fastidiarse	Amikuy
femur	Phaka
feo	Millay
feroz	Manchakuna
festejar	Kusikuy, raymichay
feto	Sullu
fiambre	Quqaw
fibra, lana	Millwa
fiesta (ritual)	Raymi, kusikuy p'unchaw
fila (ponerse en ___ )	Sinrichakuy
filósofo	Amawta
flaco, delgado	Tullu
flamenco	Pariwana
flauta, quena	Pinkullu
flauta de madera	Arqa
flauta de pan, zampoña	Antara, siku
flecha de arco	Wach'i
flema	Llawsa
flor	T'ika, wayta, sisa
fogón	Q'uncha
fontanela	Pukyun, mukuku
forraje, hierba tierna	Q'achu
fortalecer	Kallpachay
fortaleza	Pukara
fósil	Rumiyasqa
fractura, quebrado	P'akisqa
frazada	Qatana, chusi
freir	Thiqtiy
frente	Mat'i
frijoles	Purutu
frío	Chiri, ch'uñu
frotar, sobar	Qhaquy, hawiy, llusiy
fruta	Misk'i ruru
fruto	Ruru
fruto de un cacto	Sank'ayu
fuego	Nina
fuera	Hawa
fuerza	Kallpa
fundar, crear	Paqarichiy, kamay
gallareta	Chhuqa
gallina	Wallpa
gallinazo	Suwa q'ara, suyuntuy
gallito de los	Andes Puku puku
gallo	K'anka
ganado	Uywa
ganar, vencer, conquistar	Atipay
ganso andino	Wallata
garrapata	Hamak'u
garrote, porra	Maqana
garúa	Iphu
gas, vapor	Wapsi
gatear	Lat'ay, lluqay
gato	Misi
gato montés	Titi misi, usqullu
gavilán, halcón	Waman, Anka
gaviota	Qillwa
gelatinoso, natado	Llukllu
gente, persona, hombre	Runa
germinar, brotar	Ch'ichiy, phuturiy
gigantón (cacto)	Hawaq'ullay
girar	Muyuy
girar cuerdas, cola	Maywiy
glúteo	Siki
golondrina	Khallwa, wayanay
goloso	Hillu
golpear	Maqay, takay
golpear en batán	Chamqay
golpear terrones	Maruy, q'asuy
gordo, gordura	Wira, rakhu runa
gorrión	Pichitanka, pichinku
gorro con orejas	Ch'ullu
grado o año de estudios	Ñiqi
granadilla	Apinquya
grande, alto	Hatun
granizar	Chikchiy
granizo, granizada	Chikchi
gratitud	Añaychay
greda	Llanka
grillo	Ch'illiku, ch'illi k'utu
gripe	Chhulli unquy
gris	Ch'iqchi, uqi
gritar	Qapariy
grueso	Rakhu
grueso en lanas y molienda	Chhaku
grupo, reunir	Huñuy, tantay, t'aqa
guanaco	Wanaku
guano	Aka, wanu
guardar	Waqaychay, churay
guardián de chacras	Arariwa
guayabo	Sawintu
guiar, acompañar	Pusay
gusano	Kuru
haba	Hawas
haba sancochada	Phuspu
hacer girar	Maywiy
hacha	Champi
halar	Aysay
halcón	Waman, anka
hambre	Yarqay
harina, harinoso	Hak'u, kuta
harto	Achka, llasaq, nanaq
hartarse	Amikuy
hastiarse	Amikuy
heces fecales	Aka
hechicero	Layqa
helada	Qasa
hembra (plantas y animales)	China
herida, llaga	K'iri
hermana de la mujer	Ñaña
hermana del varón	Pana
hermano del varón	Wawqi
hermano de la mujer	Tura
hervir	T'impuy, chhallchay
híbrido alpaca llama	Warisu
hierba aromática	Asnapa
hierba silvestre	Qura
hielo	Chhullunku
hierro, metal	Q'illay
hígado	Kukupin, k'ipchan
hija del varón	Ususi
hijo del varón	Churi
hilar	Puchkay
hinchar	Punkiy
hipar	Hik'iy
hito	Saywa, qurpa
hoja	Rapi
hollín	Qhichincha
hombre	Runa, qhari
hombro	Rikra
hondonada, cóncavo	P'ukru
hongo comestible	K'allampa, quncha
hormiga	Sisi
horqueta	Tanka
hoy, ahora	Kunan
hoz, segadera	Ichhuna
hozar	Uksiy
hueco	Hutk'u, t'uqu
huella	Yupi
huérfano	Wakcha
hueso	Tullu
huevo, óvulo	Runtu
huir	Ayqiy, chinkay, k'itakuy
húmedo	Api, huq'u
humillar, burlarse	K'umuchiy, sarunchay, allquchakuy
humita	Humint'a
humo	Q'usñi
huracán, remolino	T'uyur wayra, muyu wayra
hurra	Haylli
idéntico	Kikin
identificar	Kikinchay, tariy
igualar	Chaninchay, kuskachay, paqtachay
imaginarse	Yuyaychakuy
impar	Ch'ulla
impúdico	Map'a
imputar, inculpar	Tumpay
incendiar	Kañay, ruphachiy
inconcluso	Allqa
inocente	Llumpaq, mana huchayuq
insípido, desabrido	Q'ayma
insultar	K'amiy
inteligente	Umayuq
intercambiar	Chhalay
intestinos	Ch'unchull
inúltilmente	Yanqa, qasi
inventar	Kamay, paqarichiy
invitar	Mink'akuy
invocar	Waqyay
ir, caminar	Riy, puriy
isaño, mashua (tubérculo)	Añu
ispi (pececillo)	Ispi
izquierdo(a), zurdo	Lluq'i, Ichuq
jaguar	Uturunku
jalar	Aysay, chutay
jardín acorralado	Muya, inkill
jaspeado	Saqsa, ch'iqchi
jora para chicha	Wiñapu
jorobado	Qhupu
joven, muchacha	Sipas, p'asña
joven, muchacho	Wayna, maqt'a
jugar, practicar deporte	Pukllay
juntar, reunir	Huñuy, tantay
juntarse	K'askay, ratakuy, huñunakuy, tantanakuy
justicia (hacer ___ )	Chaninchay, paqtachay
justo	Chanin
labios	Wirp'a
labrar en piedra	Ch'iquy
ladera, pendiente	Kinray, qhata
ladrar, ladrido	Kanikuy
lagartija	Qaraywa
lago, laguna	Qucha
lágrima	Wiqi
lamer	Llaqway, llunk'uy
lana	Millwa, ñañu sapra
langosta	Tinti
llanto	Waqay
lanzar, arrojar	Wisch'uy
lápiz	Qillqana k'ullucha
largo	Sunin
laringe	Tunqur
lavar cosas	Maqchiy
lavar manos o pies	Mayllay
lavar ropa	T'aqsay
lavarse la cara	Uphakuy
leche	Ñukñu, ñuñu
lechuza	Ch'usiq
leer	Ñawinchay
legaña	Ch'uqñi
lejía para masticar coca	Llipt'a
lejos	Karu
leña	Yamt'a
lengua	Qallu
lengua oral	Rimasqa simi
levantar	Huqariy
levantarse, rebelarse	Hatariy, sayariy
ley	Kamachiy
libélula	Chukcha k'utu, q'ara tisi, tisi tisi
liberar, perdonar	Qispichiy, lluqsiy, pampachay
libro, texto	Liwru, qillqasqa mayt'u
liendre	Ch'iya
límite, lindero	Qurpa, saywa
limpiar, borrar	Pichay, ch'uyanchay
linaje, casta	Panaka
lindo	Munay
liso, resbaloso	Lluchk'a
listo, vivaracho	K'uchi
litro, medida de capacidad	Winku
llaga	K'iri
llama, camélido sudamericano	Llama
llamar	Waqyay
llanura, terreno plano	Pampa
llaulli (planta)	Llawlli
llenar líquidos a otro envase	Hillp'uy, hunt'apay
lleno	Hunt'a
llevar	Apay
llevar bajo el sobaco	Lluk'iy
llorar	Waqay
llovizna	Iphu
lluvia	Para
lóbrego	Laqha, tutayaq
lograr	Atipay, tariy
lombriz, solitaria, tenia	K'uyka
loro	K'alla, uritu
lucero, venus	Ch'aska
luciérnaga	Pinchin kuru, nina kuru
lúcuma	Lukma
luego…	Hinaqa
lugar	Hawa
luna, mes	Killa
luxación	Wiqu, wist'u
macho	Urqu
machucar	Chamqay
madera	K'ullu
madero	Kurku
madre, mamá	Mama
maduración, madurar	Puquy
madurar	Paruyay
maguey	Paqpa
maycha (planta), ramilla	Maych'a
maíz	Sara
maíz cocinado y seco	Chuchuqa
maíz sancochado	Mut'i
maíz tostado	Hamk'a, kamcha
mala hierba	Qura
malaria, terciana	Chukchu
maldecir	Ñakay
malvado	Millay, supay, saqra,
manantial	Pukyu
manchado	Allqa
manco	Willu maki
mandar	Kachay, apachiy
maní	Inchik
mano	Maki
mano del batán	Tunaw
mano del mortero	Qulluta
manojo	Mayt'u
manosear	Llamkhay, q'apiy
manta	Lliklla
mantilla de cabeza	Chukulli
mantilla de espalda, capeta	Phullu
mantita para fiambre	Khipuna
mañana	Paqarin, minchha
mar, océano	Lamar, mama qucha
marchitar	Naq'iy
marearse, perder control	Muyunayay, uma muyuy
mariposa	Pillpintu
mariposa nocturna	Taparaku
marrón (color)	Ch'umpi
más	Astawan
mashua (tubérculo)	Añu
masticar	Khamuy, k'utuy
matrimonio	Masachakuy
mayor	Kuraq
mazamorra	Lawa, api
mazorca	Chuqllu
mear, orinar	Hisp'ay
mediano	Taksa, tinku, malta
médico	Hampikuq
médula, tuétano	Chillina
memoria	Yuyay
menor en edad	Sullk'a
menos	Pisi, aslla
menospreciar	K'umuchiy, allquchakuy
menstruar	K'ikuy
mentira, mentiroso(a)	Llulla
mentiroso	Nina qallu
mentón	K'aki
menudo	Huch'uy, ñut'u, khullu
mercadillo, (día de) plaza	Qhatu
mes	Killa
mesa	Misa
metal	Q'illay
metro	Thatkiy
mezclar	Chaqruy
miedo (tener), espantarse	Manchakuy
miel de abeja	Wanquyru misk'i
millar	Waranqa
millón	Hunu
mina	Qhuya
mirar, observar	Qhaway, rikuy
mochuelo	Paqpaka, ch'usiq
moco	Ñuti, qhuña
mojado	Api
moler	Kutay
molino de piedras	Qhuna
mono	K'usillu
montera	Muntira, chuku
montón	Qutu
montón protegido	Phina
morado	Kulli, q'uyu
moraya (chuño blanco)	Muraya
morder	Kaniy, k'utuy
morder cosas semiduras	Khachuy
morir	Wañuy
mortero	Mutk'a
mosca	Ch'uspi
moscardón	Tankayllu
mote	Mut'i
moteado, manchado	Allqa, Ch'iqchi, muru
mover	Kuyuy
muchacha	P'asña, sipas
muchacho	Maqt'a, wayna
mucho	Achka, ancha, nanaq
mudo	Amu, mana rimaq
mugre	Khanka
mugriento	Wiswi
mujer, esposa	Warmi, mama
mujer aseñorada	Mamaku
multiplicar, reproducir	Miray
murciélago	Masu
mutilar	Mut'uy, willuy
muy, mucho	May, ancha
nacer	Paqariy
nada	K'ata
nadar, flotar	Wayt'ay, tuytuy
nalgas	Siki
nariz	Sinqa
nata	Llukllu
natación	Wayt'ay
neblina	Pacha phuyu
negro(a)	Yana
nervio	Hank'u
nevar	Rit'iy
nido	Q'isa
nieto(a)	Willka
niña	P'asñacha, irqi
niño	Maqt'acha, irqi
no (negativo)	Mana
no (prohibitivo)	Ama
noble, distinguido	Riqsisqa, hatunkaray
noche	Tuta
nodriza	Wawa uywaq
nube	Phuyu
nube de la vista	Ñawi phuyu, quyru
nuca, cogote	Much'u
nudo	Khipu, muqu
nudos estadísticos	Khipu
nuera	Qhachun
nueve	Isqun
nuevo, nueva	Musuq
obedecer, obediencia	Kasukuy, uyarikuy
objeto de arcilla	Sañu
observar	Rikuy, qhaway
oca (tubérculo)	Uqa
oca deshidratada	Khaya
océano	Lamar, mama qucha
ocho	Pusaq
ocioso(a), flojo(a)	Qilla
ocultar	Pakay
odiar	Chiqniy
ofrecer	Hayway, munachiy
oír, escuchar	Uyariy
ojos	Ñawi
ojota	Usuta, llanki
oler, olfatear	Mutkhiy
olla	Manka
olluco, papa lisa	Ulluku
olor	Q'apay
olor desagradable	Asnay
ombligo	Pupu
orar	Mañakuy
ordenar	Kamachiy, ñiqichay
ordeñar	Ch'away
orejas	Rinri
orilla de río	Mayu pata
orilla de laguna	Qucha pata
orina, orinar	Hisp'ay
oro	Quri
ortiga	Kisa
oscuro	Laqha, tutayaq
oso	Ukuku, ukumari
otro	Huk, wak
ovacionar, vitorear	Haylliy
oveja	Uwiha
ovillar	Kururay
ovillo	Kurur
óvulo	Runtu
oxidado	Kurusqa q'illay
padecer	Ñak'ariy
padre, don, sacerdote	Tayta
página	Rapi, uya
país	Mama llaqta
paja	Ichhu
paja brava	Iru
pájaro	Pisqu
pájaro bobo	Waqsalli, waq'ana
pájaro carpintero	Hak'akllu
palangana	Puruña
palmadas	T'aqllakuy
palo	K'aspi
paloma	Urpi
palpar	Llamiy, llamkhay, tupapayay
palta, aguacate	Paltay
paludismo	Chukchu
pampa	Pampa
pan	T'anta
panal	Lachiwa
