a'ạjtaba'	Mata caballo.
ạrajtac	Nueve.
arajyequi	Casi llega a algún lugar.
ạ́raraj	Cuervo.
are'	Lastimado.
are'jiti	Se lastimo.
are'ĉa	Cuidado.
are'ĉa mi	Ten Cuidado.
are'sijti	Se lastimó.
are'sijtiĉa'	Nos lastimamos.
are'redye'	Enfermedad.
are'reij	Estar adolorido, enfermo.
are'reyequi	Sentir el dolor al comienzo de una enfermedad.
a'rerety-res	Inútil, sin valor cosas mal hechas.
arosh	Arroz.
aroshdye'	Tiempo de arroz.
aroshdyes	Chaco para sembrar arroz.
aroshsi' vej	Semilla de arroz.
arosh ĉochactyi'	Arroz pelado.
ạ'ru'	Ave pequeño jabadito.
aseijte	Aceite.
asoca	Azúcar.
ashyedye'	Amabilidad.
ashyity	Amable.
ashnen'yi	Mirar con desprecio.
ashaba'	Árbol, corocho.
áshasha	Limón.
ataj	Relación de tío y sobrino.
atava	Gallina.
a'tum	Que tiene dueño.
a'tum	Que tiene cuerpo.
a'tumsi'	Cosa que tiene dueño o cuerpo.
a'tumtyi'	Propietario.
a'tui'	Hacerse dueño de algo.
átsa	Callapo.
átsaij	Hacer callapo.
atsij	Viene.
atsijban	Volver, regresar, retornar.
atyu'	Ya, listo.
atyu' nash	Ya está.
ạvyi'	Grito de la gallina.
avyi	Grito del gallo.
ạva'	Niño, hijo, cría.
ạva'jeyacsi-tucsi	Entenado.
ạvadyes	Muñeca o juguete para los hijos.
ạva'tucdye'	Ahijado.
ạva'tum	Estar en cinta, embarazada.
ạva'tute -tui'	Adoptar, criar como hijo.
ạva'ye'	Engendrar, embarazar.
ạva'yi'	Embarazarse, tener hijo.
avaro'	Loro.
avujre'	Chuchío grande.
ạyajtrij	Pez bagre.
ạ'yaij	Tener relaciones sexuales.
ạ'yatuqui	Tener relaciones sexuales con su pareja.
ạ'yatui'	Tener relaciones sexuales con otra pareja.
ạ'yaty - yas	Que tiene dueño.
ayidye'	Venida.
ayidye' mu'	Su venida.
ayij	Viene.
ayijban'	Volver, regresar.
ayo'	Jefe, Señor, presidente.
ayo' bu'yi	Gobernar.
ayo' bu'yedye'	Reino, gobierno del pueblo.
ayosha	Buna, tucandera.
ayotuqui	Enseñorean.
ayotute	Valorar como Dios.
bába	Abuelo, el viejo, el respetado, autoridad antigua.
baba	Instrumento utilizado para fabricar marico.
bach	Boyé, boa.
báchona	Ciervo.
bachraty-ras	Pálido anémico.
bachra'jodye'	Anemia.
bachra'joij	Enfermarse de anemia.
bajna'	Algodón.
bajnadye'	Algodonal.
bam'dye'	Matriz, útero.
bam'dye'ĉan	Dentro de matriz o útero.
bạn'ĉhịj	Saber bien hacer algo.
bạn'ĉhịj yita'raqui	Sabe jugar bien fútbol.
banacjeyaqui	Pelarse la piel de uno mismo.
banacjiti	Pelarse.
ba'nai'	Resbaloso.
ba'naty- nas	Ligoso, ligosa.
ban'tyity	Animal maltón (macho).
ban'sis	Animal maltón (hembra).
ban'tyity	Persona joven (varón).
ban'sis	Muchacha.
bañe'	Tacuarilla.
baquits	Colgar algo.
baquitstyeij	Cruzar, pasar por encima de algo.
baquitsjeyaqui	Colgar algo lo que es de uno mismo.
basdyi'	Dar a luz.
basdyidye'	Dar a luz, parir.
basdyidyes	Remedio que se usa cuando se da a luz.
bastaqui	Dar a luz fuera de la casa viaje, hospital, etc.
ba'ŝhuty	Sin fuerza, débil.
bashujshuij	Estar triste, sin fuerza.
bataj	Pálido.
bạtaty-tas	Pálido, enfermo.
bataij	Empalidecerse.
batadye'	Palidez.
bataj	Hongo, oreja de palo.
batajta'	Mariposa.
bạv'joij	Rebalsar, desborde del río.
bayacje'	Sacar un pedazo de carne u otra cosa.
bayacjeyaqui	Sacar un pedazo de carne u otra cosa de si mismo o de su propiedad.
báyera	Canoso, anciano.
bayi'yiij	Tener enfermedad de la piel (lepra).
bayi'yidye'	Enfermedad de la piel.
bejq̂ui'	Paquío árbol.
bejq̂uitujsi	Lugar donde abunda paquío.
bejq̂uituityi'	Hombre que recolecta el fruto de paquió .
bejrai'tyi	Montón Ej: de huesos, chuchío, palo u otra cosa.
beshrety'- res	Sarco.
beshrety vej	Ojo sarco.
bets	Lagaña, materia del ojo.
betsij, betseja'	Tener lagaña, materia en los ojos.
bejve ịvaj	Luna en cuarto menguante.
bej tsun	Por la tarde.
be'be'	Chapapa (trampa para peces).
be'beyaqui	Entablillar (brazo o pierna) fracturado.
be'yi	Balar, mugir, sonido que hace la vaca.
bibaqui'	Quiebran huevos los pollitos para salir.
bibijoij	Avispa cazadora negra.
bicaquis	Agria, ácida.
bícoroi'	Sepes con alas.
bicuc	Amargo, fruta u otra cosa.
biĉun'	Torcer, doblar una cosa.
biĉun'jeyaqui	Torcer algo que le pertenece.
bịcuquity- quis	Agrio ácido.
bij	Hacha de piedra.
bijbi	Hombro.
bíjodye'	Premio o ganancia.
bíjoij	Cazar animal, ganar algo, canear.
bijoij	Carnear algún animal.
bijtacdyes	Pólvora para cargar cartuchos.
bijtaqui	Cargar algún objeto sobre un medio de transporte.
bijti	Subirse, embarcarse en un medio de transporte.
bim'ta'	Bejuco trepador.
binca'	Raíz en forma de tubérculo que es comestible.
bir	Golondrina.
bịbin	Cotorrita.
bị́rish	Loro pequeño, pacúla.
biquij	Asegurar el anzuelo con la liñada de pescar.
biruruc	Paja, pasto.
bisacsi' -tyi'	Cosa esperada.
bisacsi	Persona que espera a otras personas.
bisaqui	Esperar.
bista'	Picaflor pequeño.
bịtatu'	Hongo, oreja de palo.
bitsan'je'	Torcer.
bịv'biv'yi	Canoa sobrecargada.
bịvijviij	Hundir, sumergir canoa.
bo'	Hongo blanco en forma de sombrero.
bọj	Perdiz de serranía.
bọjca'	Barro, lodo.
bojmo'	Pez parecido a sábalo.
bojvaqui	Subir o montar lo que es de uno.
bojvaquis	Escalera.
bojvedye'	Camino que va hacia arriba, subida.
bojvi	Trepar, subir.
bojvity	Trepador.
bonaqui	Tocar flauta propia.
bonoja	Pez como sábalo.
bojno'ta	Fruta silvestre (uvillo).
boñedye'	Flauta.
boñej	Hueso largo de la pierna (fémur).
boñi	Tocar flauta.
boñij	Águila.
bopyi	Tomar agua de algún lugar agachándose.
boptŝoij	Caerse de cara o de nariz.
bọro'fe	Perdiz pequeño del monte.
bọroijje'	Soltar alguna cosa.
botsocje'	Soltar pita, etc.
bubaqui', bubacdye' jac	Terremoto, temblor de la tierra.
buben'je'	Jalar.
bubutajjeyaĉan	Llamar el espíritu de los niños cuando están asustados.
bucan'je'	Mezclar algún líquido.
bucaj	Jahusi.
bu'cje'	Echar tierra.
bucaqui	Echar tierra encima de algo.
bucjeyaqui	Ensuciar con polvo o tierra.
bucjeyacsi	Lanzar polvo o tierra a otra persona.
búquiti	Polvo que entra en los ojos.
bucuj	Bibosi.
bu'chai'	Con barro, fangoso.
bu'chas	Barro, lodo.
buchruty -rus, buchruij	Color ceniza, plomo.
bui'si'	Yuquilla, raíz utilizada para remedio para mujeres que no quieren tener hijos.
bui'tyi'	Palo, balsa blanco.
buj	Sonido de motor.
bujtyeij	Andar rápido.
bujyi	Encender, funcionar (motor).
bujjeyaqui	Hacer funcionar algo propio (motor).
bujjjuityij	Motor funcionando.
bujsaqui	Cubrir con hojas, techar.
bujsuij	Tapado.
bujsuty - sus	Cosa cubierta o tapada.
bujtaqui	Hacer funcionar un motor.
bujtyu'	Loma.
buju'juij	Sonido de máquina funcionando.
búma	Hilo o lana.
bu'maty	Raya pintada.
bụnajje'	Volar, desparramar avispas.
bụna'naij	Volando, bandada de aves.
bunush	Casi ciego.
buñi'	Cosa que esta popís o estar con mohos.
bundye'	Moho, popí.
bur'je'	Rodar tronco u otra cosa.
bureij	Invalidar.
bureijtyi'	Invalido.
bụru'joij	Tener pitaí.
bụrụtụi'	Visitar cada rato, casi todos los días.
busje'	Tapar con algo.
busjeyaqui	Tapar, esconder, con hojas algo propio, etc.
busyedyety	Velo, cortina.
bushnuty	Ciego, Persona Que No Puede Ver.
bu'tacdye'	Mosquitero.
buvacje'	Llenar, rebalsar algún líquido.
bäcäj	Ardilla.
bäĉhäctyi'	Dominado.
bäĉhäi'	Manejar, pilotear, conducir, controlar, dominar.
bäĉhäqui	Manejar algo propio.
bäĉhäityi'	Conductor, piloto, chofer.
bäĉhätety	El que conduce.
bäijnity	Calvo.
bämräij	Desvelado.
bämrä'naqui	Con mucho sueño.
bämräty	Que tiene ojos chinos.
bän'	Lleno.
bän'je'	Llenar.
bän'jeyaqui	Llenar vasija que es propio.
bänäcyi	Ronco.
bänäjnäs	Poso con agua.
bä́nedye'	Llenura, inundación.
bä́ni'	Aumentar el río o llenarse.
bäv	Lleno (estómago).
bävyu'ti	Llenarse mucho.
bävñäij	Calvo.
bä'va'joi'	Mujer sentada.
bä'yaquis	Silla, asiento.
bä'yedye'	Comunidad, pueblo, ciudad.
bä'yis	Pañal para envolver niños.
bä'yi	Sentarse.
bä'ja'	Quedarse a vivir.
ca'baqui	Aplaudir.
cabajte	Llevar alguna cosa u objeto.
caban'	Se la llevó.
cabuti'	Llévame, llévamelo.
cabut	Llévame.
cabu'tyum	Vamonos, caminemos.
cacajmaqui	Polilla, insecto que carcome madera.
cạcdyes	Carga o cosas para llevar.
ca'co'	Muela.
cac̣háqui	Apretar caña con mordaza.
cachaquis	Mordaza.
cachje'	Pisar, apretar.
ca'c̣haij	Apretado, caer debajo de algo.
cac̣ha'naqui	Masticar.
cacha'nacdyety	Para masticar (chicle).
cachtacdye'	Marca.
cachtaquis	Sello.
cachtaqui	Sellar.
cafo'naquis	Batidor.
cafon'je'	Batir.
cafonje'	Mezclar.
cafontye'	Batir hacer mezcla.
cạ'idye'	Riñón.
cạ'ij	Camote.
cạ'ijca'ij	Bejuco, camotillo.
cạji'si'	Planta, raíz usado en remedio para el ojo.
cại'tyi'- si	No que lleva, que guía.
cajcai'	Alzar de paso.
cạjijcai'	Llevar, algo.
cajno	Cuervo.
cajñete	Pasarle en una carrera.
cạjñere'	Balsa (palo, peréa).
cajotyiti	Angustiado, fatigado, preocupado, asustado.
cajsaja'	Víbora (capitán).
cạjsare'	Pez, dorado.
cajtafa'	Jatata.
cajtyityij	Hormiga.
cam'	Callarse, dejar de hablar.
cama'naqui	Revolcarse en el suelo, voltear objeto.
caman'jeyaqui	Darle vuelta.
caman'yi	Darse vuelta.
camaquis	Destruido por polilla.
cạ́mara'	Turiro, nido de tupiros.
cạ́marai'	Comido por tupiros.
cambiyoj	Cambiar, hacer cambio.
camin	Secreto, hacer huir en secreto.
camintui'	Sorprender.
canacdye'	Payuje (plátano sancochado).
canaqui	Hacer payuje, sancochar plátano.
ca'ñiti, ca'ñibun	Volver, regresaren medio camino.
cañon	Cañón de arma.
ca'baqui	Aplaudir.
cại'	Llevar.
carajojnaqui	Gritonear decir palabras ofensivas.
carajpe'	Manguarí (ave).
carau'	Morder.
carav'je'	Morder algo.
cara've'	Mordiéndolo.
carav'tac	Mordido.
carav'yi	Muerde.
carav'yity	Mordedor.
cara'vaqui	Morder, masticar.
careto	Carretón, rueda de movilidad.
carij	Difícil.
carijsis	Problema, cosa difícil.
carijdyei'	Un poco difícil.
carijyi	Dañinear.
carijyity	Dañino, ladrón.
carijtacdye'	Trabajo.
carijtaqui	Trabajar.
carijtyeyete	Trabajar para otra persona, hacer trabajo de otro.
caron	Galón, vasija para líquido.
carsona	Pantalón.
cas	Rodilla.
cash	Quebrar.
cashje'	Machucar o golpear.
cashan'dyij	Sonido de masticar hueso (tigre, perro).
cáshaqui	Machucar, golpear (calucha u otra cosa).
ca'shaqui	Cuando niega la arma no revienta el cartucho.
cashti	Bajar sobre el río, ir río abajo.
cashve	Río abajo.
cashvety	Del río abajo.
cashĉanya'	Más abajo sobre el río.
catiĉa'	Llevar a otro animándolo por una cosa.
cạtsare'	Totaí.
cạvdyis	Dulce.
cavacdyi'	Muy dulce.
cạveja'	Mirar, observar.
cạvedye'	Ventana.
cavi	Mirar.
cavinje'	Hacerlo apurado, ligero o rápido.
cavinyequi	Regresar rápido.
cavintuqui	Utilizar la cosa ante de lo previsto Ej: Comer plátano antes de que esté cocido.
cavintum	Hacer rápidamente.
cavinyeva	Apúrate.
cavinyi	Apurarse.
cayaj	Piedra grande, roca.
caya'dij	Dueño del chancho tropero nombre mitológico.
cayaya'	Bejuco.
cạyete	Llevar algún objeto o cosa a otro.
caye'	Llevar algún objeto o cosa para otra.
cáyei'	Sucha, buitre.
cayi'	Color bien nítido.
co'co'sis	Calzado, zapato.
cọ'co'yi	Silbo o silbido de mono.
cocaj	Coca (planta).
coco'	Garrapata.
co'co'	Aurora cabeza azul.
cọcojsi'	Brujo, sabio.
cọcojsi'naqui	Que hace la brujería.
cocojsi'naquity	Falso brujo.
coco'vanej	Murciélago, vampiro.
cocha'nactyi'	Masa.
cocha'naqui	Amasar, harina, mezcla para hacer pan.
cochan'je'	Amasar.
cochen'	Agarrar todos juntos.
co'chi	Gallinero.
cochij	Chancho, cerdo.
cọc̣hinọ	Cuchillo.
cojchi'ro	Carau.
cọc̣hivi'	Lorito.
cọ́c̣hojc̣ho'	Peto chuturubí.
cochop	En círculo.
coc̣hop yu'tye'	Circundar, rodear.
cọdacdye'	Pedido.
cọdaqui	Pedir, orar.
codaqui jii'dye'	Pedir permiso, pase, salida.
cọ́di	Cola de animal.
cọdaqui	Pedir algo.
cọdyetaqui p̂eyacdye'	Preguntar, hacer preguntas.
cofjiti	Vestirse, ponerse la ropa.
coftyity	Camiseta.
coi'dyii'	Barriendo.
cọi'dye'	Arco (para flechar).
coi'dyij	Barrer el patio.
cọijbun	Dar una jira y llegar al mismo lugar.
cọtoije'	Dar vuelta.
cọijti	Vueltear, girar.
cọijtis	Hélice, cosa que jira.
co'jeyaqui	Ponerse zapato, guante, media.
cojiro	Río.
cojma	Almendrillo.
co'moij	Envuelto en algo.
comomon'je	Envolver cosas.
comon'jeyaqui ava'	Envolver al niño en el pañal.
comora	Flecha con punta de bola (butucúm).
con'	Mario de maíz.
co'naij	Palo seco caído.
cóne'ijtyi'	Víbora cascabel.
cóne'ij	Planta leche, cascabel de víbora.
conojfoto'	Ochoó.
conoya	Pájaro carpintero.
co'ñe	Hojas nuevas de planta, retoño, cogollo.
co'ñeij	Árbol que le sale hojas nuevas (retoñando).
cópinaty	Palometa real.
coracdye'	Remo.
co'raqui'	Hacer chicha de maíz.
co'ractyi'	Chicha de maíz.
cordyij	Remar.
corin'yi'	Ruido de palo seco que se quiebra.
córishij	Fríjol.
co'ro'	Pez, carancho color amarillo.
corocoroj	Ibis cara pelada.
córoi'	Gusano quemaquema.
co'roi'	Algo podrido (yuca).
coroma	Abeja, miel de abeja o de caña.
corpa	Millo, remedio natural para curar enfermedades (hechizos).
cos	Cigarro.
cos	Planta de tabaco.
co'shaij	Quemar.
co'shaqui	Quemar chaco.
cóshaqui	Horadar, perforar.
cóshaquis	Broca, herramienta para horadar.
co'shifore'	Lagarto.
coshi'shii'	Objeto, cosa que se orada de vieja.
coshje'	Quemar.
coshje'	Romper, horadar, pinchar.
cosho'dyij	Hacer bulla (humano o animal).
cosho'dyij in	Reír, hacer ruido cuando están tomando.
cọshor'yi	Hacer ruido con hojas secas.
coshoshoi'tyi in	Murmullo de grupo de personas.
coshtaqui	Prender fuego o quemar chaco.
coshte'	Lograr ensartar con flecha.
co'taqui	Ensartar carnada en el anzuelo.
cotej	Totachi.
cọtoij	Circulo.
cọtoijyequi	Dar vuelta o torcer.
coijti	Girar.
cọtso'je'	Agarrar fuerte (animal o persona).
cọtyij	Pez bagre.
cọtyicotyidyei'si'	Color amarillo.
cọtyícotyi	Bejuco con espinas, usado para teñir hilo (color amarillo).
covamba	Canoa, casco.
coi'dyi	Barrer.
cọyevodye'	Algodón de color moreno (natural).
coyo'daqui	Limpiar chaco después de quemar, basurear.
coyojyo'	Curucusí, luciérnaga.
co'vodye'	Chuchío para hacer flechas.
cubaqui	Exprimir frutas.
cubaquis	Exprimidora de fruta.
cube'	Exprime las frutas.
cu'dye'	Animal, ave doméstico.
cu'dyeij	Criar animales.
cu'dyetui'	Amansar, domesticar animales.
cudyiti	Orar, pedir, adorar.
cui'bujbui'	Remanso chico.
cuj	Carbón.
cujcujje'	Golpear algo que suena, tocar bombo.
cujjajiti	Herir con cuchillo.
cujje'	Golpear, dar sonido a un tambor o bombo.
cujij	Personaje mitológico del pueblo chimane dueño de las aves.
cum	Sardina.
cum	Barbecho, chaco abandonado.
cum'jeyaqui	Echar líquido en una vasija.
cumrety, cumres, cumreij, cumrei'	Cilindrico, esférico.
cu'na'	Pacay.
cudyiti	Pedir, orar.
cupjeyaqui	Exprimir ropa, etc.
curijtu'	Mariposa negra.
curuij- rui'	Carne en descomposición que come el buitre.
curuj	Buitre.
cusha'shaij	Ruido que se escucha en el monte, murmullo de hojas secas (cuando se pisan).
cushin'dyi	Nombre de un río.
cu'shiti, ti'	Enfangarse en el barro.
cushruij -i'	Color del tigre pintado.
cushyi'	Fangoso.
cushushuj bu'yi	Conectado.
cutudye'	Mango, cabo de herramienta.
cuvij, quivij	Otra vez.
cuvijje'	Repetir, hacer de nuevo, repasar.
cäbun	Cambiarse, ponerse ropa.
cächcächsis sánacdye'	Escritura o letra cursiva.
cächje'	Empalmar, añadir.
cächyetŝọij	Acoplar al grupo.
cä'chacdye'	Rompecabezas, cosa añadida.
cä'chaqui	Añadir.
cä'chacsi'	Cosa añadida.
cä'chacdyes	Rompecabezas.
cä'chaqui	Armar añadir cosas.
cäc̣hen'je'	Seguir a otra persona, estar siguiendo.
cächä'	Seguir a una persona.
cäc̣hä'chui'	Seguir a una mujer.
cächä'ĉhute	Seguir a un hombre.
cä'chäij	Seguir los pasos de otra persona.
cächmäty-mäs	Defectuoso.
cächtacdye'	Algo añadido, multipiso.
cächtaqui	Añadirá la largura.
cächti'	Unión, añadidura.
cädäty	Sin pelo.
cädäj	Desnudo.
cädäij	Sin ropa (pobreza).
cäi'säij	Tener dientes completos.
cäi'tsij	Enrollado, curvo.
cäj	Mal puesto, mal hecho, errado.
cäjdäi', cäjdäij	Terreno limpio o persona desnuda.
cäjdäi'ya', cäjdäi've	En el patio.
cäjdäiya'	Patio de la casa.
cäjdäjdäij	Estar sin ropa desnudo.
cäjdä'däi'	Andar sin ropa.
cäjje'	Herrar, fallar.
cäjve	A un lado.
cäjya'	Lejos de casa, en medio monte.
cäjyas aca'	Casa sola medio del monte.
cạ̈n	Agonizar de alguna enfermedad.
cänai'	Al revés, volcado.
cänäij	Tener puchichi (orzuelo) cerca del ojo.
cänäj	Cresta del gallo.
cạ̈nä'naqui, cạ̈nä'ñe'	Cercarse para hacer un compromiso de pareja.
cän'jete	Invitar a tomar agua, chicha, etc.
cän'taqui tŝij	Atizar fuego.
cänjọij	Agonizar, que ya no puede hablar.
cän'taqui	Armar trampa u otra cosa.
cạ̈r'je'	Acercase a una persona u otra cosa.
cäshị́r'je'	Arrugar (dañar) papel.
cätac	Pongan se la ropa.
cätidye'	Plantación.
cäti	Sembrar plantines.
cätin'dye'	Dolor de mordedura de víbora, o picadura de insectos, etc.
cạ̈ts	Igual, exacto, emparejado, perfecto.
cäts	Machetear, cortar.
cäts cati	Desarrollar al mismo nivel que otro.
cätsbäij - bäi'	Delgado, flaco, flaca.
cätsbäty -bäs	Persona delgada, animal flaco.
cätsben'yetac	Enflaquecerse.
cätsben'yetaqui	Enflaquecer.
cätsen'je'	Aplanar piso.
cätsetaqui	Conclusión de un contrato o de un compromiso.
cätsi	Cumplir, concluir.
cätsii'je'	Doblar o torcer alguna cosa.
cätsje'	Machetear, cortar.
cätsyu'taqui	Igualar, comparar.
cäts yụ'taqui	Anivelar.
ĉabaqui	Doblar hojas para el techo de la casa.
ĉabits	Doblada.
ĉabitssis	Que esta doblada.
ĉabitsje'	Doblar.
ĉabi'tsaqui	Doblándolo.
ĉạijya'	Barranco hondo, profundo en la tierra.
ĉajnaij	Cantidades de bichos.
ĉa'joij	Huir o escapar.
ĉa'joye'	Huir o escapar de algo o de alguien.
ĉa'jotaqui	Huir, escapar algo propio.
ĉanam'	Cinco.
ĉanaj	Cantidad o abundancia.
ĉanajje'	Tener mucha deuda.
ĉanajjeyaqui	Tener acumulado mucha cuenta.
ĉaptacdye'	Doblez de ropa.
ĉaptaqui	Poner doblez a la ropa.
ĉatjete, ĉa'tete	Dar puñete o manazo a otra persona.
ĉat yi	Dar puñete.
ĉa'tsaqui	Arrollar, acomodar como cama.
ĉatsdyiĉan	Corva de la pierna, detrás de la rodilla.
ĉatsjeyaqui	Doblar, arrollar en medio.
ĉatsin'jete	Doblar o torcer (clavo).
ĉau'que'	Espantar.
ĉav'caqui	Hacer escapar.
ĉobaqui, ĉobe'	Observar el lugar para realizar alguna actividad.
ĉochactyi'	Arroz pelado.
ĉo'chaqui, ĉochje'	Zunchar algo con palo.
ĉochaqui'	Moler en el tacú.
ĉodichyi	Dar un trampolín.
ĉodichmuñij	Dar vueltas al caer.
ĉodoi'je'	Doblar, hacerlo curvo.
ĉodoi'yi'	Cimbrar.
ĉof	Ponerse la ropa.
ĉoi'jeyaqui	Doblar.
ĉoi'doty - dos	Torcido, curveado.
ĉojcaqui	Cuidar.
ĉojcaquity	Cuidante o casero.
ĉojĉo	Ajipa raíz, raíz tubérculo comestible.
ĉojquiqui	Ir a visitar.
ĉojtyi'	Corazón.
ĉom' sis	Desportillado.
ĉom'jeyaqui	Desportillar.
ĉom'ñi' ve	Esquina, rincón.
ĉo'naqui	Enlazar o enlazando.
ĉo'naquity	Enlazador.
ĉon'je'	Desnucar, quebrar.
ĉoñin'je'	Tragar.
ĉoñi'naqui	Tragar la saliva por desear algo.
ĉoqui	Creer, hacer planes en vano, imputar.
ĉọ́qui	Creer erradamente, tener fe, confianza en, hallar, estar al tanto de, sentir.
ĉọshaquis	Catre.
ĉọshaquity	Estera, ropa para dormir.
ĉọshdye'	Hora de dormir, siesta.
ĉọshdyes	Dormitorio.
ĉọpshequi	Ir a dormir.
ĉoshi	Dormir.
ĉroshtuti	Persignarse, hacer señal de la cruz.
ĉo'taqui	Enlazar.
ĉoti'	Guayaba.
ĉotidyei'	Guayabal.
ĉucdyi'	Visítame.
ĉuchyi, ĉuchjete	Golpear pelota con la cabeza.
ĉuchyi	Toro que golpea con la cabeza.
ĉụi', ĉụi' mọmo'	Cada uno por su propia cuenta.
ĉui'	Uno mismo.
ĉui'	Envano.
ĉụi' me'taqui	Ser orgulloso.
ĉụi'dye	De por si.
ĉụi'dyety tuqui	Hacerse dueño.
ĉụi'dyes tuqui	Adueñar.
ĉụi' dyestui'	Adueñar de lo ajeno.
ĉụi'tui' - tute	Bochinchero, incapaz.
ĉujcan	Alguien que te cuida.
ĉujcati	Cuidarse.
ĉujcatiĉa'	Cuidemos.
ĉuquin	Te visitó.
ĉuñupyi	Volcar canoa.
ĉuri, ĉúreja'	Roncar.
ĉupyi, ĉupĉupyi	Aletear.
ĉurĉurdyi- ĉureva'joij	Roncando.
ĉushaquity	Mosquitero.
ĉush	El sueño.
ĉushdyi'	Visítame.
ĉushi'shij	Con sueño, tener sueño.
ĉushtyiti	Dormirse cuando uno está realizando alguna actividad.
ĉúti	Darse cuenta.
ĉútiĉa'	Darnos cuenta.
ĉútidye'	Creencia, fé.
ĉuv'	Nudo de caña, chuchío, chonta, etc.
ĉär'je'	Encerrar.
ĉä'räij	Cerrado, encarcelado.
ĉär'taqui	Pegar la puerta con candado.
ĉär'taquis	Cárcel, prisión.
ĉärtaquisĉan	Está en la cárcel.
ĉäsjeyaqui	Ponerse gorra, sombrero.
ĉäsyis	Gorra, sombrero.
ĉästaqui	Enlazar.
ĉästacdye'	Corona.
ĉästaqui	Ponerse sombrero (gorra) a la cabeza.
ĉätdye'	Dolor picadura de (víbora, peto, hormiga, raya).
ĉätij	Picar (ají, sentir sol caliente, arder).
ĉävädye'	Pez bagre, toro.
chac	Unidad o suelto.
chac jo'meij	Muy parecido.
chacan'je'	Freír.
chaca'nacdye'	Frito.
chaca'naqui	Fritar.
cha'cacsebity modyin	Dentista.
cha'caqui	Sacar, arrancar, desarmar.
cha'caquis	Destornillador, saca clavos, etc.
cha'caquity	Mecánico.
chacjeyaqui	Sacar, quitar los zapatos.
chacna'naij	Arma (viejo, todo suelto.
cha'e'	Pacú.
chaijcoco	Perdiz pico rojo.
chajaj	Ave, tapacaré.
chajvacdye'	Palizada en río.
cha'vaqui	Tapar hueco con palos.
cha'vetye'	Tapar el hueco con palos cuando el animal se encuentra dentro.
cham'ĉhucdye'	Batidor.
chaman'je'	Apalancar.
chamaqui	Ave que busca alimentos dentro del agua (garza morena).
chamte	Visitar con la intención de unirse a una familia.
cham'je'	Apalancar con remo, batir o mezclar comida.
chaman'je'	Apalancar.
cham'taquis	Palanca.
chanaj	Varias espinas que entran al cuerpo.
chan'je'	Morder alimentos.
cha'ñe'	Animales que toman agua o-comen alimentos rápidamente.
chapa'taqui	Hacer callapo, enyugar bueyes.
chapqui	Nadar.
cha'raty	Animal con cuerno.
chạrara'	Ave, martín pescador.
