a	vocal baja central.
achjayaña	Azuzar. Incitar al perro para que ataque. <span foreground="#228B22">Sinón:</span> <i>wujskataña.</i>
achkataña	<span foreground="#228B22">verbo intransitivo.</span> Adherir. Pegarse, unirse una cosa con otra. <span foreground="#228B22">Sinón:</span> <i>lip'kataña.</i>
achsuña	<span foreground="#228B22">verbo intransitivo.</span> Sacar llevando con los dientes (acción propia del perro).
achthapiyaña	<span foreground="#228B22">verbo transitivo.</span> Acoplar. Unir entre sí dos piezas de modo que ajusten exactamente.
achhikhiw!	Interjección de dolor producido por espina o calor.
achu	<span foreground="#228B22">sustantivo.</span> Fruto. Producto de los vegetales.
achulla	<span foreground="#228B22">sustantivo.</span> Zarigüeya.
achulla	<span foreground="#228B22">sustantivo.</span> Romana de vara, se usa poco <span foreground="#696969">(Fuente: Pedro Miranda, Diccionario Breve Aymara-Castellano y Castellano-Aymara, La Paz, 1970)</span>.
achuma	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> (<i>opuntia ficus indica haw)</i>. <span foreground="#228B22">sustantivo.</span> Cactus real. Este cacto llamado también <i>yawar qullu</i>, goza de mucha estima pues se dice que sana muchas enfermedades <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
achumuchuña	<span foreground="#228B22">figurado.</span> Hacer huir lejos a mordiscos, propio de la llama macho a otro por la hembra. <span foreground="#228B22">Sinón:</span> <i>achumukuña.</i>
achuniña	<span foreground="#228B22">verbo intransitivo.</span> Traer alguna cosa el perro del otro lado a éste.
achunukuña	<span foreground="#228B22">figurado.</span> Hacer huir lejos a mordiscos, propio de la llama macho a otro por la hembra.
achuntaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo intransitivo.</span> Introducir llevando con los dientes.
achuntaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo intransitivo.</span> Crecer las plantas profusamente.
achuña	<span foreground="#228B22">verbo intransitivo.</span> Vegetar. Producir. Rendir un terreno productos.
achuña	<span foreground="#228B22">verbo transitivo.</span> Acción de llevar con la boca.
achuña	<span foreground="#228B22">verbo intransitivo.</span> Mantenerse en equilibrio una cosa de base inconsistente sobre algo.
achusiña	<span foreground="#228B22">pronominal.</span> Morderse los labios protestando o amenazando a alguien.
achupalla	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> (<i>puya herrerae harms</i>). Planta bromeliácea de cuyas raíces se fabrica la <i>chhaxraña</i> o peine usado por las mujeres. <span foreground="#228B22">Sinón:</span> <i>qära.</i>
achupalla	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Las pesas de la balanza <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
achupaya	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Ananá, piña. Planta bromeliácea de pulpa amarilla, exquisito aroma y sabor <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
achuqalla	Mamífero carnicero, comadreja (<i>agilis tschudy</i>). <span foreground="#228B22">Sinón:</span> <i>muru yuqalla, chayi.</i>
achuqalla	<span foreground="#228B22">sustantivo.</span> Rito, al concluir el techado de la casa, algunos voluntarios se retan y luego se azotan encargándose entre sí, simulando atacar para ahuyentar a los espíritus malos que por el momento habitan la nueva casa.
achuqaña	<span foreground="#228B22">verbo transitivo.</span> Morder una parte.
achuqaña	<span foreground="#228B22">verbo intransitivo.</span> Lograr dar fruto la planta.
achuqara	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Garrapata. Parásito que ataca a la llama u oveja <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
achuraña	<span foreground="#228B22">verbo transitivo.</span> Quitar llevando con la boca.
achutataña	<span foreground="#228B22">verbo transitivo.</span> Dar mordidas instantáneamente varias veces el perro.
achthapiña	<span foreground="#228B22">verbo transitivo.</span> Morder. Clavar los dientes en una cosa. <span foreground="#228B22">Sinón:</span> <i>jankhiña, p'ataña.</i>
achthapiña	<span foreground="#228B22">verbo intransitivo.</span> Lograr pegarse dos cosas, como el imán.
achüxa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Huerto <span foreground="#696969">(Fuente: María Luisa Valda)</span>.
achuxcha	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> (<i>cyclanthera schrad</i>). Planta cucurbitácea que ya fue cultivada por los antiguos aymaras, que empleaban sus frutos en la alimentación. Actualmente a más de sus frutos que se usan en la alimentación, se emplean sus raíces <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>. <span foreground="#228B22">Sinón:</span> <i>jachuxcha.</i>
achuyaña	<span foreground="#228B22">verbo transitivo.</span> Hacer llevar con la boca.
achuyaña	<span foreground="#228B22">verbo intransitivo.</span> Hacer vegetar, hacer que prospere la planta.
achxaruña	<span foreground="#228B22">verbo transitivo.</span> Abocar. Asir con la boca. <span foreground="#228B22">Sinón:</span> <i>achthapiña.</i>
ajalla	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Principal. Persona que se considera importante <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
ajanu	<span foreground="#228B22">sustantivo.</span> Cara. Rostro, semblante. <span foreground="#228B22">Sinón:</span> <i>uñanaqa, uñnaqa.</i>
ajaña	<span foreground="#228B22">verbo intransitivo.</span> Carraspear.
ajaña	<span foreground="#228B22">verbo transitivo.</span> Reñir, disputar.
ajara	<span foreground="#228B22">sustantivo.</span> Quinua silvestre.
ajaraña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo intransitivo.</span> Envejecer insensiblemente. Vejez prematura <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
ajarankhu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Alacrán. Arácnido venenoso en cuya cola <span foreground="#228B22">vocablo antiguo.</span> el aguijón ponzoñoso <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
ajayu	<span foreground="#228B22">sustantivo.</span> Espíritu. <span foreground="#228B22">Sinón:</span> <i>jañayu <span foreground="#660099">(Aroma)</span>.</i>
ajayu	<span foreground="#228B22">sustantivo.</span> Alma. Viveza, energía.
ajllu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo y sustantivo.</span> Tartamudo. <span foreground="#228B22">Sinón:</span> <i>ajlla, khakha.</i>
ajipa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Tubérculo de fruto comestible, de pulpa lechosa y sabrosa <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
ajlliña	<span foreground="#228B22">verbo transitivo.</span> Escoger. Seleccionar.
ajllsuña	<span foreground="#228B22">verbo transitivo.</span> Entresacar. Sacar una cosa, producto o un animal entre otras, seleccionándola.
ajnu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Ser suave de carácter apacible. Animal domesticado.
ajnuña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Amansar, domesticar, domar animales salvajes.
ajra	<span foreground="#228B22">adjetivo y sustantivo.</span> Papa o papas grandes de la mejor clase.
ajt'ayaña	<span foreground="#228B22">verbo transitivo.</span> Enlazar a un animal. <span foreground="#228B22">Sinón:</span> <i>ajuntaña.</i>
aju	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Gargantilla, collar, cinta de colores que en ciertas fechas (carnavales, espíritu, etc.), se acostumbra poner en el cuello de corderos y llamas pequeñas <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
ajunta	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Manco Capac)</span> <span foreground="#228B22">sustantivo.</span> Cabestro muy bien engalanado que se pone a la llama que se sacrifica para la <i>Pacha Mama</i> en el mes de agosto.
ajunta	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Murillo)</span> Especie de cabestro que se hace con una soga y que se coloca en el cuello a las mulas muy ariscas <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
ajuntaña	<span foreground="#228B22">verbo transitivo.</span> Colocar en el cuello algo como guirnaldas o cosas parecidas.
ajuntayaña	<span foreground="#228B22">verbo transitivo.</span> Hacer colocar en el cuello algo como guirnaldas o cosas parecidas.
ajuña	<span foreground="#228B22">verbo transitivo.</span> Colocar en el cuello.
ajusa	<span foreground="#660099">(de castellano)</span> <span foreground="#228B22">sustantivo.</span> Ajo. <span foreground="#228B22">Sinón:</span> <i>pullu <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.</i>
aka	Pron. Dem. Éste, ésta, esto.
akana	<span foreground="#228B22">adverbio.</span> Acá, aquí. <span foreground="#228B22">Sinón:</span> <i>akjaru.</i>
aka pacha	<span foreground="#228B22">sustantivo.</span> Este mundo. Planeta tierra.
aka pacha	Actualidad, este tiempo. <span foreground="#228B22">Sinón:</span> <i>jichha pacha.</i>
akärsa	<span foreground="#228B22">adverbio.</span> Este momento.
akatjamata	<span foreground="#228B22">adverbio.</span> De repente. Súbitamente. <span foreground="#228B22">Sinón:</span> <i>akatjamataki.</i>
akatjamata	<span foreground="#228B22">sustantivo.</span> Azar. Hecho fortuito. Casualidad. Suceso inesperado, imprevisto. <span foreground="#228B22">Sinón:</span> <i>jani amtatata.</i>
akawja	Este lugar.
akäka	<span foreground="#228B22">adjetivo.</span> Estos lugares.
akäxa	<span foreground="#228B22">adjetivo.</span> Adyacente. Contiguo. <span foreground="#228B22">Sinón:</span> <i>jak'a.</i>
akch'a	<span foreground="#228B22">adjetivo.</span> Demostrativo, dimensión de un objeto.
akchamaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Dar órdenes, mandonear <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
akchaña	<span foreground="#228B22">sustantivo.</span> Tan feo <span foreground="#660099">(Aroma)</span>.
akch'alala	<i>Akch'alaki</i>. <span foreground="#228B22">adjetivo.</span> <span foreground="#228B22">sustantivo.</span> Tan pequeño. Signo de descontento.
akch'ataqi	<span foreground="#228B22">adjetivo.</span> <span foreground="#228B22">sustantivo.</span> Tan grande. Gigantesco.
akilla	<span foreground="#228B22">sustantivo.</span> Vaso, cáliz de oro o de plata.
akjalala	<span foreground="#228B22">adverbio.</span> Tan poca cantidad. Signo de descontento.
akjama	Como éste.
akhama	<span foreground="#228B22">adverbio.</span> Asa. Así. De esta manera.
aksäxa	<span foreground="#228B22">adverbio.</span> Este lado.
aksäxa	<span foreground="#228B22">adverbio.</span> Detrás de esta pared.
aku	<span foreground="#228B22">sustantivo.</span> Gofio. Harina de algunos cereales molidos después de tostados, «pito».
akuchaña	<span foreground="#228B22">verbo transitivo.</span> Hacer gofio de los cereales tostados.
akuña	<span foreground="#228B22">verbo intransitivo.</span> Comer gofio.
aku jupha	<span foreground="#228B22">sustantivo.</span> Una variedad de quinua especial para gofio.
akuthaya	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Especie de pasteles que después de prepararse con harina de cereal tostado y agua azucarada, se hacen pasar por la helada <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
akhulli	<span foreground="#228B22">sustantivo.</span> Momento de acullicar coca con un motivo especial.
akhulli	Breve descanso en el trabajo, sea en la mañana o en la tarde, en que se sirve un poco de coca o comida.
akhulliña	<span foreground="#228B22">verbo intransitivo.</span> Mascar coca, no es triturar, es mantener las hojas de la coca intacta entre los dientes y la boca, y aprovechar en la saliva el zumo de las hojas de coca eliminando la cocaína con la <i>llujt'a</i>.
ala	<span foreground="#228B22">adjetivo.</span> Comprador, -ra. El que compra algo. <span foreground="#228B22">Sinón:</span> <i>aliri, alasiri.</i>
ala	<span foreground="#228B22">sustantivo.</span> Compra. <span foreground="#228B22">Sinón:</span> <i>althapi.</i>
ala	<span foreground="#228B22">sustantivo.</span> Precio. Valor. <span foreground="#228B22">Sinón:</span> <i>chani.</i>
alakipa	<span foreground="#228B22">participio pasivo.</span> <span foreground="#228B22">adjetivo.</span> Comerciante.
alakipaña	<span foreground="#228B22">verbo intransitivo.</span> Comerciar. Comprar y vender con el fin de obtener ganancia.
alala	<span foreground="#228B22">adjetivo.</span> Álgido, -da. Frígido, -da. <span foreground="#228B22">Sinón:</span> <i>ch'uch'u, ch'uñula <span foreground="#660099">(Aroma)</span>.</i>
alalpacha	Frio mismo.
alalaw!	Interjección que expresa frío. <span foreground="#228B22">Sinón:</span> <i>alalay!.</i>
alaña	<span foreground="#228B22">verbo transitivo.</span> Adquirir, comprar.
alasaya	<span foreground="#660099">proviene de</span> alaya saya. <span foreground="#228B22">sustantivo.</span> Parcialidad.
alasaya	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Norte, punto cardinal <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
alasita	<span foreground="#228B22">verbo recíproco.</span> Cómprame. // <span foreground="#228B22">participio pasivo.</span> Comprado.
alasita	<span foreground="#228B22">participio pasivo.</span> Comprado para sí, lo comprado.
alasita	<span foreground="#228B22">sustantivo.</span> Feria anual de miniaturas que se realiza en la paz, cada 24 de enero, en honor al ídolo de la abundancia.
alasita	Cómprame.
alata	<span foreground="#228B22">adjetivo.</span> Comprado.
alawi	<span foreground="#228B22">sustantivo.</span> Comercio. Lugar de comercio.
alaxa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Somero, ligero, superficial <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
alaxa	<span foreground="#228B22">adverbio.</span> Arriba, parte superior. <span foreground="#228B22">Sinón:</span> <i>araxa, alaya.</i>
alaxa pacha	<span foreground="#228B22">sustantivo.</span> Cielo. Espacio infinito, azul de día y poblado de estrellas por la noche. <span foreground="#228B22">Sinón:</span> <i>laqampu.</i>
alaxpacha	<span foreground="#228B22">sustantivo.</span> Todo el cielo. Todo el espacio infinito.
alaxpacha	<span foreground="#228B22">sustantivo.</span> Todo frío. Algo frío.
alaxrana	La parte alta. <span foreground="#228B22">Sinón:</span> <i>alaxräna, alayrana.</i>
alaxu	<span foreground="#228B22">adjetivo.</span> Frío. Muy frío.
alaya	<span foreground="#228B22">adjetivo.</span> Alto, -ta. Levantado, elevado sobre la tierra. <span foreground="#228B22">Sinón:</span> <i>altuptayata <span foreground="#660099">(de castellano)</span>.</i>
alaya saya	<span foreground="#228B22">No estandarizado.</span> Parcialidad arriba. <span foreground="#228B22">Sinón:</span> <i>araxa saya.</i>
ali	<span foreground="#228B22">sustantivo.</span> Planta de tamaño mediano. Nombre genérico de todo lo que vive adherido al suelo por medio de raíces.
ali	<span foreground="#228B22">sustantivo.</span> Yema o brote de la papa y otros vegetales. <span foreground="#228B22">Sinón:</span> <i>alicha.</i>
alichaña	<span foreground="#228B22">verbo transitivo.</span> Desyemar. Quitar las yemas de las semillas.
ali jacha	<span foreground="#228B22">sustantivo.</span> Resina.
alinku	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Brote de la papa <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
aliña	<span foreground="#228B22">verbo intransitivo.</span> Vegetar. Germinar, nutrirse, crecer y desarrollarse las plantas. <span foreground="#228B22">Sinón:</span> <i>achuña.</i>
aliña	<span foreground="#228B22">verbo intransitivo.</span> Inclinar.
aliqa	<span foreground="#228B22">adjetivo.</span> Quieto, -ta. Que no tiene o hace movimiento. <span foreground="#228B22">Sinón:</span> <i>inakt'iri, aykaya <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.</i>
aliqa	<span foreground="#228B22">adjetivo.</span> Simple, común. <span foreground="#228B22">Ejem:</span> A<i>liqa jaqikiwa</i>.
aliqa	<span foreground="#228B22">adjetivo.</span> Postizo, -za. Que no es natural sino agregado. <span foreground="#228B22">Sinón:</span> <i>aliqaki.</i>
aliqaña	<span foreground="#228B22">verbo intransitivo.</span> Brotar la nueva planta del tallo o tronco de una planta.
aliqapuni	<span foreground="#228B22">adverbio.</span> Afanosamente. Desesperadamente. <span foreground="#228B22">Sinón:</span> <i>inawisapini.</i>
aliqata	<span foreground="#228B22">adverbio.</span> Adrede. De intento. <span foreground="#228B22">Sinón:</span> <i>amanuta.</i>
aliqata	<span foreground="#228B22">adjetivo.</span> Intencionado, -da. Alevoso.
aliqatpuni	<span foreground="#228B22">adverbio.</span> Alevosamente. Con alevosía. <span foreground="#228B22">Sinón:</span> <i>amanutpini.</i>
aliraña	<span foreground="#228B22">verbo intransitivo.</span> Brotar muchas plantitas del suelo o de alguna planta.
alisiña	<span foreground="#228B22">verbo transitivo.</span> Ahuyentar, hacer escapar.
alisjaña	<span foreground="#228B22">verbo transitivo.</span> Separar haciendo correr.
alisnukuña	Expulsar. Echar a una persona o cosa fuera del lugar que ocupaba. <span foreground="#228B22">Sinón:</span> <i>aliswachaña, alismuchuña, alisnukaña, jaqumuchuña, jaquwachaña.</i>
alispayaña	<span foreground="#228B22">verbo transitivo.</span> Ahuyentar. Hacer huir a uno de su país o territorio. <span foreground="#228B22">Sinón:</span> <i>chhukjayaña, alisiña, t'ijuyaña.</i>
alistaña	<span foreground="#228B22">verbo transitivo.</span> Hacer correr de un lugar.
alisthapiña	<span foreground="#228B22">verbo transitivo.</span> Juntar haciendo correr de ambos lados a un lugar.
alissuña	<span foreground="#228B22">verbo transitivo.</span> Echar o hacer salir de algún lugar, o expulsar.
alissuña	<span foreground="#228B22">verbo transitivo.</span> <span foreground="#228B22">figurado.</span> Destituir. Quitar a uno su cargo.
alissuña	<span foreground="#228B22">verbo transitivo.</span> Hacer correr hacia arriba persiguiéndola.
aliswaqaña	<span foreground="#228B22">verbo transitivo.</span> Lograr ahuyentar de algo que se había apoderado.
alita	<span foreground="#228B22">participio pasivo.</span> Crecido la planta.
alita	<span foreground="#228B22">adjetivo.</span> Oblicuo, -cua. Sesgado, inclinado. <span foreground="#228B22">Sinón:</span> <i>alt'ata.</i>
aljaña	<span foreground="#228B22">verbo transitivo.</span> Expender. Vender al menudeo.
aljiri	<span foreground="#228B22">adjetivo y sustantivo.</span> Vendedor, -ra. Persona que vende.
alkaña	<span foreground="#228B22">adjetivo.</span> Comprar mientras tanto.
alkaya	<span foreground="#228B22">adjetivo.</span> Comprable. Que se puede comprar.
almutu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Manco Capac)</span> <span foreground="#228B22">sustantivo.</span> Medida usada para (productos) áridos <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
alsa	<span foreground="#228B22">sustantivo.</span> Porción de comida o merienda que se lleva después de comer a insinuación del que invita.
alsaña	<span foreground="#228B22">verbo intransitivo.</span> Repartición en partes iguales del fiambre o comida sobrante <span foreground="#696969">(Fuente: )</span>.
alsuña	Nacer los dientes. Salir la planta de la tierra. Sacar la cabeza. <span foreground="#228B22">Sinón:</span> <i>mistuña.</i>
altaña	<span foreground="#228B22">verbo intransitivo.</span> Germinar. Salir el germen en la semilla. <span foreground="#228B22">Sinón:</span> <i>achtaña.</i>
altaña	<span foreground="#228B22">verbo intransitivo.</span> Comprar todo.
altayaña	<span foreground="#228B22">verbo transitivo.</span> Hacer germinar la planta.
alt'aña	<span foreground="#228B22">verbo intransitivo.</span> Inclinar. Bajar la cabeza. <span foreground="#228B22">Sinón:</span> <i>k'umt'aña, lipt'aña.</i>
alt'aña	<span foreground="#228B22">verbo intransitivo.</span> Acción de agacharse, agazaparse.
alt'aña	<span foreground="#228B22">verbo intransitivo.</span> Declinar.
alt'aña	<span foreground="#228B22">pronominal.</span><i> </i>Postrarse. Humillarse.
alt'aña	<span foreground="#228B22">verbo intransitivo.</span> Acción de comprar pronto.
alt'ayaña	<span foreground="#228B22">verbo intransitivo.</span> Acción de hacer comprar pronto.
alt'ayaña	<span foreground="#228B22">verbo transitivo.</span> Postrar. Humillar. <span foreground="#228B22">Sinón:</span> <i>aynacht'ayaña.</i>
alt'ayaña	<span foreground="#228B22">verbo transitivo.</span> Inclinar. Apartar una cosa de su posición vertical. <span foreground="#228B22">Sinón:</span> <i>k'umt'ayaña.</i>
alu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> El hermano menor de cualquier mujer <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
alwa	<span foreground="#660099">(de castellano)</span>. <span foreground="#228B22">sustantivo.</span> Madrugada.
allchhi	<span foreground="#228B22">sustantivo.</span> Nieto, -ta.
