, wech	zorrillo
iqit	desnudo
irpich	anillo
is	papa
is	papa, flojo
is	papas
isk'iq	uña
iskiaq	uña
istán	se ve
its'bal	pensamiento
its'om	sabio
itut	mi frijol
ixim	maíz
ixiwi	me espanté
ixma'	desgránalo
ixok	mujer
ixoq	mujer
ixpit	mesquino
ixqi	empezar
ixqi'	empezó
ixqit	desnudo
ixqui'	empezó
ixup'	piernas
ja'	agua
ja'a	tu
ja'ani	el
ja'aqix	ustedes
ja'e ajan	elótes
ja'e pataj	guayabas
ja'e winaq	persona
ja'e'	ellos
ja'e' lo'ej	frutas
ja'el	el
ja'i  ajan	elotes
ja'i  box	tortillas
ja'i  k'um	calabazas
ja'i  kisiy	zorros
ja'i  pitsin	lagartijas
ja'in	yo
ja'oqo'	nosotros
jaanch'uni	tapizcar
jache'	cuánto
jae winaq	gente
jain, janik'	quién
jakana ji'in	estoy bien
jakana ji'oqo'o	estamos bien
jakanón	jálalo
jalip' tete'	ven por acá
jama'	abrir
jama'e	ábrelo
jamán	abierto
jamjam	tartamudo
janan us	mosca
janik', jain	quién
jante'	este
janwe'	ese/aquel
jawa'e	destapar
jawak'	tostada
jawaq'	tostada
ji	hay
ji'a indeje'	a veces
jichet	tener
jij	jilote
jits'	apretado
jits'uni	violín
jo'e'	cinco
jo'x	achiote
jochóm	hueco
joe'	cinco
jokox	ariera
jokox	arriera/zompopo
jolepton	epazote
joleptón	hepazote
jolo'	arrancar
joq'an	vacío
joq'pi	hundido
joyinka'	despacio
jubej	flor
juis tsoyol	chayotes
juke'	siete
jun	cómo
junan	todo
junan	todos
june'	una
june'	uno
juni	cómo
juni	que
junto wuelta	otra vez
junxki ji'a?	¿cómo estas?
junxki ji'aqix?	¿cómo están?
juts'a'	soplar
k'aj	amargo
k'ajil	girasol
k'ajol	hija
k'ajol	hijo
k'amchí	sirve
k'ap'	manos
k'asoman	fiador
k'ausa'	lastimar
k'ejan	bastante
k'ejan	mucho
k'en	hondo
k'ex	prestar
k'iaq	pulga
k'ik ti ch'i'	perro pinto
k'ilim	bien delgado
k'im	zacate
k'iwix	anona
k'ix chin	cocodrilo
k'o'an	embrocado
k'oj	máscara
k'olk'och	huevo
k'olk'och	huevos
k'om	tol
k'oni	quien
k'ubal	iglesia
k'ul	chapulín
k'ula'	hágalo
k'um	calabaza
k'uul	estómago
k'uxu'	morder
ka'	metate
ka'	muela
kaabij	pasado mañana
kabe'	dos
kabij	pasado mañana
kabije	antier
kach	pescado
kach	pez
kach	tierra
kajiq	aire
kamaron	camarón
kami	morir
kamón	muerto
kan	alto
kan	culebra
kan'e'	cuatro
kap'	colmena
karneruj	borrego
karneruj	chivo
kaw	duro
kawal	alentado
kawe'	dos
kawi	morir
kawije	antier
kawil ki'uli	apenas estamos llegando
kaxit	tortuguita
kaxkit	tortuga
kayumpa'	relámpago
kej	venado
kelem	gallo
kelém	gallo
kense kene'	déjalo
kerém	muchacho, joven
ki'	dulce
kiajqtipix	luciernaga
kiaq	pulga
kiaq	rojo
kiaqtipix	luciérnaga
kij	maguey
kik'	sangre
kilan ti ixoq	mujer gorda
kilan ti winaq	hombre gordo
kisiy	zorro
koj	mejillas
kolon chin	con grano
kolon'	grano
koltaqin	ayúdame
konex	conejo
kotón	camisa
kox	chueco
kox	torcido
kuayuj	caballo
kuch	puerco
kuchu'	cárgalo
kuchunon	cárgalo
kuik'a' teel	sacar
kuik'ael tsa'al	desvestir
kuik'anon	llevar
kuilbe'	probar
kuk	ardilla
kuman	arrodillar
kumán	hincado
kumanqa'	arrodillate
laján	igual
lajun'e'	diez
lajune'	diez
lansuj	lazo
laq'an	cerca
laq'an na'a	cercano
laxa'	rascar
lech'	tapa de panela, media agua
lechbal	cuchara
lem	escarabajo
len'a	azar
len'oní	haciendo tortillas
leon	balam
limeta	botella
lo'ej	la fruta
lo'eti xk'u'ul	compadecer
loj	ceniza
lok'te'	yuca
lokó	agarrado
lokó	agárrelo
lon'	ceniza
loq'an xk'u'ul	enojado
loq'chi xk'u'ul	se enojo
loqán	vació, aguado
loqoq	lodo
luch'uch'i	fuerza,esfuerzo
luluín	tiembla
lunta'	sacudir/empujar
lupupi	volar, vuelo
lus	chico
lus	pequeño, chico
lusti ch'ojon	rata chica
lusti kuk	ardilla chico
lusti machin	mono chico
lusti palach	guajolote chico
lusti winaq	hombre chico
lutan	cerrado
lutu	cerrar
luus	pequeño
luya'	chico
maaqi	levantar
machin	mono
main xnalan	está gordo
maja	búsquelo
maja'	buscar
mak'a	pegar
maknon	subir
malubal	medida
malubal	unas medidas
man	grande
man xnalan	grueso
man xwa'	largo
manbal	mercado
manil us	mosca grande
manoni	comprar
manteká	manteca
manteka'	grasa
manti al	está pesado
manti bis	está delgado
manti chaqte'	cama grande
manti k'uk'um	aguila
manti kisiy	zorro grande
manti n'aj	casa grande
manti pim	está doble
manti pulap'	cántaro grande
manti sup'	olla grande
manti wok'	está flaco
map	tobillo
mapil chok	pantorillas
maqelal	subida
maqinon	subir
mas laq'an	más cerca
mas najat	más lejos
mas najatnon	está mas lejos
maxbowi	poder
maxuní	tocar
meba'	pobre
meltsi	regresar
meq'	un manojo
meq'obal	abrazado
meq'obal chuj	lo tiene abrazado
meq'obal xbaje	abrazarse
mesu'	barrer
mexáj	mesa
mi'	abuela
mila	pintado
min	mama
mis	gato
mo'	bocio
moch	canasto
mochbal	puño
mochben	puño
mochben	un puño
mochó	negativo
mochobal	empuñar
mojts'ej	casamiento, boda
mok'anaj	buenas tardes
molán	amontonado
molan	un monton
momi'	salúdelo
momon	hierba santa
mosaklaj	buenos días
motaq'bal	buenas noches
mu aló	no pesa
mu ma'an	no
mu wach'ajeko	no es cierto
muj	hierbamora
muka k'ulaa	no lo hagas
muka loko'a	no lo toques
muka waq'ia	no te mojes
muka won'a	no vayas
muka woq'ia	no llores
mukaki'uj	de nada
muma'an	negativo
musan	nube
musán	nube
muuj	hierbamora
muus	recién nacido
muye' xwa'	corto
n'abal	aguacero
n'abal	lluvia
n'ach	tostada
n'ach'	tostada
n'aj	casa
n'ajóm	viviente, habitante
n'al	mazorca
n'ej	cola
n'i'	suegro
n'i'	suegro / suegra
n'ichi	moverse
n'och'	muesca
n'och'i'	muéscalo
n'olo'	lástima
n'ujan	incomodo
n'up'	humo
n'upan	baca abajo
na'	tia
na'anat	hermana mayor
naa	sentir
naj	casa
naját	lejos
nalán	cintura, mitad
nan	niña
naq'a	guárdalo
neúni	llorando
ni	ya
ni'al	suegro
nikiuli	ya vine
niqa'ulio'o	ya llegamos/ya venimos
nisak'ui	despertar
nisaqbiel	amanecer
niuqbal	lima para filar
nojbi	se lleno
nojbinaq	lleno
nojinaq	lleno
nok'óni	moler
noklop'	hombro
nul	hermano menor
nul	sobrino
nul wantil	hermana menor
nuq'	pescuezo
nuul	hermanito
ñaq	remiendo
ñaqubál	remendado
ñaqujó	remiendalo
ñiq	tortilla de elote
ñuqbal	lima para afilar/ moyejón
ñuqu'	afilar
ñuquni	afila
och	horcón
ochbal	horcónes
ojan	iguana
ojbaní	toser
ojop'	tos
ok	pie
okán	entra, pásale
okanqíx	entren ustedes
okelál	para arriba
okí, okinók	entró
okinók, okí	entró
oktal	entrada
on'	aguacate
onqe'	se fueron
ooki	entrar
oq'	coyote
oqan	pásale
oxe'	tres
oxij	a los tres días
pa'anon	tíralo
pa'anon	tírelo
paa	tiralo
paanon	aviéntalo, arrójalo
pachak	mapache
pachaq	mapache
paj	agrio
pajts'u'	doblar
pak'anach	gallina ciega
palach	guajolote
palan	frente
paqel	paquete
paqjom	gallina culeca
pataj	guayaba
patin	cuatete
patnux	plátano
pats'an	caña
patsan	caña
pe'	corral
pech	pato
pechaq	nopal
pechaq	tuna, nopal
pelpem	mariposa
pelpen	mariposa
pelpén	mariposa
penek	espinilla
petan	hechado
petesek'	cienpies
pim	doble
pim ti koton	camisa gruesa
pinol	pinole
pitsim	lagartija
pitsin	lagartija
pitsín	lagartija
pix	jitomate
pix	tomate
pixu'	pellizcar
piyoch'	hongo
poch'oni	matár
pojle'	repartir
pojobal	una rebanada
pojon	rajar
pok'	polilla
poq'tal	escalera
potsben	un paque
potsots	pulmones
powán	tirado
pulap'	cántaro
pum	pájaro
pum	paloma
pum xits'a	loro
puquq	polvo
q'ach	tierra
q'aj	amargo
q'aj ti xet te'	fruta amargo
q'an	amarillo
q'an	maduro,amarillo
q'an ti ch'i'	perro amarillo
q'ana	pídelo
q'anaj	tarde
q'ap	mano
q'aq'	fuego, calentura
q'au	zanate
q'eba'	desvaciar
q'ej	hijuelo
q'eq	negro
q'iaq	pulga
q'iaqa	acostar
q'ilani	gordo
q'ilanon	córrale
q'iluli	correr
q'inil	claro
q'ojoq'	chilacayote
q'ol	trementina
q'olo'	pelar
q'owin	jorobado
q'u'	nido,(de gallina o pajaro)
q'uyan	suave
q'uyani	suave
qa	nuestro, nuestra
qabí	lo oimos
qabinón'	lo escuchamos
qala'	le diremos
qala'	lo vamos a decir
qalanón'	lo dijimos
qan'aj	nuestra casa
qan'an	colgado
qasa'	comer en seco
qasoní	comiendo en seco
qatok'	nuestro idioma
qatoq'	nuestra idioma
qawanap'lel	nuestro pueblo
qelewex	calzonudo
qeq ti kuch	puerco negro
qete'	nuestro
qeto'	de nuestro
qeto'	nosotros
qiaq	rojo
qu'an	arenoso
queto'	de nosotros
quk'i	vamos a tomar
rabano	rábano
rach'uní	tronando
repoyo	repollo
req'uní	canto del sapo
rich'uní	rechinando
ruq'in	suena
saben	comadreja
saj	nido (de áves)
sajuk'	piojo blanco
sanam	cucuyuche
sanik	hormiga
sap'	apúrate
sap'	rápido
saq	blanco
saq ti box	tortilla blanca
saq ti ixok	mujer blanca
saq ti tsa'al	tela blanca
saqil chet	blanco del ojo
sata	perder
seboya	cebolla
sejkele'	cresta
serenaj	estrella
seterech	redondo
seyup'	hígado
si'	leña
siil	costilla
sik	frío
sik'	cigarro
sik'bal	libelula
siknaq	hinchado
sin'an	esta tirado
sinam	alacran
sinám	alacrán
sip	garrapata
sipael	suéltalo
soch	caracol,jute
soch	jute, caracol
soj	chahuistle,argenio
sooj xnuk'	ronco
sop	cerebro
soqani	flójo
soroch	moco
sots'	murcielago
su'	trompeta,corneta
sup'	olla
sup'sup'	obscuridad
sup'sup'	oscuridad
t'asom	hechicero
t'asóm	hechicero
t'eqa	pegar
t'eqá	pegar
t'eqanón'	pégalo
t'ewani	esposo
t'iw	gavilán
t'on'	sapito/sapillo
t'ospini	jugar cera de abeja
t'usan	desnudo
t'usán	desnudo
t'usba'	desnúdalo
t'uxani	esta mojado
taj	pino, ocote
tajats'	rana
tala'	cargar
talan	acostado
talán	acostado
tambu'	espérate
tambun qix	espérense
tambuqin inewich'	espérame
tan	cal
tan'	cal
taqín	séco
taqín'	seco
tat	niño
te te' ji'akix?	¿están aquí?
te'	árbol
te'	palo
te' ti bej	aquí en el camino
te' ti chalan	está abajo
te' ti chiban	está encima
te' ti n'aj	aquí en la casa
teje'	ahí
telá	allá
telano'	hasta allá
tete' ji'aa?	¿estas aquí?
tete' ji'in	estoy aquí
tete' ji'oqo'o'	estamos aquí
tewá	tíralo
ti galan ixoq	mujer bonita
ti'	boca
to	ahorita
to chitoj	con su compañero
to xmoj	con su pareja
toki'uli	apenas estoy llegando
toma'an	futuro
tomaan	ahorita sera
ton'	piedra
ton'ox	panal
tooje'	con ellos
toq'le'	explícame
toqle'	hablar
transanuj	durazno
trigo	trigo
ts'a'ik	caliente
ts'aal	cállate
ts'aik	caliente
ts'aik	sol / caliente
ts'aik, ts'aikal	sol, día
ts'aikal, ts'aik	sol, día
ts'al	cállate
ts'anaq	quemado
ts'awun	arena
ts'eka'	caliente
ts'ibabal	lápiz
ts'ikin	gallina
ts'ipuni	peleando
ts'ipuni	pelear
ts'ipunqe'	pelean
ts'iqin	gallina
ts'is	costurar
ts'isoní	costura
ts'ojo'	chupar
ts'okonay	capullo
ts'olo'	tomar agua
ts'u'mel	piel
ts'uj	una gota
ts'unun	colibri
ts'uts'	pizote, tejon
ts'uts'	tejón
tsa'ani	hoy
tsa'ani	presente
tsaal	ropa
tsajan	gusano
tsaján	gusano
tsajki'	se equivocó
tsakuní	cazar
tsani	ahora
tse'	risa
tse'eni, tse'enqe'	se esta riendo
tse'enqe', tse'eni	se esta riendo
tsejan	abiertas
tselbal	adorno
tseq	deseo
tsim	jícara
tsim	jícara
tsitsi on'	aguacatillo
tsolbal-it	aceite
tsoyol	chayote
tsuj	tecomate
tujk'ubal	arma,escopeta
tujk'ubal	escopeta
tujq'a'	disparar
tuk'an qa	siéntate
tuk'an qix	siéntense
tuk'u'	cortar
tukan	sentado
tukan	sentar
tukanqa	siéntate
tukanqix	siéntense
tukula	codo
tulinón	aviéntalo
tun	tio
tunuk'	jolota
tusup'	talon
tut	frijol
tuun	mamá
tuuní	esta mamando
uch	tlacuache
uch k'ixchin	puerco espin
uj	arete
ujani	desmayado
ujats	collar
uji	vivió
ujumán	tejereta
uk'	piojo
uk'aj	bébelo
uk'anón'	bébelo
uk'ej	beber
uk'ej	bebida
uk'i	tomar
uk'ubal	traste para beber
uk'uman	borracho
ulí	venir
uliqe'	vinieron
ulul	atole
up'	codorniz
us	mosca
us wich'	chaquiste
usij	zopilote
usij	zopilote
ux	carne
uxal kuch	carne de puerco
uxal palach	carne de guajolote
uxal ts'ikin	carne de pollo
uxal wakax	carne de res
wa'i	comér
wa'i	comió
wa'ich	abuelo
wa'in	hambre
waan	parado
wabal	comedor
wach'ajek	es cierto
wachej	dormír
wachej	sueño
wachi	dormido/duerme
wachij	dormir
waiqe'	comen
waj	papá
wajake'	seis
wajaqe'	seis
wajbóm	marimbista
wakax	ganado
wakáx	ganado
wakchini	soñar
walip'	nuera
wan'ap'	pueblo
wankuj	banco
wantil	esposo
waq'al baq	esqueleto humano
waxi	paró
waxjaqe'	ocho
we' aq'	está mojado
we' chex	es verde
we' galan	es bueno
we' galan	está bonito
we' kaw	está dúro
we' kiaq	es rojo
we' mu galano	está feo
we' q'an	es amarillo
we' q'eq	es negro
we' q'uyani	está suave
we' saq	es blanco
we' saq	está limpio
we' taquín	está seco
we' ts'ilap	está sucio
wech	gatomontes
wech, 	zorrillo
weq'an ti ton	pedregal
wet	mío
wet	yo
wet nikiuli	ya llegue
wex	pantalón
wi'	cabeza
wich'i'	rodilla
wich'ib	rodilla
wich'na'a	poco
wik'uj	hierba/monte
wik'uj	verdura
winaq	hombre
witoj	compañero
wits	cerro
wok	pie
wokoch	espuma
wolox	para objetos redondos
wot'	colocho
wots	vibora
wui'	cabeza
x-atsaj	aprender
xajan	delicado/ semana santa
xapán	trabado
xapuj	jabón
xaq	hoja
xbaqel wi'	craneo
xbij	nombre
xelek'	un pedazo
xen	zancudo
xet anma	pecho de mujer
xet chok	empeñe
xet te'	fruta
xet-tun	tuna
xet, chaq'an	para objetos planos
xi'	cabello
xich'	lechusa
xik'	ala
xik'	pluma
xip'ta'	lo espanta
xits'a'	saber
xiwelal	miedo
xiwí	se espantó
xixel at	pelo del pene
xixel iti'	bigotes
xixel wi'	cabello
xiyet	cejas
xiyet ichet	pestañas
xjaqwe'	preguntar
xk'il	cucaracha
xk'om	palatal
xk'om	vesícula
xk'ula'	hacer
xk'uul	aparato digestico
xk'uwi'	coronilla
xkilincha'	intestinos
xkilincha'	tripa
xkilincha' bis	intestino delgado
xkilincha' pin	intestino grueso
xlek'a'	romper
xlok' ch'ajan	camote
xloko	agarrar
xloq'	raíz
xmalej	comadreja
xmim ch'i'	perra
xmim wakax	vaca
xmin wakax	vaca
xmochoach	atrapar
xmuku'	mirar
xnalan	cintura
xnaq'	semilla
xnaq'a chet	iris
xnaq'axba	esconder
xol	en medio de
xowti'	labios
xpotsben	una envoltura
xpotsel	envoltura
xpuwani	soplar
xq'ap	una rama
xt'eqaj	golpear
xtelin	espalda
xtewa	tirar
xton'al chat	testículos
xtut xk'uul	riñon
xulup'	cacho
xup'	pierna
xuts	su ano
xwa'	alargado
xwa'	para objeto alargado
xwaj wakax	toro
xwakchi'	soñar
xyoch'ab	cadera
yabini	siempre enfermo
yach'	ceñido
yaj	muy pobre
yan'an	parado
yan'anqa'	párate
yan'wi	parar
yanan	parado
yanwi	se paró
yap'	enfermo
yekwí	se paró
yoch'ab	glutios
yocheawe'a	asistir
yochiawi	llegar
yokatá	dondequiera
yolán	resbaloso
yolots'	verdolaga
yoq'eman	partera
yots'ala	calmar
yuts'	ano
yux	imágen
