a	mew, mu; pvle.
ala	mvpv.
alabar	sakin.
alba	wvh.
alborotarse	(el caballo) vñan.
alcanzar	puwvn; (algo elevado) zin, zitun; (aquí a tiempo) xenpan; (allá a tiempo) xenpun.
alegrar	ayvwvlvn.
alegrarse	ayvmvn, ayvwvn.
alegre	ayvw; <font color="blue"><i><b>*estar a.</b></i></font> ayelen.
alegremente	ayvwvnkeci.
aletear	mvpvmvn.
alfarería	wizvn.
alfarero	wizvfe.
alforja	kutama.
algas	(cochayuyo) kojof; (luhua) buwa.
algarabía	wakeñvn.
aliento	heyeh, heyen.
alimentar	ilelvn.
aljibe	rvgan ko.
alma	pvjv; (del recien muerto) am.
almacigo	jekvm.
alojarse	uman.
alrededor	waj, wajon, waj pvle, wajon mew, wajpa.
alto	(en lo mas alto) wecuñtu.
alumbrar	pelomtun, pelotun.
alzado	(animal) kayta.
alzar	wixapvramvn, wixañpvramvn, wenuntun, wenumpvramvn; (agarrar) nvn, nvh.
alzarse	(rebelarse) awkan.
allá	tvyiw, vyiw, vyew, iyew; <font color="blue"><i><b>*pasar hacia a.</b></i></font> rumen; <font color="blue"><i><b>*por a.</b></i></font> iyew pvle, vyew pvle.
allí	tvye mew, vye mew; <font color="blue"><i><b>*hacia a.</b></i></font> tvye pvle; fey pvle.
amanecer	(al alba) wvh, wvhvn; <font color="blue"><i><b>*casi al a.</b></i></font> epe wvh.
amansar	ñomvmvn.
amante	vñam, qvñam.
amar	ayvn, poyen.
amargamente	jazkvnkeci.
amargarse	jazkvn
amargo	fvre.
amarillo	coz; (ocre) palaw.
amarrar	xapelvn, xarin.
ambos	caq.
amenazar	añelvn, ahelvn, aheltun.
amigo/a	wehvy, weni; (vocativo) ahay.
amor	ayvn.
amorosamente	ayvnkeci.
ancas	agka; <font color="blue"><i><b>*llevar en a.</b></i></font> agkazvn.
ancho	fvxarupa.
ancestros	kuyfikece.
anciana	kuse.
anciano	fvca.
andar	miawvn; (caminar) xekan; (ir) amun, amuh; (a gatas) winolvn; (a los saltos) rvgkvyawvn; <font color="blue"><i><b>*a. enfermo </b></i></font>kuxankvyawvn; <font color="blue"><i><b>*¿como andas?</b></i></font> ¿cum miawimi.
angosto	gvxaf, picirupa.
anillo	yvwvbkuwv.
animal	kujiñ.
animar	yafvlvn.
animarse	yafvlvwvn.
ano	gekvciw, liwe.
anoche	xafia.
anochecer	puhvn.
anteayer	epuwe mom.
antes	wema.
antiguamente	kuyfi.
antorcha	kvze.
anudar	pvron.
anzuelo	cikv; kvbi.
añadir	yompeñ.
año	xipantu; (de clima templado) zomo xipantu; (de clima frío) alka xipantu; <font color="blue"><i><b>*el a. pasado</b></i></font> kamel;
apacentar	vtalvn, tvgvmvn.
apagarse	cogvn.
apalear	mvxogvn.
aparecer	wefvn; <font color="blue"><i><b>*hacer a.</b></i></font> wepvmvn.
apartar	jaynakvmvn; (la vista) kakintun.
apartarse	pvntvn, pvbtvn, wicun, wvzan.
aparte	(de a uno) kisuke; (en grupo) wicuke.
apellido	kvpalme.
apenas	geju, eja.
apéndice	cvmpun.
apetecer	ijun.
apisonar	gvriñvn.
aplacar	gvfen.
aplastado	capvz.
aplastar	xañman.
aplastarse	(entre dos objetos) mvbafman.
apostar	ranvn.
apreciar	poyen.
apremiar	reyen.
aprender	kimvn, logkontukun; azvmvn.
apretado	gvriley.
apretar	fvyvm, fvyvmvn.
aprisa	matu.
aprovechar	gvnaytun.
aproximarse	fvlvn.
apuñalar	cvgarvn.
apurado	matukawvn.
apuro	(tener) matukawvn; <font color="blue"><i><b>*en apuros</b></i></font> fijmawvn.
aquel/lla	tvye; tvyeci.
aquél/lla	tvyeci.
aquello	tvyeci.
aquí	faw, tvfa mew, tamu.
araña	lalvg; (venenosa) paju.
arañar	kawpvn, kawlitun.
arar	kexan; <font color="blue"><i><b>*terreno para a.</b></i></font> kexawe.
araucaria	pewen, peweh.
árbol	aliwen.
arboleda	aliwentu.
arbusto	rvxon.
arco	<font color="blue"><i><b>*a. iris</b></i></font> relmu.
arder	lvfvn, vyvn.
arena	kuyvm.
arma	(de fuego) xalka.
armadillo	kofvr; (pichi) kvmxv.
armar	(juntar) xvrvmvn
aro	caway.
arrancar	(de raíz) gezun, wegkolvn; (la piel) solkin.
arrastrar	wigvzvn.
arrastrarse	cvñvlrumen.
arrayán	kojvmamvj.
arrear	kecan.
arrebatar	mvntun.
arreglado	(verse bien) azvn; <font color="blue"><i><b>*dejar a.</b></i></font> azkvnun.
arrepentirse	wiñozuamvn, kazuamtun, kazuamvn.
arriba	wenu; (cima) wecuñ.
arribar	akun.
arrimar	inafvlvn.
arrodillarse	lukutun.
arrojar	vxvfvn; (dentro) vxvfkonvn; (desparramar) pacvqvn.
arruga	zoñv.
arruinarse	wesacewvn.
arveja	ajfiz.
asado	kagkan.
asador	(aparato) kagkawe.
asar	kagkan; (papas) kuwen.
asco	(tener nauseas) vbgun, vhun.
ascuas	ayben.
asfixiarse	xvfvn.
así	femgeci; (estar) felen; (ser) femgen; <font color="blue"><i><b>*a. es</b></i></font> feley; <font color="blue"><i><b>*no es a.</b></i></font> felelay.
asiento	anvtuwe, wagku.
aspecto	az; <font color="blue"><i><b>*tener buen a.</b></i></font> kvme azgen.
áspero	cvmeñ.
asqueroso	vkvypuwe.
astilla	(pequeñas) zvmijko; (leña) iran.
astucia	(engaño) gvnen; <font color="blue"><i><b>*hacer maldad con a.</b></i></font> azkan.
asunto	zugu, zvgu.
asustarse	xupefvn, cijfun, xepewvn, pejken.
atado	kvxvg.
atajar	kaxvtun; (mutuamente) xogkvn.
atalaya	azkintuwe.
ataque	malon.
atar	xarin.
atardecer	naq antv.
ataúd	wampo.
atender	(escuchar) ajkvtun.
atinar	tutekvnun.
atormentarse	kuxankawvn.
atrás	furi; furitu; (desde/hacia atrás) furi pvle; <font color="blue"><i><b>*dejar a.</b></i></font> jaynakvmvn; <font color="blue"><i><b>*muchos días a.</b></i></font> fvxa cumvl.
atravesado	kakvl.
atravesar	hon; (hacia este lado) hopan.
atreverse	yafvlvwvn; <font color="blue"><i><b>*no a.</b></i></font> yofvn.
axila	puñpuya.
aun	petu, metu.
autonomía	kisu gvnewvn.
ave	vñvm.
avellana/o	gefvñ.
avenida	(crecida de un río) magiñ.
aventar	piculvn.
avergonzar	yewelkan.
avergonzarse	yewen.
averiguar	gvneytun, gvnezuamvn; (preguntando) inaramtun.
avisar	kimelvn.
aviso	<font color="blue"><i><b>*estar sobre a.</b></i></font> pewvtulen.
avutarda	<font color="blue"><i><b>*a. blanca</b></i></font> patakan; <font color="blue"><i><b>*a. roja</b></i></font> kawken.
ayer	wiya, wvya.
ayuda	(pedir) igkatu;(conseguir) wican.
ayudante	keju.
ayudar	kejun; (en pelea o juego) igkan.
azadón	<font color="blue"><i><b>*cavar con a.</b></i></font> kaypvn.
azotar	wiman.
azúcar	kocvlwe.
azul	kajfv; <font color="blue"><i><b>*a. marino</b></i></font> kurvkajfv.
baba	vhwi.
bailar	purun, faylan.
bailarín	purufe.
bajar	naqvn, naqvmvn, nakvm.
bajo	(altura) picipvra.
balai	jepv.
balde	<font color="blue"><i><b>*en b.</b></i></font> (en vano) gvnam; (sin pago) refalta.
ballena	yenv.
banco	wagku.
bandera	wenufoye.
bandurria	rakiñ, xuxek.
bañarse	mvñetun.
barba	payuh, payun.
barbechar	kexan.
barbilla	kexe.
barranco	lil.
barrer	lepvn.
barriga	pvxa; <font color="blue"><i><b>*estar de b.</b></i></font> lvpvlen.
barro	pebe, foxa.
bastante	abvn, abv.
bastón	rexv.
beber	pvtun; (agua) pvtokon.
besar	xuyun.
bicicleta	xogli kawej.
bien	kvme; <font color="blue"><i><b>*estar b.</b></i></font> kvmelen; (de salud) xemolen; <font color="blue"><i><b>*verse b.</b></i></font> azvn; <font color="blue"><i><b>*andar b.</b></i></font> kvmeyawvn; <font color="blue"><i><b>*está b.</b></i></font> (así es) feley, fey.
bigote	payuh, payun.
biodiversidad	ixofijmogen.
biombo	kaxvntukuwe.
bisnietos	yom.
blanco	(brillante, traslucido) liq, lvq; (mate) pvlag, fvlag; <font color="blue"><i><b>*hombre b.</b></i></font> wigka.
blando	gvfar, pañus.
boca	wvh; <font color="blue"><i><b>*b. del estomago</b></i></font> logko pvxa.
bofe	pohoh; (relleno de sangre condimentada) apol.
bola	(de chueca) pali.
boldo	fobo.
boleadoras	bvkay.
bolsa	(de cuero) yapaw; (alforja) kutama; (de ubre de vaca) xonxon.
bonito	(ser) kvme azgen; <font color="blue"><i><b>*verse b.</b></i></font> azvn.
boquilla	vfvrwe.
borde	vpvl.
bordó	(color) kurvkelv.
borracho	gojiñ.
bosque	mawiza.
bostezar	vgapuwvn.
bote	fote.
bramar	waqlvn.
brasa	ayben.
brazo	lipag; <font color="blue"><i><b>*tomar en brazos</b></i></font> metan.
brillante	jvmjvm
brillar	buyvfvn.
brindar	jaqpan.
brindemos	jaqpayu.
brindis	jaqpan.
bromear	ayekan.
bronce	pasigka.
brotar	jeqvn.
brote	coyvn.
brujería	kalku zugu.
brujo/a	kalku.
buches	(hacer) vbpuwvh.
bueno	kvme; (ser) kvmen; <font color="blue"><i><b>*hallar b.</b></i></font> azentun.
buenos días/tardes	mari mari.
buey	mansun.
búho	nuku.
bulto	yewvn; (carga) cecvm; (ropa) ajwiñ.
burlarse	ayetun.
buscar	kintun; (al tanteo) sumpatun; <font color="blue"><i><b>*ir a b.</b></i></font> yemen; <font color="blue"><i><b>*venir a b.</b></i></font> yepan; <font color="blue"><i><b>*pasar a b.</b></i></font><b> </b>yerpun; <font color="blue"><i><b>*estar buscando</b></i></font> kintunyen.
caballo	kawej, kaweju;<b> </b><font color="blue"><i><b>*c. de paseo</b></i></font><b> </b>magka.
cabecera	mexvl.
caber	feyvn; (corresponder) xafvn.
cabeza	logko.
cabello	xvna.
cabra	kapvra.
cada	fij.
cadera	xuxe.
caer(se)	(persona o animal) xanvn; (perder algo) jagkvn; (cosas verticales) larvn; (de arriba) jagkvnaqvn; (de espaldas) paybaxipan; (de maduro) jagkon; (marchitarse) wancon; (desprenderse y caer) waxonaqvn; <font color="blue"><i><b>*c. de bruces</b></i></font> mvjofvn.
café	(color) kolv.
calabaza	waza.
calandria	xegka, xenka.
calavera	forologko.
caldeado	kofvn.
caldo	korv.
calentar	eñumalvn.
calentarse	aren, eñumtun.
caliente	eñum; (agua) kufvh.
calmar	ñopimvn.
calor	are; (tener) aren.
calzar	feyvmvn.
calzoncillo	carawija.
cama	kawitu.
camarón	zaqju.
cambiar	kakvnun; (trocar) xafkiñtun; (de idea) kazuwamvn, kazuwamtun.
caminar	xekan.
camino	rvpv; <font color="blue"><i><b>*perder el c.</b></i></font> ñuwin.
campo	lelfvn; (despoblado) uwe.
cana	xvren.
canción	vl, vlkantun.
candela	kvze.
canelo	foye.
canilla	(hueso) maxa.
cansado	(estar) vrkvlen, axvrvn.
cansarse	vrkvn.
cantar	vlkan, vlkantun, vlkatun.
cántaro	(jarra) metawe; (tinaja) meñkuwe; (cisterna) meseg.
canto	vlkatun, vlkantun.
cantor	vlkatufe, vlkantufe.
caña	foron.
capaz	(ser) topan.
cara	az; (rostro) age.
características	(de un territorio) azmapu.
carancho	xaru.
carbón	kuyvb, kuyub.
cardo	xolxo.
carga	cecvm.
cargar	cecvmvn, pañvn; (en la espalda) meñkun.
carne	ilo; (desecada) agim.
carpintero	(pájaro) rere.
carta	cijka.
casa	ruka; (muy adentro de la casa) jizruka; (atrás de la casa) furiruka (dentro de la casa) puruka.
cascabel	yvwju, kaskawija; (de calabaza) waza.
cascada	xayen.
caserío	rukantu.
casi	epe.
castigar	nalvn.
cataratas	(en los ojos) xirkan.
catre	kawitu.
catuto	mvlxvn.
cavar	rvgan, kaypvn.
caverna	lolo.
cebada	kaweja.
cebollín	lawv.
cegarse	xexiñvn.
ceja	zvñin, zvñiñ.
celar	(la mujer) mvritun.
celeste	payne.
celular	(teléfono) pici kujkuj.
cementerio	eltun, eltuwe, eluwe.
ceniciento	kazv.
ceniza	xufken.
centro	ragiñ, ragi; (jugador central en la chueca) logkopalife.
cerca	ina, inalmu, pvje, jekv.
cercenar	rvpun.
cerco	malal.
cerdo	zañiw, sañwe.
cerebro	mvjo, rvpawlogko.
cernícalo	jeqjeqkan.
cernidor	ciñvzwe.
cernir	ciñvzvn.
cerrar	nvrvfvn.
cerrazón	xukvr.
cerro	wigkul.
cesar	<font color="blue"><i><b>*sin c.</b></i></font><b> </b>afkentu.
cesta	(de fibra vegetal) kvlko; (para aventar grano) jepv.
ciego	xawma.
cien	pataka.
ciertamente	feley.
cierto	rvf zugu.
ciervo	<font color="blue"><i><b>*c. macho</b></i></font> xuli.
cigarrillo	pvxem.
cima	wecuñ.
cimentarse	foliluwvn.
cinco	kecu.
cintura	xariwtuwe.
cinturón	xariwe.
circular	xvgkvr.
ciruelillo	xewmvn.
cisterna	meseg.
citar	(mencionar) konvmpan.
ciudad	waria, kara.
cizaña	kamca.
claro	pelo, lif.
clavar	xawawtukun, kvlafan.
cobarde	jvkanten.
cobija	vltu.
cobre	kumpañilwe; <font color="blue"><i><b>*sulfato de c.</b></i></font> kajfvbaweh.
cocer	afvmvn; (con agua) majun.
cocerse	afvmvn.
cocinar	afvmvn; (con agua) majun.
cochayuyo	kojof.
codo	xulixuli, coñoy lipag.
coger	(agarrar) nvh, nvn, tun, ñvmin.
coihué	koywe; (fruto) koqvj.
coipo	koypu.
cojo	kvnxo.
cola	kvlen.
colar	caytun.
colgado	(sobre algo) sencu.
colgar	pvlkvn.
colibrí	pinza.
colihue	rvgi, kila.
color	az.
colorado	kelv.
columna	(vertebral) kuziforo.
comandante	toki.
combate	weycan.
combatir	weycan, weycatun.
combatiente	weycafe
comedero	iwe.
comenzar	jitun.
comer	in; (carne) ilotun; (con ansia) vpagvn.
comestible	ipeye.
comezón	(producir) vnan.
comida	iyaqel, iyael; <font color="blue"><i><b>*dar c.</b></i></font> ilelvn.
como	cum; cumgeci, cumueci; (similar) erke, reke; <font color="blue"><i><b>*¿c. estas?</b></i></font> cumleymi; <font color="blue"><i><b>*¿c. andas?</b></i></font> ¿cum miawimi?; <font color="blue"><i><b>*tal c.</b></i></font><b> </b>reke.
compañero/a	kompañ; afkazi.
competir	kuzen; (en una carrera) hotulefvn.
componer	kvme elvn; kvmekvnun.
comprar	gijan; <font color="blue"><i><b>*hacer compras</b></i></font> gijakan.
comprender	kimtukun, gvnekonvn.
comprimir	gvxalvn.
comunicación	<font color="blue"><i><b>*medio de c.</b></i></font> amulzuguwe.
comunidad	lof, lofce.
con	(con otro) egu, (con otros) egvn; mew, mu; konme.
conciente	<font color="blue"><i><b>*estar c.</b></i></font> kimkvlen.
concluir	afvn; (fabricar) zewman.
concubina/o	vñam.
cóndor	mañke.
conejo	mara.
conocedor	kimvnce.
conocer	kimvn; <font color="blue"><i><b>*c. a fondo</b></i></font> azvmvn.
conocimiento	kimvn.
conseguir	aretun; (ayuda) wican.
consejo	gvbam.
consolarse	ñawfvn.
consumir	apvmvn.
contar	rakin; (decir) nvxamyen.
contento	ayvw.
contradecir	caftu zugun, caftun, caqtun, vyaqtun.
contradicción	caftu.
contraer	(una enfermedad) tukuxanvn; (los músculos, piernas) xukvfvn.
contragolpear	caqtun.
controlar	gvnewvn.
conversación	nvxam, gvxam.
conversar	gvxamvn.
convexo	xoxo.
convidar	magelvn.
conyuge	piñom.
coraje	(valor) fvta piwke.
corazón	piwke.
cordero	pici ufisa.
cordillera	mawizantu.
cormorán	yeku.
cornear	repvlvn.
corral	malal.
corralera	xakaya.
correr	lefvn, nekulvn.
cortador	kaxvwe.
cortar	kaxvn; (a golpes) rvpun; (en trozos) kaxvntukun.
cosa	cemkvn; <font color="blue"><i><b>*cualquier c.</b></i></font> cem rume.
cosechar	kogin.
coser	ñvzvfvn.
cosmos	waj mapu.
cosquillas	(tener) ñayvn.
cosquilloso	(ser) ñayvgen.
costado	kazil, kazij; (exterior de la casa) kazijruka.
costilla	kazi.
costumbres	az, azmogen.
coyuntura	vjgvz, xoy; (de la pierna) xoy luku; (del brazo) xoy lipag.
cráneo	foro logko, legleg.
crecer	xemvn, yvfvn; (un río) magin.
creciente	(de un río) magiñ.
creer	feyentun.
crespo	xinxi.
cresta	kaniw.
cría	koñi.
criar	xemvmvn.
cruzar	hon; (a nado) weyvlhopan.
cual	tuci, cuci.
cualquiera	iney rume, iñey rume, cuci rume, tuci rume.
cualquier	<font color="blue"><i><b>*c. cosa</b></i></font> cem rume.
cuando	tunten mew, cumvl, cumuej, tuntewe; <font color="blue"><i><b>*hasta c.</b></i></font> tuntepu; <font color="blue"><i><b>*de vez en c.</b></i></font> kaxv kaxv.
cuanto(s)	tunten, cumten; mufv; <font color="blue"><i><b>*c. tiempo</b></i></font> tunteñma; <font color="blue"><i><b>*unos c.</b></i></font> kiñe mufv.
cuatro	meli.
cubrir	mvnulvn, takun.
cuchara	wixu.
cucharón	rvfvwe, rvfuwe.
cuchichear	kafkvn.
cuchillo	kuciju, kaxvwe.
cuello	peb.
cuenta	<font color="blue"><i><b>*tomar en c.</b></i></font> inarumen.
cuento	epew, apew.
cuerear	rowvn.
cuerno	mvta; (instrumento que se usa como llamador) kujkuj.
cuero	xvlke; <font color="blue"><i><b>*c. cabelludo</b></i></font> xawalogko; <font color="blue"><i><b>*bolsa de c.</b></i></font> yapaw.
cuerpo	kalvl.
cuidar	penien, azkintunien.
culo	kvciw.
cumbre	wecuñ.
cumplir	puwvlvn.
cuna	kupvlwe; <font color="blue"><i><b>*poner al bebe en la c.</b></i></font> kupvlvn.
cuncuna	pvxew.
cuñada	kvrun, fijka; (h. fem.) ñazu.
cuñado	kvrun, fijka; (h. masc.) gijañ.
curar	zan, zatun.
curioso	(ser) fijmagen; (mirar con curiosidad) leliwvlvn.
curvado	wixur.
chacay	cakay.
chamuscar	kupvlvn.
chancear	ayekan.
chancho	zañiw.
charqui	agim.
chato	capvz.
chico	pvci, pici.
chingolo	cigkol.
chimango	xiwke, xiwkv, ciwkv.
chimenea	(abertura en el techo) wiyoyoruka.
chispear	pvtiwvn.
chivito	pici kapvra.
chivo	kapvra.
chueca	(juego) palin; (bola) pali; <font color="blue"><i><b>*palo de ch.</b></i></font> wiño.
chueco	xvmpew.
chuequero	(jugador de chueca) palife.
chupar	focvzvn.
dar	elun, wvlvn; (comida) ilelvn; (un recado) yefazugun; <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>d. la mano</b></i></font> mankuwvlvn.
de	mew, mu.
debajo	miñce, mince, mvnce; naqeltu.
decir	pin; <font color="blue"><i><b>*d. así</b></i></font> feypin.
declarar	nentuzugun, zugun.
dedo	cagvj; (de la mano) cagvjkuwv; (del pie) cagvjhamuh.
defender	igkan.
defenderse	kaxvtuñmawvn, igkawvn.
defensa	(en el juego de chueca) kaxilfe.
dejar	mvñalvn, elkvnun; elvn; (soltar) hebvmvn, heykvmvn; <font color="blue"><i><b>*d. atrás</b></i></font> jaynakvmvn.
delantero	(en el juego de chueca) wecuñtufe.
delgado	picirume.
delinquir	werilkan; yafkan.
delito	werin.
demandar	(algo) zajun, zajuntukun.
demasiado	mvtewe, rume, rumeñma.
demonio	wekufv.
dentro	ponwi, koneltu, pu; (de la casa) puruka.
derecha	man; <font color="blue"><i><b>*a la d.</b></i></font> man pvle; <font color="blue"><i><b>*dar la mano d.</b></i></font> mankuwvlvn.
derecho	man; (recto) nor, norkeci, wif, vgkv; (tendido derecho) nvxvg.
derramar	wixun.
derramarse	wixuxipan.
derredor	waj.
derretirse	jiwvn.
derribar	xantun.
desbastar	yvfkvn.
descabezar	(el trigo o la cebada) sucetun.
descansar	vrkvtun.
descascarar	(legumbres) okvjvn, wvkvjvn.
desconocer	kimwetunon.
descubrir	(poner al descubierto) pegeltukun.
descuidarse	uzuamvn.
desde	pvle; mew, mu.
deseable	zuamfalvn; ayvfal.
desear	ijun.
desgastar	vgvrvn.
desgranar	zojkin.
desmenuzar	aten.
desnudo	xilxag; (estar) cañalen, mojkvlen.
desocupado	(estar) relen.
despacio	ñoci, nocikeci.
desparejo	wej.
desparramar	fulvn, pvzvn, wizpvn; (lanzar) pacvqvn; (semillas) gahvn.
despedazar	kaxvkan, picipicitun, wirvfkan; (con la boca) vcafvn.
desperdiciar	gvnamvn; <font color="blue"><i><b>*no d.</b></i></font> gvnaytun.
despertar	nepen, xepen.
despierto	(vivo) ñuwa.
desplomarse	lofvn.
despoblado	(campo) uwe.
despreciar	ijamvn, werin.
desprenderse	lefkvn; (caer) waxonaqvn.
después	wvla, feywvla; fey mew, fey mu.
destapar	wegan.
destruir	teyfvn.
desvalido	kuñifaj.
detrás	furi mew; (hacia/desde atrás) furi pvle.
deuda	zefe.
devolver	(algo prestado) wiñolvn.
día	antv; <font color="blue"><i><b>*hace días</b></i></font> cumvl, cumuej; <font color="blue"><i><b>*muchos dias atrás</b></i></font> fvxa cumvl; <font color="blue"><i><b>*todos los dias</b></i></font> fij antv.
diarrea	(tener) kaycvn.
dibujar	wirin; (al tejer) gvpvnkan.
dibujo	wirin; (en un tejido) gvpvn; (ideograma) ñimin.
diente	foro; (incisivos) ayeweforo; (molares) vlgaforo; <font color="blue"><i><b>*romper con los dientes</b></i></font> waxalvn.
diez	mari.
difamar	yewelkan.
diferente	(ser) kagen.
dificultosamente	ajwe, ajwekeci, kuxangekeci.
diligente	kvlfvn.
diluvio	fvxa mawvh.
dinero	kujiñ.
dirección	ñom.
directamente	wif.
discursear	wewpin.
disparejo	wej.
disputar	notukan.
distancia	tuwvn.
distinto	ka.
distintos	kake.
diuca	siwka.
diverso	fij.
dividir	wvzkan; kaxvntukun.
dividirse	(apartarse) wvzan.
doblar	mvcamvn.
dolor	kuxan, kuxantun, jazkvlumvn; <font color="blue"><i><b>*quejarse de d.</b></i></font> eyvtun.
dolorosamente	kuxangekeci.
dominar	ñopimvn, gvnewvn.
donde	cew.
dormir(se)	umawtun, umaqtun; (profundamente) konumaqkvlen.
dormitorio	umawtuwe.
dorso	(de la mano) wente pvbay kuwv.
dos	epu; <font color="blue"><i><b>*nosotros d.</b></i></font> iñciw; <font color="blue"><i><b>*ustedes d.</b></i></font> eymu; <font color="blue"><i><b>*ellos d.</b></i></font> feyegu.
dulce	kocv.
durar	abvñman.
duro	yafvn, xegkvl.
eco	awkiñ; (del agua) awkiñko; <font color="blue"><i><b>*hacer e.</b></i></font> ciwawvn.
echado	(hacia atrás) xvker.
educador	kimeltucefe.
él	fey; kisu.
elevado	fvxapvra, alvpvra.
elevar	wenumpvramvn, wenupvramvn, wenuntun.
ella	fey; kisu.
ellos/as	(plural) feyegvn, kisu egvn; (dual) feyegu, kisu egu.
emborracharse	gojin.
embriagarse	gojin.
empapar	wifontukun.
emparejar	xvrvmvn.
empeine	wentehamuh.
empezar	jitun.
empollar	jvpañvn.
empujar	rvlxen, vlxen.
en	mew, mu.
enano	lafxa.
encaminar	guyvlvn.
encandilarse	xexiñvn.
encargar	yefaltun; (algo a alguien) elfalvn.
encargo	yefaltu.
encender	vyvmvn, lvpvmvn.
encenderse	lvfvn, vyvn.
encías	vrum.
encima	wente; <font color="blue"><i><b>*pasar por e.</b></i></font> pvrarupan.
encontrar	pen, petun; (por suerte) xafman.
encorvarse	gvjun.
endulzante	kocvlwe.
endurecerse	(madurar) xewvn.
enemigo	kayñe.
enemistar	kayñetuwvn.
energía	(vital) newen.
enfermarse	kuxanvn, tukuxanvn; (de nuevo, recaida) wiñokuxantun.
enfermedad	kuxan.
enfermo	kuxan; <font color="blue"><i><b>*andar e.</b></i></font> kuxankvyawvn.
enfrente	puñma, ixoxipa.
engañar	gvnenkan.
engaño	gvnen.
engendrar	yajvn, yajvmvn.
engreído	xegkvl.
enjuagar	(la boca) vbpuwvh.
enjugar	gvjuzvn.
enmohecerse	perkanvn.
enojar	yafkan.
