
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
amuy	<span fgcolor="#228B22">(r).</span> Simipi imapas waqaycharayay. <span fgcolor="#ff0000">Retener algo en la boca.</span>\n<span fgcolor="#a403fb">- Kiru nanaypaqqa kachi yakutam amuna.</span>\n<span fgcolor="#0000ff">- Para el dolor de muelas es bueno retener en la boca agua con sal.</span>
anchaq	<span fgcolor="#228B22">(s).</span> Llipipita qaway. <span fgcolor="#ff0000">Luciérnaga</span>\n<span fgcolor="#a403fb">- Anchaq kurum pinchi killa.</span>\n<span fgcolor="#0000ff">- La luciérnaga es un insecto luminoso.</span>
anchiy	<span fgcolor="#228B22">(r).</span> Unayniq wayrata suquspa aqmay. <span fgcolor="#ff0000">Suspirar.</span>\n<span fgcolor="#a403fb">- ¿Imamantam anchinki?</span>\n<span fgcolor="#0000ff">- ¿Por qué suspiras?</span>
anka	<span fgcolor="#228B22">(s).</span> Uqi wasayuq yuraq qasquyuq, aychallawan kawsaq pisqu. 30manta 40kama pachakcha tatki sayayniyuq. <span fgcolor="#ff0000">Gavilán.</span>\n<span fgcolor="#a403fb">- Suwa ankam chiwchichayta aparqun.</span>\n<span fgcolor="#0000ff">- El gavilán ladrón se llevó a mi pollito.</span>
anku	<b>1.</b> <span fgcolor="#228B22">(s).</span> Sasa tipina, sasa llikina, sasa ñutuna. Anaq. Quru. <span fgcolor="#ff0000">Elástico duro. </span><b>2.</b> <span fgcolor="#228B22">(s).</span> Aychanwan tullu huñuq qaytuhina aycha, mana kachuy atina. <span fgcolor="#ff0000">Tendón.</span>\n<span fgcolor="#a403fb">1. Machu uywakunapa aychanqa anku ankum.</span>\n<span fgcolor="#0000ff">- La carne de animales viejos es muy dura.</span>\n<span fgcolor="#a403fb">2. Ankuy nanawachkan.</span>\n<span fgcolor="#0000ff">- Me está doliendo el tendón.</span>
anqas	<span fgcolor="#228B22">(s).</span> Mana puyuyuq hanaq pacha kaqlla llimpi; chirapapa pichqa llimpin. <span fgcolor="#ff0000">Azul.</span>\n<span fgcolor="#a403fb">- Anqas waratam llikisqaku.</span>\n<span fgcolor="#0000ff">- Habían roto un pantalón azul.</span>
anta	<b>1.</b> <span fgcolor="#228B22">(s).</span> Nina kaqlla qilla; chaywanmi makina kuyuchiq kallpanta apachinku, «electricidad» nisqanpi. <span fgcolor="#ff0000">Cobre. </span><b>2.</b> <span fgcolor="#228B22">(s).</span> Tumpa puyusqa hanaq pacha kaptin, puka qillu ninahina intipa qawakuynin. <span fgcolor="#ff0000">Celaje.</span>\n<span fgcolor="#a403fb">1. Taytayqa anta minapim llamkan.</span>\n<span fgcolor="#0000ff">- Mi padre trabaja en la mina de cobre.</span>\n<span fgcolor="#a403fb">2. Anta rikukuptinqa, muchuymi kanqa.</span>\n<span fgcolor="#0000ff">- Cuando aparece el celaje significa que habrá hambruna.</span>
antara	<span fgcolor="#228B22">(s).</span> Llañumantaraq rakukamantaraq sinrinpi awasqa qinakuna, pukuspa waqachina. <span fgcolor="#ff0000">Zampoña.</span>\n<span fgcolor="#a403fb">- Antaraqa llakitam waqan.</span>\n<span fgcolor="#0000ff">- La zampoña suena triste.</span>
anyay	<span fgcolor="#228B22">(r).</span> Allqupa waqaynin. Qaqchay. <span fgcolor="#ff0000">Ladrar, reprender.</span>\n<span fgcolor="#a403fb">- Allqum suwata anyachkan.</span>\n<span fgcolor="#0000ff">- El perro está ladrando al ladrón.</span>
añas	<span fgcolor="#228B22">(s).</span> Chupasapa, tutallan puriq, imaymana uruchakuna mikuq, millay asnaq ispayniyuq, allqa qarayuq (yana - yuraq) purun uywa. <span fgcolor="#ff0000">Zorrino, zorrillo.</span>\n<span fgcolor="#a403fb">- Añas ispayninwan amachakun.</span>\n<span fgcolor="#0000ff">- El zorrino se defiende con su orina.</span>
añaychay	<span fgcolor="#228B22">(r).</span> Ñuqanchikpaq ruraqta rimayninchikwan utaq sunqunchikwan chaskikuy utaq yanapakuy. Riqsikuy. <span fgcolor="#ff0000">Agradecimiento, gratitud.</span>\n<span fgcolor="#a403fb">- Pipas yanapasuptiykiqa, añaychakuy.</span>\n<span fgcolor="#0000ff">- Si alguien te ayuda, agradécele.</span>
apachita	<span fgcolor="#228B22">(s).</span> Urqu qasa, chayninta puriqkunapa ñan chutarikun. <span fgcolor="#ff0000">Apacheta, abra.</span>\n<span fgcolor="#a403fb">- Apachitaman chayaspanku puriqkuna rumichata churaykunku.</span>\n<span fgcolor="#0000ff">- Llegando al abra los caminates dejan piedras.</span>
apanqura	<span fgcolor="#228B22">(s).</span> Hatun qampu. Tukuy rikchaqmi hatun apanqurakunaqa. <span fgcolor="#ff0000">Araña grande.</span>\n<span fgcolor="#a403fb">- Wak apanquraqa manam kachukunchu.</span>\n<span fgcolor="#0000ff">- Esa araña grande no muerde.</span>
apasankay	<span fgcolor="#228B22">(s).</span> Wañuchiq hampiyuq hatun qampu; chay kachukuptinqa punkipakuymi hapikun; ranraranrapin apasankay yachan. <span fgcolor="#ff0000">Tarántula.</span>\n<span fgcolor="#a403fb">- Apasankay kachusuptiykiqa punkipakuwaqmi.</span>\n<span fgcolor="#0000ff">- Si te mordiera la tarántula puede darte inflamación.</span>
apay	<span fgcolor="#228B22">(r).</span> Kaymanta wakman asuchiy. <span fgcolor="#ff0000">Llevar.</span>\n<span fgcolor="#a403fb">- Yachay wasiman quqawniykita apay.</span>\n<span fgcolor="#0000ff">- Lleva a la escuela tu fiambre.</span>
apaychakcha	<span fgcolor="#228B22">(s).</span> Tipi wiqaw, tawa rapra, waytapa miskin suquq purun uru. Rikchakuyninmanhinam kanku: waylis, aka waylis, apaychikchi, ninakara. <span fgcolor="#ff0000">Avispa.</span>\n<span fgcolor="#a403fb">- Apaychakchaqa allpa pirqakunapi wasichakun.</span>\n<span fgcolor="#0000ff">- Las avispas construyen sus casas en las paredes de tierra.</span>
api	<span fgcolor="#228B22">(s).</span> Akuwan pitusqa, miskiyuq, pipu mikuy. <span fgcolor="#ff0000">Mazamorra.</span>\n<span fgcolor="#a403fb">- Kalawasa apita hawan simana yanusun.</span>\n<span fgcolor="#0000ff">- La próxima semana vamos a preparar mazamorra de calabaza.</span>
apichu	<span fgcolor="#228B22">(s).</span> Rupa allpakunapi wiñaq kawsay, allpapa ukunpi suytuniraq ruruq miski kawsay. <span fgcolor="#ff0000">Camote.</span>\n<span fgcolor="#a403fb">- Apichuqa qillupas pukapas kullipas yuraqpas kanmi.</span>\n<span fgcolor="#0000ff">- Hay camotes de color de amarillo, rojo, morado y blanco.</span>
aptisqa maki	<span fgcolor="#228B22">(s).</span> Kallpawan wichqarayasqa maki. Saqma, taka. <span fgcolor="#ff0000">Puño.</span>\n<span fgcolor="#a403fb">- Sapa punchawmi aptisqa makinta qawachiwan.</span>\n<span fgcolor="#0000ff">- Todo los días me hace ver sus puños.</span>
apu	<b>1.</b> <span fgcolor="#228B22">(s).</span> Qapaq urqu. <span fgcolor="#ff0000">Dios tutelar. </span><b>2.</b> <span fgcolor="#228B22">(s).</span> Tukuy imayuq qullqisapa runa. <span fgcolor="#ff0000">Hombre rico, poderoso.</span>\n<span fgcolor="#a403fb">1. Apu Rasuwillkaqa apu Sara Sarawan rimanakunmi.</span>\n<span fgcolor="#0000ff">- El dios tutelar Razuhuillca y el Sara Sara conversan entre ellos.</span>\n<span fgcolor="#a403fb">2. Qinchu Sunchu Aylluqa llumpay apukunam.</span>\n<span fgcolor="#0000ff">- La familia Qinchu Sunchu es muy poderosa.</span>
aqa	<span fgcolor="#228B22">(s).</span> Suramanta utaq imamantapas upispa rurasqa upyana; timpuchispa puquchisqa upyana yaku. <span fgcolor="#ff0000">Chicha.</span>\n<span fgcolor="#a403fb">- Tunas aqachata upyaykusun.</span>\n<span fgcolor="#0000ff">- Bebamos chichita de tuna.</span>
aqallpa	<span fgcolor="#228B22">(s).</span> Chawa sara, chawa hawas, chawa purutu, chawa imapas ñutupasqa. Kuta. <span fgcolor="#ff0000">Cereal crudo molido.</span>\n<span fgcolor="#a403fb">- Sara aqallpachawan lawakurqusun.</span>\n<span fgcolor="#0000ff">- Preparemos una sopita de maíz molido.</span>
aqaruway	<span fgcolor="#228B22">(s).</span> Tawa raprawan pawaykachaq uru. Chillikuman (chukllus) rikchakuq uru. Tinti. <span fgcolor="#ff0000">Langosta.</span>\n<span fgcolor="#a403fb">- Tarpuytam aqaruway pasaypaqta tukurqun.</span>\n<span fgcolor="#0000ff">- La langosta terminó por completo el sembrío.</span>
aqchi	<span fgcolor="#228B22">(s).</span> Anqas - chiqchi wasa puruyuq, yuraq qusñi qasquyuq purun pisqu; ñawchi tuspayuq, sillusapa atakayuq, wañusqa aychatapas kuruchakunatapas mikuq pisqu. Ankaman rikchakun. <span fgcolor="#ff0000">Milano.</span>\n<span fgcolor="#a403fb">- Aqchi waka akapi kuruchakunata maskaspa mikun.</span>\n<span fgcolor="#0000ff">- El milano come buscando los gusanos que se encuentra en el excremento de la vaca.</span>
aqnu	<span fgcolor="#228B22">(s).</span> Kilupa waranqa (1000) wakin tupu. <span fgcolor="#ff0000">Gramo.</span>\n<span fgcolor="#a403fb">- Huk kilu kuchinillapi ¿hayka aqnutaq kan?.</span>\n<span fgcolor="#0000ff">- ¿Cuántos gramos hay en un kilo de cochinilla?</span>
aqsu	<span fgcolor="#228B22">(s).</span> Pampakama wayukuq pacha. Hatun waya pacha. <span fgcolor="#ff0000">Túnica de mujer.</span>\n<span fgcolor="#a403fb">- Sumaq aqsuta rantirqusqanki.</span>\n<span fgcolor="#0000ff">- Habías comprado una túnica hermosa.</span>
aqu	<span fgcolor="#228B22">(s).</span> Ñutupasqa rumichakuna; mayukunapa patanpi utaq hatu - hatun quchakunapa patanpi llapa ñutu rumichakuna. <span fgcolor="#ff0000">Arena.</span>\n<span fgcolor="#a403fb">- Aquta huñukusun rantikunanchikpaq.</span>\n<span fgcolor="#0000ff">- Reunamos la arena para vender.</span>
aranwa	<span fgcolor="#228B22">(s).</span> Runapa kawsaynin yachapayay; qawakunapaq unanchasqa yachapayay. <span fgcolor="#ff0000">Drama, comedia.</span>\n<span fgcolor="#a403fb">- Ayakuchupi ayllupa kawsaynin aranwata qawakusun.</span>\n<span fgcolor="#0000ff">- Veamos la comedia sobre la vida de la familia ayacuchana.</span>
aranway	<span fgcolor="#228B22">(s).</span> Pukllaytaki, kaypachapi kawsay yachapayaq taki. Yachachikuq llulla willakuy. Asitaki. <span fgcolor="#ff0000">Canto gracioso, burlón y caricaturesco; fábula.</span>\n<span fgcolor="#a403fb">- Amawtanchikqa aranwaychatam sumaqta takin.</span>\n<span fgcolor="#0000ff">- Nuestro profesor canta bien la canción jocosa.</span>
armakuy	<span fgcolor="#228B22">(r).</span> Lliw uku mayllakuy chuyanakuy. <span fgcolor="#ff0000">Bañarse.</span>\n<span fgcolor="#a403fb">- Allinlla kawsayta munaspaqa sapa punchaw armakuy.</span>\n<span fgcolor="#0000ff">- Si quieres vivir sano, báñate todos los días.</span>
asiy	<span fgcolor="#228B22">(r).</span> Kusisqa chaqcharayay; kusisqa kaspa imawanpas utaq imamantapas waqaqaqay. <span fgcolor="#ff0000">Reír.</span>\n<span fgcolor="#a403fb">- Aranwaywanqa asinchikmi.</span>\n<span fgcolor="#0000ff">- Nos reímos con las canciones jocosas.</span>
askanku	<span fgcolor="#228B22">(s).</span> Kichkay kichkay chukchayuq yunka kuchi kaqlla purun uywa, uchuy uruchakuna mikuq; pipas hapiyta munaptinqa ruyru kichkaman tikrakuq uru. <span fgcolor="#ff0000">Erizo.</span>\n<span fgcolor="#a403fb">- Askankupa wasanqa kichkallañam.</span>\n<span fgcolor="#0000ff">- El lomo del erizo es espinoso.</span>
asna	<span fgcolor="#228B22">(s).</span> Ima waspipas sinqapa musyasqan. <span fgcolor="#ff0000">Olor.</span>\n<span fgcolor="#a403fb">- Rusas waytaqa sumaq asnayuqmi.</span>\n<span fgcolor="#0000ff">- La rosa tiene un olor aromático.</span>
asnapa	<span fgcolor="#228B22">(s).</span> Mikuy miskichiq tukuy rikchaq yuyukuna. <span fgcolor="#ff0000">Yerbas aromáticas, condimentos.</span>\n<span fgcolor="#a403fb">- Chay lawaman asnapata hinaykuy.</span>\n<span fgcolor="#0000ff">- Ponle yerbas aromáticas a esa sopa.</span>
asnaq	<span fgcolor="#228B22">(s).</span> Sinqapa musyasqan millay waspi (asna). <span fgcolor="#ff0000">Maloliente, apestoso.</span>\n<span fgcolor="#a403fb">- Asnaq chakikita mayllikuy.</span>\n<span fgcolor="#0000ff">- Lava tus pies malolientes.</span>
asnay	<span fgcolor="#228B22">(r).</span> Sinqawan millaypas miskipas waspiykuna musyay. <span fgcolor="#ff0000">Emanar olor.</span>\n<span fgcolor="#a403fb">- Qam miskichata asnanki.</span>\n<span fgcolor="#0000ff">- Tú hueles rico.</span>
asnu	<b>1.</b> <span fgcolor="#228B22">(s).</span> Mula kaqlla wasi uywa; hawchityaq uywa. <span fgcolor="#ff0000">Burro. </span><b>2.</b> <span fgcolor="#228B22">(s).</span> Mana yachay atiq runa. <span fgcolor="#ff0000">Bruto, poco inteligente.</span>\n<span fgcolor="#a403fb">1. Asnu hawchityamuchkan.</span>\n<span fgcolor="#0000ff">- El burro está rebuznando.</span>\n<span fgcolor="#a403fb">2. Wak maqtataqa asnu ninkum.</span>\n<span fgcolor="#0000ff">- A ese muchacho le dicen burro.</span>
astay	<span fgcolor="#228B22">(r).</span> Imatapas huklawman apay. <span fgcolor="#ff0000">Acarrear.</span>\n<span fgcolor="#a403fb">- Wasi ruranankupaq rumita astanku.</span>\n<span fgcolor="#0000ff">- Ellos acarrean piedras para construir la casa.</span>
atipaq	(s).Sasakuna llalliq runa. Haylliq runa. <span fgcolor="#ff0000">Vencedor.</span>\n<span fgcolor="#a403fb">- Atipaqta qipisun.</span>\n<span fgcolor="#0000ff">- Carguemos al vencedor.</span>
atipay	<span fgcolor="#228B22">(r).</span> Maskasqa tariy; sasakuna atiy. Haylliy. Llalliy. <span fgcolor="#ff0000">Vencer, ganar.</span>\n<span fgcolor="#a403fb">- Runaqa pitapas atipayta munan.</span>\n<span fgcolor="#0000ff">- El hombre quiere ganar a todos.</span>
atiy	<span fgcolor="#228B22">(r).</span> <span fgcolor="#228B22">(s).</span> Imapas qispichiy; imapas ipay, sasakuna allinchay. <span fgcolor="#ff0000">Poder.</span>\n<span fgcolor="#a403fb">- Wayrapa atiyninqa manchakuypaqmi.</span>\n<span fgcolor="#0000ff">- El poder del viento causa miedo.</span>
atiy-atiy	<span fgcolor="#228B22">(s).</span> Llumpay sasa, llumpay llumpay qipisapa. <span fgcolor="#ff0000">Dificilísimo, sobrecargado.</span>\n<span fgcolor="#a403fb">- Atiy - atiy qipiyuqmi rirqani.</span>\n<span fgcolor="#0000ff">- Yo he ido sobrecargado.</span>
atuq	<span fgcolor="#228B22">(s).</span> Taklla rinri, llampu chukcha, allqu kaqlla, aycha mikuq purun uywa; wallpata, chitata, taksa uywakunata mikuq sallqa uywa. <span fgcolor="#ff0000">Zorro.</span>\n<span fgcolor="#a403fb">- Atuqñataq wallpaykita suwarqunman.</span>\n<span fgcolor="#0000ff">- Cuidado que el zorro se lleve tu gallina.</span>
atuq atuq	<span fgcolor="#228B22">(s).</span> Umanpi iskay kaptakuyuq uru, sikinpi ulluyunmanta miyu (wañuchikuq yaku) lluqsimun. Hukkunaqa sirasira ninkutaqmi. <span fgcolor="#ff0000">Alacrán.</span>\n<span fgcolor="#a403fb">- Atuq atuq ullurquwaptinchikqa qanchis rikchaq waytawansi qaqukurquna.</span>\n<span fgcolor="#0000ff">- Si te pica el alacrán frótate con siete clases de flores.</span>
away	<span fgcolor="#228B22">(r).</span> Qaytukunata allwispa pacha ruray. <span fgcolor="#ff0000">Tejer, urdir.</span>\n<span fgcolor="#a403fb">- Ñawpaq runakunaqa sumaqchatam pachakunata awarqanku.</span>\n<span fgcolor="#0000ff">- Nuestros antepasados tejían muy bien las ropas.</span>
awqa	<span fgcolor="#228B22">(s).</span> Runa masin chiqniq; pipaqpas mana allin munaq; chiqninakuq utaq maqanakuq. <span fgcolor="#ff0000">Enemigo, adversario.</span>\n<span fgcolor="#a403fb">- Wakin runaqa yachay wasipa awqanmi.</span>\n<span fgcolor="#0000ff">- Algunos hombres son enemigos de la escuela.</span>
aya	<b>1.</b> <span fgcolor="#228B22">(s).</span> Wañusqa runa. <span fgcolor="#ff0000">Cadáver, muerto. </span><b>2.</b> <span fgcolor="#228B22">(s).</span> Aya uya runa. <span fgcolor="#ff0000">Pálido(a).</span>\n<span fgcolor="#a403fb">1. Pampana wasiman ayata apanku.</span>\n<span fgcolor="#0000ff">- Llevan el cadáver al cementerio.</span>\n<span fgcolor="#a403fb">2. Aya uyayuq sipas kinraypi sayachkan.</span>\n<span fgcolor="#0000ff">- La señorita de cara pálida está parada en la esquina.</span>
aycha	<span fgcolor="#228B22">(s).</span> Mana tulluyuq; uywapa utaq runapa qaran ukupi kaq. <span fgcolor="#ff0000">Carne.</span>\n<span fgcolor="#a403fb">- Allqu aychataqa manam mikunchikchu.</span>\n<span fgcolor="#0000ff">- Nosotros no comemos la carne de perro.</span>
ayllu	<span fgcolor="#228B22">(s).</span> Llaqtakunapi huñunasqa tiyaq runakuna; huk wasipi lliw yawar masikama tiyaq runakuna. <span fgcolor="#ff0000">Comunidad, familia.</span>\n<span fgcolor="#a403fb">- Aylluykita riqsichiway.</span>\n<span fgcolor="#0000ff">- Preséntame a tu familia.</span>
ayni	<span fgcolor="#228B22">(s).</span> Kutichinakuspa llamkapakuy, yanapakuy. <span fgcolor="#ff0000">Reciprocidad.</span>\n<span fgcolor="#a403fb">- Ayniqa ama chinkachunchu.</span>\n<span fgcolor="#0000ff">- Que no desaparezca el trabajo recíproco.</span>
