a	Vocal baja central.
allay, aymuray	<i>s.</i> Cosecha. Tiempo y trabajo en que se recogen los frutos o productos.
allay, aymuray	<i>tr.</i> Cosechar. Hacer la cosecha. || Recolectar, cosechar maíz. Tipiy.
allay	<i>tr.</i> Cavar. || Ahondar.
allay	<i>tr.</i> Escarbar. Remover la tierra. || Escarbar rascando con las uñas. Jasp'iy. || Rebuscar escarbando, como lo hacen las gallinas. Tharmiy.
allchhi	<i>s.</i> Nieto, ta respecto de la abuela.
alli kaq, alli sunqu, k'acha sunqu, alli sunquyuq	<i>adj.</i> Bondadoso, -sa. Lleno de bondad.
alli kay, k'acha kay, alli sunqu kay, llamp'u kay, llamp'u sunqu kay	<i>s.</i> Bondad. Calidad de bueno.
alli sunqu	<i>adj.</i> <i>fig.</i> Bondadoso, -sa.
alli	<i>adj.</i> Bueno, sano. || Bueno, -na. Que tiene bondad en su género. Sumaq. || Gustoso, agradable. K'acha.
allichaq	<i>adj. y s.</i> Componedor, corrector. || Reparador.
allichay, allinchay	<i>tr.</i> Componer, arreglar, corregir. || Reparar. Mirar con cuidado. Rikhuy, rikuy. || Advertir, apercibir. Musyay.
allichay, allinyachiy	<i>tr.</i> Conciliar. Poner de acuerdo, unir los ánimos.
allichay	Pachiy, sullpay. <i>tr.</i> Agradecer. Dar gracias.
allichay	<i>tr.</i> Aderezar, aliñar. || Componer. Combinar, formar de varias cosas una, juntándolas y colocándolas en orden. Tupachiy. || Aliñar. Adornar. K'achachay.
allilla kay	<i>s.</i> Salud.
allin iñiyniyuq, sullull	<i>adj.</i> Fiel. Leal.
allin yuyay	<i>s.</i> Conciencia. Sentimiento de lo justo.
allin	<i>adv.</i> Bien. De buena manera, sin inconveniente o dificultad. || <i>adj. y s.</i> Bueno. Allin, sumaq.
allincha	<i>s.</i> Norma.
allinchana	<i>s.</i> Normalización.
allinchay, allichay	<i>tr.</i> Componer, arreglar, corregir. || Reparar. Mirar con cuidado. Rikhuy, rikuy. || Advertir, apercibir. Musyay.
allinchay, chiqanchay	<i>tr.</i> Enmendar. Corregir, quitar defectos. || Escarmentar, corregir rigurosamente. Wanachiy. || <i>prnl.</i> Enmendarse. Chiqanyay. || <i>intr.</i> Tomar enseñanza de lo que no ha visto y experimentado, escarmentar. Wanay.
allinnaq, mana allinniyuq	<i>adj.</i> Desdichado, desgraciado.
allinnin	<i>adj.</i> Mejor. Superior a otra cosa. || Lo mejor de los productos. Wanlla. Patatas de gran tamaño y calidad: Wanlla papa.
allinniyuq, usapu, illayuq, alliyniyuq	<i>adj.</i> Acaudalado. || Rico. Qhapaq.
allinniyuq	<i>adj.</i> Auspicioso, venturoso, sin contratiempos.
alliñiqin	<i>adj.</i> Perfecto, mejor.
allinyay	<i>intr.</i> Reconciliarse, recuperar la amistad entre ambos.
alliy	<i>adv.</i> Despacio, lentamente.
alliyachiy, qhalichay, qhaliyachiy	<i>tr.</i> Sanar. Restituir al enfermo la salud. || <i>intr.</i> Recobrar el enfermo la salud. Qhaliyay, alliyay, thaniyay.
alliyay, qhaliyay, thaniyay	<i>intr.</i> Recobrar el enfermo la salud. || <i>tr.</i> Sanar. Restituir al enfermo la salud. Qhalichay, qhaliyachiy, alliyachiy.
alliymanta, alliyllawan, allimanta	<i>adv.</i> Despacio, cuidadosamente.
alliyniyuq, usapu, illayuq, allinniyuq, alliyniyuq	<i>adj.</i> Acaudalado. || Rico. Qhapaq.
allpaqa, paqu	<i>s.</i> Alpaca. Mamífero rumiante de la familia de camélidos.
allpariy, p'ituy	intrl. Afanarse. Bregar, trabajar con esmero.
allpi	<i>s.</i> Mezcla de harina con agua y cocida.
allp'a, JALLP'A	<i>s.</i> Suelo. Terreno. Superficie de la tierra.
allqa, tati	<i>s.</i> Interrupción. Acción de interrumpir. || Acción de dividir tirando con violencia por los extremos. P'iti.
allqa	<i>adj.</i> Blanquinegro, -gra. De color mezclado de blanco y negro.
allqa	<i>s.</i> Falla. Interrupción de la actividad, frustración.
allqachiy, tatichiy	<i>tr.</i> Interrumpir. Cortar la continuación de una acción en el lugar o en el tiempo. || Romper o arrancar una hebra. P'itiy.
allqamari	<i>s.</i> Alcamar. || Halcón. Ave rapaz diurna. Waman. || Cernícalo. K'illi, k'illichu.
allqay, allqakuy	<i>intr.</i> Fallar. Frustrarse. || Interrumpirse.
allqu	<i>s.</i> Perro. Can.
allquchay, map'achay	<i>tr.</i> Deshonrar. Quitar la honra. || Engañar, trampear, burlar. Pallquy.
allquchay, pisichay, yanqachay, yanqhachay, qisachay	<i>tr.</i> Despreciar. Tener en poco. Tener a menos.
allquchay, qhisachay, k'amiy, lutiy	<i>tr.</i> Injuriar. Ofender, agraviar, insultar.
allquchay	<i>fig.</i> <i>tr.</i> Escarnecer. Hacer mofa y burla de otro.
allwakuy	Ayñay. <i>s.</i> Ladrido. Voz que emite el perro.
allwi t'iriy	<i>tr.</i> Zurcir. Coser la rotura de una tela, juntando los pedazos con puntadas o pasos ordenados, de modo que la unión resulte disimulada. || Zurcir bordeando. Awakipay. || Zurcir mal. Qiquy, t'iriy.
allwi	<i>s.</i> Urdimbre. Conjunto de hilos que se ponen paralelamente en el telar para tejer.
allwiy	<i>tr.</i> Urdir. Preparar los hilos en la urdidera.
ama	<i>adv.</i> Prohibir.
ama	<i>adv.</i> No imperativo o prohibitivo. // No me digas: ama niwaychu. // No me hables: Ama parlawaychu. || No. Que denota negación. Mana.
amachaq, amachaqi	<i>s.</i> Abogado. || Intercesor. Rimapuqi, rimaysiq.
amachaq	<i>adj. y s.</i> Abogado. || Defensor, -ra. Que defiende. Jark'aq.
amachay	<i>intr.</i> Abogar. Defender en juicio. || Interceder. Rimapuy, rimaysiy.
amachay	<i>tr.</i> Defender con palabras. || Defender. Proteger, atajar, amparar. Jark'ay, sayarikuy.
amachay	<i>tr.</i> Refugiar. Amparar. || Acoger. Qurpachay.
amalluqi, AMUQLLU, amaqllu, amuqlli	<i>s.</i> Hernia. Incordio.
amani	<i>s.</i> Nodriza, ama de cría.
amañana	<i>adj. y s.</i> Práctica, ejercicio.
amaqllu, AMUQLLU, amalluqi	<i>s.</i> Hernia. Incordio.
amaraq	<i>adv.</i> Todavía, aún no. Adverbio de negación imperativa.
amaru	<i>s.</i> Boa, ofidio de tamaño considerable. || Culebra. Serpiente. Mach'aqwa, mach'aqway. || Víbora. Katari.
amatay	<i>tr.</i> Prohibir. Vedar, impedir.
amawta, JAMAWT'A	<i>s.</i> Doctor, -ra.
amawta, JAMAWT'A	<i>adj. y s.</i> Sabio, -bia. Que posee sabiduría. || Maestro, -tra. Quien enseña. Yachachiq.
ami, maji	<i>s.</i> Hastío, empalagamiento. || Maji. Aburrimiento. Fastidio, tedio, cansancio.
amichikuy	<i>prnl.</i> Empalagarse.
amichiy, amiy	<i>tr.</i> Hastiar. Causar hastío. || <i>prnl.</i> Hastiarse. Amikuy, majiy.
amikuy, majiy	<i>prnl.</i> Hastiarse. || Hastiar. Causar hastío. <i>tr.</i> Amiy, amichiy.
amisqa	<i>p.</i> Empalagado, hartado.
amiy	<i>tr.</i> Empalagar, hastiar. || <i>tr.</i> Hartar. Saciar. Saksachiy. || <i>prnl.</i> Hartarse saciarse. Saksay.
amlla, mak'a, q'ayma, jamya	<i>adj.</i> Insípido, -da. Falto de sabor. Desabrido. || Soso, que no tiene sal, o tiene poca. Laq'a.
amlla, qama	<i>adj.</i> Insípido, soso. || Desabrido, -da. Sin sabor, desagradable por falta de sabor. Q'ayma, laq'a.
amllayay, q'aymayay, qamayay	<i>intr.</i> Desabrirse. Perder el sabor la comida guardada. Mak'ayay.
ampi, utkhu	Unku. <i>s.</i> Algodón. Planta textil.
ampullu	<i>s. f.</i> Biznieta. Respecto de una persona, hija de su nieto o de su nieta.
ampullu	<i>s.</i> Tataranieta. Respecto de una persona, hija de su biznieto o biznieta.
ampuy	<i>intr.</i> y <i>rec.</i> Ayudarse recíprocamente entre dos o más personas.
amsaylla	<i>adv.</i> Rápidamente.
amu amu	<i>adj.</i> Callado, reservado.
amu kay	<i>s.</i> Mudez. Imposibilidad física de hablar.
amu, upa	<i>adj. y s.</i> Mudo, -da. Privado de la habla.
amo, wanu, kullcha, ruq'a	<i>s.</i> Abono. Sustancia con que se abona la tierra.
amuklli, AMUQLLU	<i>s.</i> Amígdala. Glándula a la entrada del esófago.
amukllu, AMUQLLU, thuqaypanta	<i>s.</i> Carraspera. Aspereza y sequedad de la garganta que enronquece la voz.
amullay	<i>tr.</i> Molestar, no dejar tranquilo a uno (JH).
amuqlli, AMUQLLU	<i>s.</i> Amígdala.
amuyachiy, upayachiy	<i>tr.</i> Hacer callar. || <i>intr.</i> Enmudecer. Quedar callado. Amuyay, upayay, upa tukuy.
amuyay, upayay, upa tukuy	<i>intr.</i> Enmudecer. Quedar callado. || <i>tr.</i> Hacer callar. Amuyachiy, upayachiy.
amuyay	<i>intr.</i> Enmudecer, perder el habla, quedar mudo.
ana	<i>s.</i> Lunar. Mancha en el cutis.
anana, achupalla	<i>s.</i> Ananás o piña.
anaq kay, sinchi kay	<i>s.</i> Dureza. Condición de duro, consistencia.
anaq, sallu	<i>adj.</i> Duro, -ra. Resistente, consistente. || Recio, fuerte. Sinchi. || Valiente, intrépido. Sinchi, sinch'i.
anasapa	<i>adj.</i> Lunarejo, -ja. Dícese de la persona que tiene uno o más lunares en el rostro.
anasu	<i>s. f.</i> Concubina. Conviviente, manceba, la querida.
ancha, achkha	<i>adv.</i> Mucho. Bastante.
ancha, sinchi, lluk	<i>adv.</i> Demasiado, -da. || <i>adj.</i> Demasiado, -da. Que tiene demasía. Manchay, sinchi, achkha.
ancha, sinchi, sinch'i	<i>adv.</i> Muy. Que indica grado sumo. || Mucho.
ancha	<i>adv.</i> Manchay, achkha, chay chhika. <i>adj.</i> Bastante. Que basta.
anchachay, sinchirquy	<i>tr.</i> Empeorar. Poner o volver peor.
anchachay	<i>tr.</i> Encarecer. Ponderar. Exagerar. || <i>intr.</i> Exagerarse. Anchayay.
ancha kay	<i>s.</i> Soberanía. Orgullo. presunción y amor propio desmedidos.
ancha kaynin, kuraq kaynin, yallin	<i>s.</i> Demasía. Exceso.
ancha qullana, yaru willka	<i>adj.</i> Eminentísimo,-ma. Excelentísimo.
ancha yupa	<i>adj.</i> Importante. || Demasiado.
anchaykuq kay	<i>s.</i> Arrogancia, soberbia, vanagloria.
anchaykuq	<i>adj.</i> Arrogante, soberbio.
anchhi	<i>adj. y s.</i> Glotón, tragaldabas. || <i>s.</i> Gemido, sollozo, lloro cortado con lágrimas y suspiros.
anchhikuy	<i>prnl.</i> Vivir en medio de diversiones y francachelas (JL).
anchhiy, llakipakuy	Jinchuy. <i>intr.</i> Suspirar. Dar suspiros.
anchhiy	<i>intr.</i> Gemir. Expresar con sonido y voz lastimera pena y dolor.
anchhuchiy	<i>tr.</i> Obligar a apartarse.
anchhuy	ithiy, ithiriy. <i>intr.</i> Apartarse. Alejarse, retirarse.
anch'ikuq	<i>adj. y s.</i> Dícese del que se paga de su gusto, regalón (JAL).
anch'ikuy	<i>prnl. y r.</i> Regalarse, pagarse de sus gustos, vivir muellemente (JAL).
anka irpa, anka mallku, mallku paka	<i>s.</i> Aguilucho. Cría del águila.
anka mallku, mallku paka, anka irpa	<i>s.</i> Aguilucho Cría del águila.
anka	Paka. <i>s.</i> Águila. Ave rapaz.
ankalli kay, awqalli kay	<i>s.</i> Rebeldía. Calidad y estado de rebelde.
ankalli	<i>adj. y s.</i> Rebelde. Que se rebela.
ankaylli juqharina	<i>s.</i> Acento. La mayor intensidad con que se pronuncia una sílaba de una palabra.
anku, jank'u	<i>s.</i> <i>Anat.</i> Nervio. Tendón. Fibra muscular.
anku	<i>adj.</i> Dícese a las personas muy delgadas (Pot.)
anku	<i>adj.</i> Elástico, -ca. Que se estira y encoge como la goma.
anku	<i>adj.</i> Flexible y consistente. || Consistente. Que tiene duración y consistencia. Chula, sallu.
ankuyay, tulluyay	<i>intr. y prnl.</i> Enflaquecer. Enflaquecerse, ponerse flaco.
ankhay	<i>adj. y pron.</i> Precisamente este y no otro: Ankhay rijakunata apanki, ama jaqaykunataqa. Llévate estas rejas de arado y no aquellas (JH).
ankhiy	khaskiy, jankhiy. <i>tr.</i> Acabar de comer con los dientes la carne adherida a un hueso (JH).
anqallu ñawpa	<i>Fon.</i> velar, postdorsal.
anqallu	<i>adj. y s.</i> Neol. Postvelar. Punto de articulación posterior del aparato fonador.
anqara	<i>s.</i> Recipiente grande de calabaza.
anqas	<i>adj.</i> Azul. Azur, de color del cielo.
anqasyay	<i>intr.</i> Azulear. Tirar a azul.
anqaylli	<i>s.</i> Eco. Repetición del sonido reflejado.
anqusa	<i>s.</i> Brindis. Acto de brindar.
anqusay, aypuriy	<i>tr.</i> Convidar. Invitar, rogar una persona a otra que la acompañe a comer, beber u otra cosa que le resultaría agradable.
anqusay	<i>intr.</i> Brindar. Manifestar, al ir a beber vino u otro licor, el bien que se desea a personas o cosas.
anquyra	<i>s.</i> Entusiasmo. Exaltación del ánimo.
ansaqiy, jajatiy	<i>intr.</i> Jadear. Respirar con dificultad.
anta	<i>s.</i> Cobre. Metal rojizo brillante.
anta chakra	<i>s.</i> Mina de cobre.
anta wayrunq'u, anta wanquyru, urqu wayrunqu	<i>s.</i> Zángano. Macho de la abeja maestra o reina. || Hombre holgazán. Qhilla, qirpa, illtha.
anta wich'i	<i>s.</i> Vasija hecha de cobre.
antara	<i>s.</i> Zampona. Caramillo.
antawara, akapana	<i>s.</i> Arrebol. Colorete, celaje. Aspecto que presenta el cielo cuando hay nubes tenues y de varios matices.
antay kiru	<i>adj.</i> Niño que aún no tiene diente.
antay raphi	<i>s.</i> Hoja seca propio en la estación de otoño.
antay ruphay	<i>s.</i> Arrebol o celaje vespertino, (<i>sinón:</i> Antawara).
antay qunchuy	<i>s.</i> Remolino de viento. || Polvareda.
anti runa	<i>s.</i> Hombre andino.
anti unquy	<i>s.</i> Enfermedad tropical.
anti	Inti lluqsiy. <i>s.</i> Oriente. Punto cardinal del horizonte, por donde sale el sol.
anti	<i>s.</i> Este.
antipta, antipi kaq, antimanta kaq	<i>adj. y s.</i> Andino. Relativo a la región de Los Andes.
antisuyu	<i>s.</i> Región este, parte comprendida por el lado de la salida del sol. Uno de las cuatro grandes regiones del Tawantinsuyu y que ocupa la región oriental de él.
añaka	<i>s.</i> Golosina. Manjar exquisito de pocos nutrientes.
añaku	<i>adj.</i> Persona que no tiene habilidad para el trabajo. || Vano, insulso, sin resultado, sin efecto. Yanqha.
añala, muq'i, millp'u	<i>s.</i> Antojo. Deseo vivo y pasajero.
añas, añasku, añathuya	<i>s.</i> Zorrillo. Zorrino, mofeta.
añasku, añas, añathuya	<i>s.</i> Zorrillo. Zorrino, mofeta.
añasu	<i>adj.</i> Concubina del hombre casado.
añasu	<i>adj. y s.</i> Adúltero.
añathuya, añas, añasku	<i>s.</i> Zorrillo. Zorrino, mofeta.
añawaya	<i>s.</i> Arbusto ramoso, espinoso, de flores amarillas que se usa como leña para el fuego.
añay ñiy	<i>tr.</i> Loar, alabar.
añay ñukñu, sumaq	<i>adj.</i> Exquisito, -ta. De singular y extraordinaria calidad, belleza, gusto, sabor, etc.
añay ñukñu	<i>adj.</i> Exquisito, delicado.
añay!, sullpay!, pachi!	¡Gracias! Exclamación de agradecimiento.
añay, sumaq, k'acha	<i>adj.</i> Bello, -lla. Hermoso, lindo.
añay, utirayay	T'ukuy. <i>tr. y prnl.</i> Admirar. Ver, contemplar con sorpresa, asombrarse.
añay	Llaksaku, t'uku. <i>s.</i> Admiración. Cosa admirable.
añay	<i>s.</i> Admiración, fascinación, entusiasmo.
añaychay, añay niy, jatunyachiy	<i>tr.</i> Alabar. Elogiar.
añaychay, añay niy, yupaychay	<i>tr.</i> Bendecir. Alabar.
añaychay, pachi, añaychay	<i>s. </i>Gratitud. Agradecimiento de un favor.
añaykachay, kaskiykachay, runaykachay	<i>intr.</i> Alardear. Hacer alarde.
añaykachay, k'askiykachay	<i>intr.</i> Presumir. Vanagloriarse.
añayllu	<i>s.</i> Hormiga con alas (<i>sinón:</i> Chhaka).
añu	<i>s.</i> Tubérculo de la familia de las tropoleas, algo semejante a la oca y se suele comer hervido o asado después de endulzarlo por asoleamiento (<i>sinón:</i> Isañu).
añuqchi	<i>adj.</i> Desmedrado, -da. Enteco, raquítico.
añuy	<i>tr.</i> Anudar el extremo de un lazo para que no se destrence (JH).
anyay, k'amiy, kunay	<i>tr.</i> Reprender. Corregir, amonestar a uno.
anyay	<i>s.</i> Reprensión, regaño, reproche.
anyay	<i>tr.</i> Zaherir. Censurar, reprender. || Bromear en forma indecente, usar burlas malas. Q'illmay.
apa	<i>adv.</i> Contigüidad de nacimiento entre un hermano o hermana mayor y otro u otra menor.
apa	<i>s.</i> Frazada gruesa hecha de telas o trapos.
apachiku, suchi	<i>s.</i> Remesa. Envío de algo a otra parte. || Encomienda.
apachikuy	<i>tr.</i> Enviar o mandar encomienda.
apachimuy	<i>tr.</i> Mandar, traer, hacer traer.
apachita	<i>s.</i> Altar de piedras amontonadas en los caminos de altas montañas.
apachiy, suchiy	<i>tr.</i> Remitir, mandar algo a alguien. || Enviar. Mandar. Kachay.
apajaq, apaqaq	<i>adj. y s.</i> Estafador.
apajay	<i>tr.</i> Estafar.
apaki	<i>s.</i> Cobertizo de ramas.
apamuy	<i>tr.</i> Traer. Conducir hacia acá. || Acercar hacia sí. Qayllachimuy.
apanqura	<i>s.</i> Cangrejo. Animal crustáceo.
apapura	<i>adj.</i> Hermanos contiguos en la edad.
apaqa	<i>s.</i> Represa desde donde se I lleva el agua para el riego.
apaqaq	<i>adj. y s.</i> Estafador.
apaqay	<i>tr.</i> Estafar.
apaqay	<i>tr.</i> Represar, entibar el agua para cambiarla de dirección.
aparikapuy	<i>v.</i> Llevarse algo ajeno. || Llevarse algo propio. Aparikuy.
aparikuy	<i>v.</i> Llevarse algo propio. || Llevarse algo ajeno. Aparikapuy.
aparki	<i>s.</i> Frazada usada con remiendos.
apasanka	<i>s.</i> Tarántula. Araña grande.
apatara	<i>s.</i> <i>Zool.</i> Cucaracha.
apawa	<i>s.</i> Antebrazo. Parte inferior del brazo, del codo hasta la muñeca.
apay, astay	<i>tr.</i> Transportar. Llevar de un lugar a otro. || Acarrear. Astay.
apay	<i>tr.</i> Llevar una cosa cual sea su forma. (Véase llevar).
apaykachaq	<i>s.</i> Transporte. Medio que se utiliza para transportar personas, mercancías, etc. de un lugar a otro.
apaykachay	<i>tr.</i> Dominar, manejar.
apaykuy, sat'iykuy, sat'iy	<i>tr.</i> Meter una cosa en otra.
apaykuy	<i>tr.</i> Meter. Poner dentro, introducir.
api	<i>s.</i> Mazamorra. Manjar de maíz, leche con azúcar.
apichu	<i>s.</i> Batata. Camote, tubérculo comestible.
apinquya	<i>s.</i> Granadilla. Planta paciflorácea de fruto comestible.
apu	<i>adj.</i> Supremo. Altísimo, que no tiene otro superior.
apu	<i>s.</i> Señor. || Gobernador.
apu	<i>s.</i> Señor. Por antonomasia, Dios. || Tratamiento que se da a cualquier hombre. Tata, tayta.
apu kay	<i>s.</i> Majestad. Grandeza.
apu kay	<i>s.</i> Señorío. Dominio sobre alguna cosa.
apu rimaq	<i>s.</i> Río caudaloso del Perú.
apu rukhu	<i>s.</i> Semental en los auquénidos.
apu simi, kamachi	<i>s.</i> Precepto. Orden, mandato.
apu suyu, qhapaq suyu	<i>s.</i> Reino. Território o Estado regido o governado por un rey.
apu ullantay	<i>s.</i> Drama quechua sobre los amores del general Ullanta y Kusi Quyllur, hija del inka Pachakuti.
apu yupa	<i>s.</i> Hombre que tiene alta autoridad.
apucha	<i>s.</i> Abuelo.
apuchay, yupaychay, qhapaqchay	<i>tr.</i> Venerar. Tributar sumo respeto, honrar.
apuchay, yupaychay, sumaychay	<i>tr.</i> Honrar. Enaltecer, venerar.
apuchay	<i>tr.</i> Elevar la calidad. || Alzar, levantar una cosa. Juqariy, uqhariy. || Elevar. Levantar en alto, enaltecer. Janaqchay.
apuskachaq	<i>adj.</i> Consentido, mimoso.
