Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
Tejido de algodón para confeccionar hamacas	<font color=ForestGreen><b>n.m.:</b></font> Achpiji
Hamaca	Tejido de hilo de algodón fabricada a mano, de acuerdo al contexto de cada pueblo originario. <font color=ForestGreen><b>n.f.:</b></font> Achu
Talón de ustedes	Manera de señalar a los demás la parte posterior del pie humano. <font color=ForestGreen><b>n.m.indic.pl.:</b></font> Achuksipewo
Su Toco	Mueble o taburete rústico. <font color=ForestGreen><b>n.m.coloq.indic.:</b></font> Achúmora
Cabeza de ustedes	Parte superior del cuerpo del hombre dicho de manera indicativa a un grupo de personas. <font color=ForestGreen><b>n.f.mod.indic.:</b></font> Achuti
¡Rebánenlo!	Orden de una persona a otras para que rebanen o corten frutas o maderas. <font color=ForestGreen><b>vtr.imper.:</b></font> Ajat-sigia
Uña de ustedes	Placa córnea y dura que cubre y protege la parte superior de la punta de los dedos del hombre y otros vertebrados. <font color=ForestGreen><b>n.f.mod.indic.:</b></font> Ajipño
¡Lean!	¡Canten! Mandato de leer a un grupo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ajira
Arqueado	Que está curvado en forma de arco. <font color=ForestGreen><b>adj.:</b></font> Aaku
Exclusivo para objetos	Tabla, pared o muro. Con simetría arqueada por fenómeno natural. <font color=ForestGreen><b>adj.:</b></font> Aakucho
Torcido o “simbrado”	Canoa torcida por efecto de la naturaleza. Persona que camina agachada por alguna enfermedad o edad. <font color=ForestGreen><b>adj.coloq.:</b></font> Aakuj'e
Arqueado	Planta de palmera, tacuara o bambú, chuchió, caña que tiene el tallo arqueado. Exclusivo para plantas o árboles. <font color=ForestGreen><b>adj.:</b></font> Aakuno
Torcido	 <font color=purple>Ej.</font> Cable, bejuco o rama, liñada, soga, que por su uso llega a torcerse.  <font color=purple>Ej.</font> Expresión que se da a la forma del arcoíris.  <font color=purple>Ej.</font> Camino o senda que tiene curva. <font color=ForestGreen><b>adj.coloq.:</b></font> Aakupi
Temor	Miedo que se siente al considerar que algo perjudicial o negativo ocurra. Sobresalto o sensación de alarma. Respuesta de la mente y del cuerpo de un estímulo repentino o inesperado (A la luz, sonido, ruido, movimiento, oscuridad). <font color=ForestGreen><b>n.m.:</b></font> Aami
Albóndiga - almóndiga	Alimento elaborado de carne molida con mezcla de varios ingredientes. <font color=ForestGreen><b>n.f.:</b></font> Aamonka
¡Reúnanse!	Acto de reunirse por orden de una persona. <font color=ForestGreen><b>vtr.imper.:</b></font> Aamutu
Decoración, colocación y combinación de alimentos elaborados	Que se exhiben para las fiestas religiosas.  <font color=purple>Ej.:</font> Pan de arroz, jalea, chancaca, bizcocho de maíz, chima de maíz, etc. <font color=ForestGreen><b>n.f.:</b></font> Aapájore
Peyorativo	Actitud negativa, frente a una persona que pone en duda su capacidad e integridad moral. <font color=ForestGreen><b>n.m.adj.:</b></font> Aatattaji
¡Lean bien! o ¡lean de verdad!	Orden de una persona a un grupo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ajiragienenajicha
Recomendación	Acción de recomendar de una persona a un grupo para que no se olviden de leer. <font color=ForestGreen><b>n.f.:</b></font> Ajirajnotsero
Quitar la piel, la cáscara, la corteza o la envoltura de algo	Pelen la cáscara de la yuca o de alguna fruta. <font color=ForestGreen><b>vtr.:</b></font> Ajochegia
Horno de ustedes	Bloque elaborado de barro para la cocina. Se utiliza para hornear, cocer, asar: pan, pan de arroz, bizcocho, carnes, etc. <font color=ForestGreen><b>n.m.pron.poses.:</b></font> Ajoono
Ajo (planta o cabeza)	Fruto en cápsula que encierra unas semillas arriñonadas; el bulbo, de olor y sabor intenso, también se usa como medicina tradicional. <font color=ForestGreen><b>n.m.:</b></font> Ájosi
Pez llamado belea	Pez de agua dulce y de cordillera. <font color=ForestGreen><b>n.m.zoo.:</b></font> Ajpe
Corredor	Ustedes son corredores. Grupo de personas rápidas para correr. <font color=ForestGreen><b>adj.n.f.m.pl.:</b></font> Ajunopoo'o - Ajumpoo'o
“Correteando”	Niños que corren sin ningún orden. <font color=ForestGreen><b>vtr.ger.coloq.:</b></font> Ajunopopuiko - Ajumpopuiko
¡Corran!	Orden de una persona a un grupo de personas para que corran. <font color=ForestGreen><b>verb.tr.imper.pl.:</b></font> Ajúnopa
Ejene	Insecto de color negro o gris muy pequeño, no más grande que la cabeza de un alfiler. Al picar sobre la piel, produce alergias, escozor y ardor intenso. <font color=ForestGreen><b>zool.n.m.:</b></font> Ákaesi
¡Invítenle!	Pedir a una persona que participe en una celebración o un acontecimiento organizado por uno mismo. <font color=ForestGreen><b>vtr.imper.:</b></font> Ákaji
¿Le invitaron?	Pregunta de una persona a otra si compartieron lo que tenían. <font color=ForestGreen><b>vtr.interrog.:</b></font> Akaji
¡Repártanse!	Dar a cada una de las personas que forman un grupo la parte que les corresponde de determinada cosa. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akajkoko
¿Se repartieron?	Pregunta de una persona a otros si se repartieron de lo que tenían. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Akajkoko?
Compartir	Dar a una persona parte de lo que tiene en partes iguales: alimentos, objetos, espacios. <font color=ForestGreen><b>vtr.:</b></font> Aktikko
¿La camisa de ustedes?	Se dice para saber si la camisa es de ustedes. <font color=ForestGreen><b>deter.poses.interrog.:</b></font> ¿Akámisa?
Su camisa	Prenda de vestir de otra persona. <font color=ForestGreen><b>n.f.pron.demos.:</b></font> Akamisa
¡Acéitense el cabello!	Orden a un grupo para que se aceiten el cabello. <font color=ForestGreen><b>vtr.prnl.imper.:</b></font> Akamasi
¿Se aceitaron?	Se dice para saber si las personas se aceitaron el cabello. <font color=ForestGreen><b>vtr.prnl.interrog.:</b></font> ¿Akámasi?
¡Estudien!	Se usa para ordenar que estudien o como también para preguntar si están estudiando. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akarawo'u
Hagan el favor	Aconsejar a alguien sobre lo que puede o lo que debe hacer para el bien o beneficio de otro. <font color=ForestGreen><b>vtr.:</b></font> Akatajigia
Expresión de sentir dolor momentáneo	<font color=ForestGreen><b>interj.coloq.:</b></font> Akayawini – Akeywini.  <font color=purple>Ej.:</font> ¡Por Dios que me duele! ¡Los ayes! <font color=purple>/</font> <font color=blue>¡Ayayai!</font>
Visitante	Tengan visita. Llevarle visitas. <font color=ForestGreen><b>adj.:</b></font> Akchimra
“Tengan yerno”	Exclusivo para exponer un pariente que pueda ser visto por todos. s.dem.m.coloq.: Akchina
¡Déjense sorprender!	Dejarse sorprender por personas. <font color=ForestGreen><b>vtr.imper.:</b></font> Akchimro'u
“Tengan nuera”	Exclusivo para exponer una pariente que pueda ser vista por todos. <font color=ForestGreen><b>demos.f.coloq.:</b></font> Akchineno
“Tengan vaso”	Exclusivo para exponer un objeto que pueda ser visto por todos. <font color=ForestGreen><b>pron.demos.coloq.:</b></font> Ákeeresi
¿Tienen Vaso?	Se utiliza para preguntar si tienen <font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Akeeresi?
¡Tengan amigo(a)!	Especialmente de posesión, pertenencia o inclusión, con la persona designada por el sujeto. <font color=ForestGreen><b>vtr.imper.:</b></font> Akemnaksare
¡Háganse querer!	Ganarse la amistad, el aprecio o la admiración de una persona. <font color=ForestGreen><b>vtr.indic.imper.:</b></font> Akemnaksi
¡Trabajen!	Someter a personas a una acción continua y ordenada. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akemtone
¡Háganse apalear!	Advertir de una posible paliza a alguien, en especial con un palo o con otro objeto contundente. <font color=ForestGreen><b>vtr.indic.imper.:</b></font> Akepchi
¡Háganse mojar!	Advertir castigo si llegara a quedarse impregnado de agua. <font color=ForestGreen><b>vtr.indic.imper.:</b></font> Akepsa'o
¡Ahúmense!	Persona que ordena desinfectar una cosa por medio de humo o vapores apropiados. <font color=ForestGreen><b>vtr.imper.prnl.:</b></font> Akepsi'o
¡Tengan machete!	Que ordena hacer posesión, pertenencia, exclusivo de un machete. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ákesaviipe
¿Trajeron machete?	Se usa para preguntar si han traído machete. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Akesaviipeji
¡Hagan chicotear!	Imponer un castigo a quienes ha cometido un delito o una falta. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akesta
¿Los chicotearon?	Castigar con el chicote u otro objeto semejante a un animal o una persona. <font color=ForestGreen><b>vtr. interrog.pl.:</b></font> Akestano
¡Apártense!	Poner a una persona o una cosa lejos o más lejos de otra o de un lugar determinado. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akewis'a – Akosku'a
Advertencia	1.- <font color=ForestGreen><b>n.m.:</b></font> Acción de advertir una situación peligrosa. 2.- <font color=ForestGreen><b>vtr.neg.:</b></font> Rehusar a recibir a una persona(s). <font color=ForestGreen><b>n.f.:</b></font> Akagieji
¿Tienen nombre?	Preguntar una persona a otras sobre sus nombres. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> ¿Akíjare?
¡Háganse bautizar!	Administrar a una persona el sacramento del bautismo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akikchosi
¡Háganlo llegar!	Pasar a estar [una persona o en el fin o el término de un desplazamiento. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Akitekpa
¡Molestosos!	Personas que causan molestia continua. <font color=ForestGreen><b>adj.pl.:</b></font> Akitemra'i
¡Preocúpense!	Persona que manda ocupar insistentemente el pensamiento de muchas personas a algo que puede ser perjudicial. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akjaasamre
¡Insistan!	Hacer hincapié en algo, para destacar su importancia, repitiéndolo. vrt.imper.pl.: Akmesa
¡Cocinen!	Ordenar preparar un alimento para que quede listo para ser comido. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akmet-si
Anunciar	1.- Ordenar para que se anuncie un mensaje, aviso, noticias, etc. 2.- Hacer saber una cosa o darla a conocer públicamente. <font color=ForestGreen><b>vtr.:</b></font> Akmetoriru
Aprovechar	1.- Ordenar a un grupo de personas aprovechar el tiempo a consultar algo a alguien en el momento oportuno. 2.- Utilizar cierta circunstancia para obtener provecho o conseguir algo en beneficio propio. <font color=ForestGreen><b>vtr.:</b></font> Akmopra
¡Lleven su remo!	Ordenar exclusivamente a un grupo de personas para que lleven su remo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aknoopeji
¡Lleven su carga en naracuraqui!	Orden de una persona a un grupo para que lleven la carga del lugar en naracuraqui. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aknorogi
¡Asen!	Ordenar preparar un alimento mediante la acción directa del fuego o del calor. Asar: pescado, carne, pollo, etc. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akojmoru
¡Chapapeen!	Forma de asar diferentes variedades de carne en chapapa (Parrilla de madera rústica). <font color=ForestGreen><b>coloq.imper.vtr.pl.:</b></font> Akojtoru
¿Tienen plato?	Pregunta de una persona a un grupo si tienen el utensilio de cocina. <font color=ForestGreen><b>vtr.interrog.pl.:</b></font> Akokrujo
¡No roben!	Advertencia de no quitar a una persona algo que le pertenece. <font color=ForestGreen><b>adv.imper.pl.:</b></font> Akomeriko
Sorprender o pillar a alguien desprevenido haciendo una falta	¡Ya son castellano hablante! Personas originarias que por el tiempo dejan de hablar su idioma y hablan el castellano. <font color=ForestGreen><b>vtr.coloq.pl.:</b></font> Akomeripo
Aculturar	¡Mucho hablan castellano! Grupo de personas originaria que tienen su propio idioma pero que utilizan más el castellano, adaptándose a ella para comunicarse en diferentes contextos y van perdiendo la propia. <font color=ForestGreen><b>n.f.pl.:</b></font> Akomeririkporo
¡Báñense!	Ordenar de una persona a un grupo a bañarse. <font color=ForestGreen><b>vtr.pron.imper.pl.:</b></font> Akowa
¿Es su recipiente?	Objeto o utensilio cóncavo que se utiliza para bañarse. <font color=ForestGreen><b>n.m.deter.poses.:</b></font> Akowrosi
¿Ya tienen?	Preguntan de una persona a un grupo si tienen o poseen algunas pertenencias <font color=ForestGreen><b>vtr.pres.indic.pl.:</b></font> Akoy'e – Akoy'eripo
¿Tuvieron relaciones sexuales?	Preguntar si tuvieron trato amoroso o sexual a un grupo de personas. <font color=ForestGreen><b>n.f.pl.interrog.:</b></font> Akoyeno – Akoyenoripo
¿Están con sus mujeres?	Pregunta de una persona a otras si están acompañados de sus mujeres. <font color=ForestGreen><b>vtr.prep.interrog.pl.:</b></font> Akoyenoji
¿Están con sus esposos?	Pregunta de una persona a otras mujeres si están con sus esposos. <font color=ForestGreen><b>vtr.prep.interrog.pl.:</b></font> Akimaji
Adictos al sexo	Necesidad incontrolable por sexo de todo tipo. Compulsión incontrolable. <font color=ForestGreen><b>adj.n.f.pl.:</b></font> Akoyenora'i
¡Tienen que sembrar!	Orden de una persona a un grupo esparcir semillas en un terreno preparado para que germinen. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aksukrereko
¡Siembren!	Orden de una persona a un grupo para que siembren. 3ª per.pres.imper.pl.: Aksukre
¡Moléstenlo!	Hacer que algunas personas hagan algo a otra y resulte incómodo. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Aktemo
¡Lleven cuchillo!	Orden a un grupo para que dispongan un cuchillo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aktumraji
1.- ¿Ésta cuchara de ustedes?	Pregunta de una persona a un grupo si ese objeto es propiedad de alguno. <font color=ForestGreen><b>pron.poses.interrog.pl.:</b></font> ¿Akuchara?
1.- La cuchara es de ustedes	Afirmación de una persona de que la cuchara pertenece a alguien del grupo. <font color=ForestGreen><b>pron.poses.dem.pl.:</b></font> Akuchara
¡Sáquenlo!	Orden de una persona a un grupo para que expulse a alguien o algo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akuchka
¡Lo tienen que sacar!	1.- Orden de una persona a otras para desalojar a alguien de un lugar determinado. 2.- Orden de una persona a un grupo para que saquen a un animal u objeto del lugar. <font color=ForestGreen><b>vtr.imper.cond.:</b></font> Akuchkoyre
¿Lo van sacar?	Pregunta de una persona a un grupo si van a desalojar a alguien de un lugar. <font color=ForestGreen><b>vtr.interrog.condic.pl.:</b></font> ¿Akuchkoyre?
¡Persistan!	Ordenar a grupo mantenerse firme y constante en una manera de ser o de obrar. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akukinajiru
Será su cuarto de cocina	Indica que la sala de cocina será de alguien o algunos. <font color=ForestGreen><b>pron.poses.sing.:</b></font> Akusnayre
Es su plato	Afirmación de una persona sobre el utensilio de otro. <font color=ForestGreen><b>pron.poses.sing.:</b></font> Akuujo
¿Es su plato?	Pregunta de una persona a un grupo si el plato les pertenece. <font color=ForestGreen><b>pron.poses.sing.interrog.:</b></font> ¿Akuujo?
¡Dénle oficio!	Que sean mandados a realizar una actividad productiva. <font color=ForestGreen><b>mod.subj.imper.pl.:</b></font> Akwonra
Declarar a una persona apta y madura para tener relaciones sexuales	<font color=ForestGreen><b>vtr.imper.:</b></font> Akyeno
¡Hagan quisa!	Orden de una persona a un grupo para que pongan a secar el plátano maduro al sol y éste dure más tiempo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akyine
¡Lleven singa!	1.- Orden de una persona para que lleven singa. 2.- Lo usamos para referirnos al bastón de apoyo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Akyupuiigi
¡Su piedra!	Señala una relación de posesión entre el objeto poseído. Su piedra de afilar cuchillos. <font color=ForestGreen><b>adj.poses.sing.:</b></font> Amaane
¿Es su piedra?	Pregunta una relación de posesión entre el objeto poseído. <font color=ForestGreen><b>Adj.poses.interrog.:</b></font> ¿Amaane?
Es su mantel	Afirma posesión de objeto. <font color=ForestGreen><b>adj.afirm.poses.:</b></font> Amanteresi
¿Es su mantel?	Pregunta una relación de posesión entre el objeto poseído. <font color=ForestGreen><b>Adj.poses.interrog.:</b></font> ¿Amanteresi?
¡Pónganle enema!	Aplicar un tratamiento para hacer desaparecer un malestar intestinal con fines laxantes. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Amasrucha
Son consuegros	Atribuir al sujeto de la oración una cualidad o condición intrínseca familiar. <font color=ForestGreen><b>v.cop.pres.ind.:</b></font> Amatnare
¿Son sus consuegros?	Pregunta al sujeto condición familiar. <font color=ForestGreen><b>v.cop.interrog.:</b></font> Amatnare
¡Avísenle!	Manera de informar un recado, Mensaje o aviso para actuar con precaución. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Amétaka
¿Ya le avisaron?	<font color=ForestGreen><b>vtr.interrog.afirm.:</b></font> Ametokoripo
Olla de ustedes	Afirmación de posesión grupal de un objeto. <font color=ForestGreen><b>pron.poses.pl.afirm.:</b></font> Amet-si
¿Es la olla de ustedes?	Pregunta una relación de posesión grupal con el objeto. <font color=ForestGreen><b>pron.poses.interrog.pl.:</b></font> ¿Amet-si?
¡Discúlpense!	Pedir perdón en grupo o justificarse por haber cometido una falta. <font color=ForestGreen><b>v.prnl.imper.pl.:</b></font> Ametuchapo
Cuentero, chismoso	Que es aficionado a contar chismes. <font color=ForestGreen><b>adj.nf.nm.sing.:</b></font> Ametura'i
¡Alúmbrenle!	Ayudar a una persona iluminando el lugar. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Amikucha
Sus máscaras	Afirma que las máscaras les son pertenecientes. <font color=ForestGreen><b>adj.poses.pl.afirm.:</b></font> Amimro
¿Son sus mascaras?	Pregunta de posesión una persona a un grupo de las máscaras. <font color=ForestGreen><b>adj.poses.pl.interrog.:</b></font> ¿Amimro?
Sus rostros	Indicar, mostrar dirigiendo el dedo, hacia los rostros. <font color=ForestGreen><b>adj.dem.pl.:</b></font> Amiro
Sus patios	Afirmación de una persona que el patio delantero de una casa les pertenece. <font color=ForestGreen><b>adj.afirm.poses.pl.:</b></font> Amiro'u
Polilla	Mariposa nocturna y destruye la materia donde anida: maderas, telas y papeles. <font color=ForestGreen><b>zool.n.f.:</b></font> Amirogisi
Día de los difuntos	Celebración de una fiesta religiosa dedicada a los fieles difuntos. <font color=ForestGreen><b>adj.colq.:</b></font> Ammam'i
Sus pestañas	Indicar, mostrar dirigiendo el dedo, las pestañas de los demás. <font color=ForestGreen><b>adj.dem.pl.:</b></font> Amotsipa
Se echaron a perder	Comienzo de realizar una actividad con resultados negativos. <font color=ForestGreen><b>v.prnl.pl.:</b></font> Amopruji
¡Descansen!	Ordenar a un grupo hacer una pausa en el trabajo para recuperar fuerzas. <font color=ForestGreen><b>vintr.imper.pl.:</b></font> Anáraka
Pachío	Fruto comestible de la selva de color amarillo, y que también es cultivado. <font color=ForestGreen><b>bot.n.m.:</b></font> Anariya
¡Empiecen!	Persona que ordena a un grupo para empezar una actividad. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anekcha
¡Escojan!	Orden de separar las semillas buenas de las defectuosas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aneregie'a
Escoger	Elegir o tomar los primeros frutos que están maduros de los que no sirven. <font color=ForestGreen><b>vtr.inf.:</b></font> Anerejigia
Cruce	Puerto donde se atraviesa un río, arroyo <font color=purple>/</font> Acto de cruzar animales. <font color=ForestGreen><b>n.m.:</b></font> Anéreku
¡Saquen lo que estorba!	Orden a un grupo de sacar lo que estorba en la sanja o rio para poder pasar. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anereku'a
¡Escojan!	Ordena seleccionar o preferir a una de las mejores telas, calaminas, plásticos, papel, cuero. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aneremegia
¡Escójanlo!	Ordena a grupo de seleccionar algo exclusivo soga, pita, alambre, bejuco, cable, de acuerdo al grosor. <font color=ForestGreen><b>vtr.imper.sing.:</b></font> Anerepigia
¡Seleccionen!	Ordena un grupo de personas para que seleccionen las mejores hojas de plantas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anerepókocha
¡Vayan a leñear!	Orden de una persona a un grupo que vayan a traer leña. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anerigia
¿Ya leñearon?	Pregunta que se hace a un grupo para saber si realizaron el trabajo recolectar leña. <font color=ForestGreen><b>vtr.interrog.afirm.pl.:</b></font> ¿Anerikripo?
¡Tienen que leñear!	Se utiliza para dar orden a un grupo de personas para que ejecuten la acción. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anerikyore
¡Escojan!	Ordena seleccionar o preferir lo que mejor le parezca a un grupo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anerioka
¡Escojan bien!	Orden de una persona a un grupo para que se elijan bien a personas, alimentos, animales y cosas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aneriokapgienenajicha
¡Escójanlo!	Orden de una persona a un grupo para que se escojan personas, animales, plantas, y cosas, muy exclusivamente. <font color=ForestGreen><b>vtr.imper.sing.:</b></font> Aneriokwoka
¡Coman!	Invitación u orden de una persona a un grupo para comer. <font color=ForestGreen><b>vtr. imper.pl.:</b></font> Anigia
Es lo que le gusta	Forma propia que tiene cada persona de apreciar o valorar para que le sirvan su comida preferida. <font color=ForestGreen><b>n.m.:</b></font> Aniksare
¡Van a comer! / ¿Van a comer?	Orden de una persona a un grupo que coman. <font color=purple>/</font> También se utiliza para preguntar. <font color=ForestGreen><b>vtr.imper.interrog.pl.:</b></font> Anikyore
¡Muérdalo!	Ordena para que le saquen una tajada con una mordida (queso, pan de arroz, empanizado, etc) <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anipachoka
¡Desmenucen!	Trocear algo en partes muy pequeñas carne, pollo, charque. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Avesyayajigia
¡Coman!	Orden de una persona a un grupo para que coman chivé o harina de Pescado. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Aniparegia
¡Muerdan el piojo!	Ordena clavar los dientes al insecto parásito, causando su eliminación del cabello. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anistuka
¡Muérdanlo!	Orden de una persona a otras para que muerdan la parte.de un objeto queso, empanizado, pan, frutas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anitapoka
¡Mastiquen!	Ordena plastar o triturar algo en la boca con los dientes (chicle, carne). <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Anipchachajigia <font color=purple>/</font> aniwawa'igia
De color verde	Alimento o fruta no madura. <font color=ForestGreen><b>n.m.adj.:</b></font> Ano'o
Lápiz o marcador de color verde	Tronco de árbol cortado que está verde. <font color=ForestGreen><b>n.m.adj.:</b></font> Ano'ogi
Forma alagarda exclusiva de alimentos y cosas color verde	Fruta de Pacay, vaina del fréjol, liñada de color verde, gusano, víbora, cable, soga, trenza, cinta, hilo. <font color=ForestGreen><b>n.m.adj.:</b></font> Ano'opi
Frutas de color verde o que no están maduras	También para referirse a cosas: cisterna, balón, galón, turril, casa que son de color verde. <font color=ForestGreen><b>n.m.adj.:</b></font> Ano'o'i
Ojos de color verde	Personas, animales que tienen el ojo de color verde. <font color=ForestGreen><b>n.m.adj.:</b></font> Ano'o'ugi
No está maduro	Que todavía no ha alcanzado su desarrollo completo y no está en la Sazón debida para ser recolectado o consumido Semillas de arroz, maíz. <font color=ForestGreen><b>n.m.adj.:</b></font> Anogji
Patas de color verde	Exclusivo para muebles: silla, mesa, cama, banco, taburete. <font color=ForestGreen><b>n.f.adj.:</b></font> Ano'ogiope
Personas con uñas pintadas de color verde	<font color=ForestGreen><b>n.f.adj.pl.:</b></font> Ano'ojipño
¡Empiecen!	Ordena a un grupo para que empiecen una actividad o trabajo. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ano'okapo
Objetos de color verde	Tela, papel, hule, polera, camisa, agua, calamina pintado de color verde. <font color=ForestGreen><b>n.m.adj.:</b></font> Ano'omo
Espacios de color verde	Terrenos, pastizales, potreros, bajios, canchas, de color verde. <font color=ForestGreen><b>n.m.adj.:</b></font> Ano'opa'i
Raíz verde	Raíz del árbol que no está seco o marchito. <font color=ForestGreen><b>n.f.adj.:</b></font> Ano'opore
Rama o gajo del árbol que no está seco y presenta color verde	<font color=ForestGreen><b>n.f.adj.:</b></font> Ano'otawo
Forma geométrica redonda pintada de color verde	<font color=ForestGreen><b>adj.:</b></font> Ano'osi
Orilleras de color verde como lagunas, pozos	<font color=ForestGreen><b>n.f.adj.:</b></font> Anocheyoroku
Objetos con bordes de color verde	<font color=ForestGreen><b>n.f.adj.:</b></font> Anocheyoropi
Tabla o madera pintada de color verde	<font color=ForestGreen><b>n.f.adj.:</b></font> Anocho
Madera o tabla que no esta seca	<font color=ForestGreen><b>n.f.adj.:</b></font> Ano'ocho
Espigas de arroz con el tronco aún verde	<font color=ForestGreen><b>n.f.adj.pl.:</b></font> Anochpe
¡Pónganlo! / ¡Déjenlo!	Ordena hacer que una persona poner una cosa en un lugar determinado. <font color=ForestGreen><b>vtr.imper.sing.:</b></font> Anokigia
