acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
ami	<font color=#2E8B57>ESP:</font> pasto\n<font color=blue>AYM:</font> qura\n<font color=#FF8C00>ENG:</font> fodder
amim = amim cjila	<font color=#2E8B57>ESP:</font> tú mismo, tú siempre\n<font color=blue>AYM:</font> juma pini\n<font color=#FF8C00>ENG:</font> you yourself
amjaz	<font color=#2E8B57>ESP:</font> desgustarse\n<font color=blue>AYM:</font> amjasiña\n<font color=#FF8C00>ENG:</font> to be fed up with, to be tired of
amjaz	<font color=#2E8B57>ESP:</font> despertar de un sueño hondo y estar medio dormido\n<font color=blue>AYM:</font> ikimaya\n<font color=#FF8C00>ENG:</font> to wake up from a deep sleep and not be fully awake
amta	<font color=#2E8B57>ESP:</font> de usted/suyo, de ti/tuyo\n<font color=blue>AYM:</font> jumata, jumana\n<font color=#FF8C00>ENG:</font> yours (formal and informal)
amtayc̈ha	<font color=#2E8B57>ESP:</font> animar a comenzar\n<font color=blue>AYM:</font> amtayaña\n<font color=#FF8C00>ENG:</font> to encourage to start
amtiz	<font color=#2E8B57>ESP:</font> planear trabajo, plan de trabajo\n<font color=blue>AYM:</font> amtaña\n<font color=#FF8C00>ENG:</font> to plan work, a work plan
amtiz	<font color=#2E8B57>ESP:</font> recordar brindando a los santos/espíritus\n<font color=blue>AYM:</font> amtaña\n<font color=#FF8C00>ENG:</font> to drink to saints/spirits
amu	<font color=#2E8B57>ESP:</font> demasiado humilde\n<font color=blue>AYM:</font> llamp'u chuymani\n<font color=#FF8C00>ENG:</font> very humble
amulaz	<font color=#2E8B57>ESP:</font> quedarse sin nada\n<font color=blue>AYM:</font> jan kunan kirasiña\n<font color=#FF8C00>ENG:</font> to fail completely, to be left without anything
amuyt'az	<font color=#2E8B57>ESP:</font> prevenirse de un engaño o peligro\n<font color=blue>AYM:</font> amuyt'asiña\n<font color=#FF8C00>ENG:</font> to be aware of a mistake or a danger
amz	<font color=#2E8B57>ESP:</font> amar, respetar, adorar\n<font color=blue>AYM:</font> munaña\n<font color=#FF8C00>ENG:</font> to love, to respect, to worship
amzta	<font color=#2E8B57>ESP:</font> subida de cerro\n<font color=blue>AYM:</font> patarmistuña, irsuña\n<font color=#FF8C00>ENG:</font> incline of a hill (upward)
ana	<font color=#2E8B57>ESP:</font> no\n<font color=blue>AYM:</font> janiwa\n<font color=#FF8C00>ENG:</font> no
ana c̈hjul	<font color=#2E8B57>ESP:</font> nada de (cosas)\n<font color=blue>AYM:</font> jani kunasa\n<font color=#FF8C00>ENG:</font> nothing, not any (things)
ana c̈hjulumi = ana jakzilta	<font color=#2E8B57>ESP:</font> ninguno (personas, animales)\n<font color=blue>AYM:</font> jani khitisa, jani kunasa\n<font color=#FF8C00>ENG:</font> nobody, no one, none of (persons, animals)
ana enenz̈cu	<font color=#2E8B57>ESP:</font> sin demora\n<font color=blue>AYM:</font> ratuki\n<font color=#FF8C00>ENG:</font> without delay
ana jaa	<font color=#2E8B57>ESP:</font> ...¿no?,...¿verdad?,...¿no es así?\n<font color=blue>AYM:</font> jalla, janti\n<font color=#FF8C00>ENG:</font> ... isn't it?, ...aren't you?
ana jaknuz̈quin	<font color=#2E8B57>ESP:</font> de ninguna manera\n<font color=blue>AYM:</font> ukhamallaksa\n<font color=#FF8C00>ENG:</font> in no way, not at all
ana jakzilta = ana c̈hjulumi	<font color=#2E8B57>ESP:</font> ninguno (personas, animales)\n<font color=blue>AYM:</font> jani khitisa, jani kunasa\n<font color=#FF8C00>ENG:</font> nobody, no one, none of (persons, animals)
ana jecmi	<font color=#2E8B57>ESP:</font> nadie\n<font color=blue>AYM:</font> jani khitis\n<font color=#FF8C00>ENG:</font> nobody
ana jiwjata	<font color=#2E8B57>ESP:</font> sin temor\n<font color=blue>AYM:</font> jani jiwjataña\n<font color=#FF8C00>ENG:</font> boldly
ana payznakz̈cu	<font color=#2E8B57>ESP:</font> sin dudar\n<font color=blue>AYM:</font> jani paynaqchaña\n<font color=#FF8C00>ENG:</font> without wavering, without any doubt
ana wali	<font color=#2E8B57>ESP:</font> muy malo\n<font color=blue>AYM:</font> ñanqha saxra\n<font color=#FF8C00>ENG:</font> very bad, evil
ana z̈eli atz	<font color=#2E8B57>ESP:</font> turbado\n<font color=blue>AYM:</font> mulla phallata\n<font color=#FF8C00>ENG:</font> troubled, upset, restless
anapan	<font color=#2E8B57>ESP:</font> nunca\n<font color=blue>AYM:</font> janipini, janiwiras\n<font color=#FF8C00>ENG:</font> never
anarpayz	<font color=#2E8B57>ESP:</font> soltar animales para pastear\n<font color=blue>AYM:</font> anarpayaña\n<font color=#FF8C00>ENG:</font> to let animals loose to graze
ancha = taz̈pacha = wacchi	<font color=#2E8B57>ESP:</font> mucho, muy\n<font color=blue>AYM:</font> ancha, wakita\n<font color=#FF8C00>ENG:</font> much, very
ancha chjunamaj	<font color=#2E8B57>ESP:</font> hace cuatro días\n<font color=blue>AYM:</font> pusüruta\n<font color=#FF8C00>ENG:</font> four days ago
ancha zaz̈way	<font color=#2E8B57>ESP:</font> ¿cierto?, ¿de verdad?\n<font color=blue>AYM:</font> chiqati?\n<font color=#FF8C00>ENG:</font> really?, truly?
anc̈hjucqui	<font color=#2E8B57>ESP:</font> ustedes\n<font color=blue>AYM:</font> jumanaka\n<font color=#FF8C00>ENG:</font> you (pl.)
anc̈hucalta	<font color=#2E8B57>ESP:</font> de ustedes\n<font color=blue>AYM:</font> jumanakata, jumanakana\n<font color=#FF8C00>ENG:</font> yours (pl.)
anila	<font color=#2E8B57>ESP:</font> añelina (tintas para colorar)\n<font color=blue>AYM:</font> añilina, qulla\n<font color=#FF8C00>ENG:</font> dye
animala	<font color=#2E8B57>ESP:</font> animal\n<font color=blue>AYM:</font> animala, uywa\n<font color=#FF8C00>ENG:</font> animal
animc̈ha	<font color=#2E8B57>ESP:</font> estar animado para hacer algo\n<font color=blue>AYM:</font> animjata\n<font color=#FF8C00>ENG:</font> to be encouraged to do something
animt'az	<font color=#2E8B57>ESP:</font> resistir fuerte\n<font color=blue>AYM:</font> animt'aña\n<font color=#FF8C00>ENG:</font> to strongly resist
anjatz	<font color=#2E8B57>ESP:</font> poner ganado en corral\n<font color=blue>AYM:</font> anantaña\n<font color=#FF8C00>ENG:</font> to put the herd in the corral
anjil kjara = chojzi kjara	<font color=#2E8B57>ESP:</font> pequeños arcos de tola al norte y sur del techo\n<font color=blue>AYM:</font> mujuna\n<font color=#FF8C00>ENG:</font> small arches of tola on the N. and S. sides of roof
anjila	<font color=#2E8B57>ESP:</font> ángel\n<font color=blue>AYM:</font> anjila\n<font color=#FF8C00>ENG:</font> angel
antala	<font color=#2E8B57>ESP:</font> nombre de caricia para hija\n<font color=blue>AYM:</font> waway, imillay\n<font color=#FF8C00>ENG:</font> affectionate name for a daughter
antiju	<font color=#2E8B57>ESP:</font> anteojos\n<font color=blue>AYM:</font> linti\n<font color=#FF8C00>ENG:</font> eyeglasses
antiz	<font color=#2E8B57>ESP:</font> reunir (personas, animales)\n<font color=blue>AYM:</font> tantaña\n<font color=#FF8C00>ENG:</font> to gather together (persons, animals)
anulz	<font color=#2E8B57>ESP:</font> anular/contrarrestar planes de otro\n<font color=blue>AYM:</font> anulaña\n<font color=#FF8C00>ENG:</font> to cancel/ruin plans of another person
aña	<font color=#2E8B57>ESP:</font> lunar\n<font color=blue>AYM:</font> ana\n<font color=#FF8C00>ENG:</font> mole (on person)
aña nawi	<font color=#2E8B57>ESP:</font> año nuevo\n<font color=blue>AYM:</font> machaq mara\n<font color=#FF8C00>ENG:</font> New Year
añawiy cha'pi	<font color=#2E8B57>ESP:</font> arbusto espinoso\n<font color=blue>AYM:</font> añaway ch'api\n<font color=#FF8C00>ENG:</font> spiny bush
añz = jaziqui	<font color=#2E8B57>ESP:</font> ahora\n<font color=blue>AYM:</font> jichha\n<font color=#FF8C00>ENG:</font> now
añzilla	<font color=#2E8B57>ESP:</font> ahorita\n<font color=blue>AYM:</font> anchhichhita\n<font color=#FF8C00>ENG:</font> right now
ap apz	<font color=#2E8B57>ESP:</font> seguir siguiendo\n<font color=blue>AYM:</font> arkayaña\n<font color=#FF8C00>ENG:</font> to keep following
apakz	<font color=#2E8B57>ESP:</font> sacar, quitar\n<font color=blue>AYM:</font> apsuña, apaqaña\n<font color=#FF8C00>ENG:</font> to take out, to take away, to remove
apakz	<font color=#2E8B57>ESP:</font> bajar de arriba\n<font color=blue>AYM:</font> apaqaña\n<font color=#FF8C00>ENG:</font> to take down
apaltichi	<font color=#2E8B57>ESP:</font> calmarse\n<font color=blue>AYM:</font> apartaña\n<font color=#FF8C00>ENG:</font> to calm down
apantiz	<font color=#2E8B57>ESP:</font> meter (cadaver en sepulcro)\n<font color=blue>AYM:</font> apantaña\n<font color=#FF8C00>ENG:</font> to put (body in grave)
apaquipz	<font color=#2E8B57>ESP:</font> llevar de un lugar a otro, trasladar (cosas o animales)\n<font color=blue>AYM:</font> khuy aka llampamukaña\n<font color=#FF8C00>ENG:</font> to take from one place to another, to move (things/animals)
Apara	<font color=#2E8B57>ESP:</font> pueblo de Ayparavi\n<font color=blue>AYM:</font> Ayparawi\n<font color=#FF8C00>ENG:</font> town of Ayparavi
apatatz	<font color=#2E8B57>ESP:</font> suspender\n<font color=blue>AYM:</font> apatataña\n<font color=#FF8C00>ENG:</font> to suspend
apayz	<font color=#2E8B57>ESP:</font> mandar (cosas)\n<font color=blue>AYM:</font> apayaña\n<font color=#FF8C00>ENG:</font> to send (things)
apja	<font color=#2E8B57>ESP:</font> hinchazón de los pies\n<font color=blue>AYM:</font> kay p'usuta\n<font color=#FF8C00>ENG:</font> swelling of foot (from walking too much)
apjana	<font color=#2E8B57>ESP:</font> afligido, preocupado\n<font color=blue>AYM:</font> llakita\n<font color=#FF8C00>ENG:</font> distressed, worried
apjatz	<font color=#2E8B57>ESP:</font> poner una cosa encima de la otra\n<font color=blue>AYM:</font> apjataña\n<font color=#FF8C00>ENG:</font> to put something on top of something else
apju	<font color=#2E8B57>ESP:</font> frazada gruesa\n<font color=blue>AYM:</font> ikiña\n<font color=#FF8C00>ENG:</font> thick woven blanket
aptaz	<font color=#2E8B57>ESP:</font> recobrar cosas prestadas\n<font color=blue>AYM:</font> aptaña, mayiña\n<font color=#FF8C00>ENG:</font> to recover things leant to another
aptiz	<font color=#2E8B57>ESP:</font> levantar\n<font color=blue>AYM:</font> aptaña\n<font color=#FF8C00>ENG:</font> to lift up
apt'iz	<font color=#2E8B57>ESP:</font> hacer perder, hacer quitar\n<font color=blue>AYM:</font> apt'aña, chhaqhayaña, apaqayasiña\n<font color=#FF8C00>ENG:</font> to lose
apuntiz	<font color=#2E8B57>ESP:</font> apuntar\n<font color=blue>AYM:</font> apuntaña\n<font color=#FF8C00>ENG:</font> to aim, to point
apuztaz	<font color=#2E8B57>ESP:</font> apostar\n<font color=blue>AYM:</font> apustaña\n<font color=#FF8C00>ENG:</font> to bet, to wager
apz	<font color=#2E8B57>ESP:</font> seguir\n<font color=blue>AYM:</font> arkaña\n<font color=#FF8C00>ENG:</font> to follow
apz talu	<font color=#2E8B57>ESP:</font> aguayo, mantel para cargar en espalda\n<font color=blue>AYM:</font> awayu\n<font color=#FF8C00>ENG:</font> cloth (for carrying things on one's back)
aquila	<font color=#2E8B57>ESP:</font> águila\n<font color=blue>AYM:</font> mamani\n<font color=#FF8C00>ENG:</font> eagle
aquillu	<font color=#2E8B57>ESP:</font> nada, ni un poco\n<font color=blue>AYM:</font> jani kuns\n<font color=#FF8C00>ENG:</font> not a bit, nothing at all
arajjpacha	<font color=#2E8B57>ESP:</font> cielo\n<font color=blue>AYM:</font> araxpacha\n<font color=#FF8C00>ENG:</font> sky
aranz	<font color=#2E8B57>ESP:</font> hacer bulla\n<font color=blue>AYM:</font> ch'axmichaña\n<font color=#FF8C00>ENG:</font> to make a lot of noise
araña = callacalla	<font color=#2E8B57>ESP:</font> araña\n<font color=blue>AYM:</font> kusi kusi\n<font color=#FF8C00>ENG:</font> spider
ararz	<font color=#2E8B57>ESP:</font> insultar\n<font color=blue>AYM:</font> sik'anchaña\n<font color=#FF8C00>ENG:</font> to insult
arawaza	<font color=#2E8B57>ESP:</font> rumorear\n<font color=blue>AYM:</font> arawas\n<font color=#FF8C00>ENG:</font> to spread rumors
arcantiz	<font color=#2E8B57>ESP:</font> perseguir\n<font color=blue>AYM:</font> arkantaña\n<font color=#FF8C00>ENG:</font> to pursue
arcjatz	<font color=#2E8B57>ESP:</font> apoyar con palabras\n<font color=blue>AYM:</font> arkantaña\n<font color=#FF8C00>ENG:</font> to support with words
arcu	<font color=#2E8B57>ESP:</font> arco\n<font color=blue>AYM:</font> arku\n<font color=#FF8C00>ENG:</font> arch
ari	<font color=#2E8B57>ESP:</font> afilado, punto\n<font color=blue>AYM:</font> ari\n<font color=#FF8C00>ENG:</font> sharp, pointed
ariwi-ñi	<font color=#2E8B57>ESP:</font> adivino\n<font color=blue>AYM:</font> yatiri\n<font color=#FF8C00>ENG:</font> fortuneteller
ariwiñz	<font color=#2E8B57>ESP:</font> adivinar\n<font color=blue>AYM:</font> yatiyaña\n<font color=#FF8C00>ENG:</font> to divine
arjinti	<font color=#2E8B57>ESP:</font> agente\n<font color=blue>AYM:</font> ajinti\n<font color=#FF8C00>ENG:</font> agent
armaz	<font color=#2E8B57>ESP:</font> conseguir\n<font color=blue>AYM:</font> jikhiña\n<font color=#FF8C00>ENG:</font> to obtain
aro = royta	<font color=#2E8B57>ESP:</font> aro, rueda, redondo\n<font color=blue>AYM:</font> ruyra\n<font color=#FF8C00>ENG:</font> hoop, wheel, round
arquillu	<font color=#2E8B57>ESP:</font> argolla\n<font color=blue>AYM:</font> arkulla\n<font color=#FF8C00>ENG:</font> ring used on rope
arquiritjama	<font color=#2E8B57>ESP:</font> orden según tamaño\n<font color=blue>AYM:</font> arkiritjama\n<font color=#FF8C00>ENG:</font> line-up, order according to size
arrintiz	<font color=#2E8B57>ESP:</font> arrendar (terreno)\n<font color=blue>AYM:</font> arintaña\n<font color=#FF8C00>ENG:</font> to rent (land)
arruwa	<font color=#2E8B57>ESP:</font> arroba\n<font color=blue>AYM:</font> aruwa\n<font color=#FF8C00>ENG:</font> 2,5 kilograms (25 lbs.)
artisa	<font color=#2E8B57>ESP:</font> caja para hacer pan\n<font color=blue>AYM:</font> artisa\n<font color=#FF8C00>ENG:</font> box for making bread
aruc'acha	<font color=#2E8B57>ESP:</font> hablador pero no cumple, charlatán\n<font color=blue>AYM:</font> aru k'acha\n<font color=#FF8C00>ENG:</font> one who speaks finely but never fulfills promises
aruntiz	<font color=#2E8B57>ESP:</font> saludar a un santo/a una autoridad\n<font color=blue>AYM:</font> aruntaña\n<font color=#FF8C00>ENG:</font> to greet a saint/an authority
