a	Aka arsuxa laka manqhata arsuña sallawa.
achalay!	/ Uñxatt'asina, k'uchisisa ukja sumaxa ¡Achalay!. <font color=blue>// ¡Achalay! uka manq'axa sumarakisä.  Achilajaxa kuna uñjasaxa achalay! sasa thuqhtiri.</font>
achanqara	<font color=ForestGreen>st.</font> Panqara. <font color=ForestGreen>/</font> Mayxa kasta panqara, wali jiwa panqarakiwa. Kuna pachansa panqarakiwa uka panqaraxa, satarakiwa <i>San Juan</i> panqara. <font color=blue>// Taykajaxa markaru sarasaxa achanqara panqara jikiniwayatayna. </font>
achanqara	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Kuna pachasa jaqixa suma amuyumpi kunsa lurkixa ukaruwa ukhama sutichata. Jani uñt'ata jaqiruxa janiwa kunasa jank'aki yatiyañäkiti. <font color=ForestGreen>/</font> Uka jaqixa achanqara jaqiwa, jaya maraxaya jiwasampi jakaskchixa. <font color=blue>// Wasüruxa jupaxa wali suma achanqara arumpiwa arst'asi.</font>
acharaña	<font color=ForestGreen>ar.</font> Usuchjaña. <font color=ForestGreen>/</font> Janchisa usuchjasisa ukhamaki uñch'ukiña jani qullasisa ukata janchixa pachparu achari. <font color=blue>// luk'ana usuchjasisaxa pachparukiwa jani qullasisa acharayasta. // Wasüruxa achachilaxa kayupa acharasitayna. // Imicha ch'uqi janiwa acharaña yatïtati.</font>
acharaña	<font color=ForestGreen>ar.</font> Jisk'achaña. <font color=ForestGreen>/</font> Jani walinakata, jisk'achaña amtampi, qhuru arunaka mayni jaqita arsuña. <font color=blue>//  Kullakaxa jani lurawinaka lurataxa achurasiña yati. </font>
achakay!	Aru samsu. <font color=ForestGreen>/</font> Wallaqkiri uma mallt'asa, qhathirkiri phukhu llamkht'asa qhathirayasiña jani ukaxa ch'aphimpi akatjamata junt'asina achakay sasa, ukawa. <font color=blue>// Wallaqita umampiwa warxatastha ¡achakay!.  ¡Achakay! usucht'istawa. </font>
achhakay!	/ Usuchjasiña. Usuchjasisa warartataña. ¡Achhakay!… ¡achhakay! Kuna janchinakata usuchjasiña. Wallaqkiri uma mallt'asa, qhathirkiri phukhu llamkht'asa qhathirayasiña jani uka ch'aphimpi akatjamata junt'asina ¡Achakay! sapxañawa. <font color=blue>// Achachilajaxa wallaqita umampiwa warxatasitayna, jichhaxa ¡Achhakay!, ¡achhakay! sasawa warari.  Kullakajaxa irumpiwa ch'aphirayasitäna, jichhaxa ¡achhakay! ukhama sasawa sarnaqaski. </font>
achhiju	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Qhathiriri. Wali junt'u qhathirkiri. Achhiju umampi khuchhiru llup'iñataki warxataña. <font color=blue>// Lupixa sinti achhijupuniwa.  Aka qalaxa achhijuwa. Aka manq'axa wali achhijuwa, thayarayañawa. </font>
achika	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Mayi. Achikaña. Maynita kunsa mayiña. Kuna lurawinsa jank'achañataki, mira ampi suma yanapt'asikiñäniya, sasawa achikasiña aruwa. <font color=blue>// Uma achikasiriwa juti. Ch'uqi yapu tharuñataki, kimsa jaqiruwa achikasiñäni.</font>
achikaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Achikañaxa yanapt'iriru achikañawa. Sutiyiri achikaña. Jaqichiri achikaña. Achikiriwa juti. Kunaymana lurañanakampi phuqhañataki pachani jaqinakaru yañapt'ayasiñataki achikt'asiña. Uka pachparaki wawa sutiyañatakixa ichu awkitakixa ichu taykatakisa yäqata jilataru kullakaruwa achikt'asipxiri. <font color=blue>// ¿Achikataxa kunatsa jani sarkta? .  Kullaka achikt'asïma, ampi suma, jutätawa. Mayiña.</font>
achikjaña	<font color=ForestGreen>ar.</font> Yanapt'aña. <font color=ForestGreen>/</font> Wali achikasiña suma munasiña arunakampi, jani janiwa sañapataki. <font color=blue>// Sinti achikjataxa p'iqi waytapxi. </font>
achikkaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Pacha utjkipana, jayakïpana yapt'ayasiñataki, mayt'asiñataki achikkañawa, jani ukaxa wakichasiñapataki pacha apsusiñapataki achikañawa. <font color=blue>// Jach'a yapunïsaxa janira llamayükipana yanapirinaka achikkañawa.</font>
achikkaya	<font color=ForestGreen>ar.</font> Yanapjaña. <font color=ForestGreen>/</font> Achikkayaxa jaqirusa kuna lurañanakansa, suma kust'ata yatitapata lurt'atapatxa, uka jilataxa achikkayawa. <font color=blue>// Juparukipuni achikt'añawa wakisi. Suma yatitapatxa achikkayawa.</font>
achiku	<font color=ForestGreen>sm.</font>  <font color=ForestGreen>/</font> Awki taykana awkiparuwa wawanakaxa munasiñata achachilaru, kuna sañlayku achiku sapxi. <font color=blue>// Jichhüruxa achiku uka sarä. Achikuxa wali suma jaqiwa.</font>
achila	<font color=ForestGreen>st.</font> Jaqi. <font color=ForestGreen>/</font> Wawana awkïpana ukhamaraki taykapana awkipawa wawatakixa achachilapäxi. Achachilaxa yuqani, phuchhani, tullqani, ukhamaraki allchhini. <font color=blue>// Achilaxa wali suma jaqiwa.  Jupaxa achilapa uka sarani junt'uma umasiri.</font>
achinu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Kunka chiñuña. Achinuxa kamisa patxaru, chachanakana kunkata nayraxaru winchjama warkt'atjama, añuntasita chinuntata uskusiña. Ñanqha sutichataxa anu chinuña sata. <font color=blue>// Uka waynaxa chinuña chinuntt'ata kawkipiniwa jutatayna. // Jilalaxa, achinu chinuntawa jach'a yatiqaña utaru sari.</font>
achiqaña	<font color=ForestGreen>ar.</font>  Phat'aqaña. <font color=ForestGreen>/</font> Achiqañaxa uraqi phat'aqasa uka laq'ampi suma p'ampachjaña jani kuna p'iyanaka utjañapataki. <font color=blue>// Uka pirqaxa sinti jach'awa achiqañawa. achilajana utapaxa suma achiqañawa.</font>
achira	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Achira ayruxa manq'añataki nayraxa achuyatana jichhapachanakaxa jilpachaxa apnaqatawa chhuxu ch'axa usu qullasiñataki. <font color=blue>// Taykajaxa achirampiwa kayu usu qullasi. <font color=purple>[May.: Anu chira]</font></font>
achiwa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Achiwaxa lupintanïpana ch'iwxatayañataki wakt'ayatawa.  Yaqhipaxa t'ut'urata ch'iwicht'iri lurt'ata. <font color=blue>// Qhathuna aljirinakaxa achiwanipiniwa. <font color=purple>[Am.: ch'iwiña]</font></font>
achiwaña	<font color=ForestGreen>ar.</font> Achiwa. <font color=ForestGreen>/</font> Taqpacha, ukch'pacha, ukjpacha jani thayjayañataki, jani jallumpi ch'aranjayañataki suma imxataña. <font color=blue>// Ch'illiwata achiwaña lurtt'asiñäni.  Uka uta irumpi achiwt'aña. <font color=purple>[Am.: imxataña]</font></font>
achikt'asiña	<font color=ForestGreen>ar.</font> Achika. <font color=ForestGreen>/</font> Chuymampi mayt'asiña, alt'ata chuymampi kunsa mayisiña. Quri arumpi mayt'asiña. Jiwasataki achikt'asiña. <font color=blue>// Nayaxa Mama Mariyaru ch'uqi jatha achikt'asiña muntha. Wawa jaytt'asiñataki achikt'asiña muntha.</font>
achikarapiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Achikaña. Mayirapiña. Mayirapiña muntha. Yaqhataki kunsa mayirapiña, maynitaki achikarapiña. <font color=blue>// Mamajataki yanapiri achikarapiña munta. Puriña uta, jilajataki achikarapiña munta.</font>
achjaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Lakampi achxaruña. Lakampi achuña, Lakampi wasitana wasitana achjaña. Amanuta achjaña. <font color=blue>// Ch'ankha chinu jaratatañataki lakampi achjaña. Kullakajana anupawa achjitu.  Aka anuxa arumanaka kusa achji. Waxrasiri wakaxa, jaqiruxa lakampiwa achjaspa. </font>
achjaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Anuxa jaqirusa, uywarusa qhuruchasisa wajkati ukawa. <font color=blue>// Uka anuxa wali achjaña yati. Maria kullakana anupaxa achjasiña muni. Uka anuxa wali qhuruwa, jaqinakaru achjaña yati. <font color=purple>[Am.: wajkataña]</font></font>
achjasiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Laka ch'akhanakampi, laka jist'thapiñawa. Lakampi achuqaña jilanchjaña. <font color=blue>// Uka anuxa suti achjaña jaqiru muni. Ch'iyara anunaka qhurunakawa, khitinakarusa achjaskakiwa.</font>
achjasiña	<font color=ForestGreen>ar.</font> Yanapjasiña. <font color=ForestGreen>/</font> Llamayu pachana yanapjaña pachana pisinkasaxa achjasiña. Jani yapunïsaxa jaqiru yanapt'iriwa saraña, jaqixa yanapt'awita payllasi ukawa achjasiñaxa. Ch'uqi, ch'uñu achjasiña. <font color=blue>// Uka jilaxa ch'uqi llamayuña achjasiñawa, siwa. </font>
achjata	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaqixa lakampiwa achuqi. Anumpi achjata. Jani uñt'ata jaqinaka uywanakani utaru jak'achasïtapata, utapata jark'asisawa, anunakaxa achjiri. <font color=blue>// Mama Isakana anupawa achjatayna, anuna achjatawa.  Uka qhuru anuxa wali achjasi.</font>
achjayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Ist'ayaña. Uñjayaña. Anuxa kunsa uñji iwijarusa jani uka uywanakarusa tukjaña. <font color=blue>// Punku jist'arasa anqaru mistuyasina jaqinakaru jani ukaxa uywanakaru aliqata achjayaña.  Qamaqiruxa anumpiwa achjayaña.  Jilajaxa wakanakaruwa uka janq'u anumpi achjayaña yati.</font>
achjara	<font color=ForestGreen>ar.</font> Sarxaña. <font color=ForestGreen>/</font> Aruxa chhaqhañampiwa, jikisiñkama sañataki, arsutätaynawa. <font color=blue>// Achachilajaxa, nayra pachaxa, achjara sasawa arusipxäna.  Nayraxa taqiniwa achjara arusipxäna.</font>
achxaruña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Laka manqhana laka ch'akhanakampi katuña. <font color=blue>// Uka laphi lakampi achxaruma.  Kullaka ch'ankha lakampi achxaruma. <font color=purple>[Am.: achthapiña]</font></font>
achkataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Alayatuqiru lakamapi apkataña. Achkatañaxa mä saykiri lawa yaqha lawaru achkataña. Laka ch'akhampi jani ukaxa surumpi achxarusa alaytuqiru aptaña. <font color=blue>// Achaku uta kharüru achkata. </font>
achkataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jaqiru arunaka achkataña, laka ch'akkataña. Jaqi apthapiñataki aru apaña. kunsa yatita yatxatataxa khititsa jani suma amuyt'asisa, yaqha jaqiru yatiyaña, ukaruwa achkataña sataraki, ukhamaraki aru achkatirinakaruxa ch'uxña jaqi ukhama uñt'apxi. <font color=blue>// Mamajaru, khitisa qhathuna irpanaqtaskäna sasa achkatpacha. Uka jaqi jak'ata janiwa kunasa arsuñäkiti, jani ukaxa aru achuwa. <font color=purple>[Am.: aru apa]</font> </font>
achkatayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Achkatayañaxa pirqaru, jani jalaqtañapataki, suma lip'katayañawa. <font color=blue>// Pirqaru uka lawampi achkatayañawa. uka laphi suma pirqaru achkatayäta.</font>
acht'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Juk'a pacha lakampi acht'aña. Kuka lakaru mä juk'a pacha acht'aña, jani khisttasa. <font color=blue>// Uka kuka laphi p'iqiru janiwa acht'aña munkiti. Kullakajaxa siriwa, lawanakaxa pirqana acht'añapawa.   </font>
acht'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Sarkasa mayuwjaru acht'aña. Nayra pachaxa, jaqinakaxa kimsawja uraqinakana qamapxirïtayna, anaqanakana, saraqanakana, sayañana. Jichha pachanakaxa jaqixa mayuwjaru acht'atakiwa qamxapxi. <font color=blue>// Achilajaxa Pataka Amaya markaru qamiriwa sarxi, jupaxa sarakiwa, acht'aña. </font>
acht'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Uywa awatiñanxa, uywaxa khuysa aksa allinaqti, mayuwjarukixa janiwa acht'kaspati. <font color=blue>// Aka iwijanaka janiwa acht'aña munkiti, inawisawa chhukhunaqi.  Uka wawakanakaxa inakiwa aksa, uksa tuqnaqi, janiwa acht'aña munkiti.</font>
acht'ayaña/chakt'ayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Qala pirqaru achxaruyaña. Amanuta chillpt'asa acht'ayaña. <font color=blue>// Uka Tiwana inawisa unuqi chillptasa acht'ayañawa. Taykajaxa siwara pilunaru waka chinuñampiwa achkatayi.</font>
achthapiña	<font color=ForestGreen>ar.</font>  <font color=ForestGreen>/</font>  Laka achthapiña. Laka ch'akhanaka jikhthaptayaña. Isixa achthapispa, ch'ankhaxa achthapispa. Achthapiñaxa payachañawa. Purapata, pätuqita pä wit'u achthapiñawa, jani ukaxa pä tukusi purapa achthapirakispawa. Laka ch'akhani uywanaka ukhamaraki jaqinakawa laka ch'akhanakampi achthapiri. Niya achuqañatakjama paya yänaka mayaru tukuyaña phuqhataki achthapiyañawa, achthapiña. Achxaruña. <font color=blue>// Anuxa jank'akiwa t'ant'a achthapi.</font>
achthapisiña	<font color=ForestGreen>ar.</font> Katthapisiña. <font color=ForestGreen>/</font> Achthapiñaxa purapatuqita paninita achthapisiña. <font color=blue>// kullaka Mariya ampara luk'anata achthapitu.</font>
achu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Alinakana puquqatanakapa. Achuxa taqimana alinakana achunakapawa, manq'asa jani manq'añasa utjarakiwa, achuxa jaqitaki uywatakiwa utji. Alinakaxa jathata alinuqi, alinuqasaxa jilti, jiltasaxa panqarxi, panqara tukuyxi ukata achupaxa achuqxaraki. Yaphiqa achunakaxa uraqi manqharuwa achuqapxi, yaqhipa achunakaxa alinakana uraqi patana achuri. Yapuchata uraqi manqhana achuqata achunaka: Ch'uqi, apilla, isañu, ulluku, siwulla, sanawri, juk'ampinaka. Ali patana achuri achunaka: tunqu, jawasa, tiriwu, Chuwi. Jani yapuchata achunaka, uraqi manqhana achurinaka: amañuqi, arikuma, yakayaka. Jani yapuchata waraq'u achunaka: sank'ayu, pasakana, phuskhayllu, ayrampu, tunasa. <font color=blue>// Anata phaxsina machaqa ch'uqi achuxa iraqaña.  Jawasa lip'anakanaxa achuniwa. Kuna pachasa jathaxa satantata, ayruntata ukata alsusina achuxa utjxi, ukaruwa achu sasa, uñt'ata. Janiwa kuna achusa williñäkiti. Awkijaxa quqa achuna alinakapa, uka qulluru ayruntani.</font>\n<font color=purple>[May.: juyra]</font>
achulla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Achullaxa jach'a achakuwa, yunka junt'u uraqina kata achulla jach'a achakunakaxa juti. Suni patana jakiri achakuna tupupaxa, p'iqita wich'ikhkamaxa niya maya wiku. <font color=blue>// Achulla ch'uqi manq'antatayna. </font>
achulla	<font color=ForestGreen>st.</font> Rumanilla. Tupt'iri. <font color=ForestGreen>/</font> Achullaxa rumanilla ukhama jila uñt'atawa ukaxa jathi waytasa yatiñataki. <font color=blue>// Jilata uka achulla mayt'ita. Kullakajaxa machaqa achulla tupuñätaki alasinitayna.</font>
achuma	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Yawara qullu. Qaqapara ukhama uñt'ata. Qhaqhsutanakataki p'usutanakatakiwa wali qulla. <font color=blue>// Achilajana markapana achuma walipiniwa utji.</font>
achumuchuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Achumuchuñaxa mayawjata yaqhachiqaru laka ch'akhampi achthapisina jaya chiqaru achtasa jaytaniñawa. <font color=blue>// Uka anuxa ch'ankha muruqu achumuchunchi. Achilajana anupaxa wiskhunaka achumuchuña yati.  Qachu phisixa jisk'a phisi qallunakaparuwa jani uñjayaña munasawa achumukuski.</font>
achuña	<font color=ForestGreen>ar.</font> Miraña. <font color=ForestGreen>/</font>  Kunsa jilxattayaña. Achuñaxa kunasa jilxattani, achuqani, mirani, miratatani ukawa. Juyrawa achuspaxa, uywaxa miraspawa, uywaxa achuwa sasaxa janiwa sisksnati. Mä jathata walja achuqani ukawa achuñaxa. <font color=blue>// Jallu maranxa luk'i ch'uqixa waljapuniwa achuña yati. Kuna pachasa yapunxa satasina wali suma puqurki, achuqaxa utjaki ukawa achuña. Puqutaxa thaya uraqina janiwa achkaspati.  Pampa quranakaxa jilapuniwa achuña yati. Achiri markanxa walja luk'i ch'uqixa achuri.</font>
achuña	<font color=ForestGreen>ar.</font> Aru apnaqaña. <font color=ForestGreen>/</font> Achuñaxa inampi aru mirayaña. sasa aru apañawa. Jaqixa jaqi masiparuxa kuna ist'asasa jank'aki aru achtaki, ukawa. Aru achuñaxa mayniru ukjama sistamwa, sasa arxayañawa, jani ukaxa ukjamaskiwa, sasa arxayañawa. Aru achuxa maynita mayniru aru yatiyiri jaqiwa. Aru achu jaqixa chachata sïpana warmita sïpana utjaspa, aru achuxa jaqi apthapiriwa. <font color=blue>// Uka warmixa wali aru achuwa, jupawa chacha warmsa apthapitu.  Laka ch'akha sañasa utjarakiwa. </font>
achuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Lakampi achthapisa apaña. Mä chiqata yaqha chiqharu. Achuñaxa kunaya wakisirichi jilpachaxa uywanakawa laka ch'akhanakampi surumpi achthapisa apañawa. <font color=blue>// Anu qalluwa isinaka achuña yati. Uka jach'a anuwa uka ch'akha achunitayna. Anuxa ch'akha jani ukaxa t'anta lakapampi achuña yati. Phisijaxa kunkata jisk'a phisi qallunakaru achuña yati.</font>
achupaya	<font color=ForestGreen>st.</font> Anana. <font color=ForestGreen>/</font> Achupayaxa piña muxsa achuxa junt'u phuthuti markanakana achuraki, manqhaxa q'illu samini jasaki ukhamawa manq'asina jilanchjataxa laxra tunurayiri yaqhiparuxa wila chhallchhayiri. <font color=blue>// Wasuruxa taykajaxa achupaya alani, wali muxsapinitaynawa. </font>
achuqa	<font color=ForestGreen>st.</font> Phaxsi. <font color=ForestGreen>/</font> Marana kimsïri phaxsi, kimsa tunka mayani urunakani. Achuqa phaxsinxa ch'uqixa achunixiwa yaqhipaxa puquratäxiwa. <font color=blue>// Achuqa phaxsina awichajaka sarä.</font>
achusiña	<font color=ForestGreen>ar.</font> Thithiña. <font color=ForestGreen>/</font> Jani wali luratapata thithiña, chuchasiña kunaymani qhuru arunakampi arsuña. <font color=blue>// Achilajaxa jani ist'atata achusiña yati. </font>
achupalla	<font color=ForestGreen>st.</font> Qura. <font color=ForestGreen>/</font> Achu|pallaxa qhirwa uraqinakana achuri, saphinakapata chhaxrañaxa wakt'ayata, warminakana ñik'uta sanusiñataki. <font color=blue>// Anata phaxsina qhirwa uraqiruwa sarä, achupalla aptasiri.</font>
achupalla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Achupallaxa jathiparjama tupt'añataki wakiyata. Kunaymani juyranakana jathinakapa tupt'asina yatiñataki. <font color=blue>// Taykajaxa achupalla sullkajataki wakiyi.</font>
achuqara	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jisk'a laq'u t'arwani, uywanakaru jila matararaki, jamak'u sutini uñt'ata, iwija, qarwa uywanakaru ñanqhachiri. <font color=blue>// Uka anuna kunkapana jach'a achuqarawa utji.</font>
achuqalla	<font color=ForestGreen>st.</font> Achuña qallta. <font color=ForestGreen>/</font> Pä aru waythapitawa: achu saphi; qallta miraqata, qallta, qallara. Kuna achu yañasa qalltata, qallarata ukawa. Jaqïña innuqa qallta thakhiwa. kuna pachasa waynampi tawaqumpi jaqichasi ukata lasipurawa machaqa jaqitaki machaqa uta utachthapipxi. Uka Machaqa uta utachthapisina achuqalla phunchhawiwa luraña. Machaqa jaqiru chacha warmiru ch'aphimpi, wichhuta phalata kayutkama siqsuña. Akhama arunakampi: uta t'uxuxa nayra t'uxumati tiw! tiw! tiw!, uta kumriraxa ati jikhanimati tiw! tiw!, uta punkuxa laka q'asamati tiw! tiw!, uta wayllaqa nayra phichumati tiw tiw, jaqi utawa tiw! tiw! Utaru jaqirjama uñjañataki jaqimpjama qamañataki uñanchayatawa. Ukampisa ñanqha ajayunaka anamukuñatakiwa, aka lurawixa. Suma qamaña utjaña thakhiwa. <font color=blue>// Markajanxa achuqalla thuqupxi tiw! tiw! sasa.</font>
achuqalla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Mä markana sutipawa. Chuqi Apu marka jak'ankiwa, pujtu uraqina, ukata jallsu umani ukjama, ch'uxña uraqinakawa utji, qutani ukhama, jaqinakaxa uñatatasiri wali sarapxi. <font color=blue>// Qharüruxa Achuqalla marka sarä.</font>
achuqalla	<font color=ForestGreen>st.</font> Aycha manq'iri uywa. <font color=ForestGreen>/</font> Ñuñuri. Aycha manq'iri kasta jisk'a sallqa uywa, t'arwapaxa ch'umphi samini, tupt'asinxa niya pusi tunka phisqha patakachjata wiskhallawa, chhiwchhi manq'ani, aruma sarnaqiri. <font color=blue>// Achilajana markapanxa achuqalla wali mirantatawa.</font>
