acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
amayaraz	<font color=green>ESP:</font> extrañar\n<font color=blue>AYM:</font> amuyasiña\n<font color=orange>ENG:</font> to miss (a person)
amayas	<font color=green>ESP:</font> darse cuenta de que algunas cosas/personas faltan\n<font color=blue>AYM:</font> amayusiña\n<font color=orange>ENG:</font> to realize that some things/persons are missing
amayt'as	<font color=green>ESP:</font> reorientarse cuando perdido\n<font color=blue>AYM:</font> amayt'asiña\n<font color=orange>ENG:</font> to reorient oneself when lost
amayt'az	<font color=green>ESP:</font> darse cuenta de\n<font color=blue>AYM:</font> amayt'aña\n<font color=orange>ENG:</font> to realize, to note
amaywancara	<font color=green>ESP:</font> nido de avispa en tolas\n<font color=blue>AYM:</font> lichiwan thapa\n<font color=orange>ENG:</font> nest of mud wasp in bushes
amayz	<font color=green>ESP:</font> darse cuenta de que una persona/cosa falta\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to realize that one person/thing is missing
ami	<font color=green>ESP:</font> pasto\n<font color=blue>AYM:</font> qura\n<font color=orange>ENG:</font> fodder
amim = amim cjila	<font color=green>ESP:</font> tú mismo, tú siempre\n<font color=blue>AYM:</font> juma pini\n<font color=orange>ENG:</font> you yourself
amjaz	<font color=green>ESP:</font> desgustarse\n<font color=blue>AYM:</font> amjasiña\n<font color=orange>ENG:</font> to be fed up with, to be tired of
amjaz	<font color=green>ESP:</font> despertar de un sueño hondo y estar medio dormido\n<font color=blue>AYM:</font> ikimaya\n<font color=orange>ENG:</font> to wake up from a deep sleep and not be fully awake
amta	<font color=green>ESP:</font> de usted/suyo, de ti/tuyo\n<font color=blue>AYM:</font> jumata, jumana\n<font color=orange>ENG:</font> yours (formal and informal)
amtayc̈ha	<font color=green>ESP:</font> animar a comenzar\n<font color=blue>AYM:</font> amtayaña\n<font color=orange>ENG:</font> to encourage to start
amtiz	<font color=green>ESP:</font> planear trabajo, plan de trabajo\n<font color=blue>AYM:</font> amtaña\n<font color=orange>ENG:</font> to plan work, a work plan
amtiz	<font color=green>ESP:</font> recordar brindando a los santos/espíritus\n<font color=blue>AYM:</font> amtaña\n<font color=orange>ENG:</font> to drink to saints/spirits
amu	<font color=green>ESP:</font> demasiado humilde\n<font color=blue>AYM:</font> llamp'u chuymani\n<font color=orange>ENG:</font> very humble
amulaz	<font color=green>ESP:</font> quedarse sin nada\n<font color=blue>AYM:</font> jan kunan kirasiña\n<font color=orange>ENG:</font> to fail completely, to be left without anything
amuyt'az	<font color=green>ESP:</font> prevenirse de un engaño o peligro\n<font color=blue>AYM:</font> amuyt'asiña\n<font color=orange>ENG:</font> to be aware of a mistake or a danger
amz	<font color=green>ESP:</font> amar, respetar, adorar\n<font color=blue>AYM:</font> munaña\n<font color=orange>ENG:</font> to love, to respect, to worship
amzta	<font color=green>ESP:</font> subida de cerro\n<font color=blue>AYM:</font> patarmistuña, irsuña\n<font color=orange>ENG:</font> incline of a hill (upward)
ana	<font color=green>ESP:</font> no\n<font color=blue>AYM:</font> janiwa\n<font color=orange>ENG:</font> no
ana c̈hjul	<font color=green>ESP:</font> nada de (cosas)\n<font color=blue>AYM:</font> jani kunasa\n<font color=orange>ENG:</font> nothing, not any (things)
ana c̈hjulumi = ana jakzilta	<font color=green>ESP:</font> ninguno (personas, animales)\n<font color=blue>AYM:</font> jani khitisa, jani kunasa\n<font color=orange>ENG:</font> nobody, no one, none of (persons, animals)
ana enenz̈cu	<font color=green>ESP:</font> sin demora\n<font color=blue>AYM:</font> ratuki\n<font color=orange>ENG:</font> without delay
ana jaa	<font color=green>ESP:</font> ...¿no?,...¿verdad?,...¿no es así?\n<font color=blue>AYM:</font> jalla, janti\n<font color=orange>ENG:</font> ... isn't it?, ...aren't you?
ana jaknuz̈quin	<font color=green>ESP:</font> de ninguna manera\n<font color=blue>AYM:</font> ukhamallaksa\n<font color=orange>ENG:</font> in no way, not at all
ana jakzilta = ana c̈hjulumi	<font color=green>ESP:</font> ninguno (personas, animales)\n<font color=blue>AYM:</font> jani khitisa, jani kunasa\n<font color=orange>ENG:</font> nobody, no one, none of (persons, animals)
ana jecmi	<font color=green>ESP:</font> nadie\n<font color=blue>AYM:</font> jani khitis\n<font color=orange>ENG:</font> nobody
ana jiwjata	<font color=green>ESP:</font> sin temor\n<font color=blue>AYM:</font> jani jiwjataña\n<font color=orange>ENG:</font> boldly
ana payznakz̈cu	<font color=green>ESP:</font> sin dudar\n<font color=blue>AYM:</font> jani paynaqchaña\n<font color=orange>ENG:</font> without wavering, without any doubt
ana wali	<font color=green>ESP:</font> muy malo\n<font color=blue>AYM:</font> ñanqha saxra\n<font color=orange>ENG:</font> very bad, evil
ana z̈eli atz	<font color=green>ESP:</font> turbado\n<font color=blue>AYM:</font> mulla phallata\n<font color=orange>ENG:</font> troubled, upset, restless
anapan	<font color=green>ESP:</font> nunca\n<font color=blue>AYM:</font> janipini, janiwiras\n<font color=orange>ENG:</font> never
anarpayz	<font color=green>ESP:</font> soltar animales para pastear\n<font color=blue>AYM:</font> anarpayaña\n<font color=orange>ENG:</font> to let animals loose to graze
ancha = taz̈pacha = wacchi	<font color=green>ESP:</font> mucho, muy\n<font color=blue>AYM:</font> ancha, wakita\n<font color=orange>ENG:</font> much, very
ancha chjunamaj	<font color=green>ESP:</font> hace cuatro días\n<font color=blue>AYM:</font> pusüruta\n<font color=orange>ENG:</font> four days ago
ancha zaz̈way	<font color=green>ESP:</font> ¿cierto?, ¿de verdad?\n<font color=blue>AYM:</font> chiqati?\n<font color=orange>ENG:</font> really?, truly?
anc̈hjucqui	<font color=green>ESP:</font> ustedes\n<font color=blue>AYM:</font> jumanaka\n<font color=orange>ENG:</font> you (pl.)
anc̈hucalta	<font color=green>ESP:</font> de ustedes\n<font color=blue>AYM:</font> jumanakata, jumanakana\n<font color=orange>ENG:</font> yours (pl.)
anila	<font color=green>ESP:</font> añelina (tintas para colorar)\n<font color=blue>AYM:</font> añilina, qulla\n<font color=orange>ENG:</font> dye
animala	<font color=green>ESP:</font> animal\n<font color=blue>AYM:</font> animala, uywa\n<font color=orange>ENG:</font> animal
animc̈ha	<font color=green>ESP:</font> estar animado para hacer algo\n<font color=blue>AYM:</font> animjata\n<font color=orange>ENG:</font> to be encouraged to do something
animt'az	<font color=green>ESP:</font> resistir fuerte\n<font color=blue>AYM:</font> animt'aña\n<font color=orange>ENG:</font> to strongly resist
anjatz	<font color=green>ESP:</font> poner ganado en corral\n<font color=blue>AYM:</font> anantaña\n<font color=orange>ENG:</font> to put the herd in the corral
anjil kjara = chojzi kjara	<font color=green>ESP:</font> pequeños arcos de tola al norte y sur del techo\n<font color=blue>AYM:</font> mujuna\n<font color=orange>ENG:</font> small arches of tola on the N. and S. sides of roof
anjila	<font color=green>ESP:</font> ángel\n<font color=blue>AYM:</font> anjila\n<font color=orange>ENG:</font> angel
antala	<font color=green>ESP:</font> nombre de caricia para hija\n<font color=blue>AYM:</font> waway, imillay\n<font color=orange>ENG:</font> affectionate name for a daughter
antiju	<font color=green>ESP:</font> anteojos\n<font color=blue>AYM:</font> linti\n<font color=orange>ENG:</font> eyeglasses
antiz	<font color=green>ESP:</font> reunir (personas, animales)\n<font color=blue>AYM:</font> tantaña\n<font color=orange>ENG:</font> to gather together (persons, animals)
anulz	<font color=green>ESP:</font> anular/contrarrestar planes de otro\n<font color=blue>AYM:</font> anulaña\n<font color=orange>ENG:</font> to cancel/ruin plans of another person
aña	<font color=green>ESP:</font> lunar\n<font color=blue>AYM:</font> ana\n<font color=orange>ENG:</font> mole (on person)
aña nawi	<font color=green>ESP:</font> año nuevo\n<font color=blue>AYM:</font> machaq mara\n<font color=orange>ENG:</font> New Year
añawiy cha'pi	<font color=green>ESP:</font> arbusto espinoso\n<font color=blue>AYM:</font> añaway ch'api\n<font color=orange>ENG:</font> spiny bush
añz = jaziqui	<font color=green>ESP:</font> ahora\n<font color=blue>AYM:</font> jichha\n<font color=orange>ENG:</font> now
añzilla	<font color=green>ESP:</font> ahorita\n<font color=blue>AYM:</font> anchhichhita\n<font color=orange>ENG:</font> right now
ap apz	<font color=green>ESP:</font> seguir siguiendo\n<font color=blue>AYM:</font> arkayaña\n<font color=orange>ENG:</font> to keep following
apakz	<font color=green>ESP:</font> sacar, quitar\n<font color=blue>AYM:</font> apsuña, apaqaña\n<font color=orange>ENG:</font> to take out, to take away, to remove
apakz	<font color=green>ESP:</font> bajar de arriba\n<font color=blue>AYM:</font> apaqaña\n<font color=orange>ENG:</font> to take down
apaltichi	<font color=green>ESP:</font> calmarse\n<font color=blue>AYM:</font> apartaña\n<font color=orange>ENG:</font> to calm down
apantiz	<font color=green>ESP:</font> meter (cadaver en sepulcro)\n<font color=blue>AYM:</font> apantaña\n<font color=orange>ENG:</font> to put (body in grave)
apaquipz	<font color=green>ESP:</font> llevar de un lugar a otro, trasladar (cosas o animales)\n<font color=blue>AYM:</font> khuy aka llampamukaña\n<font color=orange>ENG:</font> to take from one place to another, to move (things/animals)
Apara	<font color=green>ESP:</font> pueblo de Ayparavi\n<font color=blue>AYM:</font> Ayparawi\n<font color=orange>ENG:</font> town of Ayparavi
apatatz	<font color=green>ESP:</font> suspender\n<font color=blue>AYM:</font> apatataña\n<font color=orange>ENG:</font> to suspend
apayz	<font color=green>ESP:</font> mandar (cosas)\n<font color=blue>AYM:</font> apayaña\n<font color=orange>ENG:</font> to send (things)
apja	<font color=green>ESP:</font> hinchazón de los pies\n<font color=blue>AYM:</font> kay p'usuta\n<font color=orange>ENG:</font> swelling of foot (from walking too much)
apjana	<font color=green>ESP:</font> afligido, preocupado\n<font color=blue>AYM:</font> llakita\n<font color=orange>ENG:</font> distressed, worried
apjatz	<font color=green>ESP:</font> poner una cosa encima de la otra\n<font color=blue>AYM:</font> apjataña\n<font color=orange>ENG:</font> to put something on top of something else
apju	<font color=green>ESP:</font> frazada gruesa\n<font color=blue>AYM:</font> ikiña\n<font color=orange>ENG:</font> thick woven blanket
aptaz	<font color=green>ESP:</font> recobrar cosas prestadas\n<font color=blue>AYM:</font> aptaña, mayiña\n<font color=orange>ENG:</font> to recover things leant to another
aptiz	<font color=green>ESP:</font> levantar\n<font color=blue>AYM:</font> aptaña\n<font color=orange>ENG:</font> to lift up
apt'iz	<font color=green>ESP:</font> hacer perder, hacer quitar\n<font color=blue>AYM:</font> apt'aña, chhaqhayaña, apaqayasiña\n<font color=orange>ENG:</font> to lose
apuntiz	<font color=green>ESP:</font> apuntar\n<font color=blue>AYM:</font> apuntaña\n<font color=orange>ENG:</font> to aim, to point
apuztaz	<font color=green>ESP:</font> apostar\n<font color=blue>AYM:</font> apustaña\n<font color=orange>ENG:</font> to bet, to wager
apz	<font color=green>ESP:</font> seguir\n<font color=blue>AYM:</font> arkaña\n<font color=orange>ENG:</font> to follow
apz talu	<font color=green>ESP:</font> aguayo, mantel para cargar en espalda\n<font color=blue>AYM:</font> awayu\n<font color=orange>ENG:</font> cloth (for carrying things on one's back)
aquila	<font color=green>ESP:</font> águila\n<font color=blue>AYM:</font> mamani\n<font color=orange>ENG:</font> eagle
aquillu	<font color=green>ESP:</font> nada, ni un poco\n<font color=blue>AYM:</font> jani kuns\n<font color=orange>ENG:</font> not a bit, nothing at all
arajjpacha	<font color=green>ESP:</font> cielo\n<font color=blue>AYM:</font> araxpacha\n<font color=orange>ENG:</font> sky
aranz	<font color=green>ESP:</font> hacer bulla\n<font color=blue>AYM:</font> ch'axmichaña\n<font color=orange>ENG:</font> to make a lot of noise
araña = callacalla	<font color=green>ESP:</font> araña\n<font color=blue>AYM:</font> kusi kusi\n<font color=orange>ENG:</font> spider
ararz	<font color=green>ESP:</font> insultar\n<font color=blue>AYM:</font> sik'anchaña\n<font color=orange>ENG:</font> to insult
arawaza	<font color=green>ESP:</font> rumorear\n<font color=blue>AYM:</font> arawas\n<font color=orange>ENG:</font> to spread rumors
arcantiz	<font color=green>ESP:</font> perseguir\n<font color=blue>AYM:</font> arkantaña\n<font color=orange>ENG:</font> to pursue
arcjatz	<font color=green>ESP:</font> apoyar con palabras\n<font color=blue>AYM:</font> arkantaña\n<font color=orange>ENG:</font> to support with words
arcu	<font color=green>ESP:</font> arco\n<font color=blue>AYM:</font> arku\n<font color=orange>ENG:</font> arch
ari	<font color=green>ESP:</font> afilado, punto\n<font color=blue>AYM:</font> ari\n<font color=orange>ENG:</font> sharp, pointed
ariwi-ñi	<font color=green>ESP:</font> adivino\n<font color=blue>AYM:</font> yatiri\n<font color=orange>ENG:</font> fortuneteller
ariwiñz	<font color=green>ESP:</font> adivinar\n<font color=blue>AYM:</font> yatiyaña\n<font color=orange>ENG:</font> to divine
arjinti	<font color=green>ESP:</font> agente\n<font color=blue>AYM:</font> ajinti\n<font color=orange>ENG:</font> agent
armaz	<font color=green>ESP:</font> conseguir\n<font color=blue>AYM:</font> jikhiña\n<font color=orange>ENG:</font> to obtain
aro = royta	<font color=green>ESP:</font> aro, rueda, redondo\n<font color=blue>AYM:</font> ruyra\n<font color=orange>ENG:</font> hoop, wheel, round
arquillu	<font color=green>ESP:</font> argolla\n<font color=blue>AYM:</font> arkulla\n<font color=orange>ENG:</font> ring used on rope
arquiritjama	<font color=green>ESP:</font> orden según tamaño\n<font color=blue>AYM:</font> arkiritjama\n<font color=orange>ENG:</font> line-up, order according to size
arrintiz	<font color=green>ESP:</font> arrendar (terreno)\n<font color=blue>AYM:</font> arintaña\n<font color=orange>ENG:</font> to rent (land)
arruwa	<font color=green>ESP:</font> arroba\n<font color=blue>AYM:</font> aruwa\n<font color=orange>ENG:</font> 2,5 kilograms (25 lbs.)
artisa	<font color=green>ESP:</font> caja para hacer pan\n<font color=blue>AYM:</font> artisa\n<font color=orange>ENG:</font> box for making bread
aruc'acha	<font color=green>ESP:</font> hablador pero no cumple, charlatán\n<font color=blue>AYM:</font> aru k'acha\n<font color=orange>ENG:</font> one who speaks finely but never fulfills promises
aruntiz	<font color=green>ESP:</font> saludar a un santo/a una autoridad\n<font color=blue>AYM:</font> aruntaña\n<font color=orange>ENG:</font> to greet a saint/an authority
arz	<font color=green>ESP:</font> estrenar\n<font color=blue>AYM:</font> istrinaña\n<font color=orange>ENG:</font> to use for the first time
arz	<font color=green>ESP:</font> dejar una cosa que no le gusta\n<font color=blue>AYM:</font> apamukaña\n<font color=orange>ENG:</font> to leave something you don't like
as	<font color=green>ESP:</font> picchar, masticar coca\n<font color=blue>AYM:</font> ak'ullt'aña\n<font color=orange>ENG:</font> to chew coca
asi	<font color=green>ESP:</font> comida espesa, comida de lawa\n<font color=blue>AYM:</font> lawa\n<font color=orange>ENG:</font> porridge
asintiz	<font color=green>ESP:</font> asentar, colocar\n<font color=blue>AYM:</font> asintaña, uchaña\n<font color=orange>ENG:</font> to settle, to place
asiptiz	<font color=green>ESP:</font> aceptar\n<font color=blue>AYM:</font> iyaw saña\n<font color=orange>ENG:</font> to accept
asirtiz	<font color=green>ESP:</font> hacer sin falla, acertar\n<font color=blue>AYM:</font> asirtaña\n<font color=orange>ENG:</font> to do without fail
asirtiz	<font color=green>ESP:</font> dar impacto\n<font color=blue>AYM:</font> asirtaña\n<font color=orange>ENG:</font> to hit
asiti	<font color=green>ESP:</font> aceite\n<font color=blue>AYM:</font> asiyti\n<font color=orange>ENG:</font> oil (for cooking)
astuna	<font color=green>ESP:</font> azadón\n<font color=blue>AYM:</font> asaruna\n<font color=orange>ENG:</font> large hoe
asza	<font color=green>ESP:</font> arder\n<font color=blue>AYM:</font> lakhaña\n<font color=orange>ENG:</font> to burn
at k'ara	<font color=green>ESP:</font> sin dientes\n<font color=blue>AYM:</font> jan k'amani\n<font color=orange>ENG:</font> toothless
at pjasara	<font color=green>ESP:</font> con dientes gastados\n<font color=blue>AYM:</font> k'ama yastata\n<font color=orange>ENG:</font> with small worn teeth
ata	<font color=green>ESP:</font> boca\n<font color=blue>AYM:</font> laka\n<font color=orange>ENG:</font> mouth
ata alajja	<font color=green>ESP:</font> puras palabras (sin hechos)\n<font color=blue>AYM:</font> inak arusi\n<font color=orange>ENG:</font> just talk (no action)
atinaru	<font color=green>ESP:</font> orgulloso\n<font color=blue>AYM:</font> atinaru\n<font color=orange>ENG:</font> proud
atipz	<font color=green>ESP:</font> ganar, vencer\n<font color=blue>AYM:</font> atipaña\n<font color=orange>ENG:</font> to win, to defeat
atipz	<font color=green>ESP:</font> escapar\n<font color=blue>AYM:</font> t'ijtaña, t'ijtas atipaña\n<font color=orange>ENG:</font> to escape
atñic̈ha	<font color=green>ESP:</font> poder\n<font color=blue>AYM:</font> atiña\n<font color=orange>ENG:</font> to be able to
atñic̈ha	<font color=green>ESP:</font> hacer, preparar\n<font color=blue>AYM:</font> kisu luraña\n<font color=orange>ENG:</font> to make, to prepare
atpulu	<font color=green>ESP:</font> labio\n<font color=blue>AYM:</font> phisphi\n<font color=orange>ENG:</font> lip
atupi	<font color=green>ESP:</font> adobe\n<font color=blue>AYM:</font> atuwi\n<font color=orange>ENG:</font> adobe, mud brick
atz̈a	<font color=green>ESP:</font> recorrer\n<font color=blue>AYM:</font> suchuña\n<font color=orange>ENG:</font> to travel through
