abajo	Aynacha
llevar en la mano objetos pequeños	Irnaqaña
llevar algo en la boca	Achuña
llorar dando gritos	Jachaña, k'ajaña
lluvia	Jallu
lodo	Ñiq'i
lombriz	Sillq'u
loro (variedad de loro)	K'allalla
luminoso	Qhisqha
luna	Phaxsi
lunes	Phaxsi uru
macho	Urqu
madeja	Juñi
madre	Tayka
maduro	Puquta
maíz	Tunqu
mala hierba	Wati qura
malagüero	Qhincha, watiqa
malo	Jani wali
mama	Ñuñu
mano, extremidad superior	Ampara
manta de mujeres para llevar cosas en las espalda	Q'ípxaru
manta pequeña multicolor para manejar coca	Istalla
manta que suelen usar los hombres para llevar cosas en la espalda	Mantiyu
manta multicolor de mujeres para llevar cosas en la espalda	Wayllasa awayu
manta de mujeres para protegerse la espalda	Thap'isiña awayu
mañana	Arumanthi
mar	Lamara
mariposa	Pilpintu
mariposa nocturna	Pharayli
martes	Ati uru
marzo	Achuqa phaxsi
masajear	Qaquña
mate	Pulu
matrimonio	Jaqichasiña, kasarasiña
mayo	Llamayu phaxsi
mayor	Jila
mayor que	Jilacha
mazamorra	Allpi
medianoche	Chika aruma
medida de pie	Kayu takt'a
medida del antebrazo	Mujlli tupuña
mediodía	Chika uru
medir	Tupuña
meditar	Amuyaña
menor	Sullka
menor que	Juk'acha
mentira	K'ari
mentón	K'achi
menudo (tubérculo menudo)	Llullu
mercado	Rikuwa
mes	Phaxsi
meta	Puriwi
metacarpio	Chhunqallu
metatarso	Chhunqallu
mezclar	Ch'axlluña, kitjaña
miedo	Axsaraña
miel	Misk'i
miércoles	Wara uru
mil	Waranqa
mina	Qhuya
minuto	T'ijuqa
moco	Jurma
modificador	Mayjachiri
mojado	Ch'araña
moler	K'iyaña, piraña, qhunaña
molle	Mulli
mono	K'usillu
montón	Qutu
morado,violáceo	Anti
morir	Jiwaña
mostrar	Uñachayaña
moteado	Allqa
mover	Unuqiyaña
mucho	Walja
mugre	Q'añu
mujer	Warmi
multiplicar	Mirayaña
mundo	Pacha
murciélago	Chiñi
muslo	Chara
nacer	Yuriña
nacido (recién nacido)	Asu wawa
nariz	Nasa
negro	Ch'iyara
nevada	Aqarapi, khunu
nido	Tapa
nieta	Allchhi
nieto	Allchhi
nieve	Khunu
no	Jani, janiwa
noche	Aruma
noche oscura	Payi
nombre	Suti
norma	Kamachi
noviembre	Awti phaxsi
nube	Qinaya
nudo	Chinu
nuevo	Machaqa
numerador	Pachjata
número	Jakhu
nunca	Jani mayampi, janipuni
paciente	Usuri
padecer	Mutuña, t'aqisiña
padre	Awki
página	Jalja laphi
país	Jach'a marka
paja	Jichhu
paja brava	Iru jichhu
pájaro	Jamach'i
palabra	Aru
palitos para tejer a mano	P'itaña
palma	Ampara qutaña
palma (medida de la palma de la mano)	T'axlli
palo	Lawa
paloma	Kitula
pan	T'ant'a
pantano	Juqhu
papa	Ch'uqi
papa sancochada	Qhati
papalisa	Ulluku
paralítico	Such'u
pararse	Sayt'aña
pared	Pirqa
pariente	Wila masi
parir (dar a luz de las mujeres)	Wawachaña, ususiña
paso	Chillqi
pastear	Awatiña
pasto	Q'achu
pecado	Jucha
pedazo	T'aqa
pedo	Sira
pegar, agredir	Nuwaña
pegar, unir con goma	Lip'iyaña
peinar	Sanuña
peine	Sanu
pelar (quitar cáscara)	Sillp'iraña
pelea	Ch'axwa
pena	Llaki
pendiente, en suspenso	Sayt'aña
penoso	Ch'ama
pensar	Amuyaña, lup'iña
pequeño	Jisk'a
perdiz	P'isaqa
perímetro	Muyta, qawaya
perinola	Phiriru
perro	Anu
persona	Jaqi
pesado	Jathi
pez	Challwa
picaflor	Luli
picar	Mich'iña
pico de las aves	Chhuru
pie	Kayu
piedra	Qala
piedra sagrada	Wak'a qala
piel	Janchi
pintar	Samichaña
pisar	Takiña
placenta	Jakaña
planeta	Pacha
planeta tierra	Aka pacha
planta medicinal	Qulla mallki
planta silvestre	K'ita mallki
plátano	Puquta
plato (plato de arcilla)	Chuwa
plato de barro	Ñiq'i chuwa
plomo	Ch'ikhu
pluma	Phuyu
poblador serrano	Thaya suyu jaqi
poco	Juk'a, pisi
podrirse	Ñusaña
poesía	Jarawi
pollera	Pullira
pollito	Chhiwli
pollo	Chhiwli
polvo	Laq'a
poncho	Punchu
poner	Uchaña, uskuña
porción de tiempo y espacio	T'aqa
posta médica	Qullaña uta
pozo	Phuju
precio de un objeto	Alapa,chani
predicado	Lurata
preguntar	Jiskhiña
preñada	Wallq'i
preparar	Wakichaña
préstamo	Chari
préstamo en dinero o productos	Manu
primavera	Phanchiri
primero	Nayrïri
primogénito	Jilïri
prisión	Wata uta
probar	Mallt'aña
probar alimentos	Yant'aña
procedencia	Yuriwi
producir (vegetales)	Achuña
profesor	Yatichiri
prohibir	Jark'aña
proteger	Arxataña
proteinas	Ch'amanchiri manq'a
provincia	Jisk'a suyu
puente	Chaka
pulmón	Chuyma
puna	Juyphi tuqi suyu, suni
punto	Ch'aqa
puñado	Phuxtu
puñetazo	Ch'aku
puño	Ampara muquchasita
pupiletras	K'anata aru
pututu	Pututu
quebrada	Qullu laya
quebrar	P'akjaña
quemar	Nakhaña, phichaña
quena	Qina
queso	Kisu
quinua	Jiwra, jupha
quishuar	Kiswara
rabo	Wich'inkha
raíz de los vegetales y de las palabras	Saphi
rana	K'ayra
rastrojo de tubérculos	Qhanuna, qallpa
ratón	Achaku
rayo	Illapa
rebaño	Tama
reboso	Chuku
receta para cocinar	Phayaña wakichawi
reciprocidad	Ayni
recoger	Apthapiña
recomendación	Arxata
reconocer	Uñt'aña
recordar	Amtaña
rectángulo	Wiskhalla
recuerdo	Amta
reflexionar	Amuyaña
regazo	Jarphi
región andina	Thaya tuqi suyu
regresar	Kutiña
relámpago	Llijulliju
remar	Jap'iña, ñuqiña
remo	Ñuqiña
remojar	Chulluchiña
renegar	Phiñaña
resfrio	Thayjata
residencia	Utjawi
residir	Utjaña
residuo	Jilt'a
respetar	Yäqaña
respirar	Samaña
responder	Kutkatasiña
respuesta	Kutt'ayaña
resucitar	Jakatatayaña
reunión	Mathapiña, tantachasiwi
reunir	Mayachaña
revender productos, objetos y animales	Alakipaña
reventar	Phallaña
revisar	Uñakipaña
rico	Qamiri
río	Jawira
robar	Apaqaña, lunthataña
rodear	Muyuña, muyuntaña
rodilla	Qunquri
rojo	Chupika
rompecabezas	P'iqi p'akjasiña
romper tela, papel	Jich'iña
romper objetos, palo	P'akiña
ronquera	Ch'aja
rosado	Janq'u wila
sábado	Kurmi uru
sacar	Apsuña
sacudir	Thalaña
sal	Jayu
salado	Jayuk'ara, k'ara
salida del sol	Inti jalsu
saltar	Thuqtaña, t'isktaña
saludar	Aruntaña
saludo	Arunta
sancochar con el calor del vapor de agua hervida	Phutiña
sangre	Wila
sapo	Jamp'atu
sarampion	Piyampiya usu
sarna	Qarachi
sebo	Lik'i
sebode alpaca y llama	Llamp'u
seco	Waña
sector	Jisk'a suyu irama
seguir a alguien	Arkaña
seleccionar	Lakiña, ajlliña, chhijllaña
selva	Muntaña tuqi suyu
sembrar cereales al voleo	Phawaña
sembrar	Sataña
sembrar cebada	T'imphantaña
semen	Jatha
semilla	Jatha
semilla de ají o de rocoto	Chira
señal	Chimpu, unancha
separar algo de un todo	Jaljataña
separar escogiendo o seleccionando	Lakiña
separarse	Jaljtaña
ser inerte	Jani jakiri
serpiente cascabel	Saqapani katari
setiembre	Llamp'u phaxsi
siembra	Sata
siembra de cebada, quinua	Qaraña
signo	Chimpu
signo de admiración	Musphaña chimpu
signo de interrogación	Jiskhiña chimpu
sílaba	Aru qallu
silbar	Khuyuña
silencio	Amukt'a
sistema circulatorio	Wila sirka kamana
sistema digestivo	Manq'a kamana
sistema muscular janchi kamana,	Muxsa janchi kamana
sistema oseo	Ch'aka kamana
soga	Chinuña
soga hecha de lana de alpaca o llama	Wiskha
sol	Inti
sólido	Qhuru
soltar los animales	Jararaña
sombra	Ch'iwu
sonaja	Suxu suxu
soñar	Samkaña
sorprender	Katjaña
suave	Jasa
sublevación	Sayt'awi
suciedad	Q'añu
sudor	Jump'i
sueño	Samka
sufrir	Mutuña, t'aqisiña
sujeto de la oración gramatical	Luriri
superficie plana	Pallalla
supervisar	Uñakipaña
surco	Suka
suspirar	Jayisiña
sustracción	Jakhuqawi
tallo	Ali lawa
tallo de quinua	Chäka
talón	Kayu wintu
tamizar	Susuña
tapa	Qhupiña
tapar	Qhupiña
tarde	Jayp'u
tejer	Sawuña
tejer a mano	P'itaña
tejido, prenda tejida	Sawu, sawuta isi
templo	Inlisya
tender	Janaña
teñir	Tiñiña
terminar	Tukuña
terrón	Khula
teta	Ñuñu
tiempo	Pacha
tiempo de hambruna	Mach'a pacha
tiempo pasado	Nayra pacha
tiempo presente	Jichha pacha
tierno, producto vegetal tierno	Llullu
tierra	Laq'a, uraqi
tierra de cultivo	Pachamama
tierra descansada	Puruma
tierra negra	Ch'iyara laq'a
tierra virgen	Puruma
tijeras	Khuchuña
timpanismo	Tini
tinaja	Wakulla
tipo	Kasta
tiznarse	Qhistiña
tizne	Qhisti
torbellino	Tutuka
torrentera	Lluxlla
tórtola	Qhurukutu
tos	K'aja
tos convulsiva	Ch'uxu
toser	K'ajaña, ch'uxuña
tostado	Jamp'i
tostador	Jiwk'i
totorilla	Qina
trabajar	Irnaqaña, luraña
trabalengua	Laxra chinja
trama, trama primero de los tejidos	Qipa pulu
trancar	Chakaña
transplantar	Mallkiña
traquea	Tunquri
trasladar	Jittayaña
trenza	K'ana
trenzar	K'anaña
triángulo	Mujina
trillar	Jawq'aña
tristeza	Llaki
trocar	Chhalaña
troje, tubérculos	Phina
troje de bosta	Pirwa
troje de totora	Sixi
tronco	Tullu
trueque	Chhala
tú	Juma
tubérculo asoleado	K'asuta, k'anuchata
tuberculosis	Tisiku
tupido	Phatu
último	Qhipïri
uña	Sillu
urdimbre	Asi
vagar	Muyuña
vapor de agua	Juwri
vaso de ceremonia	Qiru
vejiga	Yaq'allachi
vellón	Jawi
vena	Wilasirka
venado	Taruka
vencedor	Atipiri
vencer	Atipaña
vencido	Atipata
vender	Alxaña
venir	Jutaña
ventear	Khuyuña
ver	Uñjaña
verano	Panqara phaxsi
verbo	Parliri
verde	Ch'uxña
vergüenza	Phinq'a
vértice	K'achi
vestigio	Unancha
vicuña	Wari
vida	Jakawi
viejo (cosas)	Thantha
viejo (persona de edad)	Achachi
viento	Thaya
viga	Chakaña
vigilar	Uñjaña
viruela	Chuqu usu
viuda	Ijma warmi
viudo	Ijma chacha
víveres	Manq'aña
vivir	Jakaña
vizcacha	Wisk'achu
volar	Thuqtaña, jalaña
volver	Kutiña
yareta	T'ula
yo	Naya
yo y tu	Jiwasa
yugo	Lluku
zampoña	Siku
zorrino	Añuthaya
zorro	Qamaqi
