abadesa	Aware:sa.
amontonado	Sońlo:ba.
amontonar	Sota'loba:na.
amor	Kwajeswa:nas.
ampolla	Voslo:łe.
ampollarse	Woslo:łe.
anaconda	Yana:we.
analizar	Para:na.
ancho	Powcho.
anciano	Anti:wo.
andar	Ilo:ni.
andar a pie	Ajłabał.
andar uno detrás de otro	Kankame:ni.
andar uno detrás de otro	Kweykaye:ni.
angosto	Tochi'cho.
anguila eléctrica	Ta'as.
anguila ordinaria	Bu:ray.
anidar	Ita:bał.
animal	Popoykwa.
animal con cría	Enałe:poy.
animal domestico	No:no.
animal enfermo	Terani:poy.
animal flaco	Beye:poy.
animal hembra	Kweyampoy.
animal macho	Toro:poy.
animal muerto	Kayni:poy.
animal preñado	Jimo:poy.
animarse a enfrentar	Mirińna.
ano	Chocho:res.
anoche	Alimeł.
anoche	Al'imeł.
anochecer	Łuvuyni.
anochecerse	Imaye:ni.
anta	O:ma.
antebrazo	Bakwanyiń.
antepasado	Anti:wo.
antes	La'.
antes del momento presente	Kwey.
antojarse	Che'che'e.
anunciarse	Loyrane:łe.
anzuelo	Ta'tuwanra.
añadir	Chajna.
añadir sal	Łoma'na.
añadirse	Chajpińcheł.
año	Tino:na'.
año nuevo	Polatino:na'.
apagar	Rosna.
apagarse	Rosros.
apareado	Alchi:ni.
aparecer de la nada	Vaḿvaḿ.
aparecer de repente	Tokela'ni.
aparecido	En'enra.
apartar	Sotajna.
apartar algo	Usna.
apartarlo	Kilajna.
apartarse	Uscheł.
aparte	So:taj.
apegado	Alu'.
apegar juntar	Alu'na.
apegarse	Alu'cheł.
apegarse	Nałcheł.
Apellido	Kem'eł.
Apellido	Ku:juy.
Apellido Almaquio	Alma:kilo.
Apellido Amblo	Ambolo.
apertura	Ta'cho.
aplastado	La:tos.
aplastar	(por ejemplo un objeto metálico) Soma:cho.
aplastarlo	Latosna.
aplaudir	Bopońcho:pa.
aporrearse	Bayvo:seł.
apoyado	Dilpoj.
apoyarse	Alpa:ni.
apretado	Sińcho:cho.
apretar	Romna.
apretar algo	Dila:cho.
apretar una masa	Yańna.
apretar y amasar	Roma:cho.
aprete!	Romti.
apuntar	Chuse:łe.
apurado	Po:ra.
apurarse	Dińka:ye.
aquello	Asko.
aquí	Ayru.
aquí	Ney.
aquí	(demostrativo) Neyru.
aquí presentes	I'ko.
araña	Si:wa.
arañar	Bite:łe.
árbol	Ko'o.
arco de flecha	Tani:lo.
arco iris	Ko'cha'.
arder	Ba'le:les.
arder fuego	Ve'e:ti'.
ardilla	Wa'way.
ardor	We:wew.
arena	Wi'wis.
arepa	Baybijełto.
arepa	Dere'to.
arisco	Sere:ra.
armar algo	Joya:ra.
aro	Mońlo:to.
arqueado(a)	Yampiń.
arrancar algo	Rałna.
arrancar algo de la raíz	Kota:ki.
arrastrarse	So:wasłe.
arrear	(por ejemplo el ganado) Neńna.
arrear animales	Neta:poy.
arreglado	Ajka:ra.
arreglado(a)	Ajkalo:wes.
arreglar a alguien	Ajkaye:na.
arreglar algo	Ajkara:na.
arreglarse	Ajkalowescheł.
arreglar un tejido	Kojele.
arreglos	Aja:pa.
arrepentirse	Choykabaycho.
arriba	A:riwa.
arriba	Ku:lo.
arrimado	Dilpoj.
arrocillar	Bay'na:na.
arrollar	(por ejemplo una estera) Puya:ba.
arrollar algo	Pila:cho.
arrollarse	Puyba:ba.
arroyo	Bijra.
arroyo	Wala:cho.
arroz	A:roso.
arrozal	Aroso:mo.
arroz calentado	Jo:jo:di.
arrugarse	Sulu:ni.
artículo demostrativo para personas	I:ri.
artículo plural para objetos y animales	Is.
artículo que sirve para enfatizar a la persona	Kaw.
asado	Is'isra.
asar carne	Isa:ra.
aseado	Ko'loj.
asentarse un pájaro	Pencheł.
aserrín	Larujkwa.
aserruchar algo	Jiłna.
aserruchar madera	Jiła:vos.
asesando	Jasjascho:na.
así	(indicando con la mano) Nokopa.
asiento	Aswa.
así es	E'a.
así es	Janwa.
así es	Jeya'a.
asolearse en un barranco	(por ejemplo un lagarto) Ilba:łe.
áspero	Chapujni.
asta	Chankwa.
asustarse	Teńcheł.
atajar	Kajłe:na.
atajar o parar a alguien	Taja:poy.
atajarse	Tajpo.
atajar va alguien en el camino	Kaja:łe.
atar	Suḿna.
atenido en si mismo	Jinne:cheł.
atizar	Ita:ba.
atragantado	Sińbi:ye.
atreverse animarse	Mirińchel.
atropellarlo	Wilna.
aujero ancho	Powcho:ra.
aullar del perro	Jawjawcho:na.
aumentar	Nayra:ni.
aumentar agua	Chama:mi.
aumentar algo	Chajna.
aún cuando	Wa:rey.
ausente	Kinos.
ausente	Kis.
ausente	Kos.
autoridad	Eno:na.
avansarle en una visita imprevista	Wachołra.
avanzar	Daydaywi'na.
avanzar	Nayra:kwi.
avanzar en un trabajo	Kilajwińni.
ave	Jo'me.
avecita de las playas	Jaywisełpammo.
ave de color ceniza	Tuvusmo.
ave de rapiña	Chi:ya.
ave hembra	Kweyammo.
ave que está empollando	Deyałe:mo.
a ver!	Ona.
ave rosada	Balosi:mo.
avestruz	Da'ra.
avisarle a alguien	Kena:pa.
avispa	O:mayle.
axila	Chovajdimpo.
axila	Chowiń.
ayudar	Alpa.
ayudar	Alpanełe.
ayudarse	Alkapanełe.
ayudarse	Alkapa:ni.
ayudarse	Alpa:ni.
azotar	Mase:łe.
azul	Su:vuj.
babearse	Ło'lokwa:kwa.
bacín	Chojwamba.
bagre	Sejdi.
bailador	Telo:pa.
bailar	Te:lo.
bajada del agua	Ovni.
bajarle el precio	Tatabalkwa:na.
bajarse	Tańba:łe.
bajío	Chisa:was.
bajo de estatura	Te:des.
bajó el agua	Osani.
bajo vientre	Pojsi.
balsamina	Cha'kałałba.
bandeado	Dońpiń.
bandurria	Taka'ya.
bañar a alguien o algo	Łaḿna.
bañarse	Łaḿłaḿ.
baño	Tori:na.
barato	Beyrimeł.
barbecho	Bo'chonamo.
barnizar	Rińna.
barquinear	Teńka:ba.
barranco	Łavałkwa.
barredora	Pulacho:pa.
barrer adentro	Pula:cho.
barriga	Chodo:wi.
barro	Bubuńkwa.
bastón	Cha'pa.
basura	Mova:kwa.
basura que queda de la caña	Bawankwa.
basurear	Pula:mo.
batan	Asłe:du'.
batan	Du'na.
batir	Tawna.
batir algo	Chawna.
batir o mermar	Wasna.
bato	Wusu:wu'.
bautizar	Bań'ełe.
bautizar	Ruḿchimpa.
bebé	Tami:ba.
bebedor	Ya:lowe:pa.
beber algo líquido	Toromna.
beber con gusto	Ma'neskalo:cho.
bejucal	Wawankwammo.
bejuco	Wawankwa.
bello	Chamu:yas.
bello en la parte genital de la mujer	Chuskaba:ba.
bello en la parte genital del varón	Chuskalo:ri.
belludo	Chamu:yas.
bendecido	Dachis'i.
besar a alguien	Puruńna.
besarse	Puruńcheł.
besarse	Puruńłe.
bibosi	(árbol) Si:lim.
bien arrimado para no caerse	Di:re.
bien seguro	Jolo:wes.
bigotes	Chuskachuskwa.
bizquear	Walaychidus.
blanco	Ta:voj.
blandeado	Lede'ni.
blandito	Sibo'ni.
blando	Jusawni.
blando	La:wiń.
blando	Lawińni.
blando	La:wiń.
blando	Lawińni.
blanquear	Wisna.
boca	Kwan'i.
boca arriba o mirar hacia arriba	Cha'kwa.
bocio	Woro'ba.
bocón	Ełkwa.
boda	Nayewa:nas.
bofe	Wasojmo.
bola o pasta de jabón	Jawo:ba.
bolsa	Mari:ko.
bolsa pequeña	Mariko:ba.
bolsillo	Worsi:ko.
bolsita	Mariko:ba.
bombo	Pono:na.
bonito	Ja:yaw.
bonito	Ji:ran.
bonito	Jiranni.
boquiabierto	Lemlemkwa:ni.
borde	Łała:kwa.
borochi	Tuya:wa.
borrachera	Layakwanwa:nas.
borrachera	Layakwanwa:nas.
borrar	Rosna.
borrarse	Rosros.
bosque	Chaḿmo.
bosta	Chi'i.
bosta del chulipi	Modońchi:ya.
bosta de pez	Cha:yał.
bosta de pez molida y cernida	Chayałvas.
bostezar	Jalaykwa.
botar algo	Jara'na.
botarlo de su casa o de un lugar	Jara'chołna.
botarlo en el monte	Jara'mołna.
botón	Woto:ne.
boyé	Waybuswa.
brasa	Dela:kwa.
brazo	Bo:sa.
brazos cruzados	Jamnba:yiń.
bregar	Batejni.
brincar	Descheł.
brincotear cuando se baila	Deskalo:boj.
bromear	Kawasłe.
brotar	Paḿpaḿ.
brujo	Ukwampa.
buche del ave	Bajasła.
bueno	Do:koy.
bueno	Ja:yaw.
bueno	Si'way.
buey	We:ye.
bufeo	Paj'i.
búho	Ełkwammo.
burbujear	Chisisi'.
buscar algo	Salna.
buscar mujer	Salakwe:ya.
buscar piojos	Damna.
caballito	Kawayo:di.
caballo	Kawa:yo.
cabello	Risa:kwa.
cabello espeso	Duḿmo.
cabello fino	La:mis.
cabello suelto	Mańchori:sa.
cabeza	Bakwa:kwa.
cabeza de pelo blanco	Tavojba:kwa.
cabeza dura	Dińchoba:kwa.
cabeza redonda	Japilba:kwa.
cabezaseca	(ave) Laya:ta.
cabezaseca	(ave) Laya:ta.
cabo	Banełkwa.
cabo o mango de un hacha	Pitełkwi.
cacaré	(ave) Charcha.
cachete	Kwinto.
cachete de vaca	(pedazo de carne) Kwinto:kwa.
cachorrito	Chu:chu.
cada rato	Jemes.
cadáver de animal en descomposición	Dońpoyni.
cada vez	Choń.
cada vez	Jaya'na.
cadera	Mosikwa:kwa.
caer de bruce	Va'kwa.
caerse de arriba	Tańvo:seł.
caerse de estar parado	Ło'ło'.
café	Ka:pe.
café preparado	Kape:lo.
caja de fósforo	Pajwela:moł.
cajón	Amka:rim.
cajón	Kajo:ne.
cala de cusi	Wajle:di.
calentar agua	Jo:mi:na.
calentar algo	Jo:na.
calentarse en el fuego	Jo:we.
calentarse la cabeza	Joba:kwa.
caliente	Kwajles.
callarse	Kwale:łe.
callarse	Wayasłe.
calle	Chora:da.
calle de uno	Choradaneł.
calmar el dolor	Ajtivijni.
calmarse	Tajpo.
calor	E:wel.
calor agradable al cuerpo	Buwa'ni.
calucha	Chochołkwa.
calumniado	Kemme.
caluroso	Ewelni.
caluroso	Tayo:ka.
calvo	Tosba:kwa.
camarada de armas	Allo:ba.
cambiado de lado	Volto.
cambiado de ropa	Boń'ojeł.
cambiar	Bawra:na.
cambiar apariencia	Volrada.
cambiar de dirección	Vola:kwa.
cambiar de idea	Volbaycho.
cambiar de lugar	Bo'wa:wa.
cambiarlo	Bońra:na.
cambiarlo de base	Vola:to.
cambiar los caballos	Bońpoyna.
cambiarse de ropa	Boń'ojełe.
caminar	Ilo:ni.
caminar bien	Jayawlo:wes.
caminar de noche	Aj'imeł.
caminar de noche	Iloni'imma.
caminar lento	Jiballo:wes.
camote	Jala:la'.
camote	Walu:sa.
canasta de asiento tejido	Samresmo.
canasta de cogollo de motacú que se empieza a tejer del asiento	Jolteresmo.
canasta que tejen los collas	Dawanmo.
canastas bolsa	Amka:rim.
canción	Lewwansi.
cangrejo	Da:ka.
caníbal	Kayajuyeni:pa.
canilla	Riskwi.
canilla	Ris'i.
canoa	Chonveni:wa.
canoa	Ju:ve.
cansado(a)	Yamu:muj.
cantar	Lewlew.
cantar por cantar	Lewka'asna.
cantor	Lewpa.
caña de azúcar	Chara:ye.
cañería	Tute:kwa.
cañuela	Dodomba.
cañuelar	Dodombammo.
capibara	Ni:yo.
cara	Mo:ra.
carachupa	Pusa:ra.
caracol	Wa:wa.
caracoré	Sur'suru'.
cara de manechi	Judimmo:ra.
caramba!	Tojeł.
carau	A:ray.
carbonizado	Ba:cho:kwi.
carcaña	(ave) Taru:ba.
carcoma	Tono:ko.
cardenal	(ave) Chuwi:sa.
cargado en espalda	Bańdu'u.
cargar algo en la mano	Łi:na.
caricari	Koti:ti.
caricarisal	Kotitimmo.
carne	Wa:kato:da.
carnear	Wa:ka:ti'.
carnearse	Wa:ka:ni.
carne asada	Is'isra.
carne calentada	Jo:jo:ra.
carne cruda	Nu:ra.
carne de anta	Ornato:da.
carne de mono	Sidojra.
carne frita	Deńchołra.
carne por demás de flaca	Daminni.
carne sancochada	Dejdejra.
caro	Dińrimeł.
carpir	Waje:łe.
carpir	Wajna.
carpir	Wa'waj.
carpir un pajonal	Waja:mo.
carretón	Kare:ta.
casa	Asna.
casa	Ro:ya.
casa con techo de paja	Dimasdi.
casa de juego	Kuynana'wandi.
casa embarrada	Payłava:di.
casa pequeña	Roya:di.
casarse	Na:ye.
casa vieja	Meme:di.
cascabel	Tintimba.
cascajal	Champandi.
cascara de curupaú	Małaḿbeń.
cascara de la fruta	Tobeńkwa.
cascara del árbol	Tobeńkwa.
cascara de paquió	Vosimbeń.
cascara que usaban como vestimenta los nativos	Bocho:mo.
casi	Me:kaka.
casi	Tela.
casra del alcornoqui	Tipołbeń.
castellano	Kaste.
castigados juntos	Alwitełni.
castigar a alguien con crueldad	Łavora:na.
castigar con azotes	Mase:łe.
casuela de barro cocido	Chapa:ye.
Cáumol	(apellido) Kawmoł.
cavar	Wońna.
cavar	Wote:łe.
Cayalo	(apellido) Kaya:lu.
cayú	Talumba.
Cayú	(apellido) Kayu'.
cazador de teitetú	Kayotimpa.
cazar	Ba:yeł.
cebo	Se:wo.
cebo de la panza	Chokwammowo'wo.
cebo de la tripa	Chiraskwanwo'wo.
ceboro	Da:ka.
cedrillo	(árbol) Kwałna.
cedro	Mapo:no.
ceja	Balra.
celar	Keraaye:łe.
cementerio	Kayniwandi.
ceniza	Ve'e:vus.
centro	Terescho:ma.
cepe	Toka:da.
cepillar un objeto de madera	Kołna.
cera	Chuydimba.
cerco	Cha'di.
cerco	Cha'ves.
cerco cerrado	Vi'cho.
cerdo	Ko:chi.
cerebro	Dinełbakwa.
cerebro	Popojmo.
cernidor hecho de junco	Kona:le.
cernir algo	Korojna.
cerrar	Po'na.
cerrar con llaves	Tu'na.
cerro con piedras	Champammo.
cesta de boca pequeña	Parukwammo.
chaaco	(árbol) Kisa'.
chacarero	Bayłimpa.
chaco	Bayłim.
chaco	Bayłinwa:nas.
chaco entero	Pe'łim.
chaicita	Tolo:do.
Chaima	(apellido) Chayi:ma.
chala	Bovijkwa.
chala de arroz	Momołkwa.
chala de maíz	Vobijkwa.
chamuscar	Vusna.
chamuscarse	Vusłe.
chapapa	Pi'chis.
chaparral	Toto:mo.
chaqueado	Bayłinwa:nas.
charlar	Alwa:ni.
charque	Charki.
Chayava	(apellido) Chaya:wa.
Chelebo	(apellido) Chele:bo.
Chicaba	(apellido) Chika:wa.
chicha	Po'so.
chicha de camote	Jalala'so.
chicha de manga	Manka:so.
chichapí	Jollej.
chichapisal	Jollejmo.
chilchear	Ridisti'.
chillidos estridentes por todas partes	Alasełni.
Chimani	(apellido) Chirima:ni.
chisme	Aja:ra.
chismoso	Ajasi:pa.
chispa de fuego	Tamunles.
chiste	Josiwanra:ni.
chistear	Kawasłe.
chive	Mo'incho.
chive con agua	Boyboylo.
chive dulce	Tadoycho.
chive fino	Vuku:cho.
chive negro	Tuncho.
chive simple	Tova'cho.
choclo	Dochi'ta'.
choco	Wa:yo.
chocolate	Chukula:te.
Cholima	(apellido) Choli:ma.
chonono	Tintimba.
chonono de cascabel	Sojolwampa.
choquisuela	Beranchinamo:kwa.
Chori	(apellido) Cho:ri.
Chormini	(apellido) Chorni:ni.
chuchial	Arandimmo.
chuchio	Arandi.
chulupi	Mo:doń.
chupacoto	Karawa:chi.
chupar	Nonnon.
chupar algo	Chulumna.
chupar caña	Doya:as.
churuno	Ołneł.
churuno	Takasba.
chuto	Tambojsi.
chuvi	Chi:ya.
ciego	Lolcho:ra.
cielo	Beńra.
cien pies	Chavo'łełewmo.
ciervo	Dawjes.
cigarrillo	Seka:ru.
cigüeña	Wapayto'.
cintura	Kwikwi:kwi.
cinturón	Suḿka:piń.
cipío	(avecilla) Chabo:na.
clara de huevo	Soko:koń.
claro	Choyrey.
claro	Je:lew.
clavícula	Vi'chi.
cobarde	Tino'si.
cobrar algo	Daja:cho.
cocer al fuego	Lovełna.
cocer algo en agua	Dejna.
cocinar	Deja:jal.
codiciar a alguien por algo	Koyi'na.
codo	Ba:ruń.
coger	Ba'na.
coger algo	Ewna.
coger arroz	Tanaro:so.
coger con la mano una fruta	Lo:na.
coger frutas	Baka:ba.
coger frutas	Baka:łe.
coger un animal	Ewa:poy.
cogido por la noche	Imaye:ni.
cogollo	Teteykwa.
cojeando	Teskadi:wa.
cojear	Tescheł.
cojonudo	Molojoła'a.
cojudo	Molojoła'a.
cola	Bałewkwa.
cola arrancada	Pujłew.
cola de mono	Sidojłew.
colar	Tejna.
colcha	Chanko.
coleccionar	Italo:ba.
colgar	(por ejemplo en un gancho) Oła:łe.
colgar algo en un lugar	Lemna.
collar	Nowe:di.
colocarlo en su lugar	Chonajna.
colocar pluma de ave	Batamuń.
color	Lowe.
colorado	Ra:pal.
color anaranjado	Donlowe.
color pardo de las aves	Dońlosi:mo.
columna	Lelejdu'.
comadreja	Podota:wa.
comedirse	Alkapanełe.
comegente	Kayajuyeni:pa.
comenzar	Ba'wiń.
comenzar a hacer algo	Penwiń.
comenzar a trabajar	Pentej.
come plátano	(especie de loro) Kusała.
comer	Kaykay.
comer algo	Joma:ni.
comer con jacuú	Sekemna.
comer después de estar hambriento	Ya'muj.
comer juntos	Albu:ni.
cometierra	Kayałaba:pa.
comida	Ka:na.
comida	Kaywanra.
comida calentada	Jo:jo:loł.
comida de arroz	Aroso:lol.
comida de frijol	Madonloł.
comida de gualusa	Butułloł.
comida de maíz	Kwajta'loł.
como	O:be.
cómo estas?	Aya.
como me hacen a mí	Jene:neł.
cómo te llamas?	Ełełan.
compañera	Alkwe:ya.
compañero	Allo:ba.
compañero(a) de castigo	Alwiteł.
compañero de farra	Allo:cho.
compañero de ocio	Almaro:ni.
compañero de una acción	Allo:maj.
completar	Bara:na.
completar algo	Ba:ełna.
componer	Ajkara:na.
componerse	Inlowesni.
componerse	Połkabaycho.
comprarlo	Rímenla.
conal	Kona:le.
con buena puntería	Bisi'ne.
concho del agua u otro liquido	Chochokwankwa.
concluido	Ba:lomaj.
concluir algo	Joyalo:maj.
con cuidado	Jayawka:pa.
cóndor	Talota:lo.
con dos días	Oyyemeskwy.
conejo	Ba:tus.
confesarse	Kepanascheł.
confiar	Jaykwani.
confiar en alguien	Jina:ye.
con fiebre	Romo:moy.
con la cabeza agachada	Walaychi.
con la cabeza levantada	De'de'bakwa:ni.
con la nariz tapada	Sińchi.
con los ojos cerrados	Mi:ra.
con más ahínco	Dińtejna.
con más fuerza	Dińtejna.
conocer algo	(en sentido abstracto) Onalowesna.
conocer la actitud de otra persona	Onalomajna.
conocer su propia actitud	Onalomajcheł.
conocer una cosa	Onara:na.
conocer un lugar	Onawajna.
conocimiento	Paku'wa:nas.
con olor a osamenta	Beyesni.
con pena inquieto	Onka:ye.
con piernas desnudas	Banal:ri.
con quien converso	Alwa.
conseguir	Ba'kwi.
contador	Pakełpa.
contador	Pakełpanne.
contagiar	(por ejemplo una enfermedad) Ińna.
contagiar	Ite:łe.
contar	Ajalo:maj.
contar	Pake:łe.
contar	Pa'na.
contar de si mismo	Ajlomajcheł.
contar de su sueño	Ajsi:kwa.
contar la historia de uno	Ajlomajcheł.
contar los días	Pakaye:mes.
contar narrara relatar algo	Aja:ra.
contemplar	Para:na.
contemplar	Velna.
contestar	Chaywa.
contestar	Chaywanełe.
con vergüenza	Chajani:wa.
conversación ó forma de conversar	Alwaniwa:nas.
conversar	Alwa:ni.
con voz vibrante	Telemsineł.
coñera	Chojlolo:muy.
copa de un sombrero	Bakwaneła'a.
coquinal	Katenammo.
coquineño	Katenammomajye.
coquino	(árbol) Kate:na.
corazón	Jasła.
corazón fuera del cuerpo	Jasławanra:kwi.
corazón humano	Jasławanra.
corcho	(árbol) Pujła:vos.
cornamento de ciervo	Chanjes.
corona	(por ejemplo de la casa) Chimpa.
corona	Toro'chimpa.
corral	Wa:kawandi.
correa	Wa:ka:di.
corredor	Dińtokwi.
corredor o acera	To:piń.
correr	Ja:yi.
correr con alguien o con algo	Jayiłe:na.
corresponder	Bawpa:na.
corretearle	Kweyasełna.
corriente de agua	Sa:vaw.
corriente fuerte de un río	Dińvaw.
cortado por medio	Tampiń.
cortar	Tane:łe.
cortar	Tanna.
cortar algo con un machete	Dasna.
cortar distancia del río por el canal	Mana:pil.
cortar granos	(por ejemplo arroz) Tana:di.
cortar por lamitad	Tana:piń.
cortés	Si'way.
corto	Te:ra.
corva	Kwana:mo.
cosa fina	Lamisni.
cosa para reírse	Josiwanra.
cosa que hace dar vergüenza	Chajampojni:ra.
cosas para jugar	Ji:sawanrani.
cosechar	Baka:ba.
cosechar con la mano	(por ejemplo una fruta de un árbol) Ba'na.
cosechar granos	Chata:di.
cosechar maíz	Chata:mo.
coser	Sińna.
cosera	Chu:kul.
cosorió	(árbol) Saka'la.
costilla	Vebeskwa.
costurar	Sińna.
costurar el dobles de una vestimenta	Puyna.
costurarle la ropa a alguien	Sita'o:jeł.
costurar ropa	Sita'oj.
cotiví	Cho:cho.
coto	Ełworo:ba.
coto	Woro'ba.
covacha	Kowa:cha.
creación	Nalomajwa:nas.
crear	Vańna.
crecer	Bijawni.
crecer	Mere'ni.
crece rápido y ligero	Aykapa.
crecimiento del agua	Cheslo.
creerle	Wawasinapojna.
crespo	Mu'lu.
cresta	Burankwi.
criarse	Bijawni.
criatura	Tami:ba.
cristalino	I:lim.
criticar	Donkara:na.
crucificado	Bańsuneł.
crudo sin cocer	Molra.
cuajo	(ave) Joko'.
cuajo	(ave) Kwa'i.
cuándo?	Ełlomaj.
cuando tiembla una cosa que está plantada en el suelo por el viento	Liki:kiń.
cuando tocan las dos de la tarde	Tarawanno.
