anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
ukhamallaksa	<font color=red>CHP:</font> ana jaknuz̈quin\n<font color=green>ESP:</font> de ninguna manera\n<font color=orange>ENG:</font> in no way, not at all
jani khitisa, jani kunasa	<font color=red>CHP:</font> ana jakzilta = ana c̈hjulumi\n<font color=green>ESP:</font> ninguno (personas, animales)\n<font color=orange>ENG:</font> nobody, no one, none of (persons, animals)
jani khitis	<font color=red>CHP:</font> ana jecmi\n<font color=green>ESP:</font> nadie\n<font color=orange>ENG:</font> nobody
jani jiwjataña	<font color=red>CHP:</font> ana jiwjata\n<font color=green>ESP:</font> sin temor\n<font color=orange>ENG:</font> boldly
jani paynaqchaña	<font color=red>CHP:</font> ana payznakz̈cu\n<font color=green>ESP:</font> sin dudar\n<font color=orange>ENG:</font> without wavering, without any doubt
ñanqha saxra	<font color=red>CHP:</font> ana wali\n<font color=green>ESP:</font> muy malo\n<font color=orange>ENG:</font> very bad, evil
mulla phallata	<font color=red>CHP:</font> ana z̈eli atz\n<font color=green>ESP:</font> turbado\n<font color=orange>ENG:</font> troubled, upset, restless
janipini, janiwiras	<font color=red>CHP:</font> anapan\n<font color=green>ESP:</font> nunca\n<font color=orange>ENG:</font> never
anarpayaña	<font color=red>CHP:</font> anarpayz\n<font color=green>ESP:</font> soltar animales para pastear\n<font color=orange>ENG:</font> to let animals loose to graze
ancha, wakita	<font color=red>CHP:</font> ancha = taz̈pacha = wacchi\n<font color=green>ESP:</font> mucho, muy\n<font color=orange>ENG:</font> much, very
pusüruta	<font color=red>CHP:</font> ancha chjunamaj\n<font color=green>ESP:</font> hace cuatro días\n<font color=orange>ENG:</font> four days ago
chiqati?	<font color=red>CHP:</font> ancha zaz̈way\n<font color=green>ESP:</font> ¿cierto?, ¿de verdad?\n<font color=orange>ENG:</font> really?, truly?
jumanaka	<font color=red>CHP:</font> anc̈hjucqui\n<font color=green>ESP:</font> ustedes\n<font color=orange>ENG:</font> you (pl.)
jumanakata, jumanakana	<font color=red>CHP:</font> anc̈hucalta\n<font color=green>ESP:</font> de ustedes\n<font color=orange>ENG:</font> yours (pl.)
añilina, qulla	<font color=red>CHP:</font> anila\n<font color=green>ESP:</font> añelina (tintas para colorar)\n<font color=orange>ENG:</font> dye
animala, uywa	<font color=red>CHP:</font> animala\n<font color=green>ESP:</font> animal\n<font color=orange>ENG:</font> animal
animjata	<font color=red>CHP:</font> animc̈ha\n<font color=green>ESP:</font> estar animado para hacer algo\n<font color=orange>ENG:</font> to be encouraged to do something
animt'aña	<font color=red>CHP:</font> animt'az\n<font color=green>ESP:</font> resistir fuerte\n<font color=orange>ENG:</font> to strongly resist
anantaña	<font color=red>CHP:</font> anjatz\n<font color=green>ESP:</font> poner ganado en corral\n<font color=orange>ENG:</font> to put the herd in the corral
mujuna	<font color=red>CHP:</font> anjil kjara = chojzi kjara\n<font color=green>ESP:</font> pequeños arcos de tola al norte y sur del techo\n<font color=orange>ENG:</font> small arches of tola on the N. and S. sides of roof
anjila	<font color=red>CHP:</font> anjila\n<font color=green>ESP:</font> ángel\n<font color=orange>ENG:</font> angel
waway, imillay	<font color=red>CHP:</font> antala\n<font color=green>ESP:</font> nombre de caricia para hija\n<font color=orange>ENG:</font> affectionate name for a daughter
linti	<font color=red>CHP:</font> antiju\n<font color=green>ESP:</font> anteojos\n<font color=orange>ENG:</font> eyeglasses
tantaña	<font color=red>CHP:</font> antiz\n<font color=green>ESP:</font> reunir (personas, animales)\n<font color=orange>ENG:</font> to gather together (persons, animals)
anulaña	<font color=red>CHP:</font> anulz\n<font color=green>ESP:</font> anular/contrarrestar planes de otro\n<font color=orange>ENG:</font> to cancel/ruin plans of another person
ana	<font color=red>CHP:</font> aña\n<font color=green>ESP:</font> lunar\n<font color=orange>ENG:</font> mole (on person)
machaq mara	<font color=red>CHP:</font> aña nawi\n<font color=green>ESP:</font> año nuevo\n<font color=orange>ENG:</font> New Year
añaway ch'api	<font color=red>CHP:</font> añawiy cha'pi\n<font color=green>ESP:</font> arbusto espinoso\n<font color=orange>ENG:</font> spiny bush
jichha	<font color=red>CHP:</font> añz = jaziqui\n<font color=green>ESP:</font> ahora\n<font color=orange>ENG:</font> now
anchhichhita	<font color=red>CHP:</font> añzilla\n<font color=green>ESP:</font> ahorita\n<font color=orange>ENG:</font> right now
arkayaña	<font color=red>CHP:</font> ap apz\n<font color=green>ESP:</font> seguir siguiendo\n<font color=orange>ENG:</font> to keep following
apsuña, apaqaña	<font color=red>CHP:</font> apakz\n<font color=green>ESP:</font> sacar, quitar\n<font color=orange>ENG:</font> to take out, to take away, to remove
apaqaña	<font color=red>CHP:</font> apakz\n<font color=green>ESP:</font> bajar de arriba\n<font color=orange>ENG:</font> to take down
apartaña	<font color=red>CHP:</font> apaltichi\n<font color=green>ESP:</font> calmarse\n<font color=orange>ENG:</font> to calm down
apantaña	<font color=red>CHP:</font> apantiz\n<font color=green>ESP:</font> meter (cadaver en sepulcro)\n<font color=orange>ENG:</font> to put (body in grave)
khuy aka llampamukaña	<font color=red>CHP:</font> apaquipz\n<font color=green>ESP:</font> llevar de un lugar a otro, trasladar (cosas o animales)\n<font color=orange>ENG:</font> to take from one place to another, to move (things/animals)
Ayparawi	<font color=red>CHP:</font> Apara\n<font color=green>ESP:</font> pueblo de Ayparavi\n<font color=orange>ENG:</font> town of Ayparavi
apatataña	<font color=red>CHP:</font> apatatz\n<font color=green>ESP:</font> suspender\n<font color=orange>ENG:</font> to suspend
apayaña	<font color=red>CHP:</font> apayz\n<font color=green>ESP:</font> mandar (cosas)\n<font color=orange>ENG:</font> to send (things)
kay p'usuta	<font color=red>CHP:</font> apja\n<font color=green>ESP:</font> hinchazón de los pies\n<font color=orange>ENG:</font> swelling of foot (from walking too much)
llakita	<font color=red>CHP:</font> apjana\n<font color=green>ESP:</font> afligido, preocupado\n<font color=orange>ENG:</font> distressed, worried
apjataña	<font color=red>CHP:</font> apjatz\n<font color=green>ESP:</font> poner una cosa encima de la otra\n<font color=orange>ENG:</font> to put something on top of something else
ikiña	<font color=red>CHP:</font> apju\n<font color=green>ESP:</font> frazada gruesa\n<font color=orange>ENG:</font> thick woven blanket
aptaña, mayiña	<font color=red>CHP:</font> aptaz\n<font color=green>ESP:</font> recobrar cosas prestadas\n<font color=orange>ENG:</font> to recover things leant to another
aptaña	<font color=red>CHP:</font> aptiz\n<font color=green>ESP:</font> levantar\n<font color=orange>ENG:</font> to lift up
apt'aña, chhaqhayaña, apaqayasiña	<font color=red>CHP:</font> apt'iz\n<font color=green>ESP:</font> hacer perder, hacer quitar\n<font color=orange>ENG:</font> to lose
apuntaña	<font color=red>CHP:</font> apuntiz\n<font color=green>ESP:</font> apuntar\n<font color=orange>ENG:</font> to aim, to point
apustaña	<font color=red>CHP:</font> apuztaz\n<font color=green>ESP:</font> apostar\n<font color=orange>ENG:</font> to bet, to wager
arkaña	<font color=red>CHP:</font> apz\n<font color=green>ESP:</font> seguir\n<font color=orange>ENG:</font> to follow
awayu	<font color=red>CHP:</font> apz talu\n<font color=green>ESP:</font> aguayo, mantel para cargar en espalda\n<font color=orange>ENG:</font> cloth (for carrying things on one's back)
mamani	<font color=red>CHP:</font> aquila\n<font color=green>ESP:</font> águila\n<font color=orange>ENG:</font> eagle
jani kuns	<font color=red>CHP:</font> aquillu\n<font color=green>ESP:</font> nada, ni un poco\n<font color=orange>ENG:</font> not a bit, nothing at all
araxpacha	<font color=red>CHP:</font> arajjpacha\n<font color=green>ESP:</font> cielo\n<font color=orange>ENG:</font> sky
ch'axmichaña	<font color=red>CHP:</font> aranz\n<font color=green>ESP:</font> hacer bulla\n<font color=orange>ENG:</font> to make a lot of noise
kusi kusi	<font color=red>CHP:</font> araña = callacalla\n<font color=green>ESP:</font> araña\n<font color=orange>ENG:</font> spider
sik'anchaña	<font color=red>CHP:</font> ararz\n<font color=green>ESP:</font> insultar\n<font color=orange>ENG:</font> to insult
arawas	<font color=red>CHP:</font> arawaza\n<font color=green>ESP:</font> rumorear\n<font color=orange>ENG:</font> to spread rumors
arkantaña	<font color=red>CHP:</font> arcantiz\n<font color=green>ESP:</font> perseguir\n<font color=orange>ENG:</font> to pursue
arkantaña	<font color=red>CHP:</font> arcjatz\n<font color=green>ESP:</font> apoyar con palabras\n<font color=orange>ENG:</font> to support with words
arku	<font color=red>CHP:</font> arcu\n<font color=green>ESP:</font> arco\n<font color=orange>ENG:</font> arch
ari	<font color=red>CHP:</font> ari\n<font color=green>ESP:</font> afilado, punto\n<font color=orange>ENG:</font> sharp, pointed
yatiri	<font color=red>CHP:</font> ariwi-ñi\n<font color=green>ESP:</font> adivino\n<font color=orange>ENG:</font> fortuneteller
yatiyaña	<font color=red>CHP:</font> ariwiñz\n<font color=green>ESP:</font> adivinar\n<font color=orange>ENG:</font> to divine
ajinti	<font color=red>CHP:</font> arjinti\n<font color=green>ESP:</font> agente\n<font color=orange>ENG:</font> agent
jikhiña	<font color=red>CHP:</font> armaz\n<font color=green>ESP:</font> conseguir\n<font color=orange>ENG:</font> to obtain
ruyra	<font color=red>CHP:</font> aro = royta\n<font color=green>ESP:</font> aro, rueda, redondo\n<font color=orange>ENG:</font> hoop, wheel, round
arkulla	<font color=red>CHP:</font> arquillu\n<font color=green>ESP:</font> argolla\n<font color=orange>ENG:</font> ring used on rope
arkiritjama	<font color=red>CHP:</font> arquiritjama\n<font color=green>ESP:</font> orden según tamaño\n<font color=orange>ENG:</font> line-up, order according to size
arintaña	<font color=red>CHP:</font> arrintiz\n<font color=green>ESP:</font> arrendar (terreno)\n<font color=orange>ENG:</font> to rent (land)
aruwa	<font color=red>CHP:</font> arruwa\n<font color=green>ESP:</font> arroba\n<font color=orange>ENG:</font> 2,5 kilograms (25 lbs.)
artisa	<font color=red>CHP:</font> artisa\n<font color=green>ESP:</font> caja para hacer pan\n<font color=orange>ENG:</font> box for making bread
aru k'acha	<font color=red>CHP:</font> aruc'acha\n<font color=green>ESP:</font> hablador pero no cumple, charlatán\n<font color=orange>ENG:</font> one who speaks finely but never fulfills promises
aruntaña	<font color=red>CHP:</font> aruntiz\n<font color=green>ESP:</font> saludar a un santo/a una autoridad\n<font color=orange>ENG:</font> to greet a saint/an authority
istrinaña	<font color=red>CHP:</font> arz\n<font color=green>ESP:</font> estrenar\n<font color=orange>ENG:</font> to use for the first time
apamukaña	<font color=red>CHP:</font> arz\n<font color=green>ESP:</font> dejar una cosa que no le gusta\n<font color=orange>ENG:</font> to leave something you don't like
ak'ullt'aña	<font color=red>CHP:</font> as\n<font color=green>ESP:</font> picchar, masticar coca\n<font color=orange>ENG:</font> to chew coca
lawa	<font color=red>CHP:</font> asi\n<font color=green>ESP:</font> comida espesa, comida de lawa\n<font color=orange>ENG:</font> porridge
asintaña, uchaña	<font color=red>CHP:</font> asintiz\n<font color=green>ESP:</font> asentar, colocar\n<font color=orange>ENG:</font> to settle, to place
iyaw saña	<font color=red>CHP:</font> asiptiz\n<font color=green>ESP:</font> aceptar\n<font color=orange>ENG:</font> to accept
asirtaña	<font color=red>CHP:</font> asirtiz\n<font color=green>ESP:</font> hacer sin falla, acertar\n<font color=orange>ENG:</font> to do without fail
asirtaña	<font color=red>CHP:</font> asirtiz\n<font color=green>ESP:</font> dar impacto\n<font color=orange>ENG:</font> to hit
asiyti	<font color=red>CHP:</font> asiti\n<font color=green>ESP:</font> aceite\n<font color=orange>ENG:</font> oil (for cooking)
asaruna	<font color=red>CHP:</font> astuna\n<font color=green>ESP:</font> azadón\n<font color=orange>ENG:</font> large hoe
lakhaña	<font color=red>CHP:</font> asza\n<font color=green>ESP:</font> arder\n<font color=orange>ENG:</font> to burn
jan k'amani	<font color=red>CHP:</font> at k'ara\n<font color=green>ESP:</font> sin dientes\n<font color=orange>ENG:</font> toothless
k'ama yastata	<font color=red>CHP:</font> at pjasara\n<font color=green>ESP:</font> con dientes gastados\n<font color=orange>ENG:</font> with small worn teeth
laka	<font color=red>CHP:</font> ata\n<font color=green>ESP:</font> boca\n<font color=orange>ENG:</font> mouth
inak arusi	<font color=red>CHP:</font> ata alajja\n<font color=green>ESP:</font> puras palabras (sin hechos)\n<font color=orange>ENG:</font> just talk (no action)
atinaru	<font color=red>CHP:</font> atinaru\n<font color=green>ESP:</font> orgulloso\n<font color=orange>ENG:</font> proud
atipaña	<font color=red>CHP:</font> atipz\n<font color=green>ESP:</font> ganar, vencer\n<font color=orange>ENG:</font> to win, to defeat
t'ijtaña, t'ijtas atipaña	<font color=red>CHP:</font> atipz\n<font color=green>ESP:</font> escapar\n<font color=orange>ENG:</font> to escape
atiña	<font color=red>CHP:</font> atñic̈ha\n<font color=green>ESP:</font> poder\n<font color=orange>ENG:</font> to be able to
kisu luraña	<font color=red>CHP:</font> atñic̈ha\n<font color=green>ESP:</font> hacer, preparar\n<font color=orange>ENG:</font> to make, to prepare
phisphi	<font color=red>CHP:</font> atpulu\n<font color=green>ESP:</font> labio\n<font color=orange>ENG:</font> lip
atuwi	<font color=red>CHP:</font> atupi\n<font color=green>ESP:</font> adobe\n<font color=orange>ENG:</font> adobe, mud brick
suchuña	<font color=red>CHP:</font> atz̈a\n<font color=green>ESP:</font> recorrer\n<font color=orange>ENG:</font> to travel through
jananta	<font color=red>CHP:</font> awalla\n<font color=green>ESP:</font> pañal\n<font color=orange>ENG:</font> diaper
awantaña	<font color=red>CHP:</font> awantiz\n<font color=green>ESP:</font> aguantar\n<font color=orange>ENG:</font> to endure
awarinti	<font color=red>CHP:</font> awarinti\n<font color=green>ESP:</font> agua ardiente, alcohol\n<font color=orange>ENG:</font> alcohol, liquor
