anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
thathantata	<font color=red>CHP:</font> ajitaz\n<font color=#2E8B57>ESP:</font> dejar comida (ya hartado)\n<font color=#FF8C00>ENG:</font> to leave food (leftovers)
awtiraña	<font color=red>CHP:</font> ajjz\n<font color=#2E8B57>ESP:</font> cosechar\n<font color=#FF8C00>ENG:</font> to harvest
allchhi	<font color=red>CHP:</font> ajllchi\n<font color=#2E8B57>ESP:</font> nieto/nieta\n<font color=#FF8C00>ENG:</font> grandchild (m/f)
tata	<font color=red>CHP:</font> ajmuz ejp\n<font color=#2E8B57>ESP:</font> suegro del esposo\n<font color=#FF8C00>ENG:</font> father-in-law of husband
mama	<font color=red>CHP:</font> ajmuz maa\n<font color=#2E8B57>ESP:</font> suegra del esposo\n<font color=#FF8C00>ENG:</font> mother-in-law of husband
ikintasiña	<font color=red>CHP:</font> ajps = tjjaz\n<font color=#2E8B57>ESP:</font> acostarse\n<font color=#FF8C00>ENG:</font> to lie down (to sleep)
jaqi axtapi	<font color=red>CHP:</font> ajptjaps\n<font color=#2E8B57>ESP:</font> meterse en una discusión\n<font color=#FF8C00>ENG:</font> to intervene in a discussion
ikiña	<font color=red>CHP:</font> ajpz zquiti\n<font color=#2E8B57>ESP:</font> cama\n<font color=#FF8C00>ENG:</font> bed
ikiyaña	<font color=red>CHP:</font> ajpz zquiti\n<font color=#2E8B57>ESP:</font> acostar\n<font color=#FF8C00>ENG:</font> to put to bed
samsuña, samaqiña	<font color=red>CHP:</font> ajrkiz\n<font color=#2E8B57>ESP:</font> agitarse\n<font color=#FF8C00>ENG:</font> to be agitated
thuxru	<font color=red>CHP:</font> ajts\n<font color=#2E8B57>ESP:</font> bastón\n<font color=#FF8C00>ENG:</font> cane
jarisiña	<font color=red>CHP:</font> ajunz\n<font color=#2E8B57>ESP:</font> lavarse\n<font color=#FF8C00>ENG:</font> to wash oneself
qarqaña	<font color=red>CHP:</font> ajutiz\n<font color=#2E8B57>ESP:</font> rugir, gritar\n<font color=#FF8C00>ENG:</font> to roar, to shout
ñanqhachaña, pirjudikaña	<font color=red>CHP:</font> akacha paac̈ha\n<font color=#2E8B57>ESP:</font> perjudicar\n<font color=#FF8C00>ENG:</font> to ruin, to harm
juyra jak'u	<font color=red>CHP:</font> akallapi\n<font color=#2E8B57>ESP:</font> harina de quinua\n<font color=#FF8C00>ENG:</font> quinua flour
chhankha	<font color=red>CHP:</font> akji\n<font color=#2E8B57>ESP:</font> peña, roca\n<font color=#FF8C00>ENG:</font> rock, boulder
pirwa	<font color=red>CHP:</font> akji c̈herchiz\n<font color=#2E8B57>ESP:</font> gran montón de víveres\n<font color=#FF8C00>ENG:</font> pile of provisions
uywant puriña, antaniña, antanxaña	<font color=red>CHP:</font> akjjatz uyu\n<font color=#2E8B57>ESP:</font> regresar al corral al atardecer\n<font color=#FF8C00>ENG:</font> to return to corral (animals)
p'akintata	<font color=red>CHP:</font> aksi = kjolzi\n<font color=#2E8B57>ESP:</font> arruinado, quebrado\n<font color=#FF8C00>ENG:</font> ruined, broken
p'akjaña	<font color=red>CHP:</font> akz = kjolz\n<font color=#2E8B57>ESP:</font> quebrar\n<font color=#FF8C00>ENG:</font> to break
pantjasiña	<font color=red>CHP:</font> akzic̈ha\n<font color=#2E8B57>ESP:</font> equivocarse, confundirse\n<font color=#FF8C00>ENG:</font> to be mistaken, to be confused
ulira	<font color=red>CHP:</font> ala\n<font color=#2E8B57>ESP:</font> alero, sobresaliente del techo\n<font color=#FF8C00>ENG:</font> eaves, overhang of roof
alaja	<font color=red>CHP:</font> alaja\n<font color=#2E8B57>ESP:</font> adorno\n<font color=#FF8C00>ENG:</font> ornament, decoration
aka ch'usata, yuspaki, aliqaki	<font color=red>CHP:</font> alajapan\n<font color=#2E8B57>ESP:</font> sin motivo, sin razon, por sí\n<font color=#FF8C00>ENG:</font> without reason
ñanqha aruni	<font color=red>CHP:</font> alamutu\n<font color=#2E8B57>ESP:</font> (preguntar) con intenciones escondidas\n<font color=#FF8C00>ENG:</font> (to ask) with hidden intentions
alawanshusu	<font color=red>CHP:</font> alawasñi\n<font color=#2E8B57>ESP:</font> jactancioso, alabancioso\n<font color=#FF8C00>ENG:</font> one who boasts
alawasiña	<font color=red>CHP:</font> alawaszic̈ha\n<font color=#2E8B57>ESP:</font> jactarse, alabarse\n<font color=#FF8C00>ENG:</font> to boast about oneself, to praise oneself
alawaña	<font color=red>CHP:</font> alawaz\n<font color=#2E8B57>ESP:</font> alabar\n<font color=#FF8C00>ENG:</font> to praise
alkalti	<font color=red>CHP:</font> alcanti\n<font color=#2E8B57>ESP:</font> alcalde\n<font color=#FF8C00>ENG:</font> chief authority of an ayllu
alkawiti	<font color=red>CHP:</font> alcawitñi\n<font color=#2E8B57>ESP:</font> alcahuete\n<font color=#FF8C00>ENG:</font> keeper of a secret
kankamu, phasku	<font color=red>CHP:</font> alcu\n<font color=#2E8B57>ESP:</font> granos de la lengua\n<font color=#FF8C00>ENG:</font> bumps on the tongue
alkula	<font color=red>CHP:</font> alcuna\n<font color=#2E8B57>ESP:</font> alcohol\n<font color=#FF8C00>ENG:</font> alcohol
ali	<font color=red>CHP:</font> ali\n<font color=#2E8B57>ESP:</font> mata\n<font color=#FF8C00>ENG:</font> young plant
alintaña	<font color=red>CHP:</font> alintas\n<font color=#2E8B57>ESP:</font> alentarse, ser alegre\n<font color=#FF8C00>ENG:</font> to be happy, to be encouraged
alqa	<font color=red>CHP:</font> alka\n<font color=#2E8B57>ESP:</font> combinación de dos colores de llama (blanco y negro/café)\n<font color=#FF8C00>ENG:</font> combination of two colors on llama (white and black/brown)
alma	<font color=red>CHP:</font> alma\n<font color=#2E8B57>ESP:</font> alma\n<font color=#FF8C00>ENG:</font> soul
alma k'iruña	<font color=red>CHP:</font> alma murtajta\n<font color=#2E8B57>ESP:</font> envolver a un difunto\n<font color=#FF8C00>ENG:</font> to wrap a corpse for burial
allmilla	<font color=red>CHP:</font> almilla\n<font color=#2E8B57>ESP:</font> camisa, blusa\n<font color=#FF8C00>ENG:</font> shirt, blouse
allmilla	<font color=red>CHP:</font> almilla\n<font color=#2E8B57>ESP:</font> almilla\n<font color=#FF8C00>ENG:</font> long undergarment
alman uta	<font color=red>CHP:</font> almiz̈ kjuya = tsjij kjuya\n<font color=#2E8B57>ESP:</font> casa pequeña con huesos de difuntos\n<font color=#FF8C00>ENG:</font> little house with the bones of dead people, raised tomb
alphirisa	<font color=red>CHP:</font> alpjirsa\n<font color=#2E8B57>ESP:</font> pasante\n<font color=#FF8C00>ENG:</font> person responsible for a festival
jaqjata	<font color=red>CHP:</font> alsa\n<font color=#2E8B57>ESP:</font> regalo de comida durante fiesta\n<font color=#FF8C00>ENG:</font> gift of food at a festival
altara	<font color=red>CHP:</font> altara\n<font color=#2E8B57>ESP:</font> altar\n<font color=#FF8C00>ENG:</font> altar
altara	<font color=red>CHP:</font> altara\n<font color=#2E8B57>ESP:</font> santuario, los 4 santuarios en esquinas de patio de iglesia\n<font color=#FF8C00>ENG:</font> the four small shrines at the corners of church patio
jach'ata	<font color=red>CHP:</font> altu joorz̈tan = altu tawkz̈tan\n<font color=#2E8B57>ESP:</font> en voz alta\n<font color=#FF8C00>ENG:</font> loud
alwa	<font color=red>CHP:</font> alwa\n<font color=#2E8B57>ESP:</font> alba\n<font color=#FF8C00>ENG:</font> dawn, daybreak
tispinsa	<font color=red>CHP:</font> alwa\n<font color=#2E8B57>ESP:</font> el amanecer después de una fiesta\n<font color=#FF8C00>ENG:</font> early morning after a festival
utachaña	<font color=red>CHP:</font> alwañz\n<font color=#2E8B57>ESP:</font> hacer recto/liso el lado de pared con azadón\n<font color=#FF8C00>ENG:</font> to smooth a wall
alwirja	<font color=red>CHP:</font> alwirca\n<font color=#2E8B57>ESP:</font> arveja\n<font color=#FF8C00>ENG:</font> green pea
warantaña, phuqhaña	<font color=red>CHP:</font> alz\n<font color=#2E8B57>ESP:</font> echar líquido adentro, llenar\n<font color=#FF8C00>ENG:</font> to fill with liquid
alljaña, allthapiña	<font color=red>CHP:</font> alljatz = alltjapz\n<font color=#2E8B57>ESP:</font> aporcar (papas)\n<font color=#FF8C00>ENG:</font> to pack earth around a (potato) plant
juri uma	<font color=red>CHP:</font> allpi\n<font color=#2E8B57>ESP:</font> agua turbia\n<font color=#FF8C00>ENG:</font> muddy water
allpachu	<font color=red>CHP:</font> allpjachu\n<font color=#2E8B57>ESP:</font> alpaca\n<font color=#FF8C00>ENG:</font> alpaca
alljaña, allthapiña	<font color=red>CHP:</font> alltjapz = alljatz\n<font color=#2E8B57>ESP:</font> aporcar (papas)\n<font color=#FF8C00>ENG:</font> to pack earth around a (potato) plant
alluchata	<font color=red>CHP:</font> allunchichi\n<font color=#2E8B57>ESP:</font> orzuelo\n<font color=#FF8C00>ENG:</font> sty
juma	<font color=red>CHP:</font> am\n<font color=#2E8B57>ESP:</font> tú\n<font color=#FF8C00>ENG:</font> you
lluquchsjata	<font color=red>CHP:</font> amallu\n<font color=#2E8B57>ESP:</font> tumor\n<font color=#FF8C00>ENG:</font> tumor
anch (manq'a) munaña	<font color=red>CHP:</font> amantaz = juztaz c̈heri\n<font color=#2E8B57>ESP:</font> gustar mucho (comida)\n<font color=#FF8C00>ENG:</font> to greatly enjoy (food)
amuyasiña	<font color=red>CHP:</font> amayaraz\n<font color=#2E8B57>ESP:</font> extrañar\n<font color=#FF8C00>ENG:</font> to miss (a person)
amayusiña	<font color=red>CHP:</font> amayas\n<font color=#2E8B57>ESP:</font> darse cuenta de que algunas cosas/personas faltan\n<font color=#FF8C00>ENG:</font> to realize that some things/persons are missing
amayt'asiña	<font color=red>CHP:</font> amayt'as\n<font color=#2E8B57>ESP:</font> reorientarse cuando perdido\n<font color=#FF8C00>ENG:</font> to reorient oneself when lost
amayt'aña	<font color=red>CHP:</font> amayt'az\n<font color=#2E8B57>ESP:</font> darse cuenta de\n<font color=#FF8C00>ENG:</font> to realize, to note
lichiwan thapa	<font color=red>CHP:</font> amaywancara\n<font color=#2E8B57>ESP:</font> nido de avispa en tolas\n<font color=#FF8C00>ENG:</font> nest of mud wasp in bushes
amayuña	<font color=red>CHP:</font> amayz\n<font color=#2E8B57>ESP:</font> darse cuenta de que una persona/cosa falta\n<font color=#FF8C00>ENG:</font> to realize that one person/thing is missing
qura	<font color=red>CHP:</font> ami\n<font color=#2E8B57>ESP:</font> pasto\n<font color=#FF8C00>ENG:</font> fodder
juma pini	<font color=red>CHP:</font> amim = amim cjila\n<font color=#2E8B57>ESP:</font> tú mismo, tú siempre\n<font color=#FF8C00>ENG:</font> you yourself
amjasiña	<font color=red>CHP:</font> amjaz\n<font color=#2E8B57>ESP:</font> desgustarse\n<font color=#FF8C00>ENG:</font> to be fed up with, to be tired of
ikimaya	<font color=red>CHP:</font> amjaz\n<font color=#2E8B57>ESP:</font> despertar de un sueño hondo y estar medio dormido\n<font color=#FF8C00>ENG:</font> to wake up from a deep sleep and not be fully awake
jumata, jumana	<font color=red>CHP:</font> amta\n<font color=#2E8B57>ESP:</font> de usted/suyo, de ti/tuyo\n<font color=#FF8C00>ENG:</font> yours (formal and informal)
amtayaña	<font color=red>CHP:</font> amtayc̈ha\n<font color=#2E8B57>ESP:</font> animar a comenzar\n<font color=#FF8C00>ENG:</font> to encourage to start
amtaña	<font color=red>CHP:</font> amtiz\n<font color=#2E8B57>ESP:</font> planear trabajo, plan de trabajo\n<font color=#FF8C00>ENG:</font> to plan work, a work plan
amtaña	<font color=red>CHP:</font> amtiz\n<font color=#2E8B57>ESP:</font> recordar brindando a los santos/espíritus\n<font color=#FF8C00>ENG:</font> to drink to saints/spirits
llamp'u chuymani	<font color=red>CHP:</font> amu\n<font color=#2E8B57>ESP:</font> demasiado humilde\n<font color=#FF8C00>ENG:</font> very humble
jan kunan kirasiña	<font color=red>CHP:</font> amulaz\n<font color=#2E8B57>ESP:</font> quedarse sin nada\n<font color=#FF8C00>ENG:</font> to fail completely, to be left without anything
amuyt'asiña	<font color=red>CHP:</font> amuyt'az\n<font color=#2E8B57>ESP:</font> prevenirse de un engaño o peligro\n<font color=#FF8C00>ENG:</font> to be aware of a mistake or a danger
munaña	<font color=red>CHP:</font> amz\n<font color=#2E8B57>ESP:</font> amar, respetar, adorar\n<font color=#FF8C00>ENG:</font> to love, to respect, to worship
patarmistuña, irsuña	<font color=red>CHP:</font> amzta\n<font color=#2E8B57>ESP:</font> subida de cerro\n<font color=#FF8C00>ENG:</font> incline of a hill (upward)
janiwa	<font color=red>CHP:</font> ana\n<font color=#2E8B57>ESP:</font> no\n<font color=#FF8C00>ENG:</font> no
jani kunasa	<font color=red>CHP:</font> ana c̈hjul\n<font color=#2E8B57>ESP:</font> nada de (cosas)\n<font color=#FF8C00>ENG:</font> nothing, not any (things)
jani khitisa, jani kunasa	<font color=red>CHP:</font> ana c̈hjulumi = ana jakzilta\n<font color=#2E8B57>ESP:</font> ninguno (personas, animales)\n<font color=#FF8C00>ENG:</font> nobody, no one, none of (persons, animals)
ratuki	<font color=red>CHP:</font> ana enenz̈cu\n<font color=#2E8B57>ESP:</font> sin demora\n<font color=#FF8C00>ENG:</font> without delay
jalla, janti	<font color=red>CHP:</font> ana jaa\n<font color=#2E8B57>ESP:</font> ...¿no?,...¿verdad?,...¿no es así?\n<font color=#FF8C00>ENG:</font> ... isn't it?, ...aren't you?
ukhamallaksa	<font color=red>CHP:</font> ana jaknuz̈quin\n<font color=#2E8B57>ESP:</font> de ninguna manera\n<font color=#FF8C00>ENG:</font> in no way, not at all
jani khitisa, jani kunasa	<font color=red>CHP:</font> ana jakzilta = ana c̈hjulumi\n<font color=#2E8B57>ESP:</font> ninguno (personas, animales)\n<font color=#FF8C00>ENG:</font> nobody, no one, none of (persons, animals)
jani khitis	<font color=red>CHP:</font> ana jecmi\n<font color=#2E8B57>ESP:</font> nadie\n<font color=#FF8C00>ENG:</font> nobody
jani jiwjataña	<font color=red>CHP:</font> ana jiwjata\n<font color=#2E8B57>ESP:</font> sin temor\n<font color=#FF8C00>ENG:</font> boldly
jani paynaqchaña	<font color=red>CHP:</font> ana payznakz̈cu\n<font color=#2E8B57>ESP:</font> sin dudar\n<font color=#FF8C00>ENG:</font> without wavering, without any doubt
ñanqha saxra	<font color=red>CHP:</font> ana wali\n<font color=#2E8B57>ESP:</font> muy malo\n<font color=#FF8C00>ENG:</font> very bad, evil
mulla phallata	<font color=red>CHP:</font> ana z̈eli atz\n<font color=#2E8B57>ESP:</font> turbado\n<font color=#FF8C00>ENG:</font> troubled, upset, restless
janipini, janiwiras	<font color=red>CHP:</font> anapan\n<font color=#2E8B57>ESP:</font> nunca\n<font color=#FF8C00>ENG:</font> never
anarpayaña	<font color=red>CHP:</font> anarpayz\n<font color=#2E8B57>ESP:</font> soltar animales para pastear\n<font color=#FF8C00>ENG:</font> to let animals loose to graze
ancha, wakita	<font color=red>CHP:</font> ancha = taz̈pacha = wacchi\n<font color=#2E8B57>ESP:</font> mucho, muy\n<font color=#FF8C00>ENG:</font> much, very
pusüruta	<font color=red>CHP:</font> ancha chjunamaj\n<font color=#2E8B57>ESP:</font> hace cuatro días\n<font color=#FF8C00>ENG:</font> four days ago
chiqati?	<font color=red>CHP:</font> ancha zaz̈way\n<font color=#2E8B57>ESP:</font> ¿cierto?, ¿de verdad?\n<font color=#FF8C00>ENG:</font> really?, truly?
jumanaka	<font color=red>CHP:</font> anc̈hjucqui\n<font color=#2E8B57>ESP:</font> ustedes\n<font color=#FF8C00>ENG:</font> you (pl.)
jumanakata, jumanakana	<font color=red>CHP:</font> anc̈hucalta\n<font color=#2E8B57>ESP:</font> de ustedes\n<font color=#FF8C00>ENG:</font> yours (pl.)
añilina, qulla	<font color=red>CHP:</font> anila\n<font color=#2E8B57>ESP:</font> añelina (tintas para colorar)\n<font color=#FF8C00>ENG:</font> dye
animala, uywa	<font color=red>CHP:</font> animala\n<font color=#2E8B57>ESP:</font> animal\n<font color=#FF8C00>ENG:</font> animal
animjata	<font color=red>CHP:</font> animc̈ha\n<font color=#2E8B57>ESP:</font> estar animado para hacer algo\n<font color=#FF8C00>ENG:</font> to be encouraged to do something
animt'aña	<font color=red>CHP:</font> animt'az\n<font color=#2E8B57>ESP:</font> resistir fuerte\n<font color=#FF8C00>ENG:</font> to strongly resist
anantaña	<font color=red>CHP:</font> anjatz\n<font color=#2E8B57>ESP:</font> poner ganado en corral\n<font color=#FF8C00>ENG:</font> to put the herd in the corral
mujuna	<font color=red>CHP:</font> anjil kjara = chojzi kjara\n<font color=#2E8B57>ESP:</font> pequeños arcos de tola al norte y sur del techo\n<font color=#FF8C00>ENG:</font> small arches of tola on the N. and S. sides of roof
anjila	<font color=red>CHP:</font> anjila\n<font color=#2E8B57>ESP:</font> ángel\n<font color=#FF8C00>ENG:</font> angel
waway, imillay	<font color=red>CHP:</font> antala\n<font color=#2E8B57>ESP:</font> nombre de caricia para hija\n<font color=#FF8C00>ENG:</font> affectionate name for a daughter
linti	<font color=red>CHP:</font> antiju\n<font color=#2E8B57>ESP:</font> anteojos\n<font color=#FF8C00>ENG:</font> eyeglasses
tantaña	<font color=red>CHP:</font> antiz\n<font color=#2E8B57>ESP:</font> reunir (personas, animales)\n<font color=#FF8C00>ENG:</font> to gather together (persons, animals)
anulaña	<font color=red>CHP:</font> anulz\n<font color=#2E8B57>ESP:</font> anular/contrarrestar planes de otro\n<font color=#FF8C00>ENG:</font> to cancel/ruin plans of another person
ana	<font color=red>CHP:</font> aña\n<font color=#2E8B57>ESP:</font> lunar\n<font color=#FF8C00>ENG:</font> mole (on person)
machaq mara	<font color=red>CHP:</font> aña nawi\n<font color=#2E8B57>ESP:</font> año nuevo\n<font color=#FF8C00>ENG:</font> New Year
añaway ch'api	<font color=red>CHP:</font> añawiy cha'pi\n<font color=#2E8B57>ESP:</font> arbusto espinoso\n<font color=#FF8C00>ENG:</font> spiny bush
jichha	<font color=red>CHP:</font> añz = jaziqui\n<font color=#2E8B57>ESP:</font> ahora\n<font color=#FF8C00>ENG:</font> now
anchhichhita	<font color=red>CHP:</font> añzilla\n<font color=#2E8B57>ESP:</font> ahorita\n<font color=#FF8C00>ENG:</font> right now
arkayaña	<font color=red>CHP:</font> ap apz\n<font color=#2E8B57>ESP:</font> seguir siguiendo\n<font color=#FF8C00>ENG:</font> to keep following
apsuña, apaqaña	<font color=red>CHP:</font> apakz\n<font color=#2E8B57>ESP:</font> sacar, quitar\n<font color=#FF8C00>ENG:</font> to take out, to take away, to remove
apaqaña	<font color=red>CHP:</font> apakz\n<font color=#2E8B57>ESP:</font> bajar de arriba\n<font color=#FF8C00>ENG:</font> to take down
apartaña	<font color=red>CHP:</font> apaltichi\n<font color=#2E8B57>ESP:</font> calmarse\n<font color=#FF8C00>ENG:</font> to calm down
apantaña	<font color=red>CHP:</font> apantiz\n<font color=#2E8B57>ESP:</font> meter (cadaver en sepulcro)\n<font color=#FF8C00>ENG:</font> to put (body in grave)
khuy aka llampamukaña	<font color=red>CHP:</font> apaquipz\n<font color=#2E8B57>ESP:</font> llevar de un lugar a otro, trasladar (cosas o animales)\n<font color=#FF8C00>ENG:</font> to take from one place to another, to move (things/animals)
Ayparawi	<font color=red>CHP:</font> Apara\n<font color=#2E8B57>ESP:</font> pueblo de Ayparavi\n<font color=#FF8C00>ENG:</font> town of Ayparavi
apatataña	<font color=red>CHP:</font> apatatz\n<font color=#2E8B57>ESP:</font> suspender\n<font color=#FF8C00>ENG:</font> to suspend
apayaña	<font color=red>CHP:</font> apayz\n<font color=#2E8B57>ESP:</font> mandar (cosas)\n<font color=#FF8C00>ENG:</font> to send (things)
kay p'usuta	<font color=red>CHP:</font> apja\n<font color=#2E8B57>ESP:</font> hinchazón de los pies\n<font color=#FF8C00>ENG:</font> swelling of foot (from walking too much)
llakita	<font color=red>CHP:</font> apjana\n<font color=#2E8B57>ESP:</font> afligido, preocupado\n<font color=#FF8C00>ENG:</font> distressed, worried
apjataña	<font color=red>CHP:</font> apjatz\n<font color=#2E8B57>ESP:</font> poner una cosa encima de la otra\n<font color=#FF8C00>ENG:</font> to put something on top of something else
ikiña	<font color=red>CHP:</font> apju\n<font color=#2E8B57>ESP:</font> frazada gruesa\n<font color=#FF8C00>ENG:</font> thick woven blanket
aptaña, mayiña	<font color=red>CHP:</font> aptaz\n<font color=#2E8B57>ESP:</font> recobrar cosas prestadas\n<font color=#FF8C00>ENG:</font> to recover things leant to another
aptaña	<font color=red>CHP:</font> aptiz\n<font color=#2E8B57>ESP:</font> levantar\n<font color=#FF8C00>ENG:</font> to lift up
apt'aña, chhaqhayaña, apaqayasiña	<font color=red>CHP:</font> apt'iz\n<font color=#2E8B57>ESP:</font> hacer perder, hacer quitar\n<font color=#FF8C00>ENG:</font> to lose
apuntaña	<font color=red>CHP:</font> apuntiz\n<font color=#2E8B57>ESP:</font> apuntar\n<font color=#FF8C00>ENG:</font> to aim, to point
apustaña	<font color=red>CHP:</font> apuztaz\n<font color=#2E8B57>ESP:</font> apostar\n<font color=#FF8C00>ENG:</font> to bet, to wager
arkaña	<font color=red>CHP:</font> apz\n<font color=#2E8B57>ESP:</font> seguir\n<font color=#FF8C00>ENG:</font> to follow
awayu	<font color=red>CHP:</font> apz talu\n<font color=#2E8B57>ESP:</font> aguayo, mantel para cargar en espalda\n<font color=#FF8C00>ENG:</font> cloth (for carrying things on one's back)
mamani	<font color=red>CHP:</font> aquila\n<font color=#2E8B57>ESP:</font> águila\n<font color=#FF8C00>ENG:</font> eagle
jani kuns	<font color=red>CHP:</font> aquillu\n<font color=#2E8B57>ESP:</font> nada, ni un poco\n<font color=#FF8C00>ENG:</font> not a bit, nothing at all
araxpacha	<font color=red>CHP:</font> arajjpacha\n<font color=#2E8B57>ESP:</font> cielo\n<font color=#FF8C00>ENG:</font> sky
ch'axmichaña	<font color=red>CHP:</font> aranz\n<font color=#2E8B57>ESP:</font> hacer bulla\n<font color=#FF8C00>ENG:</font> to make a lot of noise
kusi kusi	<font color=red>CHP:</font> araña = callacalla\n<font color=#2E8B57>ESP:</font> araña\n<font color=#FF8C00>ENG:</font> spider
sik'anchaña	<font color=red>CHP:</font> ararz\n<font color=#2E8B57>ESP:</font> insultar\n<font color=#FF8C00>ENG:</font> to insult
arawas	<font color=red>CHP:</font> arawaza\n<font color=#2E8B57>ESP:</font> rumorear\n<font color=#FF8C00>ENG:</font> to spread rumors
arkantaña	<font color=red>CHP:</font> arcantiz\n<font color=#2E8B57>ESP:</font> perseguir\n<font color=#FF8C00>ENG:</font> to pursue
arkantaña	<font color=red>CHP:</font> arcjatz\n<font color=#2E8B57>ESP:</font> apoyar con palabras\n<font color=#FF8C00>ENG:</font> to support with words
arku	<font color=red>CHP:</font> arcu\n<font color=#2E8B57>ESP:</font> arco\n<font color=#FF8C00>ENG:</font> arch
ari	<font color=red>CHP:</font> ari\n<font color=#2E8B57>ESP:</font> afilado, punto\n<font color=#FF8C00>ENG:</font> sharp, pointed
yatiri	<font color=red>CHP:</font> ariwi-ñi\n<font color=#2E8B57>ESP:</font> adivino\n<font color=#FF8C00>ENG:</font> fortuneteller
yatiyaña	<font color=red>CHP:</font> ariwiñz\n<font color=#2E8B57>ESP:</font> adivinar\n<font color=#FF8C00>ENG:</font> to divine
ajinti	<font color=red>CHP:</font> arjinti\n<font color=#2E8B57>ESP:</font> agente\n<font color=#FF8C00>ENG:</font> agent
jikhiña	<font color=red>CHP:</font> armaz\n<font color=#2E8B57>ESP:</font> conseguir\n<font color=#FF8C00>ENG:</font> to obtain
ruyra	<font color=red>CHP:</font> aro = royta\n<font color=#2E8B57>ESP:</font> aro, rueda, redondo\n<font color=#FF8C00>ENG:</font> hoop, wheel, round
arkulla	<font color=red>CHP:</font> arquillu\n<font color=#2E8B57>ESP:</font> argolla\n<font color=#FF8C00>ENG:</font> ring used on rope
arkiritjama	<font color=red>CHP:</font> arquiritjama\n<font color=#2E8B57>ESP:</font> orden según tamaño\n<font color=#FF8C00>ENG:</font> line-up, order according to size
arintaña	<font color=red>CHP:</font> arrintiz\n<font color=#2E8B57>ESP:</font> arrendar (terreno)\n<font color=#FF8C00>ENG:</font> to rent (land)
aruwa	<font color=red>CHP:</font> arruwa\n<font color=#2E8B57>ESP:</font> arroba\n<font color=#FF8C00>ENG:</font> 2,5 kilograms (25 lbs.)
artisa	<font color=red>CHP:</font> artisa\n<font color=#2E8B57>ESP:</font> caja para hacer pan\n<font color=#FF8C00>ENG:</font> box for making bread
aru k'acha	<font color=red>CHP:</font> aruc'acha\n<font color=#2E8B57>ESP:</font> hablador pero no cumple, charlatán\n<font color=#FF8C00>ENG:</font> one who speaks finely but never fulfills promises
aruntaña	<font color=red>CHP:</font> aruntiz\n<font color=#2E8B57>ESP:</font> saludar a un santo/a una autoridad\n<font color=#FF8C00>ENG:</font> to greet a saint/an authority
istrinaña	<font color=red>CHP:</font> arz\n<font color=#2E8B57>ESP:</font> estrenar\n<font color=#FF8C00>ENG:</font> to use for the first time
apamukaña	<font color=red>CHP:</font> arz\n<font color=#2E8B57>ESP:</font> dejar una cosa que no le gusta\n<font color=#FF8C00>ENG:</font> to leave something you don't like
