abajo	Uray.
airado	Phiñasqa.
aire	Wayra.
aislar	Asuchiy, rakiy, sapanchay.
ajeno	Hukpa, runap.
ají	Uchu.
ajiaco	Ruqru, puqti.
ajustar	Mat'iy, chaqnay.
ala	Rapra, rikra.
alabar	Yupaychay.
alacena	T'uqu, churana.
alancear	Chukiy, tuksiy.
alargar	Suyt'uyachiy, hatunyachiy.\n(el tiempo): unayay.
alarido	Qapariy.
alarma	Ch'aqwa, manchay.
alba	Achikyay, pacha paqariy.
albañil	Pirqaq.
albedrío	Munay.
albergar	Qurpachay, samachiy.
alborear	Illariy, achikyay.
alboroto	Takurikuna, ch'aqwa.
alborozo	Quchukay, kusikuy.
alcanzar	\n(al que viene): taripay.\n(lo deseado): usachikuy, tarikuy.\n(algo a otro): hayway.
alcoba	Puñuna.
aldea	Ayllu, Llaqta.
aleccionar	Yachachiy.
alegrar	Kusichiy, quchuchiy.
alegre	Kusi.
alegría	Kusikuy.
alejar	Anchuchiy, karunchay; qarquy.
alentar	Kallpanchay, sinchichay.
aletear	Raprachakuy, raprapyay.
alfiler	T'ipana, t'ipa.
alforja	Wayaqa.
algo	Imapas.
algodón	Utkhu.
alguien	Pipas.
algunos	Wakin.
aliento	Samay.
aliarse	Kamachinakuy, rimanakuy.
alias	Nisqa, sutichasqa.
aligerar	(el peso): pisikachiy.\n(el paso): utqhay.
alimentar	Mikhuchiy, qaray.\n(las aves): umiy, unkay.
alimento	Mikhuy, mikhuna.
alinear	Siq'ichiy.
aliñar	Allichay.
alisar	Lluchk'ayachiy, llamp'uyachiy.
aliso	Ramran, ramras ~ lamras.
aliviar	(la enfermedad): alliyay, allinyay.\n(la carga): pisiyachiy.
almacén	Pirwa.
almohada	Sawna.
alocado	Musphaq, utikayaq.
alojamiento	Samana wasi, qurpachana; tampu.
alojar	Samachiy, qurpachiy.
alquilar	Mink'ay, aynichiy.
alrededor	Muyuriqman, muyuriqpi.
al revés	T'ikranpa, qhipanpa.
alterarse	Hukman tukupuy, hukmanyakurquy.
altercado	Kutipakuy, ninakurquy.
alternar	Mit'anay, mit'anakuy, chullachinakuy.
alto	Suni, hatunkaray.
altura	Sayay, sayaynin.
aluvión	Lluqlla.
alumbrar	(con una luz): k'anchariy, akchiy.\n(el día): illariy, achikyay.\n(relampaguear): illapay, lliplliy, wakriy.\n(dar a luz): wachay.
alzar	Huqariy.
allí	Chaypi, wakpi.
allanar	Pampachay, kuskachay.
amable	Munaypaq, sumaq sunqu.
amado	Munasqa, khuyasqa.
amalgamar	Taqruy.
amamantar	Ñuñuchiy.
amancebamiento	Uywanakuy, waynanakuy.
amanecer	Paqariy, achikyay.
amansar	Sunqu llamp'uyachiy, sunqu tiyachiy.
amante	Khuyaq, munaq, waylluq.
amar	Khuyay, munay, waylluy.
amargo	P'uchqu, qamya.
amarillo	Q'illu, qarwa.
amarrar	Watay, chaqnay.
amasar	Chapuy, masaray.
ambicioso	Munapayaq.
ambos	Puran, purantin, iskaynin, masintin.
ambulante	Puriq runa, purikuq.
amedrentar	Manchachiy.
amenazar	Manchachiy.
amígdala	Amuqllu.
amigo	Riqsinakuq masi, khuyaq masi.
aminorar	Pisichiy.
amistar	Riqsinakuy, khuyanakuy.
amo	Apu, wasiyuq.
amojonar	Sayway, suntuy.
amonestar	Anyay, kunay.
amontonar	Suntuy, qutuy, tawqay, qullqay, huñuy.
amor	Khuyay, munay.
amoratarse	Q'uyuy.
amordazar	Qallu chhipay.
amortajar	Aya p'achachiy, aya p'intuy.
amotinarse	Hatariy.
amparar	Amachay, yanapay.
ampolla	Phusullu, supullu.
amputar	Kuchuy, kutuy, qhuruy, wit'uy.
amurallar	Pirqay, qinchay, kanchay.
analfabeto	Ñawsa, mana ñawiyuq.
anciana	Paya.
anciano	Machu, yuyaq.
ancho	Kinray, hatun.
andar	Puriy, purikuy.\n(a gatas): lluqay.\n(tropezando): thampiykachay; tamraykachastin, mitkastin puriy.
andas	Rampa, wantuna.
andén	Pata.
andrajoso	Thanta runa, latapa runa.
anegar	Challpuy.
angina	Kunka unquy.
angosto	Kichki, k'ikllu.
ángulo	K'uchu.
anexar	Hukllay.
angustia	Llaki, phuti.
anhelar	P'ituy, munapay.
anidar	Q'isachay.
anillo	Siwi.
animar	Kamay, kawsachiy, kallpachiy.
aniquilar	Qulluy, chinkachiy.
ano	Siki, uquti.
anoche	Ch'isi, tuta.
anochecer	Ch'isiyay, tutayay.
anónimo	Mana sutiyuq.
ansia	Sinchi munay.
anteanoche	Qayna ch'isi, qayna tuta.
anteayer	Qayninpa p'unchaw.
anteceder	Ñawpay, ñawpariy.
antecesor	Ñawpaq kaq.
anteojos	Qispi ñawi.
antepasado	Ñawpa machu.
anterior	Ñawpa.
antes	Ñawpaq.
anticipar	Ñawpachiy, qallaykurquy.
antiguo	Ñawpa.
antipatía	Chiqniy.
antojo	Munapakuy.
antorcha	K'anchana, akchikuq.
antro	Mach'ay.
anual	Sapa wata, watan-watan.
anublarse	Llanthuy, phuyuy.
anudar	Khipuy, watay.
anunciar	Willay, yachachiy.
anverso	Uyan.
añadir	Yapay.
año	Wata.
añoso	Puqusqa, takyasqa.
apacentar	Michiy.
apacible	Llamp'u sunqu, qasi sunqu.
apachurrado	Thañusqa, llaphisqa.
apadrinar	(bautizo) Marq'ay.
apagar	(soplando): phukuy.\n(con agua): thasnuy.
apalear	Maqay, waqtay.
apañar	Pakay, hap'iy.
aparar	Kamariy, chaskiy.
aparear	Masachay, kuskachay.
aparecer	Rikhuriy, qispimuy.
aparentar	Tukuy.
apariencia	Rikch'ay.
apartar	Akllay, rakiy, anchhuchiy.
apearse	Uraykuy.
apedrear	Chamqay, chuqay.
apegarse	Ratakuy, k'askakuy.
apellidar	Sutichay, qayay.
apenado	Llakisqa.
apenas	Sasata, ñak'ayta.
apéndice	Yapana.
apersonarse	Rikhuriy, tinkuy.
apertura	Kichana, kichakuy.
apestar	Asnay.
apetecer	Munapayay.
apiadarse	Llakipayay.
apiñarse	Chhunkunakuy, ñit'inakuy, tawqanakuy.
aplacar	Sunqu tiyachiy, thanichiy.
aplanar	Pampachiy, kuskachiy.
aplastar	Ñit'iy.
aplaudir	Kusipayay, taqllay.
aplazar	Suyachiy, asuchiy.
apocado	Pisi sunqu.
apoderarse	Hap'ikuy.
apodo	Mana allin suti, hawa suti.
apolillar	Thutay, puyuy.
aporcar	Hallmay, aysay.
aportar	Chayay, apay.
aposentar	Qurpachay, samachiy.
apostema	Ch'upu, q'iya.
apoyar	Q'imiy.
apreciable	Khuyapaslla.
aprender	Yachakuy.
aprendiz	Yachapakuq.
apresar	Hap'iy.
apresurar	Utqhay.
apretar	Mat'iy, chaqnay.
aprisco	Kancha, qincha.
aprobar	Ari niy, uyniy, awniy.
apto	Allin, kusa.
apuntar	T'uqsiy.
apuñalar	T'urpuy, tuksiy.
aquel	Haqay, chaqay, wak.
aquí	Kaypi, kayman.
araña	Kusi-kusi.
arañar	Rachay, hasp'iy.
arar	Yapuy, chakmay.
árbol	Sach'a, yura.
arcilla	Llank'i, mit'u.
arco iris	K'uychi, chirapa.
arder	Rawray, ruphay.
arena	Aqu, t'iyu.
aroma	Q'apay, misk'i asnaq.
arraigar	Saphinchakuy.
arrancar	T'iray, chutay.
arrasar	Purunyachiy, pampayachiy.
arrastrar	Aysay, chutay.
arrear	Qatiy.
arrebatar	Waykay, ayqichikuy, qichuy.
arreglar	Allichay.
arremangar	Q'allpay, q'impirikuy.
arrepentirse	Wanay.
arrestar	Wichq'ay.
arriba	Hanaq.
arribar	Chayay, chayamuy.
arrimar	Asuykachiy, q'imiykachiy.
arrinconar	K'uchuchay.
arrodillarse	Qunqurikuy.
arrojar	Wikapay, chuqay, wikch'uy.
arroyo	Uchuk mayu, huch'uy mayu.
arruga	Sip'u, q'inti, q'aqñu.
arrumar	Tawqay.
asa	Rinri, hap'ina.
asado	Kanka, kusay.
asar	Kankay, kusay, q'aspay.
ascender	Siqay, wichay.
asco	Millay, millakuy.
ascua	Sansa.
asear	Chhuyanchay, mayllay, allichay.
asemejarse	Rikch'akuy, kaqlla kay.
asentar	Takyachiy, tiyachiy.
aserrar	Kuchuy, wit'uy.
asesinar	Wañuchiy.
aseverar	Ari niy, awniy.
así	Hina.
asiento	Tiyana.
asociar	Masinchay, masanchay.
asolar	Purunyachiy.
asolear	Rupaychay, mast'ay.
asomar	Rikhuriy, wichay.
áspero	Qachqa.
aspirar	(por la boca): hapkay.\n(por la nariz): sinq'ay.
asquear	Millakuy.
asustar	Manchachiy.
atacar	Atipay, qallariy.
atado	Q'ipi.
atajar	Hark'ay.
atalaya	Qhawana.
atar	Watay, chaqnay.
atemorizar	Manchachiy.
atender	Uyariy.
aterir	Chirayay.
atesorar	Qullqi huñuy.
atizar	Nina hast'iy.
atontarse	Utipuy, muspaykachay.
atorado	K'ichkipakusqa.
atrancar	Q'imiy.
atrapar	Hap'iy.
atrás	Qhipa.
atrasarse	Qhipakuy.
atrevido	Mana manchaq.
atropellar	Saruy, tanqakuy.
aullar	Wanyay.
aumentar	Mirachiy, yapay.
aunar	Hukllachay.
ausentarse	Ch'usay, illariy.
autorizar	Kamachiy, rurachiy.
auxiliar	Yanapay.
avanzar	Ñawpariy.
avaricia	Mich'akuy.
ave	Pisqu.
avecindarse	Mitmakuy, llaqtachakuy.
avejentarse	(el varón): machuyay.\n(la mujer): payayay.\n(un objeto): mawk'ayay.
aventajar	Yalliy, llalliy.
aventar	Wikapay.
avergonzar	P'inqachiy.
averiguar	Tapukuy.
avinagrar	P'uchquchiy.
avisar	Willay.
aviso	Willakuy.
avistar	Rikuy, qhawarquy.
ayer	Qayna p'unchaw.
ayudar	Yanapay, ruraysiy.
ayuno	Sasi.
ayuntar	Huñuy, t'inkiy.
azotar	Waqtay.
azuela	Llaqllana.
azucena	Hamank'ay.
azul	Anqas.
baba	Llawsa, lawsa.
bacín	Hisp'ana, hisp'akuna.
bailar	Tusuy, qachway.
bajada	Uraykuna, kinray.
bajar	(de precio): uraykachiy.\n(la cabeza): k'umuy.
balanza	Aysana.
balar	Waqay.
balbucear	Haklluy, aklluykachay.
baldío	Purun allpa; purun pampa.
baluarte	Pukara.
banda	(lado) Chimpa.
bandido	Manchana runa, waykakuq.
banquete	Mikhuna, upyana.
bañarse	Armakuy, mayllikuy.
baño	Armakuna, mayllakuna.
barato	Chanin, pisilla.
barba	Sunkha, sapra.
barbacoa	Pachamanka, watya.
barbechar	Chakmay, yapuy.
barca	Wamp'u.
barranco	Q'asa, wayq'u.
barrenar	Hutk'uy, uchkuy.
barrer	Pichay.
barriga	Wiksa.
barro	T'uru, mitu.
bastante	Achkha.
bastón	Tawna, k'aspi.
basura	Q'upa, wanu.
batalla	Awqay, maqanakuy.
batán	Maran, maray.
batir	Qaywiy, aytiy ~ aychiy.
bautizar	Uliyay, suti churay.
beber	Upyay, upuy.
bebida	Upyana.
belleza	Sumaq kay.
benefactor	Allin ruraq.
beodo	Machaq, sinka.
besar	Much'ay.
bicho	Uru, kuru.
bien	Allin.
bienestar	Allin kay, allin kawsay.
bienvenida	Sumaq chaskiy.
bilis	Hayaqin.
bisoño	Yachapakuq.
bisnieto	Willka.
blanco	Yuraq.
blancura	Yuraq kay.
bledo	Hat'aqu, qura.
boa	Amaru, wata puñuq.
boca	Simi; hutk'u, yaykuna.\n(abrir la boca): hanllay.
bocio	Q'utu.
bofes	Surq'an, k'ipchan.
bola	Rumpu, sinku, ruyru.
bolsa	Wayaqa, ch'uspa.
boñiga	Kharka, q'awa.
borde	Patan.
borrachera	Machay, upyay, sinkay.
borracho	Machasqa, upyasqa, sinkasqa.
borrar	Pichay, chinkachiy.
bosque	Sach'a-sach'a.
bosta	(de vaca): q'awa.\n(de equino): uchha.\n(de ovino): taqya.
bostezar	Hanllariy, hanllapakuy, hakapakuy.
botar	Wikch'uy, hitay; wikapay.
brasa	Sansa, nina.
bravo	Phiña, phiñasqa.
brazo	Rikra.
breve	(tiempo) Hukpachalla, utqhalla.
brillar	Llipipipiy, k'anchay, illay, akchiy.
brincar	P'itay, phawaykachay.
broma	Pukllay, sawkay.
brotar	(del suelo): phutuy.\n(del tallo): ch'ichiy.\n(la flor): mukmuy.
brujo	Layqa, musyaq.
bruma	Phuyu, wapsiy.
buba	Wanthi.
buche	Q'utu, uksu.
bueno	Alli, allin.
bufón	Asichikuq, sawka.
buho	Tuku, ch'usiq.
bulto	Q'ipi, palta, saway.
burbujear	Phullpuy.
burla	Sawka, pukllay.
buscar	Maskhay.
caballero	Wiraqucha; q'ala.
caballo	Kawallu, hatun uywa.
cabana	Ch'uklla.
cabecera	Sawna.
cabello	Chukcha.
caber	Kamay.
cabeza	Uma.
cabrillas	Qullqa, quyllur, qanchis quyllur.
cabuya	Ch'awar, paqpa.
cada	Sapa.
cadáver	Aya, wañu.
caer	Urmay.
caca	Aka, ismay.
cadera	Siki pata.
cal	Isku.
calavera	Aya uma, uma tullu.
calcinar	Kañay, uchphayachiy.
calcular	Yupaykukuy.
caldear	Ruphachiy, ninayachiy.
calentar	Q'uñichiy.
calmar	Samay, thaniy.
calofrío	Chukchuy, katkatyay.
calor	Ruphay.
calumnia	Tumpay, huchachay.
calvo	P'aqla uma, q'ala uma.
callar	Upallay, mana rimay.
cama	Puñuna, kawitu.
camarada	Riqsinakuq masi, khuyaq masi; yanasa.
camarón	Yukra.
cambiar	(trocar): rantiy, yankiy.\n(variar): huk hinaman tukuchiy.\n(trasladar): t'ikray.
camilla	Chakana, wantukuna.
caminar	Puriy, riy, kallpay.
camino	Ñan, purina.
camisa	Unkhu, ukhu p'acha.
camote	Apichu, misk'i papa.
campo	Pampa, purun.
cana	Suqu.
canal	Rarqa, yarqha, pincha.
canalla	Millay runa.
cancha	(maíz tostado) Hamk'a, kamcha.
canchón	Kancha.
candela	Sansa, nina.
canilla	Chaki tullu.
canjear	Rantiy, yankiy.
canoa	Wamp'u.
cansarse	Sayk'uy, pisipay; amirquy.
cantar	Takiy.
cántaro	P'uyñu; urpu.
capa	Yaqulla.
cara	Uya.
caracol	Ch'uru.
caracha	Qaracha.
carbón	K'illimsa.
cárcel	Watay wasi, samkay.
carcoma	Thuta, puyu.
cardar	Pillchay.
cárdeno	Q'uyu.
carear	Uya purachiy, tinkuchiy.
carestía	Muchuy, wanay.
carga	Winay, saway.
cargar	Churkuy, q'ipiy, chaqnay.
caricia	Waylluy, khuyapay.
cariño	Khuyay, munaychay.
carnaval	Hatun pukllay.
carne	Aycha.
caro	Ancha chaniyuq.
carta	Qillqa.
carrillo	K'aklla, uya.
carrizo	Suqus.
casa	Wasi.
casarse	Kasarakuy, yananchakuy.
cascada	Phaqcha.
cascajo	Suqlla rumi.
cascara	Qara.
caserío	Wasi wasi.
caserón	Raqay.
casi	Yaqa, yaqalla.
casta	Ayllu, yawar, rikch'aq.
castaño	Ch'umpi.
castigar	Muchuchiy.
catarro	Chhulli unquy.
catre	Kawitu, sirina.
causar	Ruray, raykuy.
cavar	Hasp'iy, t'uquy, hutk'uy, uchkuy.
caverna	Mach'ay.
cavilar	Yuyaymanay.
caza	Chaku.
cecina	Ch'arki.
cedazo	Suysuna.
cegar	Ñawsayay.
ceja	Qhisipra, qhichipra.
celaje	Antaqa, antay ruphay.
cementerio	Ayap samanan, aya pampana.
ceniza	Uchpha.
centella	Lliplliq, achikyaq.
centena	Pachak.
centro	Chawpi.
cera	Mapa.
cerca	Sichpa, hichpa.
cerco	Qincha.
cerdo	Khuchi.
cernícalo	K'illichu, k'illiwara.
cernir	Suysuy.
cerradura	Wichq'ana.
cerrar	Wichq'ay.
cerro	Urqu.
certeza	Sut'inmanta yachay.
cerumen	Rinri wira.
cesar	Tukuy, thaniy, p'uchukay.
césped	Ch'ampa.
cesto	Runku.
cicatriz	Q'illa, sira.
ciego	Ñawsa, mana ñawiyuq.
cielo	Hanaq pacha.
cien	Pachak.
cieno	T'uru t'uru.
cierto	Chiqan, sut'illa.
ciervo	Lluychu.
cigarra	Qisqis.
cinco	Pichqa.
cintura	Wiqaw.
ciudad	Hatun llaqta.
cizaña	Qura.
clara	(agua): ch'uya unu.\n(del huevo): runtup yuraqnin.
clarificar	Ch'uyayachiy.
clase	Rikch'aq.
clasificar	Rakiy, akray.
clavar	Takay, sat'iy.
coagular	Tikayachiy.
cobarde	Llaklla, pisi sunqu, manchakuq.
cobardía	Llakllay, manchay.
cobijar	Qatay.
cobrar	Mañay, mañapuy.
cobre	Anta.
coca	Kuka.
cocear	Hayt'ay.
cocinar	Wayk'uy, yanuy.
codiciar	Munapayay, ancha munay.
codo	Kuchus, kuchuchu.
coger	Pallay, hap'iy.
cogote	Much'u.
coincidir	Tinkunakuy.
cojear	Hank'ayay, wiqruy.
cojo	Hank'a, wiqru.
cola	(rabo): chupa.\n(pasta): k'askachina, laqaq.
colaborar	Yanapay, ruraysiy.
colar	(filtrar): Suysuy.
coleccionar	Huñuy.
colecta	Tanta.
colega	Masi, kaq masi.
cólera	Phiñay, phiñakuy.
colgar	Warkuy.
colibrí	Q'inti.
cólico	Wiksa nanay.
colmar	Hunt'achiy.
colmillo	Waqsa.
colocar	Churay.
columpio	Wayllunk'ukuna, wayllunchakuna.
collar	Wallqa, kunka watu.
comadreja	Achuqalla, unchuchukuy.
combatir	Maqanakuy.
comenzar	Qallariy.
comer	Mikhuy.\n(harina): hak'uy.\n(coca): akulliy.\n(lamiendo): llaqway, lluspiy.
comezón	Siqsi.
comida	Mikhuy, mikuna.
comienzo	Qallariynin.
comisionar	Kachay.
como	hina.
cómo	Imayna.
compañero	Masi.
comparar	Tinkuchiy, rikch'achiy.
compatriota	Llaqtamasi, llaqtapura.
competir	Tinkunakuy, llallinakuy.
compilar	Huñuy, suntuy.
complacer	Kusichiy, q'uchuchiy.
completar	Tukuy, hunt'ay.
componer	Allichay.
comprar	Rantiy.
comprender	Yachay, yacharquy.
comprimir	Ñit'iy ~ mat'iy.
comprometerse	Huñiy, aniy.
comunicar	Willay, yachachiy.
comunidad	Ayllu, llaqtantin.
concebir	(la hembra) Wiksayakuy, chichuyay.
conceptuar	Yuyaymanay.
concluir	Tukuy, p'uchukay, qispichiy.
concordar	Tinkuchiy.
conculcar	Sarunchay.
concuñada	Qhachun masi, llumchuy masi.
concuñado	Qatay masi, masa masi.
concurrir	Riy, huñunakuy.
condensar	Pipuyachiy, putkayachiy.
condiscípulo	Yachaq masi.
condolerse	Llakipayay, nanachikuy.
cóndor	Kuntur.
conducir	Pusay, apay.
confeccionar	Ruray.
confesar	Willakuy.
confín	Tukuynin, p'uchu kaynin.
confinar	Tinkuy, tupay.
confluencia	Tinkuy, tupay.
confronta	Tinkuchiy.
confundir	Chhaqruy, taqruy.
congelar	Qasay, chullunkuy, rit'iyachiy.
congoja	Llaki, phuti.
congraciarse	Munachikuy, khuyachikuy.
congregar	Tantay, huñuy.
conjeturar	Hamurpayay, yuyaymanay.
conjunción	(de la luna) Wañu, musuq killa.
conmemorar	Yuyariy, yupaychay.
conmigo	Nuqawan.
conmover	Kuyuchiy.
conocer	Riqsiy, yachay.
consanguíneo	Yawar masi, ayllu masi.
conseguir	Tariy, usyachikuy.
consejo	Kunay, willay, kamachiy.
consentir	Huniy, awniy.
conservar	Waqaychay.
considerar	Hamurpay, yuyaymanay.
consolar	Sunqu tiyachiy, kusichiy.
construir	Ruray, hatarichiy.
consultar	Tapuy.
consumar	P'uchukay, tukuy.
contador	Yupaq.
contagiar	Ratachiy, ratakuy, mismiy.
contar	(números): yupay.\n(avisar): willay.
